Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
MS,true,30,50,85,57.14285714285714,2.2732766596264358,10.443864229765014,225.64222921533099,195.36123741587096,0.22193211488250653,1,50.077257136561705,0.8345009292749617,0,0,8043,8044 days 00:00:00,1000.0,19934.01324084696,1893.4013240846962,1664.7742486769307,100.0,1036.015041887923,76.12787096412664,4170 days 00:00:00,84,1,-19.934013240843342,50.34464285714287,-31.742055953196864,14.02498048061522,-7.692113305345859,79 days 05:30:00,28 days 08:00:00,0.5633327812839727,0.19103773813798128,1.1199526250791578,0.13733217917652527,57 days 09:59:59.999999999,1
MS,true,30,51,82,55.55555555555556,2.1824800049522075,10.070869078701977,222.59651676027553,187.37080535376728,0.21409921671018278,1,47.65773988079007,0.8246476670442917,0,0,8043,8044 days 00:00:00,1000.0,19011.306551031295,1801.1306551031296,1664.7742486769307,100.0,962.3707472151756,76.22335835216919,4133 days 00:00:00,81,1,-19.01130655103043,50.34464285714287,-31.742055953196857,14.82610346661688,-7.706976307133556,83 days 19:12:00,28 days 17:20:00,0.5570740100173192,0.18757025824104823,1.1187794792544234,0.08190684504795008,59 days 07:42:13.333333333,1
MS,true,30,52,79,55.12820512820513,2.212478088657419,9.697873927638941,214.28790921617988,178.989512360057,0.206266318537859,1,44.200378141196374,0.809592786365764,0,0,8043,8044 days 00:00:00,1000.0,17696.76015870332,1669.676015870332,1664.7742486769307,100.0,854.5052930225735,80.48060328899896,4193 days 00:00:00,78,1,-17.69676015870209,59.19432773109244,-29.182617165321528,15.304441915628612,-7.804879923845501,87 days 01:06:58.604651163,30 days 13:42:51.428571428,0.5474042801704961,0.17303832842667916,1.116466005340308,0.002944403541379279,61 days 16:55:23.076923076,1
MS,true,30,53,76,58.666666666666664,2.2112396688546365,9.324878776575904,222.2661585206925,197.56991868506,0.19843342036553524,1,44.105034066769264,0.8103740251151055,0,0,8043,8044 days 00:00:00,1000.0,17652.309579472465,1665.2309579472465,1664.7742486769307,100.0,821.4152901222518,79.6967706934528,4184 days 00:00:00,75,1,-17.652309579469147,59.19432773109246,-29.182617165321517,15.2323027493876,-8.936866498600534,87 days 00:32:43.636363636,31 days 12:23:13.548387096,0.5476387227340095,0.17457707209031625,1.116622003246578,0.0002743370584202082,64 days 01:55:11.999999999,1
MS,true,30,54,75,55.4054054054054,2.044084482609171,9.200547059554893,188.7639329172017,158.46276104842894,0.195822454308094,1,36.96421662869486,0.7757298499747266,0,0,8043,8044 days 00:00:00,1000.0,14953.577458414511,1395.357745841451,1664.7742486769307,100.0,732.3770512102587,81.11473833758566,4132 days 00:00:00,74,1,-14.953577458412838,56.31800859529257,-29.18261716532151,16.584457729616293,-9.018826925011716,92 days 20:29:16.097560976,30 days 07:16:21.818181818,0.5255833858693529,0.16099234236746332,1.1117723341603278,-0.16183365585429782,64 days 23:01:37.297297297,1
MS,true,30,55,72,53.52112676056338,2.000246640771854,8.827551908491856,144.02689854277332,116.79518020967532,0.18798955613577023,1,27.07555272866757,0.7176022630732918,0,0,8043,8044 days 00:00:00,1000.0,11214.695101435474,1021.4695101435474,1664.7742486769307,100.0,519.1254651601024,84.30661378640264,4794 days 00:00:00,71,1,-11.2146951014347,56.31800859529257,-29.182617165321524,17.311948637267726,-9.188136670160691,96 days 01:53:41.052631579,34 days 18:10:54.545454545,0.48802585507156193,0.13750268711298597,1.1035597432055255,-0.3864216058391376,67 days 13:51:32.957746478,1
MS,true,30,56,73,51.388888888888886,1.9224346290038392,8.951883625512869,118.45785137824697,92.23359640141283,0.19060052219321147,1,22.57812833057971,0.685494804742262,0,0,8043,8044 days 00:00:00,1000.0,9519.445853380405,851.9445853380404,1664.7742486769307,100.0,460.41643209618775,85.74644457977405,5200 days 00:00:00,72,1,-9.519445853378784,53.737889039242205,-30.398343728201706,17.381026935353873,-8.804571015048275,98 days 00:38:55.135135136,33 days 16:27:25.714285714,0.46652498201620995,0.12555163838012015,1.0986328268945094,-0.4882521843336307,66 days 18:00:00,1
MS,true,30,57,72,50.70422535211267,2.0055127388272136,8.827551908491856,132.64450092866204,101.90358586068785,0.18798955613577023,1,24.93578085342994,0.7018457133649418,0,0,8043,8044 days 00:00:00,1000.0,10407.352213721288,940.7352213721288,1664.7742486769307,100.0,454.38718140035996,87.11233063586725,5218 days 00:00:00,71,1,-10.407352213720515,81.01086104704571,-30.398343728201716,18.423912240731063,-8.805713619843095,101 days 04:00:00,33 days 14:24:00,0.4777562080207422,0.12873855832823058,1.101030816069513,-0.43491724351228256,67 days 20:37:10.985915492,1
MS,true,30,58,68,50.74626865671642,1.9768166885659568,8.330225040407807,135.85499692229777,104.45657836630764,0.17754569190600522,1,24.120469427457568,0.6953950204519193,0,0,8043,8044 days 00:00:00,1000.0,10092.192601192759,909.2192601192759,1664.7742486769307,100.0,416.43625584601426,88.3417067966391,5261 days 00:00:00,67,1,-10.092192601192437,81.01086104704575,-28.628687456403444,19.359775057469896,-9.3497236984836,107 days 14:49:24.705882354,35 days 08:43:38.181818182,0.473659816344942,0.12519165899247964,1.1000575053745376,-0.4538483155647846,72 days 00:42:59.104477613,1
MS,true,30,59,67,50.0,1.9040843297462133,8.205893323386796,119.3335051542586,90.40417057140803,0.17493472584856395,1,20.875574008708423,0.6699637583286739,0,0,8043,8044 days 00:00:00,1000.0,8867.144195985084,786.7144195985084,1664.7742486769307,100.0,376.2397147611746,89.80586894688794,5312 days 00:00:00,66,1,-8.867144195983201,79.7164596806339,-30.511646754515525,19.544420637438577,-9.331545133716034,111 days 08:43:38.181818182,34 days 19:38:10.909090909,0.4568386952115962,0.11591016421501245,1.0963038224718558,-0.5274347736795275,73 days 02:10:54.545454545,1
