Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
WMB,true,75,84,false,100,62.0,3.3122632887574994,0.009175153683824204,6.8069167220373235,6.8069167220373235,0.1926782273603083,0.3853564547206166,1.311544647791392,0.9437541750685019,0,0,10899,10900 days 00:00:00,1000.0,80862.62018162254,7986.262018162253,1650.2532666297584,100.0,2982.5309489485085,83.21277461467952,2313 days 00:00:00,100,0,0.0,188.7074748207869,-66.03536088301607,15.925870569613082,-8.071376397691543,84 days 22:27:05.806451613,36 days 00:00:00,798.6262018162254,0.6262135660534923,0.19043472224110092,1.1321130537244786,0.8129727111140356,27.636828207433723,1.110011063521617,0.4205656197054607,-0.022900720879090862,None,None,0.0005360735551847629,0.13509053590656026,79.86262018162225,0.10689322480528296,0.25962625842633336,3.3122632887574994,3.8394159730840918,15786.25,1.461438493107323,4.643293474699337,66 days 08:09:36
WMB,true,84,89,false,119,56.30252100840336,3.096933996540731,0.010918432883750802,5.612439516157361,5.180237602735131,0.22928709055876687,0.45857418111753373,1.2868599275967745,0.9890347801969244,0,0,10899,10900 days 00:00:00,1000.0,102759.66113895213,10175.966113895212,1650.2532666297584,100.0,4424.256056792934,83.14152534150938,1480 days 00:00:00,119,0,0.0,170.5082458157224,-40.40098707394916,14.961735857777692,-6.433769231699604,71 days 19:20:35.820895522,36 days 10:36:55.384615384,855.1232028483373,0.65446217897753,0.20182422395470015,1.1373047683025044,0.8666275523618246,26.734029151718048,1.1154268445153148,0.42950819672131146,-0.022727162773950406,None,None,0.000555918351877553,0.14009142467314337,101.7596611389528,0.11304279683796414,0.25761619404180885,3.096933996540731,5.166305693596446,15786.25,1.5942411794554816,4.5070828647399885,56 days 08:28:14.117647058
WMB,true,85,89,false,139,58.992805755395686,2.751126284444141,0.012753463620515644,4.604609868129975,4.453095992294586,0.2678227360308285,0.535645472061657,1.2332192132371225,0.9714123911735417,0,0,10899,10900 days 00:00:00,1000.0,93483.25597725448,9248.325597725447,1650.2532666297584,100.0,4905.092063196658,81.96438296936343,1499 days 00:00:00,139,0,0.0,150.19890162813772,-40.40098707394914,12.056558210689085,-6.1157368702883925,59 days 19:01:27.804878048,31 days 16:00:00,665.3471653039892,0.6433682941710572,0.20021602194515675,1.1346797043246661,0.8588854618475019,26.490318584978496,1.1225496525069054,0.42932074482035143,-0.022761178748521096,None,None,0.0005479306673498204,0.13807852817215474,92.48325597725457,0.11061086992671787,0.25829301176967623,2.751126284444141,4.604185602742605,15786.25,1.7230105722539157,4.453191018863147,48 days 06:12:56.978417265
WMB,true,76,86,false,92,63.04347826086957,3.274432063635395,0.008441141389118268,6.9385269502533475,6.9385269502533475,0.17726396917148363,0.35452793834296725,1.2299508274052178,0.8945237990135978,0,0,10899,10900 days 00:00:00,1000.0,60111.07949949214,5911.107949949213,1650.2532666297584,100.0,2187.165007971475,83.17536184627836,1567 days 00:00:00,92,0,0.0,170.0319003153594,-66.52752977755327,16.14736962310423,-8.770675256374625,89 days 18:37:14.482758621,42 days 14:07:03.529411764,642.5117336901319,0.5946103768043579,0.17675750324721348,1.125203762321489,0.8037413287719055,27.897788035986196,1.1060201891882973,0.420380505603336,-0.022869381424768475,None,None,0.0005087228146434989,0.1281981492901617,59.11107949949245,0.09933010953214993,0.2594749479190036,3.274432063635395,2.58193985703856,15786.25,1.4017625589253475,4.243387286693168,72 days 08:05:13.043478261
WMB,true,85,88,false,164,56.70731707317073,2.5828180138342214,0.015047252041471695,3.882328983254036,3.6091223055040516,0.3159922928709056,0.6319845857418112,1.2267860370976145,0.9291848237654378,0,0,10899,10900 days 00:00:00,1000.0,74224.36990053205,7322.436990053206,1650.2532666297584,100.0,4668.824841415429,81.85022191697432,1485 days 00:00:00,164,0,0.0,181.63691793771906,-51.53131262654191,11.176592245050298,-5.672128528676276,52 days 09:01:56.129032258,25 days 13:51:32.957746479,446.4900603690979,0.6169991780471659,0.18955089827692717,1.129703907666015,0.817510299236389,27.582406618848957,1.1245170210376172,0.42800995676667103,-0.022860347162720496,None,None,0.0005282217606157655,0.1331118836751729,73.22436990053215,0.10470332875876753,0.25964406842196824,2.5828180138342214,3.437159518555297,15786.25,1.8715544473465675,4.1754919072445995,40 days 18:35:07.317073170
WMB,true,76,84,false,110,59.09090909090909,3.0641020685258336,0.010092669052206625,5.886767538392162,5.702531892630262,0.2119460500963391,0.4238921001926782,1.247677127597568,0.916884158948428,0,0,10899,10900 days 00:00:00,1000.0,68347.39574481196,6734.7395744811965,1650.2532666297584,100.0,2906.602599821905,83.63522544617024,1587 days 00:00:00,110,0,0.0,177.72839019337826,-66.03536088301605,14.496207930158466,-6.5490908052702785,80 days 07:00:55.384615384,31 days 05:52:00,612.249052225563,0.6092268280878064,0.18169548455267667,1.1283838629293037,0.8094799471389443,27.96952795260755,1.1129505741606112,0.41871664714304313,-0.022804281579275953,None,None,0.0005197440445595844,0.13097549922901525,67.34739574481175,0.1025985712642088,0.2587362053916631,3.0641020685258336,3.0810339301647116,15786.25,1.532769622627413,4.171434403901133,60 days 05:27:16.363636362
WMB,true,76,83,false,118,59.32203389830508,2.8277498553733946,0.01082668134691256,5.762704595186298,5.604186185927214,0.22736030828516376,0.45472061657032753,1.3102102933178865,0.9532524205827849,0,0,10899,10900 days 00:00:00,1000.0,84905.00800691784,8390.500800691783,1650.2532666297584,100.0,3960.2471396165765,80.3264122445855,1427 days 00:00:00,118,0,0.0,192.44205800291388,-66.03536088301605,14.097049748989871,-6.39154875411058,74 days 01:22:17.142857143,29 days 22:00:00,711.059389889134,0.6308868342424144,0.19963536190632258,1.133597167926928,0.8583460221202184,28.06720781492264,1.1167145541942296,0.4198254526507751,-0.022869381424768423,None,None,0.0005408951678118948,0.1363055822885975,83.90500800691824,0.10814227258146802,0.2600209495168706,2.8277498553733946,4.084371575174848,15786.25,1.5875285552015268,4.161564681352701,56 days 02:26:26.440677966
WMB,true,77,83,false,126,58.730158730158735,2.7497314854082933,0.011560693641618497,5.258581429624207,5.062906918972045,0.24277456647398843,0.48554913294797686,1.2766498268451831,0.93645200890223,0,0,10899,10900 days 00:00:00,1000.0,76728.24128333759,7572.824128333758,1650.2532666297584,100.0,3641.6986917064705,81.50273936475573,1437 days 00:00:00,126,0,0.0,178.0239526048758,-67.12497162471816,13.321798601943458,-6.215996854060882,69 days 21:04:51.891891891,28 days 05:04:36.923076923,601.0177879629967,0.619648758987907,0.19193452313752615,1.1309384275205079,0.864370843408114,27.955148488256263,1.1218207843839112,0.42019543973941365,-0.022885126943063293,None,None,0.0005319254780627468,0.1340452204718122,75.72824128333728,0.1055510000843487,0.2603466003438864,2.7497314854082933,3.5888860100846296,15786.25,1.6404606399152375,4.0669887067757235,52 days 16:22:51.428571428
WMB,true,71,76,false,144,55.94405594405595,2.5163604951436374,0.013120469767868612,5.116556286472136,4.692473952972268,0.2774566473988439,0.5529865125240848,1.4196225534720375,0.9997063555507376,0,0,10899,10900 days 00:00:00,1000.0,106313.14991805828,10531.314991805828,1650.2532666297584,100.0,6152.640211018964,75.2468804921679,1527 days 00:00:00,143,1,-2154.2138920318394,234.98893191825667,-50.82630627243231,14.214885569786478,-6.43687772408576,63 days 09:36:00,23 days 11:48:34.285714285,751.5200266439872,0.6532729506815106,0.2247666873746981,1.1396581771503422,0.9925695916911567,28.030641907169063,1.145767981316714,0.41027299780049165,-0.02286938142476839,None,None,0.0005624606908701951,0.14174009409928917,105.31314991805931,0.11391795348914191,0.26112244426476017,2.5163604951436374,5.381635597857947,15786.25,1.7537261917287876,4.046049710479807,45 days 19:38:10.909090908
WMB,true,76,87,false,84,59.523809523809526,3.4378065880631374,0.007707129094412331,7.470896473690286,6.880545656373443,0.16184971098265896,0.3236994219653179,1.2091624350481387,0.8976277881851731,0,0,10899,10900 days 00:00:00,1000.0,60871.548565782905,5987.1548565782905,1650.2532666297584,100.0,1908.520827536967,81.88755191970625,2372 days 00:00:00,84,0,0.0,165.4387922349171,-62.96845634401698,18.495830975787054,-8.742242499981433,102 days 04:19:12.000000001,45 days 14:07:03.529411764,712.7565305450346,0.5959895563205605,0.18012709148569797,1.125539515276878,0.8294577589632753,28.042603324437373,1.1021996367490088,0.4213065588733864,-0.02287619801972965,None,None,0.0005097743602062194,0.1284631387719673,59.87154856578298,0.09964967477309017,0.25940959838056454,3.4378065880631374,2.6280218180119714,15786.25,1.339430503637301,4.033283936190533,79 days 06:34:17.142857143
