Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
ATOM-USD,true,48,80,13,83.33333333333334,2.6840479250894727,0.005457025920873124,16.401002202378184,3.0278773296698187,0.17735334242837655,0.34106412005457026,2.908772559766936,1.3017080992192203,0,0,2199,2200 days 00:00:00,1000.0,5835.083810527394,483.5083810527395,-30.648554578823095,100.0,58.31811802062652,59.663765506389055,473 days 00:00:00,12,1,1239.2871375584346,55.65972723319079,-36.89959455076227,24.91611267571144,-26.174550164288135,91 days 04:48:00,53 days 12:00:00,299.6497227474133,0.8324447067011278,0.5698051870265899,1.2200244979646293,0.9064477764909522,27.193533361062812,1.2066421451533151,0.3309134906231095,-0.02952648471799961,None,None,0.0011447352264233772,0.2884732770586911,4.835083810527369,0.2239036024031804,0.41705790172797674,16.77589506902306,84 days 22:00:00,false
ATOM-USD,true,57,63,23,68.18181818181817,2.840590516785845,0.010004547521600727,8.884645733034752,3.0071108634886854,0.31377899045020463,0.6139154160982265,2.7878151686193626,1.3611246005172852,0,0,2199,2200 days 00:00:00,1000.0,5965.469092269037,496.5469092269037,-30.648554578823095,100.0,88.51166540608118,56.16791258825033,466 days 00:00:00,22,1,1260.0373186186805,43.968856770004294,-25.653154063427554,19.14202334825399,-13.09544915672075,50 days 00:00:00,37 days 00:00:00,168.4287169841071,0.8273169204631985,0.6140323465866512,1.206635855759178,2.5589373968032634,40.98543520820623,1.2471572091242253,0.3221153846153846,-0.03414054977978782,None,None,0.0011560871212422314,0.29133395455304234,4.96546909226903,0.22700565207324996,0.4238043002703424,17.201315724363635,45 days 20:43:38.181818181,false
ATOM-USD,true,36,65,15,71.42857142857143,3.0629671216220964,0.006366530241018645,13.488006799491965,2.905109156813654,0.20463847203274216,0.3956343792633015,2.7601651022152724,1.2947057173413337,0,0,2199,2200 days 00:00:00,1000.0,5488.372870946957,448.83728709469574,-30.648554578823095,100.0,63.720978559083726,57.6555844547377,390 days 00:00:00,14,1,1259.725764485791,65.21532551577116,-26.362694904556676,24.632344260892452,-14.372836854009257,79 days 12:00:00,55 days 18:00:00,230.61765046151191,0.8074715670914149,0.5661516296964088,1.2034979548544111,1.46231446132869,19.735956858235262,1.2056861329541462,0.3333333333333333,-0.03381667801145448,None,None,0.0011154147877716545,0.28108452651845695,4.4883728709469395,0.2153459114000693,0.4189438908025108,15.644647790497242,72 days 17:08:34.285714285,false
ATOM-USD,true,49,79,13,83.33333333333334,2.8151546933074645,0.005457025920873124,15.694854820826592,2.897511659229525,0.17735334242837655,0.34106412005457026,2.783534961401715,1.2817835611500739,0,0,2199,2200 days 00:00:00,1000.0,5529.70066285844,452.97006628584404,-30.648554578823095,100.0,53.29452708621169,57.313626289965256,473 days 00:00:00,12,1,1174.428187931962,56.72022233035984,-36.89959455076225,23.21804750525634,-21.921108601322185,91 days 07:12:00,53 days 00:00:00,279.6060395772066,0.8093179997525525,0.572411787491093,1.2163988495979043,1.6897686081530785,42.48726951434508,1.2030562662385114,0.3309134906231095,-0.030214324331509293,None,None,0.0011230038287647817,0.282996964848725,4.529700662858421,0.21639071086373063,0.42083198448639864,15.779491969870186,84 days 22:00:00,false
ATOM-USD,true,50,77,13,83.33333333333334,2.706865508424149,0.005457025920873124,15.250883364997327,2.815547698153353,0.17735334242837655,0.34106412005457026,2.7047951397676027,1.2624703640725905,0,0,2199,2200 days 00:00:00,1000.0,5241.038444071923,424.1038444071923,-30.648554578823095,100.0,53.68257267718765,54.189223171519785,471 days 00:00:00,12,1,1113.1205209888071,56.09179127563323,-37.58929435571691,22.8133509396398,-22.56145450821507,92 days 00:00:00,46 days 00:00:00,260.65982692359313,0.8004497492348016,0.5837121542861698,1.2145030485443746,1.6771834183208607,46.65353500590658,1.2077807069472648,0.32689987937273823,-0.029485850067820434,None,None,0.001080827012484714,0.2723684071461479,4.2410384440719024,0.20894345061150355,0.409514062631276,14.83764586080124,84 days 08:00:00,false
ATOM-USD,true,48,79,13,75.0,2.4250645121534524,0.005457025920873124,15.038409484728733,2.776321751026843,0.17735334242837655,0.34106412005457026,2.667112186923241,1.2087353131158523,0,0,2199,2200 days 00:00:00,1000.0,4954.001350554399,395.40013505543993,-30.648554578823095,100.0,52.60859228079142,59.82722819425662,475 days 00:00:00,12,1,1052.1580070731293,55.65972723319079,-37.58929435571689,26.781480956776548,-20.19080493141471,94 days 10:40:00,56 days 00:00:00,241.8202786234393,0.7803805620205809,0.5082399898405066,1.2039439873270958,0.787191070618044,27.63346134586926,1.201730854997449,0.3285024154589372,-0.029705056338112674,None,None,0.0010674712558348491,0.26900275647038197,3.9540013505543934,0.20116886008502277,0.4148551146479027,13.90110220495179,84 days 20:00:00,false
ATOM-USD,true,48,81,13,75.0,2.513755637340839,0.005457025920873124,14.448099395696367,2.667341426897791,0.17735334242837655,0.34106412005457026,2.562418719564158,1.168239212516494,0,0,2199,2200 days 00:00:00,1000.0,4679.082347801839,367.90823478018393,-30.648554578823095,100.0,49.299130686549766,64.46655399170956,475 days 00:00:00,12,1,988.72348551297,55.65972723319079,-36.89959455076223,25.43539562639082,-18.513789296386985,100 days 02:40:00,40 days 16:00:00,224.19657185740587,0.7498310554095999,0.45259384375977285,1.2001196751647667,1.0015748739626673,28.138647399554053,1.2023217296146085,0.32930513595166166,-0.02970505633811259,None,None,0.0010704964232071475,0.26976509864820114,3.67908234780183,0.19333907272607376,0.43298066162612364,13.004097414577377,85 days 06:00:00,false
ATOM-USD,true,50,76,14,84.61538461538461,2.307282648385084,0.005911778080945885,13.296889840481327,2.6593779680962655,0.19099590723055934,0.3683492496589359,2.5396515384275387,1.1677706089261566,0,0,2199,2200 days 00:00:00,1000.0,4531.696689192241,353.16966891922414,-30.648554578823095,100.0,51.524549703506715,57.41318934000059,473 days 00:00:00,13,1,962.466624403889,56.72022233035984,-37.58929435571691,21.500594154678275,-31.823483887601878,83 days 10:54:32.727272727,46 days 00:00:00,197.63308190679626,0.7507107210316994,0.496280566727909,1.2001731943222578,1.5340817054231959,46.6322807636183,1.1913158275744904,0.32689987937273823,-0.029556668952164238,None,None,0.001018994606739048,0.2567866408982401,3.5316966891922412,0.18897218717318798,0.41166691976163994,12.52320798721288,77 days 16:36:55.384615383,false
ATOM-USD,true,50,79,13,83.33333333333334,2.301234258179221,0.005457025920873124,14.340182912097344,2.6474183837718175,0.17735334242837655,0.34106412005457026,2.5432793704947545,1.1793544885729041,0,0,2199,2200 days 00:00:00,1000.0,4550.55652779862,355.055652779862,-30.648554578823095,100.0,50.47739985155188,54.784135313492264,506 days 00:00:00,12,1,961.5650627098975,53.72622550004036,-42.51288925847959,22.6271500622148,-27.094652838489967,96 days 16:48:00,25 days 12:00:00,215.74928875739369,0.7497058772294855,0.5217134028079526,1.199665044209723,1.7081366476812396,45.041418454404344,1.1908601631513007,0.32930513595166166,-0.029914694438800175,None,None,0.0010234837294505732,0.25791789982154445,3.5505565277986015,0.18953794145178193,0.41403469001896465,12.584743804694497,84 days 20:00:00,false
ATOM-USD,true,47,81,13,75.0,2.460566076070336,0.005457025920873124,14.312956523241157,2.6423919735214443,0.17735334242837655,0.34106412005457026,2.538450679428855,1.175059724949305,0,0,2199,2200 days 00:00:00,1000.0,4636.233822307126,363.62338223071254,-30.648554578823095,100.0,50.64007867895098,59.663765506389055,476 days 00:00:00,12,1,984.6687947022455,54.21938893136612,-37.589294355716895,25.335021396017932,-18.753238095089166,100 days 13:20:00,40 days 08:00:00,220.9637523004065,0.7562271727351159,0.48572448898766235,1.1968223055799905,0.8568330764541864,27.42009015397033,1.1990102805444864,0.3309134906231095,-0.029811365001800517,None,None,0.0010416283178235762,0.2624903360915412,3.63623382230712,0.19208222039175205,0.4177410965600514,12.86429139082342,85 days 12:00:00,false
