Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
GRT6719-USD,true,14,35,24,50.0,2.201321277069699,15.645371577574968,415.9562624556009,114.58850205388454,0.46936114732724904,1,195.23370858411516,1.9879247019955142,0,0,1534,1535 days 00:00:00,1000.0,10982.95029893442,998.2950298934419,-54.01400596392738,100.0,274.45709093870283,59.10149924153605,721 days 00:00:00,24,0,0.0,296.169691804314,-21.339006955873757,53.50380577274238,-12.631877209492634,36 days 06:00:00,13 days 12:00:00,1.0574434844802139,1.2993569834523966,1.3019882641661493,19.482151287948195,24 days 21:00:00,0
GRT6719-USD,true,2,15,63,25.396825396825395,1.8327141630722756,41.06910039113429,243.0824107932612,89.28646861093156,1.2320730117340286,3,299.49527796562165,2.1232239622254903,0,0,1534,1535 days 00:00:00,1000.0,16314.191879975459,1531.4191879975458,-54.01400596392738,100.0,810.886124358038,64.84413594848134,723 days 00:00:00,63,0,0.0,408.4101577812084,-17.57330790387611,62.49438825320052,-6.171221559613599,24 days 04:30:00,5 days 21:57:26.808510638,1.1479274246792048,1.4532707812975447,1.3099873496775158,29.35226087508277,10 days 13:19:59.999999999,0
GRT6719-USD,true,6,41,22,40.909090909090914,2.6644224388882845,14.341590612777052,416.9078795904389,86.13799165091713,0.43024771838331155,1,179.3736639698107,1.9030785109373058,0,0,1534,1535 days 00:00:00,1000.0,10171.973350989658,917.1973350989658,-54.01400596392738,100.0,190.1903647397715,62.82067141303885,375 days 00:00:00,22,0,0.0,251.662516395123,-35.894510645187715,67.630481556704,-11.26991998891446,45 days 08:00:00,11 days 14:46:09.230769230,1.0396186355365553,1.1715643453284041,1.3065352306344709,17.980731547878623,25 days 09:49:05.454545453,0
GRT6719-USD,true,2,14,66,25.757575757575758,1.8000463857336912,43.024771838331155,218.95432530567018,85.45049426529827,1.2907431551499347,3,282.61379667876594,2.092664468359782,0,0,1534,1535 days 00:00:00,1000.0,15450.98547017423,1445.098547017423,-54.01400596392738,100.0,785.244935678671,67.07572205684261,723 days 00:00:00,66,0,0.0,408.4101577812084,-17.573307903876113,58.73509184467408,-6.045701091050117,23 days 14:07:03.529411764,5 days 13:42:51.428571428,1.1340029606476205,1.3677293181431402,1.3036103941319528,27.75414498940358,10 days 05:05:27.272727271,0
GRT6719-USD,true,9,44,18,50.0,2.8787403883249323,11.734028683181226,389.6348374858752,80.5030655962552,0.3520208604954368,1,137.15959077077747,1.8294048555750115,0,0,1534,1535 days 00:00:00,1000.0,8013.427074745752,701.3427074745751,-54.01400596392738,100.0,146.14123697261059,61.96816391050094,720 days 00:00:00,18,0,0.0,165.97695351174454,-23.795488807673234,49.75165848515434,-11.040208176128136,47 days 02:40:00,13 days 16:00:00,0.9768552586759142,1.0332186371693102,1.2919918241412198,13.98446014063387,30 days 09:20:00,0
GRT6719-USD,true,2,12,79,32.91139240506329,1.6880657078850434,51.499348109517605,152.95336331949932,76.27133575579174,1.544980443285528,4,236.30995506337248,2.032013862983557,0,0,1534,1535 days 00:00:00,1000.0,13083.315702240445,1208.3315702240445,-54.01400596392738,100.0,841.002023902711,69.78553266990066,833 days 00:00:00,79,0,0.0,264.7139837501928,-15.383238077951916,32.91150069570297,-6.0673950055862225,15 days 14:46:09.230769230,5 days 01:48:40.754716981,1.0903799900164646,1.208068436672461,1.2911280965769685,23.370708275757487,8 days 13:03:47.848101265,0
GRT6719-USD,true,10,47,17,47.05882352941176,3.4530555918734867,11.08213820078227,407.5121565726422,74.8415347240849,0.3324641460234681,1,135.4831811291053,1.825547008432483,0,0,1534,1535 days 00:00:00,1000.0,7927.706661734917,692.7706661734917,-54.01400596392738,100.0,110.58079819933337,54.20800524946604,721 days 00:00:00,17,0,0.0,125.76791475072153,-19.86587858701363,51.12288071955645,-10.142661775029383,49 days 00:00:00,15 days 21:20:00,0.9774674441529171,1.1734010524499383,1.2971632323499056,13.825759797119112,31 days 11:17:38.823529411,0
GRT6719-USD,true,8,46,18,50.0,3.385586800892848,11.734028683181226,351.1279452748691,72.54709613117129,0.3520208604954368,1,123.60436143965406,1.7668933883426698,0,0,1534,1535 days 00:00:00,1000.0,7320.3030149476435,632.0303014947643,-54.01400596392738,100.0,119.07058542412447,61.508772100205,720 days 00:00:00,18,0,0.0,116.60372413644072,-19.656045520712564,43.280200940156384,-9.063919091535746,47 days 05:20:00,13 days 02:40:00,0.953475431770773,0.9841825311696423,1.2844575211087208,12.701229897979763,30 days 04:00:00,0
GRT6719-USD,true,8,48,17,52.94117647058824,3.1737996335839833,11.08213820078227,350.5876790584889,72.43547087985309,0.3324641460234681,1,116.55783332453022,1.7449396114925284,0,0,1534,1535 days 00:00:00,1000.0,6959.9905439943095,595.999054399431,-54.01400596392738,100.0,110.61287723369304,57.52569147294911,720 days 00:00:00,17,0,0.0,106.08089337655893,-25.52805755246006,41.57828148033314,-10.17754118492198,47 days 10:40:00,14 days 06:00:00,0.9393105011495616,1.0190341650432893,1.2817402771927011,12.034157599742962,31 days 19:45:52.941176470,0
GRT6719-USD,true,9,43,18,44.44444444444444,2.3710864202391155,11.734028683181226,393.4787427193452,72.26423190437927,0.3520208604954368,1,138.51272559872646,1.8351390495536979,0,0,1534,1535 days 00:00:00,1000.0,8082.617368948215,708.2617368948215,-54.01400596392738,100.0,159.17933225469977,63.6099333432089,720 days 00:00:00,18,0,0.0,206.2710923361954,-23.795488807673244,62.19991483710238,-11.621803106995749,48 days 12:00:00,16 days 14:24:00,0.9783020717204858,1.0118281852815276,1.2901347741859217,14.112557090615086,30 days 18:40:00,0
