Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
XLE,false,56,84,false,26,48.0,2.756342197822875,0.003782720532607051,7.83201686295863,1.7311512682907269,0.0011164137355694323,0.16205174761688607,0.008743771203018431,0.6177395216539328,0,0,6609,6610 days 00:00:00,1000.0,3734.883180334666,273.4883180334666,304.5883024995825,100.0,110.43571494556322,33.550234711433404,984 days 00:00:00,25,1,32.01071903604725,129.41070070435123,-10.66419167480469,22.824636321836213,-6.007324176005291,286 days 00:00:00,52 days 00:00:00,108.11489845194473,0.4406493756927062,0.22496452033282344,1.0805494266679136,-0.3105529330220232,4.116348988151431,0.9840987107589233,0.4823951558645437,-0.019964572450686745,None,None,0.0002660706912273391,0.06704981418928946,2.7348831803346534,0.05151995872995552,0.18312624122300675,-0.10210498634023708,9572.559523809523,0.4835713024159073,0.13731890731879215,164 days 07:40:48
XLE,false,88,89,false,21,45.0,2.490591664838037,0.003026176426085641,11.85868261102459,1.9658895468635351,0.0009017187864214645,0.13027689514298682,0.010693196892570419,0.6622563482496735,0,0,6609,6610 days 00:00:00,1000.0,4303.668003775177,330.3668003775177,304.5883024995825,100.0,107.4717286268027,35.63323015349278,986 days 00:00:00,20,1,11.714429899917377,126.81025523180207,-11.258024397277174,34.907096395575046,-6.999110485425781,387 days 00:00:00,62 days 13:05:27.272727273,164.597678693763,0.4705130684235844,0.2355311238539737,1.0854585945685955,-0.28181747189104095,3.9272324193563155,0.9921341085068384,0.4904171364148816,-0.020256117038572576,None,None,0.00029058567460886996,0.07322759000143522,3.303668003775191,0.05721788976603026,0.18730493183526042,0.0846339063791543,9572.559523809523,0.4345937667667161,0.1370640329544712,208 days 13:12:00
XLE,false,56,85,false,26,48.0,2.7323972102018868,0.003782720532607051,7.84667473157532,1.7343911729398385,0.0011164137355694323,0.16205174761688607,0.008760135448876275,0.6126029531502951,0,0,6609,6610 days 00:00:00,1000.0,3683.6803772617363,268.3680377261736,304.5883024995825,100.0,110.33148585123716,33.55023471143339,984 days 00:00:00,25,1,31.571873036350098,134.50898434228694,-10.66419167480467,22.844589104739264,-5.997553920576011,286 days 08:00:00,51 days 20:18:27.692307692,106.08434016901543,0.4370319458195635,0.22252197905929832,1.0798025586497793,-0.30978637031386047,4.099799201426494,0.9844225093036828,0.4823951558645437,-0.019978336718878824,None,None,0.0002640792099139296,0.06654796089831026,2.683680377261764,0.05096671928701402,0.1832600204740063,-0.11891548190186496,9572.559523809523,0.4835713024159073,0.13524672990084702,164 days 09:36:00
XLE,false,57,83,false,26,48.0,2.71773679818158,0.003782720532607051,7.82275304736797,1.729103639130883,0.0011164137355694323,0.16205174761688607,0.008733428952049236,0.6105231878890329,0,0,6609,6610 days 00:00:00,1000.0,3661.972237514005,266.1972237514005,304.5883024995825,100.0,110.21797893725295,33.55023471143339,984 days 00:00:00,25,1,31.385818177681358,134.50898434228694,-10.664191674804679,22.80533670602233,-6.007324176005288,286 days 04:00:00,52 days 00:00:00,105.22345677345291,0.43555934075031744,0.22147673385292155,1.0795283876118005,-0.3096747593146568,4.100462117450354,0.9841725560700811,0.4823951558645437,-0.01997833671887878,None,None,0.0002631801980182816,0.06632140990060696,2.6619722375140227,0.05072992970107704,0.18325362746954765,-0.12604252505144914,9572.559523809523,0.4835713024159073,0.13365566842228727,164 days 09:36:00
XLE,false,61,76,false,26,48.0,2.627916409492694,0.003782720532607051,7.782427311556177,1.7201902327993024,0.0011164137355694323,0.16205174761688607,0.008688408746692005,0.6127872487659013,0,0,6609,6610 days 00:00:00,1000.0,3686.955089531107,268.69550895311073,304.5883024995825,100.0,111.37654850579572,34.863075040571026,986 days 00:00:00,25,1,31.599939749368332,129.41070070435123,-10.664191674804673,23.007636790402287,-6.271612207378693,285 days 22:00:00,52 days 03:41:32.307692308,106.21420599126957,0.4373435095903201,0.21429371235918535,1.07990956716855,-0.3134621219735716,4.11317841263215,0.9830589414884743,0.48272768057424864,-0.019978336718878886,None,None,0.00026416242044709063,0.06656892995266683,2.6869550895310845,0.051002322864589056,0.18318716945076033,-0.11784035451105661,9572.559523809523,0.4835713024159073,0.1290489701852826,164 days 08:38:24
XLE,false,60,79,false,26,48.0,2.6619234170498136,0.003782720532607051,7.7286029462469354,1.7082931544476558,0.0011164137355694323,0.16205174761688607,0.008628318485952462,0.6076301917558345,0,0,6609,6610 days 00:00:00,1000.0,3631.6634459729094,263.16634459729096,304.5883024995825,100.0,108.21422671302729,34.863075040571026,986 days 00:00:00,25,1,31.12604935399986,129.41070070435123,-10.664191674804671,22.840703537072596,-6.221028368361363,285 days 22:00:00,51 days 20:18:27.692307692,104.02149586475633,0.433622028255101,0.21172269960762666,1.0792427204437376,-0.3113157015022096,4.1168729218859585,0.9833211943363627,0.48173055368751405,-0.01997833671887885,None,None,0.0002618339173987543,0.06598214718448608,2.6316634459729067,0.05039705680654083,0.18313074810390625,-0.1359932655402888,9572.559523809523,0.4835713024159073,0.12872239199925176,164 days 04:48:00
XLE,false,69,87,false,24,47.82608695652174,2.582036870096352,0.003480102889998487,8.709473462330912,1.7646750430215519,0.0010305357559102454,0.14934180662732638,0.008975423818083408,0.6283843748410478,0,0,6609,6610 days 00:00:00,1000.0,3871.1497777814593,287.11497777814594,304.5883024995825,100.0,113.40926542598088,33.164314923906915,940 days 00:00:00,23,1,10.537130806587356,123.51462311065444,-14.463216948587746,25.425415070915157,-6.613473012204647,312 days 08:43:38.181818184,57 days 16:00:00,124.37446291195094,0.4476188153127197,0.23400564750355993,1.0816026494626085,-0.2960321818814867,4.031805986140858,0.9863735005293878,0.48472596585804145,-0.02015132058434185,None,None,0.0002726738860488153,0.06871381928430145,2.8711497777814525,0.05295750215549089,0.18474892359460465,-0.05736702485959878,9572.559523809523,0.4646002793338842,0.12858146608844673,179 days 11:28:41.739130437
XLE,false,59,81,false,26,48.0,2.6511055561063737,0.003782720532607051,7.764390811624986,1.7162035317645945,0.0011164137355694323,0.16205174761688607,0.008668272550427226,0.6049954337146416,0,0,6609,6610 days 00:00:00,1000.0,3607.395884647159,260.7395884647159,304.5883024995825,100.0,108.89374828718472,33.550234711433376,984 days 00:00:00,25,1,30.918058354072855,134.50898434228694,-10.664191674804673,22.844589104739267,-6.155792228172811,286 days 08:00:00,51 days 20:18:27.692307692,103.05911305172346,0.43172748169386327,0.2188228018256867,1.0787838045803888,-0.3099807934772444,4.093445292901821,0.9834937428089939,0.4823951558645437,-0.02000876292627653,None,None,0.0002609541932713419,0.06576045670437816,2.6073958846471554,0.050128601065286826,0.18331638649471305,-0.14396059755094073,9572.559523809523,0.4835713024159073,0.12823444820746513,164 days 09:36:00
XLE,false,64,73,false,26,48.0,2.6214232090033076,0.003782720532607051,7.76333241909449,1.715969589779589,0.0011164137355694323,0.16205174761688607,0.008667090946468557,0.6109631052643627,0,0,6609,6610 days 00:00:00,1000.0,3667.9133442476264,266.7913344247626,304.5883024995825,100.0,111.06482937494664,34.863075040571026,986 days 00:00:00,25,1,31.43673786893578,129.41070070435123,-10.664191674804666,22.96785576444044,-6.271612207378695,285 days 18:00:00,52 days 03:41:32.307692308,105.45906425514767,0.4360574936185734,0.21341242513317635,1.079684061169872,-0.31336377892862877,4.1145190034138786,0.9828086433150228,0.4823951558645437,-0.019978336718878876,None,None,0.000263371974002928,0.06636973744873785,2.667913344247588,0.05079486844059433,0.18317766017751844,-0.12409198831551212,9572.559523809523,0.4835713024159073,0.12803199463845655,164 days 06:43:12
XLE,false,65,72,false,26,48.0,2.6214232090033076,0.003782720532607051,7.76333241909449,1.715969589779589,0.0011164137355694323,0.16205174761688607,0.008667090946468557,0.6109631052643627,0,0,6609,6610 days 00:00:00,1000.0,3667.9133442476264,266.7913344247626,304.5883024995825,100.0,111.06482937494664,34.863075040571026,986 days 00:00:00,25,1,31.43673786893578,129.41070070435123,-10.664191674804666,22.96785576444044,-6.271612207378695,285 days 18:00:00,52 days 03:41:32.307692308,105.45906425514767,0.4360574936185734,0.21341242513317635,1.079684061169872,-0.31336377892862877,4.1145190034138786,0.9828086433150228,0.4823951558645437,-0.019978336718878876,None,None,0.000263371974002928,0.06636973744873785,2.667913344247588,0.05079486844059433,0.18317766017751844,-0.12409198831551212,9572.559523809523,0.4835713024159073,0.12803199463845655,164 days 06:43:12
XLE,false,67,89,false,24,47.82608695652174,2.6137281226400213,0.003480102889998487,8.617177686757692,1.7459744806471658,0.0010305357559102454,0.14934180662732638,0.008880309721235739,0.6216349407123514,0,0,6609,6610 days 00:00:00,1000.0,3798.5362532632184,279.85362532632183,304.5883024995825,100.0,111.40358338700415,33.164314923906915,1487 days 00:00:00,23,1,10.339479398065578,123.51462311065444,-14.463216948587746,25.031020933744667,-6.428845289647035,312 days 06:32:43.636363636,57 days 16:00:00,121.22594668978925,0.4431569864068843,0.23060989215151373,1.080759066415349,-0.3024204955604514,4.037454663513659,0.9851033751802571,0.48472596585804145,-0.020151320584341957,None,None,0.000269666455567029,0.0679559468028913,2.798536253263232,0.05219763779241382,0.1845508412273117,-0.08120691756800003,9572.559523809523,0.4646002793338842,0.12739709712146466,179 days 10:26:05.217391305
XLE,false,73,84,false,22,47.61904761904761,2.586021234261257,0.0031774852473899226,9.693401194212356,1.7854855763883506,0.0009446577762510581,0.1366318656377667,0.009156946816433996,0.6386242921067998,0,0,6609,6610 days 00:00:00,1000.0,3987.8146268150285,298.78146268150283,304.5883024995825,100.0,103.42777604200357,32.530152972384705,978 days 00:00:00,21,1,10.854688339972654,123.51462311065447,-13.65066315490495,28.245164227023555,-7.171837926525093,344 days 09:36:00,62 days 19:38:10.909090909,141.75999707024073,0.4545535897314629,0.24400322447458175,1.0828370711269661,-0.2906843672765344,4.000220814530355,0.9861730772659575,0.4860611510791366,-0.02016822673502547,None,None,0.0002774197980524744,0.06990978910922355,2.987814626815055,0.05415009542560001,0.18509686452266275,-0.019064552940563473,9572.559523809523,0.44482090170542754,0.1272873894745069,196 days 21:42:51.428571427
XLE,false,66,71,false,26,48.0,2.615074422609355,0.003782720532607051,7.749034993930228,1.7128093558143809,0.0011164137355694323,0.16205174761688607,0.008651129104631899,0.6097248475617824,0,0,6609,6610 days 00:00:00,1000.0,3655.017300179762,265.5017300179762,304.5883024995825,100.0,111.01063820776528,34.863075040571026,986 days 00:00:00,25,1,31.326209206216845,129.41070070435123,-10.664191674804675,22.938069462014894,-6.271612207378695,285 days 16:00:00,52 days 03:41:32.307692308,104.94764363894186,0.4351763415758031,0.21281311395681446,1.0795225630341148,-0.31323404832152113,4.114631333776501,0.9831186876375821,0.48206278026905836,-0.019978336718878876,None,None,0.0002628381899288281,0.06623522386206468,2.655017300179718,0.050653780498399525,0.18317655773440186,-0.12832591455694492,9572.559523809523,0.4835713024159073,0.12722831417767486,164 days 05:45:36
XLE,false,67,70,false,26,48.0,2.615074422609355,0.003782720532607051,7.749034993930228,1.7128093558143809,0.0011164137355694323,0.16205174761688607,0.008651129104631899,0.6097248475617824,0,0,6609,6610 days 00:00:00,1000.0,3655.017300179762,265.5017300179762,304.5883024995825,100.0,111.01063820776528,34.863075040571026,986 days 00:00:00,25,1,31.326209206216845,129.41070070435123,-10.664191674804675,22.938069462014894,-6.271612207378695,285 days 16:00:00,52 days 03:41:32.307692308,104.94764363894186,0.4351763415758031,0.21281311395681446,1.0795225630341148,-0.31323404832152113,4.114631333776501,0.9831186876375821,0.48206278026905836,-0.019978336718878876,None,None,0.0002628381899288281,0.06623522386206468,2.655017300179718,0.050653780498399525,0.18317655773440186,-0.12832591455694492,9572.559523809523,0.4835713024159073,0.12722831417767486,164 days 05:45:36
