Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
XMR-USD,SMA,15,16,false,201,0.5241609020280745,50.74626865671642,1.3410755791550888,1.8992716553904367,1.1519457132376605,11.235052169309995,7 days 04:39:24.179104477,0.07427937915742794,2.2283813747228383,4.4567627494456765,4.232301582411062,0,0,2706,2707 days 00:00:00,1000.0,9168.013541649168,816.8013541649168,66.75912312117104,100.0,1880.2497854764547,73.12564336950223,1019 days 00:00:00,201,0,0.0,139.2556040131093,-25.30139447187873,9.115328210457449,-5.535453280133152,9 days 04:00:00,5 days 03:52:43.636363636,40.6368832917869,0.7838641307692006,0.4761440318241544,1.1870972367312056,0.06780032721883118,25.215385982931323,1.275307232911491,0.4150548876110821,-0.04887876194210514,None,None,0.0014807571973811425,0.37315081374004794,8.168013541649175,0.22907988629788933,0.5729144327750897,2706
XMR-USD,SMA,7,9,false,209,0.4715799549076393,49.760765550239235,1.142532620741064,2.078656183667616,1.09761756449032,8.409760207071084,6 days 23:18:39.617224879,0.07723577235772358,2.317073170731707,4.634146341463414,4.816398474351792,0,0,2706,2707 days 00:00:00,1000.0,7281.873402045544,628.1873402045544,66.75912312117104,100.0,2733.2675436455343,63.59656501903286,1404 days 00:00:00,209,0,0.0,232.51812168517253,-37.70441527686803,10.284439321348977,-6.048976638416778,9 days 07:09:13.846153846,4 days 16:00:00,30.056810536103143,0.7363464443241357,0.48266181803296504,1.1664340708346692,0.2731522252257865,15.628401860532202,1.3059312752347503,0.4091618948464341,-0.0499577106181246,None,None,0.0013427497130890035,0.33837292769842886,6.281873402045546,0.2030063587751083,0.5530438622489904,2706
XMR-USD,SMA,12,21,false,64,0.4534994873695966,51.5625,1.501969629519105,4.901625105919224,1.0600057403129242,7.871077357399587,22 days 08:59:59.999999999,0.023651145602365115,0.7095343680709534,1.4190687361419068,3.477871472049116,0,0,2706,2707 days 00:00:00,1000.0,6922.253455200716,592.2253455200716,66.75912312117104,100.0,523.7296670790364,72.48769795635623,1429 days 00:00:00,64,0,0.0,116.52586643881176,-29.09536666027066,18.03665572219221,-9.080826840435893,29 days 19:38:10.909090909,14 days 10:50:19.354838709,92.53521023751111,0.7336975363880766,0.41118914755754316,1.1720332108446594,-0.4292958180756447,22.28973649775351,1.0845455323002724,0.40259067357512957,-0.048379437972284514,None,None,0.0013347450167180996,0.3363557442129611,5.9222534552007025,0.19734776069557713,0.5517317160618885,2706
XMR-USD,SMA,11,22,false,64,0.40358830024260617,50.0,1.5244162813817392,4.567448408905882,1.0395788986362355,6.735711242808949,22 days 08:15:00,0.023651145602365115,0.7095343680709534,1.4190687361419068,3.2407616205097165,0,0,2706,2707 days 00:00:00,1000.0,6164.292992885096,516.4292992885097,66.75912312117104,100.0,430.29208143431794,71.28006215069809,1202 days 00:00:00,64,0,0.0,75.40517837242973,-33.97547574632023,19.044650130437365,-9.9097533126256,32 days 08:15:00,12 days 08:15:00,80.69207801382959,0.7044714580565963,0.38990165075363653,1.161086329545456,0.17192769007289907,16.45825875939068,1.0917227306375485,0.39752194114610223,-0.04876590731493294,None,None,0.001253124244581777,0.31578730963460777,5.164292992885124,0.18449109704430589,0.5394825888664899,2706
XMR-USD,SMA,10,22,false,63,0.394785408936829,49.2063492063492,1.547236737677824,4.587049084872933,1.0356749366254803,6.667144234149623,22 days 18:17:08.571428570,0.02328159645232816,0.6984478935698447,1.3968957871396894,3.203814771030984,0,0,2706,2707 days 00:00:00,1000.0,6118.518259153713,511.85182591537136,66.75912312117104,100.0,418.6013528795788,73.64856538999467,1308 days 00:00:00,63,0,0.0,76.91252249370719,-33.97547574632023,19.039363542133017,-9.413630545597774,33 days 06:58:03.870967742,12 days 13:30:00,81.24632157386847,0.7029859329976659,0.375619640451362,1.1610093117003648,0.1603630926798952,16.448468920032838,1.0816112555453745,0.4011387163561077,-0.048474205949266914,None,None,0.0012510858092300895,0.31527362392598257,5.118518259153708,0.18366951019455646,0.5397431830690139,2706
XMR-USD,SMA,15,19,false,98,0.3519910677868063,49.48453608247423,1.3674107056544014,3.0963719744182927,0.9874666796203562,5.407946878153464,14 days 17:34:01.237113401,0.035846267553584624,1.0864745011086474,2.161862527716186,3.3641291961529123,0,0,2706,2707 days 00:00:00,1000.0,5277.889145925707,427.78891459257073,66.75912312117104,100.0,750.2045414501227,66.79984529109738,1429 days 00:00:00,97,1,-565.2724657415802,132.1165729184652,-28.299144440556667,13.32157741000786,-6.920155799220469,20 days 04:30:00,9 days 09:18:22.040816326,49.92950115120925,0.6724494331395514,0.3764224614843843,1.153145489033492,0.12485406460599335,16.18685780493763,1.130883993106208,0.40259067357512957,-0.04909099469112742,None,None,0.0012050532759771827,0.30367342554625004,4.2778891459257,0.16749561797358292,0.5434922035869744,2706
XMR-USD,SMA,13,21,false,67,0.35187969289291476,56.060606060606055,1.3897613093268757,4.111913355114069,0.9064271530193493,3.9837247648430045,21 days 11:59:59.999999999,0.024390243902439025,0.7427937915742794,1.47450110864745,3.0543037116700957,0,0,2706,2707 days 00:00:00,1000.0,4327.090951781834,332.70909517818336,66.75912312117104,100.0,439.53884509125317,81.05029649645563,1429 days 00:00:00,66,1,-463.4400807167367,128.595261726128,-29.09536666027066,14.924070606011187,-9.682907964996044,25 days 22:03:14.594594594,15 days 20:41:22.758620689,57.43228837119048,0.6396817166747452,0.26943458127008935,1.1467320589567944,-0.7254608315451325,21.643263007561416,1.0640847033563077,0.40259067357512957,-0.04852554602989373,None,None,0.0011456346406454505,0.28869992944265355,3.3270909517818135,0.1461059044362314,0.5431614032581907,2706
XMR-USD,SMA,10,23,false,61,0.345509372035571,49.18032786885246,1.4811614870886074,4.477139803313077,1.0026104965428853,5.725765445487988,23 days 09:02:57.049180327,0.02254249815225425,0.6762749445676275,1.352549889135255,3.0277774723070694,0,0,2706,2707 days 00:00:00,1000.0,5490.062034594504,449.00620345945043,66.75912312117104,100.0,393.7662143710552,69.09541982726824,1308 days 00:00:00,61,0,0.0,66.90018473125382,-24.00342263721757,19.296843998018836,-9.864509417369915,34 days 09:36:00,12 days 17:01:56.129032258,73.60757433761475,0.6805337024590807,0.37356734828074956,1.1560471971819108,0.16481466103101847,16.618042569088928,1.0822889775700477,0.3960804538421867,-0.04837943797228453,None,None,0.0012086001373782162,0.3045672346193105,4.4900620345945255,0.17178710235837058,0.5386165626761232,2706
XMR-USD,SMA,10,19,false,76,0.34064491819086784,46.05263157894737,1.3981636074274182,4.11249755099684,1.0016049177274695,5.963360185290784,18 days 23:03:09.473684210,0.028085735402808575,0.8425720620842572,1.6851441241685143,3.4650755418598647,0,0,2706,2707 days 00:00:00,1000.0,5648.678199468879,464.8678199468879,66.75912312117104,100.0,502.4739014293641,71.32046183613812,1429 days 00:00:00,76,0,0.0,120.80614271163836,-30.680164839611134,19.46266201548406,-8.991301382102009,28 days 19:53:08.571428571,10 days 12:52:40.975609756,61.16681841406418,0.6866605928945491,0.36870047389937677,1.1565247604072877,0.04971450236017575,15.526461731941415,1.0841496476870385,0.40696465696465695,-0.04941498822737902,None,None,0.0012474367199038138,0.3143540534157611,4.6486781994688755,0.17489815674074305,0.5509638470059036,2706
XMR-USD,SMA,9,23,false,61,0.3363268587997201,47.540983606557376,1.4490020664968941,4.592868068849302,1.018642648371819,6.099919865145889,23 days 06:41:18.688524589,0.02254249815225425,0.6762749445676275,1.352549889135255,3.1060415986674883,0,0,2706,2707 days 00:00:00,1000.0,5739.844244277226,473.98442442772256,66.75912312117104,100.0,446.43542337595886,69.07446008525773,1429 days 00:00:00,61,0,0.0,66.90018473125382,-24.00342263721757,20.212908593854113,-9.562793656936305,35 days 08:16:33.103448276,12 days 08:15:00,77.70236466028231,0.689590193119073,0.3846404062564401,1.1580892060476116,0.1890644153239394,16.53658848913559,1.0809840500313899,0.39464193714580104,-0.048379437972284445,None,None,0.0012248363321997904,0.3086587557143472,4.739844244277227,0.176650588837314,0.5386835162543221,2706
