Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Signal Entry
LTC-USD,false,24,25,45,34.090909090909086,1.546807862839133,0.011512297226582941,4800.219796918524,1652.9682496275905,0.3532182103610675,0.6985871271585558,1695.5250460073278,1.6990602219528814,0,0,3822,3823 days 00:00:00,1000.0,192939.46735781385,19193.946735781385,2095.7358914716765,100.0,11467.637721791372,72.45788840980664,1396 days 00:00:00,44,1,-19270.203706601314,1174.3671416392788,-20.847740386076076,140.79123276945666,-9.402029093039538,86 days 09:36:00,18 days 06:37:14.482758620,1.0052536030365402,0.90083058769185,1.2732391171703132,8.15857137050935,41 days 11:59:59.999999999,false
LTC-USD,false,23,26,45,34.090909090909086,1.5456323252956685,0.011512297226582941,4751.360058638022,1636.143270880861,0.3532182103610675,0.6985871271585558,1678.2668966931788,1.6970327508760341,0,0,3822,3823 days 00:00:00,1000.0,190984.8591601804,18998.485916018042,2095.7358914716765,100.0,11369.573721117118,72.47095544734078,1396 days 00:00:00,44,1,-19074.983419892757,1174.3671416392788,-20.847740386076076,140.7212544527517,-9.40363463811334,86 days 08:00:00,18 days 05:47:35.172413793,1.004073165515788,0.8984522043006098,1.27291567434761,8.065305410538562,41 days 10:54:32.727272726,false
LTC-USD,false,10,34,58,36.206896551724135,1.5745473000416192,0.015175300889586603,3377.5332494972263,1628.2873792342,0.4552590266875981,0.9105180533751962,1537.6524997711076,1.7132797213900641,0,0,3822,3823 days 00:00:00,1000.0,196896.92847083914,19589.692847083912,2095.7358914716765,100.0,13413.826455940753,67.46438627435492,1396 days 00:00:00,58,0,0.0,884.7697607753537,-23.474139155195466,81.8339304811583,-7.278728512777197,61 days 17:08:34.285714286,14 days 00:38:55.135135135,1.0069433852545155,0.9722607483804359,1.277792398763858,8.347405332323415,31 days 07:02:04.137931033,false
LTC-USD,false,22,27,45,34.090909090909086,1.5176685815060909,0.011512297226582941,4646.89647028627,1600.1709608423794,0.3532182103610675,0.6985871271585558,1641.368454967678,1.6925785004235632,0,0,3822,3823 days 00:00:00,1000.0,186805.8481107489,18580.58481107489,2095.7358914716765,100.0,11529.994068440368,71.82598624585042,1396 days 00:00:00,44,1,-18657.596581847174,1174.367141639279,-20.84774038607606,141.4911601564033,-9.631052918192957,82 days 19:12:00,20 days 01:39:18.620689655,1.0015398629578267,0.9016693452742655,1.2722307015013203,7.865899986103284,41 days 10:54:32.727272726,false
LTC-USD,false,17,35,46,35.55555555555556,1.5891454459429823,0.011773940345368918,4218.015043598089,1549.3168204217036,0.36106750392464676,0.7142857142857143,1522.988163308572,1.6818708678014556,0,0,3822,3823 days 00:00:00,1000.0,176886.9148375979,17588.691483759787,2095.7358914716765,100.0,9295.837458467675,75.00285142425422,1396 days 00:00:00,45,1,-13923.762124315981,1174.3671416392788,-19.120579303767204,131.6730895147886,-9.746045092972686,83 days 00:00:00,16 days 20:41:22.758620689,0.9955900884372377,0.8520644730920033,1.271474314866359,7.392608799293208,40 days 09:03:59.999999999,false
LTC-USD,false,21,29,44,34.883720930232556,1.5123217527294768,0.011250654107796965,4301.318722998771,1481.1703591593562,0.3453689167974882,0.6828885400313971,1485.5417881628407,1.672201876782918,0,0,3822,3823 days 00:00:00,1000.0,169070.46437381656,16807.046437381654,2095.7358914716765,100.0,10228.497014299415,75.53079718848016,1396 days 00:00:00,43,1,-16886.24071513058,1174.3671416392788,-20.847740386076076,140.43951836614943,-10.008375129512247,86 days 06:24:00,18 days 19:42:51.428571428,0.9901480323417543,0.8367650478849956,1.2692327634095162,7.019639547986812,42 days 08:22:19.534883720,false
LTC-USD,false,20,30,45,34.090909090909086,1.5076709397075414,0.011512297226582941,4294.126144998645,1478.6935761014615,0.3532182103610675,0.6985871271585558,1516.7635520010913,1.6765520483117422,0,0,3822,3823 days 00:00:00,1000.0,172693.45631424594,17169.345631424592,2095.7358914716765,100.0,10924.335008759257,75.41061017095764,1396 days 00:00:00,44,1,-17248.094065694546,1174.367141639279,-20.847740386076076,140.60884611712484,-9.658085452431413,86 days 08:00:00,18 days 03:18:37.241379310,0.9926106556541127,0.8424840390098677,1.2699056348817124,7.19251400011471,41 days 09:16:21.818181817,false
LTC-USD,false,17,31,47,36.17021276595745,1.5175222111673115,0.012297226582940869,3769.9202702464027,1471.272832740791,0.36891679748822603,0.7378335949764521,1390.7869128852506,1.683747151319436,0,0,3822,3823 days 00:00:00,1000.0,178186.25270158082,17718.62527015808,2095.7358914716765,100.0,10126.537453748633,70.11878161931126,1396 days 00:00:00,47,0,0.0,909.123448021645,-18.370824028626675,110.85829395616216,-9.447219217052004,74 days 05:38:49.411764706,19 days 01:36:00,0.9962374948684959,0.9130483245144628,1.2713158542123795,7.4546079218577646,39 days 00:30:38.297872340,false
LTC-USD,false,25,27,41,32.5,1.7132681536799232,0.010465724751439037,4871.270280984715,1453.7767137925,0.3218210361067504,0.6357927786499215,1567.677248982522,1.6862534099382966,0,0,3822,3823 days 00:00:00,1000.0,181559.26240695163,18055.926240695164,2095.7358914716765,100.0,7973.143899242588,76.34156514153148,1396 days 00:00:00,40,1,-14291.548832437024,1048.0384062509186,-19.296316219437536,152.10189505975313,-9.362339766839552,94 days 22:09:13.846153846,22 days 00:00:00,0.9984888096052487,0.8424737692298784,1.2718045957363908,7.615554237617153,45 days 16:48:00,false
LTC-USD,false,19,31,46,33.33333333333333,1.5191141952617027,0.011773940345368918,4183.398470296404,1440.5642115345743,0.36106750392464676,0.7142857142857143,1510.4892435921083,1.6754090302475242,0,0,3822,3823 days 00:00:00,1000.0,172067.36880278995,17106.736880278997,2095.7358914716765,100.0,10711.83975622439,74.93186017338073,1396 days 00:00:00,45,1,-17185.56236054818,1174.3671416392788,-18.370824028626668,140.68096298791266,-9.400464526563644,86 days 08:00:00,17 days 12:48:00,0.9921873682372742,0.8471101311286012,1.2696602082372133,7.162639648389202,40 days 11:11:59.999999999,false
LTC-USD,false,11,33,56,37.5,1.49960763101791,0.014652014652014652,2954.731681136398,1424.4574220354536,0.43956043956043955,0.8791208791208791,1298.7831565434717,1.6791111182576404,0,0,3822,3823 days 00:00:00,1000.0,166464.9741436383,16546.497414363832,2095.7358914716765,100.0,12054.68943686429,68.12011977409055,1396 days 00:00:00,56,0,0.0,884.7697607753535,-18.847789443504123,81.46630734215508,-8.03366878660023,61 days 19:25:42.857142857,14 days 21:56:34.285714285,0.987542853306757,0.9242455501624657,1.2716757087804753,6.895316142505189,32 days 11:59:59.999999999,false
LTC-USD,false,16,37,46,35.55555555555556,1.5763836704797587,0.011773940345368918,3840.992824504694,1410.832993390154,0.36106750392464676,0.7142857142857143,1386.8576917363887,1.663325579225057,0,0,3822,3823 days 00:00:00,1000.0,161158.9512874843,16015.895128748429,2095.7358914716765,100.0,8658.822052382537,75.3470276063269,1396 days 00:00:00,45,1,-12685.725815226848,1174.3671416392788,-19.20300087585282,131.2291719965853,-9.832173477143483,83 days 00:00:00,16 days 15:43:26.896551724,0.9847948620723906,0.8289178539185514,1.2684174608846714,6.642134294651831,40 days 05:51:59.999999999,false
LTC-USD,false,23,29,41,32.5,1.736003951381741,0.010465724751439037,4721.096252592192,1408.9589367240244,0.3218210361067504,0.6357927786499215,1519.3480875689158,1.6800375839648216,0,0,3822,3823 days 00:00:00,1000.0,175990.63889090187,17499.063889090186,2095.7358914716765,100.0,7576.982003541114,75.55971886270251,1396 days 00:00:00,40,1,-13853.211212785856,1048.0384062509186,-19.296316219437546,151.58063407493438,-9.408849579943695,94 days 18:27:41.538461539,21 days 23:06:40,0.994884928764531,0.8447330286629746,1.2708635307674714,7.349842153441347,45 days 15:00:00,false
LTC-USD,false,20,34,42,34.146341463414636,1.7573573212643192,0.010727367870225013,4374.983280154201,1406.101146055069,0.32967032967032966,0.65149136577708,1442.3021802706155,1.6684568466119352,0,0,3822,3823 days 00:00:00,1000.0,167212.11052461504,16621.211052461505,2095.7358914716765,100.0,7221.118899917421,76.49891910207155,1396 days 00:00:00,41,1,-13162.20396170707,1048.0384062509188,-19.296316219437543,138.52817252644581,-9.332815162239116,90 days 22:17:08.571428572,20 days 08:53:20,0.9889053095829551,0.823925456528825,1.2690437545306497,6.930966454360663,44 days 11:07:19.024390244,false
LTC-USD,false,16,32,48,35.41666666666667,1.5078029987588701,0.012558869701726845,3602.8550555716174,1406.0729096583448,0.3767660910518053,0.7535321821036106,1357.4336159139532,1.6788559905427667,0,0,3822,3823 days 00:00:00,1000.0,173937.04266743758,17293.704266743756,2095.7358914716765,100.0,10124.420139701795,70.4268143113476,1396 days 00:00:00,48,0,0.0,909.123448021645,-22.722506496447902,111.15697717420842,-9.294713875697717,74 days 02:49:24.705882354,18 days 13:09:40.645161290,0.9933974846888987,0.9036941979332845,1.2703311261120729,7.251852887149677,38 days 05:30:00,false
LTC-USD,false,16,38,45,34.090909090909086,1.6484021357022425,0.011512297226582941,4050.505326137266,1394.8021095513998,0.3532182103610675,0.6985871271585558,1430.712242356177,1.6688220404650262,0,0,3822,3823 days 00:00:00,1000.0,166144.0995296467,16514.40995296467,2095.7358914716765,100.0,8193.46186990651,77.64674337990391,1396 days 00:00:00,44,1,-13078.134820392967,1174.3671416392785,-19.120579303767197,140.53294636787868,-9.394806839768973,86 days 11:12:00,17 days 16:33:06.206896551,0.9882912659416924,0.8104615638256581,1.2694890227319662,6.880005309909471,41 days 03:16:21.818181817,false
LTC-USD,false,10,36,56,37.5,1.5421264649072106,0.014652014652014652,2844.084119348632,1371.1149335702771,0.43956043956043955,0.8791208791208791,1250.1468656477505,1.670287713217435,0,0,3822,3823 days 00:00:00,1000.0,160268.7106835232,15926.87106835232,2095.7358914716765,100.0,10952.110675237755,68.74553208609898,1396 days 00:00:00,56,0,0.0,884.7697607753535,-18.84778944350414,81.76622204945332,-8.222039393620518,62 days 00:00:00,14 days 15:46:17.142857142,0.9830528395722015,0.9072677145552847,1.270254983035327,6.599655630828599,32 days 09:51:25.714285713,false
