Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
38,46,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
39,45,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
34,51,0,4425,4426 days 00:00:00,1000.0,14302.857416296498,1330.2857416296497,5296.118853024271,100.0,163.09320591100206,73.14793467219768,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.70759149391006,-12.577474681420279,148 days 11:04:36.923076922,34 days 07:34:44.210526316,2.933323449129888,415.71429425926556,0.680227136582781,0.33538913511867235,1.1616235405684183,1.0647980265226158,0
36,47,0,4425,4426 days 00:00:00,1000.0,14176.099341101448,1317.6099341101449,5296.118853024271,100.0,158.77847379296185,72.30653748723866,2075 days 00:00:00,32,32,0,0.0,37.5,357.1212438421601,-21.368407411786446,74.3781912103688,-12.046714253241095,155 days 18:00:00,35 days 20:24:00,2.9581862453284087,411.7531044094203,0.6787041903014688,0.3380279987019134,1.1610220322326643,1.0622204430445727,0
40,44,0,4425,4426 days 00:00:00,1000.0,14042.598591993432,1304.2598591993433,5296.118853024271,100.0,163.40139124317724,75.73261065544857,2076 days 00:00:00,32,32,0,0.0,40.625,362.62830077374895,-21.368407411786443,68.71915001102327,-12.588048392293615,148 days 12:55:23.076923078,34 days 10:06:18.947368421,2.8524415426309435,407.58120599979475,0.6770180087940476,0.32145425936904587,1.1604941471225694,1.0594613166931326,0
41,43,0,4425,4426 days 00:00:00,1000.0,14042.598591993432,1304.2598591993433,5296.118853024271,100.0,163.40139124317724,75.73261065544857,2076 days 00:00:00,32,32,0,0.0,40.625,362.62830077374895,-21.368407411786443,68.71915001102327,-12.588048392293615,148 days 12:55:23.076923078,34 days 10:06:18.947368421,2.8524415426309435,407.58120599979475,0.6770180087940476,0.32145425936904587,1.1604941471225694,1.0594613166931326,0
36,48,0,4425,4426 days 00:00:00,1000.0,13988.933888551303,1298.8933888551303,5296.118853024271,100.0,158.69596679424814,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,37.5,362.62830077374895,-21.36840741178644,74.60060341495301,-12.038058149373967,156 days 00:00:00,35 days 12:00:00,2.9252416369080696,405.90418401722815,0.6766007631223081,0.32956694163529,1.160582005797868,1.0587978892295224,0
37,47,0,4425,4426 days 00:00:00,1000.0,13988.933888551303,1298.8933888551303,5296.118853024271,100.0,158.69596679424814,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,37.5,362.62830077374895,-21.36840741178644,74.60060341495301,-12.038058149373967,156 days 00:00:00,35 days 12:00:00,2.9252416369080696,405.90418401722815,0.6766007631223081,0.32956694163529,1.160582005797868,1.0587978892295224,0
2,40,0,4425,4426 days 00:00:00,1000.0,13985.46649062157,1298.5466490621568,5296.118853024271,100.0,1086.8231176552974,73.79915429154974,2068 days 00:00:00,128,128,0,0.0,27.34375,214.17681758343014,-41.05966189069066,28.120607823982013,-4.825854249476489,51 days 08:13:42.857142857,8 days 02:34:50.322580645,1.4677436612115533,101.44895695798095,0.6790449131739781,0.32930963432679433,1.167598956879209,1.0434516472518518,0
37,46,0,4425,4426 days 00:00:00,1000.0,13874.008944920217,1287.4008944920217,5296.118853024271,100.0,156.25893289533732,72.59351610749616,2075 days 00:00:00,32,32,0,0.0,37.5,357.12124384216014,-21.368407411786457,74.37819121036881,-12.142717000053102,155 days 18:00:00,35 days 19:12:00,2.934956549931345,402.3127795287568,0.6752327283760567,0.33364932190063207,1.1601817306192723,1.056768226915301,0
