Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
ALL,false,43,64,false,34,48.484848484848484,4.481144344019335,0.004119850187265918,11.56670650362651,3.4088654274824863,0.08913857677902622,0.17565543071161047,1.0310397557539734,1.0300918168808433,0,0,8010,8011 days 00:00:00,1000.0,18387.18174401031,1738.7181744010313,1305.6170004986798,100.0,418.09702088227897,41.64798536980257,2085 days 00:00:00,33,1,632.4275981711035,93.16702997275208,-16.520297029702956,29.86950570376554,-5.659457449445517,249 days 10:30:00,66 days 15:31:45.882352941,507.7198226011879,0.7108603381037959,0.3406257137483061,1.1426588340020396,-0.3467626987892848,11.935042308674031,1.0558965838879881,0.4898642365631394,-0.017157578298056225,None,None,0.000430740166667537,0.10854652200021933,17.387181744010437,0.09591667168559148,0.18377134360518324,0.33172145716311047,155 days 06:32:43.636363636
ALL,false,44,63,false,34,48.484848484848484,4.4712569458186255,0.004119850187265918,11.566131120415097,3.4086958542391153,0.08913857677902622,0.17565543071161047,1.0309884669134057,1.0302362842868735,0,0,8010,8011 days 00:00:00,1000.0,18397.185754108403,1739.7185754108402,1305.6170004986798,100.0,419.51405981546515,41.64798536980257,2085 days 00:00:00,33,1,632.7716863607166,93.16702997275208,-16.520297029702956,29.868318975891995,-5.659457449445513,249 days 13:30:00,66 days 14:07:03.529411765,508.012547507506,0.7109597861231648,0.34069366111588395,1.1426552455900458,-0.3467574111442038,11.933522652265685,1.0559261946913718,0.490141369047619,-0.017157578298056173,None,None,0.0004308115552689791,0.10856451192778273,17.397185754108435,0.09593542318036463,0.1837760909693768,0.332487685704426,155 days 07:16:21.818181818
ALL,false,50,56,false,34,48.484848484848484,4.83380088777102,0.004119850187265918,11.546401950683615,3.4028814000909535,0.08913857677902622,0.17565543071161047,1.0292298368025095,1.0213951126396072,0,0,8010,8011 days 00:00:00,1000.0,17838.710078570813,1683.8710078570812,1305.6170004986798,100.0,371.390759517431,43.538584219803035,2093 days 00:00:00,33,1,361.8669786701248,93.16702997275208,-18.143203883495126,29.957601068600788,-5.781785454414902,249 days 12:00:00,66 days 12:42:21.176470588,499.2982757545664,0.7049411325089365,0.32221840752984215,1.1414329064651672,-0.3462064583675424,11.968267988990092,1.0555652334104155,0.48931028072132365,-0.01715164738925557,None,None,0.000426869070555911,0.10757100578008957,16.838710078570823,0.09487319488524815,0.1836489878744035,0.28971283861494407,155 days 05:49:05.454545454
ALL,false,45,62,false,34,48.484848484848484,4.412433856891688,0.004119850187265918,11.505787806682156,3.3909118605068063,0.08913857677902622,0.17565543071161047,1.025609549809121,1.0237810773432308,0,0,8010,8011 days 00:00:00,1000.0,18007.775422924235,1700.7775422924233,1305.6170004986798,100.0,411.2599873184559,42.88311326632527,2086 days 00:00:00,33,1,619.3779078098487,93.16702997275208,-16.520297029702956,29.868318975891988,-5.7765944702212195,249 days 13:30:00,66 days 12:42:21.176470588,496.6181065186179,0.7066528973024605,0.32828659627251583,1.1417614029386822,-0.3470419374783884,11.944295904850923,1.055500765434962,0.4898642365631394,-0.017157578298056215,None,None,0.0004281121961167257,0.10788427342141488,17.007775422924293,0.09519812000963102,0.1837376506296644,0.3026619151273399,155 days 06:32:43.636363636
ALL,false,51,55,false,34,48.484848484848484,4.789289450852009,0.004119850187265918,11.501438300742594,3.3896300020608128,0.08913857677902622,0.17565543071161047,1.0252218410399765,1.0178846055586301,0,0,8010,8011 days 00:00:00,1000.0,17630.956670956817,1663.0956670956816,1305.6170004986798,100.0,368.0821776162768,43.538584219803035,2099 days 00:00:00,33,1,357.65259895373674,93.16702997275208,-18.143203883495126,29.9128099043361,-5.826911443816003,249 days 10:30:00,66 days 09:52:56.470588235,493.1304264243357,0.7025404544429437,0.3208208908309579,1.140946805431897,-0.34589623075964365,11.969960017747614,1.055918070122144,0.4887567366660473,-0.01715164738925555,None,None,0.00042540193322943107,0.10720128717381663,16.63095667095681,0.09446980628064328,0.18364318847244104,0.27380056054759017,155 days 03:38:10.909090908
ALL,false,52,54,false,34,48.484848484848484,4.789289450852009,0.004119850187265918,11.501438300742594,3.3896300020608128,0.08913857677902622,0.17565543071161047,1.0252218410399765,1.0178846055586301,0,0,8010,8011 days 00:00:00,1000.0,17630.956670956817,1663.0956670956816,1305.6170004986798,100.0,368.0821776162768,43.538584219803035,2099 days 00:00:00,33,1,357.65259895373674,93.16702997275208,-18.143203883495126,29.9128099043361,-5.826911443816003,249 days 10:30:00,66 days 09:52:56.470588235,493.1304264243357,0.7025404544429437,0.3208208908309579,1.140946805431897,-0.34589623075964365,11.969960017747614,1.055918070122144,0.4887567366660473,-0.01715164738925555,None,None,0.00042540193322943107,0.10720128717381663,16.63095667095681,0.09446980628064328,0.18364318847244104,0.27380056054759017,155 days 03:38:10.909090908
ALL,false,38,71,false,34,48.484848484848484,4.463844749812471,0.004119850187265918,11.372114277115031,3.3515164566925866,0.08913857677902622,0.17565543071161047,1.0136940816304785,1.0152359962889999,0,0,8010,8011 days 00:00:00,1000.0,17587.98358555328,1658.7983585553282,1305.6170004986798,100.0,391.0352250293776,41.64798536980256,2086 days 00:00:00,33,1,604.9391565571277,93.16702997275206,-16.520297029702963,29.452120770983854,-5.644362422996801,249 days 15:00:00,66 days 18:21:10.588235294,484.33467966655,0.7013655616182684,0.3350802232166102,1.140632106886244,-0.3516852693879563,11.919245223389856,1.0536897278630601,0.4906959434313361,-0.017163098452842016,None,None,0.00042529006190929105,0.10717309560114134,16.58798358555322,0.0943857923336151,0.18390244343364276,0.27050915997704605,155 days 10:10:54.545454545
ALL,false,31,73,false,37,47.22222222222222,4.001778995673788,0.0044943820224719105,10.680565130352928,3.3444392561429317,0.09700374531835206,0.19138576779026217,1.036054819760827,1.0229529373399209,0,0,8010,8011 days 00:00:00,1000.0,17899.740188179283,1689.9740188179283,1305.6170004986798,100.0,451.1736252439115,39.51377871378159,2788 days 00:00:00,36,1,615.662033078268,93.16702997275205,-18.143203883495133,28.828055022040054,-5.556662667472393,248 days 19:45:52.941176468,46 days 02:31:34.736842105,452.33550430836146,0.7044234186449722,0.3554881223543886,1.1416499714048165,-0.3082716665467169,11.99405296137548,1.0547664119371747,0.4882036039383243,-0.017145314138046014,None,None,0.00042760839092565025,0.10775731451326387,16.899740188179035,0.0949908307674383,0.1841022667032449,0.2943872653101511,141 days 19:59:59.999999998
ALL,false,39,70,false,34,48.484848484848484,4.280407209991281,0.004119850187265918,11.324124459174143,3.337373205871916,0.08913857677902622,0.17565543071161047,1.009416337559343,1.0105374838923227,0,0,8010,8011 days 00:00:00,1000.0,17333.95090030322,1633.395090030322,1305.6170004986798,100.0,389.95309630640753,41.64798536980256,2098 days 00:00:00,33,1,596.2016956875741,93.16702997275206,-16.520297029702963,29.44220915834428,-5.728190551809515,249 days 18:00:00,66 days 16:56:28.235294117,476.901491048959,0.6985693935068492,0.3332670799001366,1.1399393324542608,-0.3568914377151824,11.923613967178477,1.0522516914962416,0.4912509307520476,-0.017169760776106918,None,None,0.0004234208134232838,0.10670204498266751,16.33395090030327,0.09388505053913687,0.18382702163641823,0.2510522530010314,155 days 10:54:32.727272727
ALL,false,37,73,false,34,48.484848484848484,4.485737154321827,0.004119850187265918,11.174840258807743,3.2933771254544837,0.08913857677902622,0.17565543071161047,0.9961093564030872,0.9999122610763554,0,0,8010,8011 days 00:00:00,1000.0,16733.12610156399,1573.3126101563987,1305.6170004986798,100.0,369.9137785770999,42.15141730898413,2101 days 00:00:00,33,1,575.5363109821628,93.16702997275206,-16.520297029702963,29.05674599806531,-5.655188672258203,249 days 16:30:00,66 days 18:21:10.588235294,459.3209027449037,0.6919458540070776,0.32494782798988664,1.1384818527171403,-0.3671397038456342,11.95557594117322,1.050906325585053,0.4912509307520476,-0.017163098452841974,None,None,0.0004188393787910221,0.10554752345533756,15.733126101563894,0.09267185009632817,0.18357861876891474,0.205033795941285,155 days 10:54:32.727272727
