Metric Type,Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
Most Total Return [%],15,19,0,1658,1659 days 00:00:00,1000.0,801103.1393964078,80010.31393964078,18342.197041646657,100.0,11184.576278328956,66.24507674888491,723 days 00:00:00,24,23,1,131306.18035634526,30.434782608695656,1040.8291548459283,-26.90690849185604,320.19250028006473,-8.813957977913914,86 days 10:17:08.571428572,14 days 04:30:00,2.9157550836815145,29078.128653915766,1.9464055812945207,5.062382710648339,1.5195419113909852,3.4526451837946546,0
Most Omega Ratio,15,19,0,1658,1659 days 00:00:00,1000.0,801103.1393964078,80010.31393964078,18342.197041646657,100.0,11184.576278328956,66.24507674888491,723 days 00:00:00,24,23,1,131306.18035634526,30.434782608695656,1040.8291548459283,-26.90690849185604,320.19250028006473,-8.813957977913914,86 days 10:17:08.571428572,14 days 04:30:00,2.9157550836815145,29078.128653915766,1.9464055812945207,5.062382710648339,1.5195419113909852,3.4526451837946546,0
Most Sharpe Ratio,12,21,0,1658,1659 days 00:00:00,1000.0,742269.0869270681,74126.90869270681,18342.197041646657,100.0,12973.736338164366,64.58142379571794,575 days 00:00:00,29,28,1,117121.05756975082,32.142857142857146,1347.071872732516,-26.906908491856036,264.02194582432827,-8.25634413597209,68 days 05:20:00.000000001,10 days 21:28:25.263157894,2.7673028371719592,22291.00104847562,1.9653451598877345,5.08060487914065,1.5190923565224164,3.4429826659262535,0
Least Max Drawdown Duration,12,21,0,1658,1659 days 00:00:00,1000.0,742269.0869270681,74126.90869270681,18342.197041646657,100.0,12973.736338164366,64.58142379571794,575 days 00:00:00,29,28,1,117121.05756975082,32.142857142857146,1347.071872732516,-26.906908491856036,264.02194582432827,-8.25634413597209,68 days 05:20:00.000000001,10 days 21:28:25.263157894,2.7673028371719592,22291.00104847562,1.9653451598877345,5.08060487914065,1.5190923565224164,3.4429826659262535,0
Most Calmar Ratio,15,18,0,1658,1659 days 00:00:00,1000.0,687148.2689210653,68614.82689210652,18342.197041646657,100.0,12389.399702623166,62.48196389216278,575 days 00:00:00,29,28,1,108423.66115021345,35.714285714285715,1347.0718727325168,-26.90690849185605,238.30163080363747,-9.431065533597454,63 days 09:36:00,10 days 12:00:00,2.495387160497784,20633.02170610186,1.9488734431602837,5.135981010479803,1.514498830215539,3.412536480592801,0
Most Sortino Ratio,4,5,0,1658,1659 days 00:00:00,1000.0,640147.9521140945,63914.79521140945,18342.197041646657,100.0,34484.059793034634,63.84031512593115,713 days 00:00:00,98,97,1,104924.54506965226,38.144329896907216,453.79418955903833,-25.79606203267747,44.574234439608325,-6.533837400775417,16 days 00:38:55.135135135,3 days 23:36:00,1.7756139052463125,5507.4578045818835,1.95455462167256,4.924724400593871,1.5031334703748689,3.4957933989167156,0
Mean Total Trades,21,29,0,1658,1659 days 00:00:00,1000.0,595528.1146055828,59452.81146055828,18342.197041646657,100.0,5320.038469964674,62.101020816776064,733 days 00:00:00,15,14,1,92434.31661102001,42.857142857142854,1328.5878528889068,-35.95707011694426,437.0011177954674,-18.214344042877865,109 days 04:00:00,19 days 15:00:00,3.02246675437812,35863.84271389735,1.8727312440479953,4.957419089498433,1.4996892628072414,3.2864846499540894,0
Most Total Fees Paid,3,7,0,1658,1659 days 00:00:00,1000.0,584610.5670498163,58361.05670498162,18342.197041646657,100.0,34763.528235051475,67.12212278216782,717 days 00:00:00,95,94,1,95821.59497353318,37.234042553191486,453.79418955903833,-25.796062032677465,46.067363465875594,-6.417075152270268,16 days 21:15:25.714285714,4 days 05:17:17.288135593,1.658247833813469,5189.244383790249,1.9338106214896271,4.561891432651418,1.4937743746333338,3.4528125043204474,0
Mean Win Rate [%],20,31,0,1658,1659 days 00:00:00,1000.0,584000.6213888577,58300.06213888577,18342.197041646657,100.0,5249.91999111765,61.825586807003596,733 days 00:00:00,16,15,1,90645.08797244966,40.0,1328.5878528889068,-35.95707011694426,435.3240377269463,-16.296532233552224,109 days 08:00:00,17 days 05:20:00,2.9807773653186715,32823.702227760536,1.869000702385697,4.9511953218088935,1.4988522810258453,3.283720440337887,0
Most Avg Losing Trade Duration,8,27,0,1658,1659 days 00:00:00,1000.0,504773.435333811,50377.3435333811,18342.197041646657,100.0,8994.08787646851,72.56867527262642,724 days 00:00:00,29,28,1,79647.12477002421,32.142857142857146,1347.0718727325166,-26.6645375540777,280.279825894976,-10.5243923461338,71 days 10:40:00,9 days 22:44:12.631578947,2.5756753465823694,15147.36823442096,1.8704482112652046,4.041562341539108,1.48273034086366,3.2465079019451792,0
