Metric Type,Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
Median Win Rate [%],18,34,0,1658,1659 days 00:00:00,1000.0,504644.2054247669,50364.42054247669,18342.197041646657,100.0,4882.025714755905,65.594288090162,738 days 00:00:00,17,16,1,78327.85911550693,37.5,1328.5878528889064,-35.95707011694425,433.37589812250246,-15.783822789949047,109 days 12:00:00,15 days 14:24:00,2.8252308013577876,26582.271644328743,1.8384013287982321,4.470948291001161,1.4889025710842974,3.225456569103458,0
Median Profit Factor,11,100,0,1658,1659 days 00:00:00,1000.0,438470.38100668095,43747.0381006681,18342.197041646657,100.0,5239.181825807872,66.66061705190187,738 days 00:00:00,13,12,1,44479.885116007645,33.33333333333333,1097.8225837101916,-25.031456488128452,539.6510565199644,-10.455865831253982,178 days 12:00:00,20 days 18:00:00,2.7194847931240815,32749.20799088944,1.8086804872043802,4.219776275062788,1.4553211845405851,3.1432274163970275,0
Least Worst Trade [%],9,43,0,1658,1659 days 00:00:00,1000.0,435001.99379947095,43400.199379947095,18342.197041646657,100.0,5846.255943296795,65.944361954579,738 days 00:00:00,21,20,1,68638.03768208134,30.0,1157.4882765954428,-37.155625735795525,418.4187863893347,-12.638998672041776,109 days 04:00:00,12 days 01:42:51.428571428,2.458800621501021,18268.19780586948,1.806545648128007,4.255515505025934,1.4778659704732968,3.1548050215881434,0
Mean Best Trade [%],27,31,0,1658,1659 days 00:00:00,1000.0,432823.04662565194,43182.3046625652,18342.197041646657,100.0,4670.602509751784,66.53703017273894,738 days 00:00:00,14,13,1,48523.82985075604,38.46153846153847,1317.5240839697603,-30.499584391840628,493.1730997031364,-15.358668640058223,124 days 14:24:00,23 days 09:00:00,2.4691124229877897,29484.55513653045,1.8091510258660422,4.211293489975185,1.4806305807855524,3.213504322968088,0
Least Max Drawdown [%],25,79,0,1658,1659 days 00:00:00,1000.0,337404.50036354427,33640.45003635443,18342.197041646657,100.0,2114.100334649012,60.37462040161232,733 days 00:00:00,10,9,1,39473.742829068506,44.44444444444444,759.2437452396492,-17.71265859567165,439.415012422932,-12.247127899020214,174 days 18:00:00,32 days 19:12:00,3.9999419726449026,32992.306392719525,1.769508584801291,4.305363059088532,1.4462886577829719,3.0431588662654225,0
Median Total Trades,34,54,0,1658,1659 days 00:00:00,1000.0,335161.43562669837,33416.14356266984,18342.197041646657,100.0,3334.0575949082922,61.38163741843232,733 days 00:00:00,11,10,1,39211.321431381744,40.0,842.1116340915174,-22.188282478450876,474.0546780355754,-14.143669681765594,154 days 00:00:00,37 days 00:00:00,2.327762685260499,29495.011419531667,1.7678036374911588,4.2261309108394265,1.45427334889182,3.0437639673751744,0
Most Worst Trade [%],2,27,0,1658,1659 days 00:00:00,1000.0,334239.3077710259,33323.93077710259,18342.197041646657,100.0,12696.223969279976,68.52144718548584,733 days 00:00:00,66,65,1,54784.065459323465,21.53846153846154,606.2771255447574,-13.4400615548941,131.129742457194,-5.718882317890355,42 days 12:00:00,4 days 10:21:10.588235294,2.2353929470830867,4283.926804795423,1.796220265520247,3.7825973714881767,1.4586746463647264,3.133014990481797,0
Median Avg Winning Trade [%],44,60,0,1658,1659 days 00:00:00,1000.0,320274.5831515725,31927.45831515725,18342.197041646657,100.0,1826.6232726179173,65.99202382599601,733 days 00:00:00,8,7,1,45520.591719695134,57.14285714285714,801.4787329180377,-27.2601745738954,442.04436547234627,-20.952813921437226,174 days 18:00:00,63 days 08:00:00,3.2004178346648597,39107.71306169678,1.7575487268154786,3.8767127664649976,1.4361039671388391,3.01105523283628,0
Most Avg Losing Trade [%],2,12,0,1658,1659 days 00:00:00,1000.0,304337.3547004005,30333.73547004005,18342.197041646657,100.0,18702.22927916028,70.66954607859033,724 days 00:00:00,95,94,1,49882.93469374339,25.53191489361702,386.8438848315507,-25.796062032677465,65.11067079557313,-5.491857299015797,22 days 09:00:00,4 days 07:53:08.571428571,1.6644565043154966,2696.3236170920954,1.7841920246994636,3.563890718345509,1.4491182185139766,3.1522089666309636,0
Least Avg Losing Trade Duration,6,63,0,1658,1659 days 00:00:00,1000.0,297193.40052367083,29619.340052367086,18342.197041646657,100.0,4595.226776460693,70.51600414509778,733 days 00:00:00,21,20,1,46893.51339712049,30.0,1105.7717100574755,-32.63070197904504,377.5949144744055,-12.464455957950802,111 days 20:00:00,10 days 00:00:00,2.3833398721468075,12464.994356327517,1.7262227168221607,3.5456417460601948,1.453947866196181,3.0140359552895712,0
Median Best Trade [%],25,72,0,1658,1659 days 00:00:00,1000.0,277123.69274104276,27612.369274104276,18342.197041646657,100.0,2969.265900294333,70.93738410717798,761 days 00:00:00,14,13,1,32421.349944399437,30.76923076923077,898.2475557869069,-20.199179508359,479.1515867269486,-11.07960005494908,171 days 18:00:00,20 days 00:00:00,2.686859226047043,18746.334061280257,1.7240623731899072,3.449256657275885,1.4304468523199143,2.9497359110426262,0
Median Worst Trade [%],47,54,0,1658,1659 days 00:00:00,1000.0,268836.9084876907,26783.69084876907,18342.197041646657,100.0,1712.4052074464428,66.39630875027595,738 days 00:00:00,9,8,1,38209.76060614109,50.0,739.2288152647392,-27.260174573895412,432.95459107632024,-19.67970890252862,174 days 06:00:00,47 days 00:00:00,3.0193844614954832,28703.3934851937,1.7203090473512583,3.650604560157277,1.4266649122976962,2.942800739631976,0
Least Win Rate [%],2,60,0,1658,1659 days 00:00:00,1000.0,268783.34627720993,26778.334627720993,18342.197041646657,100.0,9328.446755060237,80.69144367015689,733 days 00:00:00,40,39,1,44055.39412771343,15.384615384615385,1347.0718727325166,-30.171804505288613,449.61595812776,-7.378150980479245,106 days 04:00:00,5 days 16:43:38.181818181,1.9425315391639177,5736.614157679396,1.7350654978176936,3.0036847398185307,1.4420218187146643,3.0039348382933264,0
Mean Avg Winning Trade [%],9,94,0,1658,1659 days 00:00:00,1000.0,266910.8798486611,26591.087984866106,18342.197041646657,100.0,3706.464706135671,76.6130935061467,774 days 00:00:00,16,15,1,27076.322110113222,26.666666666666668,1228.9347179450453,-26.277883202010067,562.0777294189812,-12.355971000266091,155 days 12:00:00,20 days 19:38:10.909090909,2.4019091402930712,15922.30384923652,1.7002940425653905,3.156712006408286,1.4316048951367086,2.942134587858589,0
Median Max Drawdown [%],4,18,0,1658,1659 days 00:00:00,1000.0,262200.9715215681,26120.097152156806,18342.197041646657,100.0,11741.542297612887,74.1668238428668,792 days 00:00:00,56,55,1,41372.132588137174,25.454545454545453,606.2771255447574,-22.973585129169223,135.73033533372373,-8.13072682269252,42 days 15:25:42.857142857,5 days 20:29:16.097560975,1.64681738318508,3996.887980607835,1.731143773553572,3.2428122440988596,1.4366309367966843,3.0072022139880823,0
Mean Worst Trade [%],15,98,0,1658,1659 days 00:00:00,1000.0,252607.92389790044,25160.792389790044,18342.197041646657,100.0,2238.547614607353,74.78364400188889,774 days 00:00:00,11,10,1,25625.382970168313,40.0,782.6529814660073,-28.06861770652942,450.7332034703051,-15.165888060370145,177 days 18:00:00,27 days 00:00:00,3.1299592098793063,22598.25409277322,1.7029261163306983,3.17887928926581,1.4214478988072359,2.909805617132413,0
Median Expectancy,24,47,0,1658,1659 days 00:00:00,1000.0,249310.73267686256,24831.073267686257,18342.197041646657,100.0,3183.500132477563,77.87940762961495,775 days 00:00:00,13,12,1,39338.209267864324,33.33333333333333,1027.0790282449361,-26.354655946958832,520.6609932298056,-16.430504859790805,150 days 06:00:00,27 days 21:00:00,1.9991244746641,17414.376950749847,1.6964798822560767,3.039999204634763,1.4403070664990083,2.9534951943900114,0
Median Avg Losing Trade [%],41,49,0,1658,1659 days 00:00:00,1000.0,240610.3582613933,23961.03582613933,18342.197041646657,100.0,3339.053763360809,70.79463835347997,761 days 00:00:00,12,11,1,28149.56941530615,36.36363636363637,903.8180588987318,-24.346570689837126,485.0200195802875,-16.190833630910376,157 days 12:00:00,32 days 03:25:42.857142857,2.0180810766679556,19223.708076917013,1.6997650222279193,3.3071973003298933,1.4283990710678072,2.906761044171413,0
Most Max Drawdown Duration,9,14,0,1658,1659 days 00:00:00,1000.0,239201.00265023706,23820.100265023706,18342.197041646657,100.0,10198.766100340838,84.43471984636726,836 days 00:00:00,45,44,1,24265.340552967187,25.0,606.2771255447575,-24.958814205654107,178.53087567127022,-9.630236629040288,50 days 10:54:32.727272727,8 days 11:38:10.909090909,1.598547433599398,4862.1741385743135,1.7047914007848093,2.767821739528773,1.4283441579190006,2.9618802465045544,0
Mean Total Fees Paid,20,63,0,1658,1659 days 00:00:00,1000.0,235910.34633565598,23491.0346335656,18342.197041646657,100.0,3007.6724856252426,76.82844648033421,774 days 00:00:00,13,12,1,23931.525496878807,33.33333333333333,867.3206851960931,-22.900872384298534,468.48774520307614,-13.952955907930113,151 days 18:00:00,26 days 18:00:00,2.3150613363318717,17581.568403231424,1.695181246888843,3.028628036631987,1.4365200285683886,2.912646981390829,0
Mean Expectancy,43,47,0,1658,1659 days 00:00:00,1000.0,228633.90656891477,22763.390656891475,18342.197041646657,100.0,3188.0024611050567,72.248343860792,773 days 00:00:00,12,11,1,26748.416278331773,36.36363636363637,903.8180588987318,-24.34657068983712,485.0200195802876,-16.8283665713832,157 days 12:00:00,32 days 00:00:00,1.9873431050007053,18262.317299143913,1.6886259152111573,3.188993506360335,1.4254851027581152,2.886989270284389,0
Mean Total Return [%],24,79,0,1658,1659 days 00:00:00,1000.0,228108.95190763797,22710.895190763797,18342.197041646657,100.0,2190.6182688369922,71.7086278019194,767 days 00:00:00,12,11,1,26687.000602862594,36.36363636363637,803.4120724373638,-26.1689570619141,445.2533777888487,-13.751846587248249,174 days 18:00:00,24 days 00:00:00,2.718024584217586,18220.17739134322,1.6824712025141182,3.2106658949163522,1.4183653960195521,2.877447123584278,0
Median Total Fees Paid,23,80,0,1658,1659 days 00:00:00,1000.0,224191.58915674477,22319.158915674478,18342.197041646657,100.0,2179.7350512206363,72.44147105701822,773 days 00:00:00,12,11,1,26228.699158660398,36.36363636363637,803.412072437364,-28.83248659987582,445.81274449510806,-14.034030589516004,175 days 00:00:00,23 days 20:34:17.142857143,2.680715067096766,17905.717272553124,1.6787946575526294,3.1608452730938206,1.4175148280159116,2.871099537918023,0
Median Sortino Ratio,32,80,0,1658,1659 days 00:00:00,1000.0,222185.44617855325,22118.544617855325,18342.197041646657,100.0,1395.5801153244613,68.53923729146958,760 days 00:00:00,9,8,1,26610.77450118703,50.0,678.0585342566732,-25.90979612252436,397.43900452356337,-17.41416112735553,177 days 00:00:00,45 days 12:00:00,3.423261503007037,24321.833959670777,1.6764235950766566,3.3313230245687664,1.4109512873073118,2.8570647967214393,0
Mean Calmar Ratio,34,56,0,1658,1659 days 00:00:00,1000.0,218354.77020838403,21735.477020838403,18342.197041646657,100.0,3062.511179672602,73.42613597386945,773 days 00:00:00,13,12,1,25545.836037809408,33.33333333333333,899.283113713677,-24.346570689837115,492.30958516996157,-16.02437077900252,155 days 18:00:00,27 days 21:00:00,1.982368446210919,15984.077847547882,1.678219720574628,3.0925292007942193,1.4241489156106408,2.864292663221817,0
Least Total Trades,97,100,0,1658,1659 days 00:00:00,1000.0,215972.826322414,21497.282632241404,18342.197041646657,100.0,555.1381592013728,75.87875521364845,774 days 00:00:00,5,4,1,19204.43306388668,75.0,2479.310750576186,-30.72464215747362,1024.0531813049902,-30.72464215747362,286 days 16:00:00,52 days 00:00:00,14.755744655122982,48942.098314631825,1.653343064819005,2.9821802736317484,1.3963520731968815,2.848018259141575,0
Most Win Rate [%],97,100,0,1658,1659 days 00:00:00,1000.0,215972.826322414,21497.282632241404,18342.197041646657,100.0,555.1381592013728,75.87875521364845,774 days 00:00:00,5,4,1,19204.43306388668,75.0,2479.310750576186,-30.72464215747362,1024.0531813049902,-30.72464215747362,286 days 16:00:00,52 days 00:00:00,14.755744655122982,48942.098314631825,1.653343064819005,2.9821802736317484,1.3963520731968815,2.848018259141575,0
Most Profit Factor,97,100,0,1658,1659 days 00:00:00,1000.0,215972.826322414,21497.282632241404,18342.197041646657,100.0,555.1381592013728,75.87875521364845,774 days 00:00:00,5,4,1,19204.43306388668,75.0,2479.310750576186,-30.72464215747362,1024.0531813049902,-30.72464215747362,286 days 16:00:00,52 days 00:00:00,14.755744655122982,48942.098314631825,1.653343064819005,2.9821802736317484,1.3963520731968815,2.848018259141575,0
Most Expectancy,97,100,0,1658,1659 days 00:00:00,1000.0,215972.826322414,21497.282632241404,18342.197041646657,100.0,555.1381592013728,75.87875521364845,774 days 00:00:00,5,4,1,19204.43306388668,75.0,2479.310750576186,-30.72464215747362,1024.0531813049902,-30.72464215747362,286 days 16:00:00,52 days 00:00:00,14.755744655122982,48942.098314631825,1.653343064819005,2.9821802736317484,1.3963520731968815,2.848018259141575,0
Median Total Return [%],26,51,0,1658,1659 days 00:00:00,1000.0,211458.47015185864,21045.847015185864,18342.197041646657,100.0,2834.904569393123,75.83213527926459,774 days 00:00:00,13,12,1,21451.04633422909,33.33333333333333,832.194772948316,-25.10952547876013,457.23202878029656,-14.329167160088735,151 days 06:00:00,27 days 06:00:00,2.126114939254263,15750.618651469125,1.6709817181004343,2.9640630518169315,1.4295828578654741,2.872415605290681,0
Mean Sortino Ratio,9,77,0,1658,1659 days 00:00:00,1000.0,211246.11530893788,21024.611530893788,18342.197041646657,100.0,4260.117464116758,74.68224287591327,774 days 00:00:00,19,18,1,21429.504356877616,22.22222222222222,976.1189640622717,-24.21058158521909,521.4614319841967,-10.855213676089559,151 days 06:00:00,16 days 00:00:00,1.9740210112078331,10489.811719558907,1.6530767349349789,3.008739923588341,1.424062182131393,2.853937252753409,0
Mean Sharpe Ratio,18,85,0,1658,1659 days 00:00:00,1000.0,207656.17997726428,20665.61799772643,18342.197041646657,100.0,2331.4252783945494,76.82939240415244,774 days 00:00:00,13,12,1,21065.329447821918,33.33333333333333,803.412072437364,-32.42090280508966,459.96385134915874,-14.448215771060008,172 days 18:00:00,21 days 18:00:00,2.387986565563477,15465.904210786857,1.66156593137201,2.908747425707263,1.4122268262546758,2.8363618355519677,0
Median Sharpe Ratio,35,57,0,1658,1659 days 00:00:00,1000.0,205497.68867455237,20449.768867455237,18342.197041646657,100.0,2408.311887481175,74.7718805849372,774 days 00:00:00,13,12,1,24041.655952920206,33.33333333333333,873.2496736076323,-24.346570689837126,479.7039162041071,-15.888960512521075,159 days 06:00:00,28 days 03:00:00,2.1254050195965712,15038.002726802672,1.6628957076210666,2.978853946237577,1.4148498361507167,2.8351922859654017,0
Most Max Drawdown [%],9,11,0,1658,1659 days 00:00:00,1000.0,195081.7744607052,19408.17744607052,18342.197041646657,100.0,8242.146388193185,85.42987217992781,835 days 00:00:00,52,51,1,19789.74017883974,23.52941176470588,640.780227426968,-24.9588142056541,162.50687948883927,-8.954819536474048,47 days 08:00:00,6 days 16:36:55.384615384,1.6278261127403881,3417.4908682718724,1.6651007882885298,2.564233577896852,1.4183639673506772,2.887166286529784,0
Mean Omega Ratio,6,38,0,1658,1659 days 00:00:00,1000.0,180591.3785142243,17959.13785142243,18342.197041646657,100.0,3939.509428690353,75.13906124449383,761 days 00:00:00,29,28,1,28495.128804472683,25.0,1040.8291548459283,-30.17180450528863,302.3558851666023,-11.201408687141104,89 days 20:34:17.142857143,9 days 05:42:51.428571428,2.1481981458529846,5396.294632491126,1.6421379931099787,2.843925723615824,1.416196378264146,2.798242497320717,0
Median Omega Ratio,9,73,0,1658,1659 days 00:00:00,1000.0,177016.24580169184,17601.624580169184,18342.197041646657,100.0,3446.119027988228,73.94157746509578,773 days 00:00:00,19,18,1,17957.113223586814,22.22222222222222,1049.7165807753663,-24.210581585219067,539.2341701391485,-12.304237827180113,145 days 06:00:00,17 days 01:42:51.428571428,1.9417499780965783,8781.062921005832,1.6178476820057754,2.8713608010960328,1.4170557850493333,2.7863002844046774,0
Most Avg Winning Trade [%],48,98,0,1658,1659 days 00:00:00,1000.0,174471.1388084918,17347.11388084918,18342.197041646657,100.0,1493.1203230577614,74.39023676674852,774 days 00:00:00,9,8,1,8244.819474280637,37.5,4650.5146996296635,-27.537377526146212,1746.3000826502625,-17.16572737575503,250 days 00:00:00,30 days 04:48:00,3.2896835120920818,20653.2899167764,1.6215959118718923,2.8406875905448192,1.3951712134443095,2.7640276079856316,0
Mean Profit Factor,35,87,0,1658,1659 days 00:00:00,1000.0,174218.60850802972,17321.860850802972,18342.197041646657,100.0,1134.9230976986082,74.6852585081168,774 days 00:00:00,9,8,1,20128.39218947006,50.0,670.9416017473746,-26.942554912473337,378.374843704193,-18.966970830738077,177 days 12:00:00,45 days 00:00:00,3.31388689128145,19136.277039819957,1.6236700392439547,2.828138137208123,1.397114013855346,2.765749037466691,0
Most Best Trade [%],50,98,0,1658,1659 days 00:00:00,1000.0,171465.05723569833,17046.505723569833,18342.197041646657,100.0,1107.6136952624124,75.76185423310379,774 days 00:00:00,8,7,1,8102.763888113783,42.857142857142854,4652.29355048843,-27.53737752614619,1732.8833608124296,-21.132977419274386,251 days 00:00:00,37 days 18:00:00,3.4873614629120797,23194.613335369213,1.6169521691721513,2.7735762626720217,1.39265403669879,2.754129943596763,0
Median Calmar Ratio,52,68,0,1658,1659 days 00:00:00,1000.0,170840.16996470743,16984.016996470742,18342.197041646657,100.0,1042.0016257059292,69.61865335248582,761 days 00:00:00,8,7,1,15191.210230366618,57.14285714285714,685.6922243119468,-26.163855262033675,381.0589446402296,-22.59840244891056,177 days 18:00:00,63 days 08:00:00,3.1843573165216768,22092.708533477256,1.6195511189642502,3.014741728637169,1.3944776225596147,2.760654990424926,0
Least Avg Losing Trade [%],88,100,0,1658,1659 days 00:00:00,1000.0,169251.7054758913,16825.17054758913,18342.197041646657,100.0,469.23191622236214,77.65320365618408,775 days 00:00:00,5,4,1,7998.169593508268,75.0,2377.979019035095,-32.90301017422223,971.5896825608664,-32.90301017422223,285 days 00:00:00,54 days 00:00:00,12.453196229567364,40063.38397059576,1.6009325475065521,2.6946220315237963,1.3825629754163968,2.7546503128726583,0
Most Avg Winning Trade Duration,2,93,0,1658,1659 days 00:00:00,1000.0,166474.22405107747,16547.422405107747,18342.197041646657,100.0,5232.840429287268,72.67265154857563,761 days 00:00:00,31,30,1,26267.613083126547,23.333333333333332,1040.8291548459283,-20.294361630642726,314.9090608506957,-8.914701094567757,97 days 03:25:42.857142857,7 days 06:15:39.130434782,1.8209242333407136,4640.220365598366,1.6000571952971883,2.8638323657175606,1.3986309602810325,2.7372813654016004,0
Mean Max Drawdown [%],6,73,0,1658,1659 days 00:00:00,1000.0,145060.65937255046,14406.065937255047,18342.197041646657,100.0,3692.7368261577963,73.60881582651375,773 days 00:00:00,23,22,1,14715.43288495249,22.727272727272727,1000.4222455333519,-32.63070197904506,416.56705733975707,-11.487257689771194,124 days 19:12:00,11 days 09:52:56.470588235,1.8072300614728765,5879.328476708997,1.576683823534537,2.7025059749654736,1.4041303381595207,2.717051347029993,0
Mean Avg Losing Trade [%],54,89,0,1658,1659 days 00:00:00,1000.0,140099.7900094208,13909.979000942081,18342.197041646657,100.0,1433.5489616018165,75.5227431903166,774 days 00:00:00,10,9,1,6620.564781663939,33.33333333333333,4650.5146996296635,-28.600633371005628,1732.9432230704442,-16.73087975987507,249 days 16:00:00,27 days 16:00:00,2.552315229853252,14719.91391419521,1.571939084361425,2.6038312245985495,1.3778631840233704,2.672067786727483,0
Least Avg Winning Trade Duration,2,4,0,1658,1659 days 00:00:00,1000.0,124370.19054089417,12337.019054089416,18342.197041646657,100.0,11546.528292842859,72.77754443045252,733 days 00:00:00,158,157,1,14369.142270877783,36.30573248407643,136.46689461085774,-20.294361630642737,25.670536839323464,-6.205563689591045,10 days 03:47:22.105263157,2 days 15:21:36,1.5431617966623572,694.274192802651,1.5859648350499642,2.5966348420116643,1.3863357278615693,2.738572060487178,0
Least Total Fees Paid,79,92,0,1658,1659 days 00:00:00,1000.0,95957.7852760217,9495.778527602171,18342.197041646657,100.0,326.2781349334336,80.49282078814913,777 days 00:00:00,9,8,1,4930.502768230552,37.5,2433.761746710311,-30.725284489426567,989.4687715613139,-16.5799538822415,276 days 08:00:00,18 days 14:24:00,8.340681699150966,11253.410313473894,1.4781349790423013,2.14862667500354,1.3494437468683071,2.4916489041288927,0
Most Total Trades,2,3,0,1658,1659 days 00:00:00,1000.0,85832.85586523509,8483.285586523509,18342.197041646657,100.0,9591.442755202792,61.67897073642751,584 days 00:00:00,187,186,1,9916.721298563687,35.483870967741936,149.0403659621818,-19.402762930368223,22.477906057235668,-5.797565304156073,8 days 14:54:32.727272727,2 days 08:12:00,1.4928658610799,402.7749170251151,1.5018132310718204,2.6967748381482277,1.3610888819030582,2.5697051059773295,0
Least Avg Winning Trade [%],2,3,0,1658,1659 days 00:00:00,1000.0,85832.85586523509,8483.285586523509,18342.197041646657,100.0,9591.442755202792,61.67897073642751,584 days 00:00:00,187,186,1,9916.721298563687,35.483870967741936,149.0403659621818,-19.402762930368223,22.477906057235668,-5.797565304156073,8 days 14:54:32.727272727,2 days 08:12:00,1.4928658610799,402.7749170251151,1.5018132310718204,2.6967748381482277,1.3610888819030582,2.5697051059773295,0
Least Best Trade [%],3,4,0,1658,1659 days 00:00:00,1000.0,77519.35476828732,7651.935476828731,18342.197041646657,100.0,6709.47509746877,77.80345875558675,738 days 00:00:00,137,136,1,13201.063118180078,34.55882352941176,135.38929658452534,-20.294361630642726,29.640907659738307,-6.682008040109051,12 days 00:00:00,3 days 04:02:41.797752809,1.4846191625739407,465.5756738978474,1.4684064409410722,2.0620060039017316,1.352399099101119,2.5303074840184023,0
Least Total Return [%],2,5,0,1658,1659 days 00:00:00,1000.0,55050.9193206037,5405.091932060371,18342.197041646657,100.0,5003.529607079197,80.3604574398304,761 days 00:00:00,150,149,1,9374.828555234948,32.88590604026846,136.46689461085774,-20.29436163064273,27.99412481118856,-6.29335276937214,11 days 06:51:25.714285714,2 days 20:52:48,1.4678514803239044,299.8395353380449,1.3927687412440382,1.7613149184461407,1.3315815341197936,2.370168685202995,0
Least Profit Factor,2,5,0,1658,1659 days 00:00:00,1000.0,55050.9193206037,5405.091932060371,18342.197041646657,100.0,5003.529607079197,80.3604574398304,761 days 00:00:00,150,149,1,9374.828555234948,32.88590604026846,136.46689461085774,-20.29436163064273,27.99412481118856,-6.29335276937214,11 days 06:51:25.714285714,2 days 20:52:48,1.4678514803239044,299.8395353380449,1.3927687412440382,1.7613149184461407,1.3315815341197936,2.370168685202995,0
