Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
LTC-USD,false,25,27,42,31.70731707317073,0.9153030059535786,0.010677083333333334,1.330138927678604,0.4092735162088012,0.328125,0.6484375,0.43645183564454193,0.21776317065510387,0,0,3840,3841 days 00:00:00,1000.0,754.4844116766776,-24.55155883233224,1736.0520591507952,100.0,103.14687713975894,78.68026820152835,2442 days 00:00:00,41,1,68.99255931884029,71.39715520850585,-40.075571148920034,27.144538462149676,-10.655117999040108,103 days 18:27:41.538461539,22 days 05:08:34.285714285,-7.67093043029665,0.15809388534051985,-0.033573847201605736,1.0387870981292555,-1.398944743215782,37.255690779178366,1.0805473834811845,0.34961349262122277,-0.027548985430986377,None,None,0.00018521284150169073,0.04667363605842607,-0.24551558832332276,-0.018313340049799343,0.3553061496996131,-1.014142178918495,48 days 01:45:21.951219511,false
LTC-USD,false,24,25,46,31.11111111111111,0.9334551788063876,0.01171875,1.2266492082552594,0.4064636429721569,0.359375,0.7109375,0.4408270592167338,0.2089185816230059,0,0,3840,3841 days 00:00:00,1000.0,746.7544853481372,-25.32455146518628,1736.0520591507952,100.0,135.06801114688116,80.03015763942733,1651 days 00:00:00,45,1,75.25884532097918,70.27187141545205,-40.07557114892002,27.36615283053563,-10.578287911484262,95 days 12:00:00,20 days 13:09:40.645161290,-7.300096888285353,0.15180295020523812,-0.034197461415277144,1.0372218155799975,-1.444646376867221,38.11833443157916,1.0851256343718427,0.3500878734622145,-0.027206181589418583,None,None,0.00017531108821306567,0.044178394229692546,-0.2532455146518646,-0.018976383208028635,0.3502481711572559,-1.0145874378200237,43 days 20:47:59.999999999,false
LTC-USD,false,14,24,68,28.35820895522388,0.9542789162048304,0.017447916666666667,0.9247531758804399,0.4034514429788371,0.53125,1.0546875,0.4912751246864837,0.21308974796206565,0,0,3840,3841 days 00:00:00,1000.0,736.1518800100861,-26.384811998991392,1736.0520591507952,100.0,232.07689059582927,80.680010895132,1837 days 00:00:00,67,1,68.94863374315307,54.83109963199135,-32.164047772635776,25.526000643101877,-8.813240613228045,68 days 01:15:47.368421053,14 days 06:00:00,-4.967115727359229,0.14979852288847031,-0.03555909999642922,1.0346473200887458,-0.3686074333133017,24.25671714698428,1.1511378064856352,0.3411312849162011,-0.029858135141226295,None,None,0.0001763567509264919,0.04444190123347596,-0.26384811998992075,-0.019896341734149114,0.35705182789835993,-1.0151981686608509,29 days 12:10:44.776119402,false
LTC-USD,false,23,26,46,31.11111111111111,0.931399128402323,0.01171875,1.201057833353107,0.39798366075605907,0.359375,0.7109375,0.4316301588612728,0.20497059183450048,0,0,3840,3841 days 00:00:00,1000.0,736.913230036213,-26.3086769963787,1736.0520591507952,100.0,134.25652223464587,80.04021121647918,1651 days 00:00:00,45,1,74.26703137701732,70.27187141545205,-40.075571148920034,27.36615283053563,-10.615436681503516,95 days 12:00:00,20 days 14:42:34.838709677,-7.496751140906738,0.1489454845375546,-0.03572413096712193,1.0364959220766694,-1.4439606619484462,38.0660781754275,1.086447532779158,0.3500878734622145,-0.027206181589418583,None,None,0.00017209121212288764,0.043366985454967685,-0.2630867699637922,-0.019829870241894865,0.35041126111451587,-1.0151543134076566,43 days 21:51:59.999999999,false
LTC-USD,false,23,29,42,31.70731707317073,0.9100203865234942,0.010677083333333334,1.2755151892152572,0.39246621206623294,0.328125,0.6484375,0.41852842146125624,0.2126655136283761,0,0,3840,3841 days 00:00:00,1000.0,739.7135061067287,-26.02864938932713,1736.0520591507952,100.0,100.78189366101508,78.48720229013333,2471 days 00:00:00,41,1,67.64185867750692,71.39715520850585,-40.075571148920034,27.09870190417251,-10.71382149987204,103 days 22:09:13.846153846,22 days 06:00:00,-7.998252501726284,0.1543427908188969,-0.035984837570659296,1.037788496796631,-1.3851391506590809,36.94657021356578,1.0805087060021143,0.3500878734622145,-0.0275972738686893,None,None,0.00018124818272726554,0.045674542047270915,-0.2602864938932715,-0.019585936223228018,0.3561508741107337,-1.0149930120195008,48 days 03:30:43.902439023,false
LTC-USD,false,22,27,46,31.11111111111111,0.9239746556092103,0.01171875,1.1372683280710092,0.37684630989335216,0.359375,0.7109375,0.40870580540051893,0.1923357964445748,0,0,3840,3841 days 00:00:00,1000.0,707.1360461196608,-29.28639538803392,1736.0520591507952,100.0,129.65878714733776,80.04021121647905,1651 days 00:00:00,45,1,71.26604976600572,70.27187141545205,-40.07557114892003,27.366152830535622,-10.708034350461396,95 days 12:00:00,20 days 14:42:34.838709677,-8.09177785880766,0.1398988077521873,-0.04047183437828445,1.034245520884902,-1.452622090109272,38.09659068684315,1.0840886785179074,0.3500878734622145,-0.02720618158941845,None,None,0.0001617522924826342,0.04076157770562382,-0.29286395388033826,-0.02247875687923162,0.3506575013083949,-1.016869537542762,43 days 21:51:59.999999999,false
LTC-USD,false,24,28,42,31.70731707317073,0.9036155115932758,0.010677083333333334,1.1937743960309168,0.3673151987787436,0.328125,0.6484375,0.3917072236976446,0.20252770269473494,0,0,3840,3841 days 00:00:00,1000.0,715.0961337294203,-28.49038662705797,1736.0520591507952,100.0,100.1587598881704,78.68026820152835,2471 days 00:00:00,41,1,65.39076442329838,71.39715520850585,-40.07557114892001,27.027532699492067,-10.800470530576046,103 days 20:18:27.692307692,22 days 06:00:00,-8.543771480338492,0.1470115783876329,-0.03986250341056189,1.0359553008280327,-1.3811251815944283,36.86789006055314,1.0796840672951455,0.34961349262122277,-0.027625675665763773,None,None,0.00017274547519204083,0.04353185974839429,-0.2849038662705776,-0.021760592600429063,0.35637057904942543,-1.0164110209004873,48 days 02:55:36.585365852,false
LTC-USD,false,20,26,49,31.25,0.9132433740372442,0.0125,1.0121272031649324,0.3593351017153606,0.3828125,0.7578125,0.3874549449615757,0.1763316828636469,0,0,3840,3841 days 00:00:00,1000.0,644.268438035312,-35.5731561964688,1736.0520591507952,100.0,128.43555723051335,81.16054809259012,1651 days 00:00:00,48,1,64.93017407278634,58.111742142165,-40.075571148920005,27.89695627693875,-11.208249648550439,88 days 19:12:00,19 days 21:49:05.454545454,-8.763786167447378,0.1276178431714616,-0.05041505522945425,1.0306667288522056,-1.2016654863136997,35.50978929259508,1.0968943098226287,0.3500878734622145,-0.028793561207362352,None,None,0.0001519806406563741,0.03829912144540627,-0.35573156196468714,-0.02843183811956662,0.3611798996834766,-1.0204908349429738,41 days 10:29:59.999999999,false
LTC-USD,false,17,35,47,28.26086956521739,0.9257777470460289,0.011979166666666667,1.1436568779956433,0.35189442399865944,0.3671875,0.7265625,0.41993650988902526,0.2217663826982988,0,0,3840,3841 days 00:00:00,1000.0,774.3677318951679,-22.563226810483204,1736.0520591507952,100.0,120.4331905058933,78.59475882160095,2376 days 00:00:00,46,1,78.04174263390802,71.65363172762599,-40.075571148920034,27.935159705879524,-9.41057150874649,100 days 18:27:41.538461539,20 days 08:43:38.181818181,-6.6016089291030795,0.1608303310927175,-0.030544579348174682,1.0394394548185741,-1.407756008067633,37.81704108341788,1.0904229716214875,0.3515130190007037,-0.027297935456592596,None,None,0.00018637573310588014,0.04696668474268179,-0.22563226810483594,-0.01663655395184016,0.3514536931774475,-1.0129968607171378,43 days 02:05:13.043478259,false
LTC-USD,false,17,30,50,30.612244897959183,0.9112165311783352,0.012760416666666666,0.9548392209968606,0.33899617313498004,0.390625,0.7734375,0.37298407070189865,0.17283158067695292,0,0,3840,3841 days 00:00:00,1000.0,644.2715477361598,-35.57284522638401,1736.0520591507952,100.0,130.34305288999997,79.99715809721029,1651 days 00:00:00,49,1,64.93048747230354,58.111742142165,-40.07557114892001,27.245853713076496,-10.644137760802979,89 days 00:00:00,19 days 04:14:07.058823529,-8.5848763211458,0.12522963589854677,-0.05114768601421089,1.030083854633465,-1.224055060867356,36.1702644650754,1.097375764735149,0.34961349262122277,-0.028341599717662546,None,None,0.00014800117910887677,0.037296297135436945,-0.3557284522638412,-0.02843153045301472,0.35843033662563245,-1.0204906558181124,40 days 13:13:28.163265305,false
