Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
CE,true,8,37,true,77,51.31578947368421,1.5792586624083582,0.014966522252855455,4.369440692879868,3.1388503780127994,0.3184324537219378,0.6327294210319023,1.3913717212262204,1.10016105969988,0,0,5078,5079 days 00:00:00,1000.0,10727.652064307436,972.7652064307437,257.5000047683657,100.0,1022.0055185773214,33.79753686664077,971 days 00:00:00,76,1,-10.727652064306312,95.18595941071852,-12.941232012763743,14.95324868105972,-6.786465024390786,59 days 11:41:32.307692308,18 days 01:17:50.270270270,128.13657521541765,0.7265318976565647,0.5501101806777514,1.1517532649475952,0.6957857667191362,11.654852605007763,1.1086831879863042,0.439625850340136,-0.022410391089706667,None,None,0.0005847808416222549,0.14736477208880822,9.727652064307428,0.1249405928790075,0.24410976480769897,2.7777288870568957,39 days 07:34:44.210526315
CE,true,8,38,false,77,50.649350649350644,1.6384539536470997,0.015163450177235131,4.360774942282996,3.1326252118076408,0.3184324537219378,0.6368649074438756,1.388612265000316,1.1142628633320915,0,0,5078,5079 days 00:00:00,1000.0,11075.71067975002,1007.571067975002,257.5000047683657,100.0,994.7812148584372,36.39618228166833,690 days 00:00:00,77,0,0.0,95.18595941071857,-13.451429763838421,14.87738136837184,-6.432584284492396,59 days 05:32:18.461538462,17 days 20:12:37.894736842,130.85338545129898,0.7359377945998817,0.518318257519728,1.153876382260619,0.6960579854543456,11.761751879032905,1.1056125696178003,0.4408510638297872,-0.022459613564127873,None,None,0.0005902339480126901,0.1487389548991979,10.075710679749992,0.1267241695024146,0.24323707960653487,2.9128972789004925,38 days 19:19:28.831168831
CE,true,10,39,false,68,50.0,1.5942375076832371,0.01339109885781804,4.892678167840881,3.0641196851462507,0.28121307601417883,0.5624261520283577,1.3758850775259508,1.0676335214529933,0,0,5078,5079 days 00:00:00,1000.0,10076.336033356096,907.6336033356096,257.5000047683657,100.0,823.858438918584,38.52276481239562,716 days 00:00:00,68,0,0.0,94.84893351831425,-14.363643255996772,17.02347559055006,-7.238119254868298,65 days 07:45:52.941176471,22 days 16:14:07.058823529,133.4755299022954,0.7067556347730505,0.46880738138869654,1.147579230616468,0.6764296708763773,11.50654025767471,1.0937403592572097,0.4416690320749362,-0.02294176156429671,None,None,0.0005750172017243983,0.14490433483454837,9.076336033356114,0.1214500387304851,0.24675062410272353,2.524790627293665,43 days 23:59:59.999999999
CE,true,9,36,false,77,50.0,1.5634994573750138,0.014966522252855455,4.366754579139636,3.0564869038000766,0.3184324537219378,0.6327294210319023,1.390516375436942,1.0784758519089386,0,0,5078,5079 days 00:00:00,1000.0,10344.479884293483,934.4479884293482,257.5000047683657,100.0,1061.767572020839,39.86983152202748,971 days 00:00:00,76,1,-196.80350632974114,96.42194403045026,-14.446590539805177,15.119413571788396,-6.385904413509123,60 days 10:06:18.947368421,18 days 13:53:41.052631578,125.54320250820021,0.7143568388158748,0.45856208582687275,1.1488266767317028,0.6639866113061076,11.504644999030557,1.101725518941292,0.4437180216031837,-0.022854452279308927,None,None,0.0005795081309725312,0.14603604900507786,9.344479884293458,0.12291233361109821,0.24603167861424366,2.6289241597099444,39 days 11:59:59.999999999
CE,true,11,39,false,68,51.470588235294116,1.5630768797269938,0.01339109885781804,4.73096651417648,3.0499876219594175,0.28121307601417883,0.5624261520283577,1.330409645971645,0.996506494901573,0,0,5078,5079 days 00:00:00,1000.0,8626.766875479596,762.6766875479597,257.5000047683657,100.0,726.4270140086064,44.26924588953216,1012 days 00:00:00,68,0,0.0,99.80661930389509,-27.295432907676325,16.28762087436504,-7.526091140568961,63 days 17:49:42.857142857,23 days 01:27:16.363636363,112.15833640411162,0.6659108516121492,0.3783507290260825,1.1389532711985257,0.5372259610750109,12.106172599565515,1.0883819869561184,0.4408510638297872,-0.023060405765896807,None,None,0.0005468812687933603,0.1378140797359268,7.626766875479584,0.11284095266040173,0.2490712836932429,1.961851158931146,43 days 23:59:59.999999999
CE,true,77,82,false,62,62.903225806451616,1.55820046097484,0.012209531311539977,4.255039585874542,2.964184880047434,0.2564001575423395,0.512800315084679,1.0909928201671237,0.9110974287120736,0,0,5078,5079 days 00:00:00,1000.0,7045.051462263251,604.5051462263251,257.5000047683657,100.0,672.3869467196795,41.80381947048926,2303 days 00:00:00,62,0,0.0,73.71554426504365,-17.090370884623653,10.903158271912016,-7.017857316536827,54 days 08:00:00,37 days 18:46:57.391304347,97.50083003650403,0.6280101545628193,0.36030762995301396,1.1279809807954302,0.05210424782415149,10.226468949201992,1.0657175890442034,0.4424879295654644,-0.023393232809739362,None,None,0.0005003289823183232,0.12608290354421745,6.0450514622632365,0.10171351499452741,0.2416215674247199,1.3475927574063855,48 days 04:38:42.580645160
CE,true,50,58,false,59,62.71186440677966,1.4931929621752684,0.011618747538400946,4.418487711437201,2.9291098311774704,0.24399369830641987,0.48798739661283974,1.078083157635032,0.8479264816945866,0,0,5078,5079 days 00:00:00,1000.0,6678.124191058108,567.8124191058108,257.5000047683657,100.0,616.5499017600879,46.13830709741837,971 days 00:00:00,59,0,0.0,72.19198451666837,-30.904539030814888,12.044626164694916,-8.407290596314411,58 days 20:06:29.189189189,34 days 20:43:38.181818182,96.23939306878148,0.6029852540300947,0.3168905795459999,1.1271112700260164,-0.8671625331934703,24.93229320190063,1.031679141967364,0.44289772727272725,-0.023096261092868813,None,None,0.0005019888570065232,0.12650119196564386,5.678124191058187,0.09879357625442853,0.2524841313774909,1.2050967323926336,49 days 21:33:33.559322034
CE,true,79,84,false,62,56.451612903225815,1.6160304406688628,0.012209531311539977,4.526281889717907,2.9180303212401326,0.2564001575423395,0.512800315084679,1.1605393896047096,0.9359418845884987,0,0,5078,5079 days 00:00:00,1000.0,7460.6350415886345,646.0635041588635,257.5000047683657,100.0,713.0316805778093,40.55306067668902,1331 days 00:00:00,62,0,0.0,81.19999636056777,-17.463924259195014,12.725271039489577,-6.10203737850463,57 days 21:15:25.714285714,36 days 01:46:40,104.20379099336517,0.6404334808981164,0.38313125215453575,1.1301211890361338,0.15178582924716957,10.245287078887893,1.0686622632088314,0.44453924914675763,-0.023530802584775842,None,None,0.000512562210449633,0.12916567703330753,6.460635041588656,0.10485097080197314,0.24272765401730534,1.5089844357091575,48 days 09:17:25.161290322
CE,true,78,82,false,66,60.60606060606061,1.600995172261172,0.012997243009058685,3.907240813613,2.8787922737984895,0.2729421031902324,0.5458842063804648,1.066450525338247,0.9201561543661441,0,0,5078,5079 days 00:00:00,1000.0,7216.530123225277,621.6530123225277,257.5000047683657,100.0,709.0902668448855,42.30170899317486,1054 days 00:00:00,66,0,0.0,73.71554426504365,-17.15887031746622,10.502469608670499,-6.239265024936998,52 days 21:36:00,33 days 16:36:55.384615384,94.18985035189814,0.6340121167783517,0.3607718072763827,1.1289715358216283,0.04789442026601005,10.25741206037812,1.0738643831418302,0.4420783645655878,-0.023241950326402812,None,None,0.000505036555435599,0.12726921196977095,6.2165301232252625,0.10302887142127704,0.24158610894311466,1.4141864109157436,45 days 07:59:59.999999999
CE,true,78,83,false,61,57.377049180327866,1.6733550349545723,0.012012603387160299,4.443248369601536,2.864499777786954,0.2522646711303663,0.5045293422607326,1.1208745887080678,0.9299903035763034,0,0,5078,5079 days 00:00:00,1000.0,7342.317050745827,634.2317050745828,257.5000047683657,100.0,662.3191465853212,38.75002851674184,1308 days 00:00:00,61,0,0.0,82.3611916058161,-17.158870317466203,12.092016114850589,-5.853169749002958,55 days 08:54:51.428571429,40 days 14:46:09.230769230,103.97241066796434,0.6368432922547755,0.39753489234257494,1.1296582144618394,0.13659900192859836,10.324455634171521,1.0730301034541097,0.4416690320749362,-0.023382734398306536,None,None,0.0005092165253730198,0.12832256439400097,6.342317050745818,0.10397498815249873,0.24250271932248116,1.4630357022521467,49 days 01:58:01.967213114
