Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
DOT-USD,SMA,14,18,false,65,1.3335235327482151,53.84615384615385,1.524708312339533,7.503087224897562,1.8646065711089055,49.17903552948221,12 days 00:22:09.230769230,0.0384387936132466,1.153163808397398,2.306327616794796,8.652288639000737,0,0,1691,1692 days 00:00:00,1000.0,13465.235011478437,1246.5235011478437,24.841519730196104,100.0,944.0472500390193,67.20799855120431,1113 days 00:00:00,65,0,0.0,234.4598766084188,-29.984447620899413,22.281863823471497,-9.738818806772027,14 days 20:34:17.142857143,8 days 16:48:00,191.7728463304373,1.1020697181142587,1.1192812351655153,1.2830976202374131,1.5987808635598815,20.46498121667058,1.4580654775425137,0.3055555555555556,-0.05023621061763002,None,None,0.002333023635912931,0.5879219562500586,12.46523501147841,0.4729255619689441,0.6420321439234635,1691
DOT-USD,SMA,15,19,false,64,1.2901894335093333,51.5625,1.3586322610692079,10.414845838854582,1.5690304487339637,26.365297879472223,12 days 01:52:29.999999998,0.03784742755765819,1.1354228267297457,2.2708456534594914,11.8252537023068,0,0,1691,1692 days 00:00:00,1000.0,7797.955871956028,679.7955871956028,24.841519730196104,100.0,639.8671085270197,75.26952561534038,1376 days 00:00:00,64,0,0.0,579.9557177226266,-38.89389660498323,29.31986337902876,-9.709850252298576,15 days 18:54:32.727272727,8 days 03:05:48.387096774,106.2180604993128,0.9482835190053116,0.7406285523944811,1.2400278709766117,1.4657867346517535,19.76230184186876,1.4349807063621087,0.29754601226993865,-0.052667967650456914,None,None,0.002032233566164567,0.512122858673471,6.7979558719560025,0.3578387558036735,0.6499532507599447,1691
DOT-USD,SMA,29,31,true,57,1.221355891926522,53.57142857142857,1.4500916034444389,9.435714076920329,1.6392858150091973,30.476173395005663,13 days 08:08:34.285714285,0.03311649911295092,1.0112359550561798,2.0047309284447072,9.54173333621157,0,0,1691,1692 days 00:00:00,1000.0,8819.159824231068,781.9159824231068,24.841519730196104,100.0,686.9460804852363,64.59640927406267,1067 days 00:00:00,56,1,-8.819159824230155,406.59003782856786,-41.47305860870491,25.562273591769692,-9.171854594059706,15 days 12:00:00,10 days 20:18:27.692307692,139.78533900098745,0.9810045302001186,0.927866610659188,1.2539649346630592,1.5638917733640405,20.69788515636224,1.4931408077595532,0.2769811320754717,-0.05175545524266703,None,None,0.0021065541901644012,0.5308516559214291,7.819159824231086,0.38295582639430115,0.6512508832821226,1691
DOT-USD,SMA,30,32,false,57,1.0886347261769134,54.385964912280706,1.2668677356018956,10.673987269271707,1.4493527587121071,16.671714552486943,13 days 01:41:03.157894736,0.033707865168539325,1.0112359550561798,2.0224719101123596,10.79391971049948,0,0,1691,1692 days 00:00:00,1000.0,5389.92245721998,438.992245721998,24.841519730196104,100.0,604.4824246878057,71.52198834683776,1250 days 00:00:00,57,0,0.0,584.9784933612727,-29.59125284665373,27.459527327877158,-9.339541262142484,16 days 04:38:42.580645161,9 days 08:18:27.692307692,77.01618345999981,0.840515404040414,0.6126715727016604,1.2120784849098154,2.188776273660973,18.6428080315279,1.4658469831278467,0.27313769751693007,-0.052045813118768325,None,None,0.0017554095020764636,0.44236319452326883,4.389922457219978,0.28516561782187044,0.6334020583795522,1691
DOT-USD,SMA,44,45,false,64,1.0024216786308626,50.0,1.2034801499769894,8.693921669276827,1.7182719982292256,31.15244695952508,11 days 07:07:30,0.03784742755765819,1.1354228267297457,2.2708456534594914,9.871277117097284,0,0,1691,1692 days 00:00:00,1000.0,8987.15645519126,798.7156455191259,24.841519730196104,100.0,1633.0831922248108,85.83767245993191,1250 days 00:00:00,64,0,0.0,371.4837268026381,-34.020194608304486,25.81002357014281,-8.422180231589156,12 days 20:15:00,9 days 18:00:00,124.79931961236332,0.9864685609238123,0.705858169205257,1.2555524119966923,2.1801191030716716,17.940623075854838,1.5436536736729853,0.26362957430918593,-0.05141306423695488,None,None,0.002050384154056078,0.5166968068221316,7.987156455191258,0.3868479648157723,0.6303745784723708,1691
DOT-USD,SMA,60,61,true,56,0.9460710216364399,52.72727272727272,1.2460504152195124,10.506070142146095,1.379586278036165,14.463033506799784,13 days 02:10:54.545454544,0.03252513305736251,0.9934949733885274,1.9692489651094027,10.437727876289438,0,0,1691,1692 days 00:00:00,1000.0,4841.252519478503,384.1252519478503,24.841519730196104,100.0,616.5407276283115,83.05145757465736,1250 days 00:00:00,55,1,-4.8412525194780756,551.8241491169879,-35.99633751647671,27.613248699727457,-8.57501363361773,15 days 22:20:41.379310344,9 days 22:09:13.846153846,69.92897767269056,0.808705274017206,0.48797465773352416,1.2088717599446268,1.9963164656053098,17.21284010458055,1.5023550773878294,0.25705794947994054,-0.05221363492699797,None,None,0.0017591193359177445,0.44329807265127164,3.8412525194785028,0.26477997813074494,0.6597079679843798,1691
DOT-USD,SMA,33,35,false,56,0.9165446605707123,53.57142857142857,1.4444901922080136,7.3082710094545345,1.622907915451418,23.696319921458507,13 days 03:51:25.714285713,0.03311649911295092,0.9934949733885274,1.9869899467770549,7.260730512054179,0,0,1691,1692 days 00:00:00,1000.0,7134.941185921466,613.4941185921466,24.841519730196104,100.0,557.3303192377814,77.16482517742776,1250 days 00:00:00,56,0,0.0,298.24023189131856,-34.96850421886455,20.490892506599735,-7.902446102636082,13 days 23:12:00,12 days 05:32:18.461538461,109.55252117716893,0.9230517639495449,0.6841169579816563,1.2359973302785061,2.285760337633439,18.665302283668446,1.494214042732232,0.26931732933233304,-0.05110877502303367,None,None,0.0018911170360470357,0.476561493083853,6.1349411859214555,0.33998734700262045,0.6213539349662153,1691
DOT-USD,SMA,58,59,false,54,0.7824945664117653,57.407407407407405,1.1261071631002402,11.128812774094117,1.1058122828310528,6.918635640874183,13 days 08:26:39.999999998,0.0319337670017741,0.9580130100532229,1.9160260201064458,10.661547424028663,0,0,1691,1692 days 00:00:00,1000.0,2967.1094350901008,196.7109435090101,24.841519730196104,100.0,467.3153537448281,81.59188994454067,1250 days 00:00:00,54,0,0.0,627.1293254855967,-44.84658952587577,27.90748766033576,-11.485922942144617,14 days 07:44:30.967741935,12 days 01:02:36.521739130,36.427952501668415,0.6867024566737,0.32407964964506064,1.174649379474565,1.2874043942507913,18.47798047284691,1.4263599607905413,0.2608047690014903,-0.05692783595329383,None,None,0.001525775995787112,0.38449555093835225,1.9671094350901064,0.17583816470262215,0.6738587618070354,1691
DOT-USD,SMA,42,43,false,68,0.7659752169793073,50.0,1.1975113238489072,6.995306395399607,1.5434605236015686,21.192894828869722,10 days 18:42:21.176470587,0.04021289178001183,1.2063867534003547,2.4127735068007095,8.439044971386869,0,0,1691,1692 days 00:00:00,1000.0,6513.052347615343,551.3052347615343,24.841519730196104,100.0,1255.7596394738382,81.4381436551907,1250 days 00:00:00,68,0,0.0,328.7379523134155,-31.036262660548687,22.22801418168698,-8.237401390887767,12 days 04:14:07.058823529,9 days 09:10:35.294117647,81.07429922963729,0.8947732548314711,0.6116707288410691,1.2261057835184797,2.1606799184840146,17.80030083527446,1.4944225616291706,0.27122464312546957,-0.05491416187473766,None,None,0.0018623346485969804,0.4693083314464391,5.513052347615354,0.3219102103163898,0.631235523945206,1691
DOT-USD,SMA,39,40,false,68,0.7551872547234945,51.470588235294116,1.4116016308459967,5.6026686377130055,1.550199662999472,20.25658365811295,10 days 17:59:59.999999999,0.04021289178001183,1.2063867534003547,2.4127735068007095,6.758985228228581,0,0,1691,1692 days 00:00:00,1000.0,6280.45842339577,528.045842339577,24.841519730196104,100.0,731.3569488609635,71.12406814447348,1250 days 00:00:00,68,0,0.0,268.5727863461038,-34.07759332252379,16.781732537461302,-6.253914286262457,13 days 05:29:08.571428571,8 days 02:54:32.727272727,77.65380034405533,0.8943998901004946,0.6839130537253367,1.2274673849969944,2.2644932451959296,19.78548343452111,1.5274383470608648,0.26646706586826346,-0.04983525839639351,None,None,0.001764030603806564,0.44453571215925414,5.280458423395777,0.3147699662332242,0.5981651141956711,1691
