Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
15,19,0,1658,1659 days 00:00:00,1000.0,801103.1393964078,80010.31393964078,18342.197041646657,100.0,11184.576278328956,66.24507674888491,723 days 00:00:00,24,23,1,131306.18035634526,30.434782608695656,1040.8291548459283,-26.90690849185604,320.19250028006473,-8.813957977913914,86 days 10:17:08.571428572,14 days 04:30:00,2.9157550836815145,29078.128653915766,1.9464055812945207,5.062382710648339,1.5195419113909852,3.4526451837946546,0
16,18,0,1658,1659 days 00:00:00,1000.0,788401.4357420643,78740.14357420642,18342.197041646657,100.0,11053.101289034139,66.24507674888491,723 days 00:00:00,24,23,1,129224.28589251044,30.434782608695656,1040.8291548459283,-26.90690849185604,320.19250028006473,-8.906509288066951,86 days 10:17:08.571428572,14 days 03:00:00,2.8947623370907656,28616.397819545826,1.942906243799945,5.039314418968972,1.5185853506711968,3.4463000922248015,0
12,21,0,1658,1659 days 00:00:00,1000.0,742269.0869270681,74126.90869270681,18342.197041646657,100.0,12973.736338164366,64.58142379571794,575 days 00:00:00,29,28,1,117121.05756975082,32.142857142857146,1347.071872732516,-26.906908491856036,264.02194582432827,-8.25634413597209,68 days 05:20:00.000000001,10 days 21:28:25.263157894,2.7673028371719592,22291.00104847562,1.9653451598877345,5.08060487914065,1.5190923565224164,3.4429826659262535,0
14,21,0,1658,1659 days 00:00:00,1000.0,733545.5850437145,73254.55850437145,18342.197041646657,100.0,10088.593658371457,66.2450767488849,723 days 00:00:00,23,22,1,120233.04385240888,36.36363636363637,1040.8291548459285,-26.906908491856036,278.8296393748917,-10.212302516234075,77 days 15:00:00,14 days 17:08:34.285714285,2.9064070092996674,27832.38823596843,1.9290209370937696,4.936225272735736,1.5164803284612534,3.4188082766815713,0
14,20,0,1658,1659 days 00:00:00,1000.0,721741.2346229786,72074.12346229787,18342.197041646657,100.0,10635.827490481624,66.24507674888491,724 days 00:00:00,25,24,1,113882.01149625215,29.166666666666668,1040.8291548459283,-26.90690849185604,320.27828876425025,-8.862348441142274,86 days 06:51:25.714285715,13 days 08:28:14.117647058,2.787103287236072,25285.800963613605,1.9235252931945448,4.913259578955952,1.5121220311179726,3.4095248885980256,0
13,20,0,1658,1659 days 00:00:00,1000.0,719700.2511561161,71870.02511561161,18342.197041646657,100.0,12691.317437148033,64.58142379571794,576 days 00:00:00,29,28,1,113559.96906402451,32.142857142857146,1347.071872732516,-26.906908491856036,264.02194582432827,-8.410490367728263,68 days 05:20:00.000000001,10 days 20:12:37.894736842,2.72999528809498,21612.152931860415,1.9584535770801812,5.035724341962613,1.517233445493222,3.430653071065918,0
12,22,0,1658,1659 days 00:00:00,1000.0,687277.6522986366,68627.76522986367,18342.197041646657,100.0,12228.637633464232,68.45100402293423,575 days 00:00:00,28,27,1,108444.0762776651,29.629629629629626,1347.071872732516,-26.90690849185604,312.0154784844246,-9.158523996907071,77 days 09:00:00,11 days 00:00:00,2.4889440347549088,21401.243556332272,1.9435688283150778,4.688369730554935,1.5089584214280756,3.397882581871517,0
15,18,0,1658,1659 days 00:00:00,1000.0,687148.2689210653,68614.82689210652,18342.197041646657,100.0,12389.399702623166,62.48196389216278,575 days 00:00:00,29,28,1,108423.66115021345,35.714285714285715,1347.0718727325168,-26.90690849185605,238.30163080363747,-9.431065533597454,63 days 09:36:00,10 days 12:00:00,2.495387160497784,20633.02170610186,1.9488734431602837,5.135981010479803,1.514498830215539,3.412536480592801,0
17,19,0,1658,1659 days 00:00:00,1000.0,685847.476080097,68484.74760800971,18342.197041646657,100.0,9608.569880576373,66.24507674888491,715 days 00:00:00,20,19,1,112415.00371471536,36.84210526315789,1040.8291548459283,-26.11037769915455,311.613423069424,-10.72349738979496,90 days 10:17:08.571428572,16 days 12:00:00,2.702597862629053,30128.02486133587,1.9112425405828515,4.841578622526656,1.5071086575393193,3.3780513862492483,0
14,19,0,1658,1659 days 00:00:00,1000.0,683336.8703888046,68233.68703888047,18342.197041646657,100.0,12374.899192456383,62.66073411197366,575 days 00:00:00,29,28,1,107822.26869728754,35.714285714285715,1347.071872732516,-26.906908491856058,237.9561514845902,-9.312424416135286,63 days 04:48:00,10 days 09:20:00,2.5010982458120083,20518.3786318399,1.947695609010127,5.1131130476791835,1.5148292007689947,3.4103576583165265,0
6,28,0,1658,1659 days 00:00:00,1000.0,682887.3218784031,68188.73218784032,18342.197041646657,100.0,14188.048613785464,63.09335458717832,733 days 00:00:00,34,33,1,107751.33539574698,30.303030303030305,1638.6150928421557,-26.664537554077704,277.348246906138,-9.260481892704595,63 days 21:36:00,8 days 01:02:36.521739130,2.552326200588415,17398.060196444123,1.9325343689679777,5.0770886449646575,1.5043847191638098,3.3831664940913124,0
16,17,0,1658,1659 days 00:00:00,1000.0,675444.5058416036,67444.45058416035,18342.197041646657,100.0,12046.323186287289,64.74059338531934,575 days 00:00:00,29,28,1,106576.94931274862,32.142857142857146,1347.0718727325163,-26.90690849185604,264.35077202092424,-8.836355542552836,68 days 08:00:00,10 days 22:44:12.631578947,2.536443539800754,20280.984161744826,1.945204842270853,4.932273651147117,1.5134239976541946,3.405407396694634,0
6,26,0,1658,1659 days 00:00:00,1000.0,672221.8383528774,67122.18383528774,18342.197041646657,100.0,17282.47681020464,64.49671727518736,733 days 00:00:00,37,36,1,106068.45147669048,30.555555555555557,1638.6150928421557,-26.664537554077693,255.34242283758607,-8.704471231281664,57 days 15:16:21.818181818,7 days 11:31:12,2.2533366882222903,15698.705191005201,1.9312774434478472,4.944086294375701,1.504190101925708,3.38550449427998,0
11,23,0,1658,1659 days 00:00:00,1000.0,651649.867309498,65064.98673094981,18342.197041646657,100.0,11858.99363072986,68.77256429819613,576 days 00:00:00,30,29,1,102822.44400132913,31.03448275862069,1347.0718727325166,-26.906908491856036,265.1979432828775,-8.981462898277465,68 days 10:40:00,10 days 09:36:00,2.641115258997002,18890.60080372996,1.931114620471914,4.595186260309127,1.505555776026493,3.373971780539751,0
16,19,0,1658,1659 days 00:00:00,1000.0,649808.7770571128,64880.87770571128,18342.197041646657,100.0,9029.761806512852,66.24507674888491,723 days 00:00:00,22,21,1,106508.01910685911,33.33333333333333,1040.8291548459283,-26.110377699154547,317.2527898425489,-10.395304809207813,87 days 17:08:34.285714285,15 days 05:08:34.285714285,2.658736728703878,25823.845616678736,1.9023096033935973,4.766601159457709,1.5073788340725025,3.3677289913974304,0
17,18,0,1658,1659 days 00:00:00,1000.0,649808.7770571128,64880.87770571128,18342.197041646657,100.0,9029.761806512852,66.24507674888491,723 days 00:00:00,22,21,1,106508.01910685911,33.33333333333333,1040.8291548459283,-26.110377699154547,317.2527898425489,-10.395304809207813,87 days 17:08:34.285714285,15 days 05:08:34.285714285,2.658736728703878,25823.845616678736,1.9023096033935973,4.766601159457709,1.5073788340725025,3.3677289913974304,0
