Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Win Rate [%],CSCO,SMA,30,65,0,true,false,1,69,1.2404470247331516,54.41176470588235,1.3159671995984272,11.3545193423293,1.138454301779549,-0.850185926853838,79 days 17:59:59.999999999,0.0052833609279180115,0.16306549628629305,0.32376772451046587,1.851530331649241,0,8886,8887 days 00:00:00,1000.0,124665.8706278229,12366.58706278229,82546.23082517195,100.0,16042.01291776646,51.75920065713442,4419 days 00:00:00,68,-124.66587062781036,228.30102301790288,-19.56444383160453,27.931984817076682,-8.431487837207891,117 days 14:16:12.972972974,34 days 13:56:07.741935483,1820.4490661536856,0.7718459439340568,0.42349943153074737,1.1583769660957994,0.1239021988932635,9.373041577117046,1.0711247555936063,1.0814584949573312,-0.0259553306578259,0.0006881380340830941,0.17341078458893971,123.6658706278227,0.14663995808097452,0.27039063066739255,5424,136,12870.595238095239,,
Median Worst Trade [%],CSCO,SMA,30,69,0,true,false,1,65,1.2085838295981624,53.125,1.2951626309058222,11.908656166174422,1.1067926692217178,-0.8719977619892222,85 days 01:30:00,0.004972574990981658,0.15361242403781228,0.3048615800135044,1.8293175407188933,0,8886,8887 days 00:00:00,1000.0,106661.02284976265,10566.102284976265,82546.23082517195,100.0,13717.579421907143,55.12518170559628,4419 days 00:00:00,64,-106.66102284974477,228.30102301790288,-19.160156239556798,30.047878486444667,-8.649129130131856,127 days 01:24:42.352941176,37 days 11:12:00,1652.6200605095692,0.7505598671167075,0.38351668788376914,1.1534359471298312,0.13053686038887283,9.272958827561505,1.0720218010945104,1.0759444872783344,-0.02606185309055581,0.0006716467496594241,0.16925498091417487,105.66102284976212,0.14157955680184275,0.2713952743624629,5445,128,12870.595238095239,,
Most Expectancy,CSCO,SMA,28,71,0,true,false,1,63,1.1993837983049838,51.61290322580645,1.3695388952361378,12.8496094318722,1.1631879063312842,-0.8254014977421887,87 days 20:54:11.612903226,0.004817182022513481,0.1488858879135719,0.29540850776502364,1.9131255096069006,0,8886,8887 days 00:00:00,1000.0,145124.48269102597,14412.448269102597,82546.23082517195,100.0,14732.943224726509,57.25648322456007,2456 days 00:00:00,62,-145.12448269099696,230.27255574614065,-18.384202734581784,32.80193120275239,-8.432867123733343,134 days 03:00:00,38 days 12:48:00,2326.9291479631756,0.7885199927800414,0.3961694622490512,1.1617857094095518,0.12166421695804454,9.220621901125963,1.0702184334539488,1.0855594270228417,-0.026140626135574645,0.0007068264728178214,0.178120271150091,144.12448269102478,0.15159129758326406,0.27186093120644067,5449,124,12870.595238095239,,
Most Omega Ratio,CSCO,SMA,28,71,0,true,false,1,63,1.1993837983049838,51.61290322580645,1.3695388952361378,12.8496094318722,1.1631879063312842,-0.8254014977421887,87 days 20:54:11.612903226,0.004817182022513481,0.1488858879135719,0.29540850776502364,1.9131255096069006,0,8886,8887 days 00:00:00,1000.0,145124.48269102597,14412.448269102597,82546.23082517195,100.0,14732.943224726509,57.25648322456007,2456 days 00:00:00,62,-145.12448269099696,230.27255574614065,-18.384202734581784,32.80193120275239,-8.432867123733343,134 days 03:00:00,38 days 12:48:00,2326.9291479631756,0.7885199927800414,0.3961694622490512,1.1617857094095518,0.12166421695804454,9.220621901125963,1.0702184334539488,1.0855594270228417,-0.026140626135574645,0.0007068264728178214,0.178120271150091,144.12448269102478,0.15159129758326406,0.27186093120644067,5449,124,12870.595238095239,,
Mean Total Return [%],CSCO,SMA,31,66,0,true,false,1,67,1.1928843770019226,53.03030303030303,1.2717485149232899,10.956112500885116,1.0591719181294534,-0.8997065508690103,82 days 06:10:54.545454544,0.0051279679594498345,0.15833896016205265,0.31431465226198513,1.7347794608086153,0,8886,8887 days 00:00:00,1000.0,83788.46202219317,8278.846202219318,82546.23082517195,100.0,11206.854757816753,57.17438779656051,4419 days 00:00:00,66,-83.78846202218847,222.52512562814064,-18.77522737113883,28.732120929075975,-9.11357443416908,124 days 06:51:25.714285714,34 days 19:21:17.419354838,1255.6401588517465,0.7206890257209092,0.34887103947329934,1.1469969309730426,0.1099570605820466,9.298580874417889,1.0658337142339318,1.0761499806725938,-0.026064007207510516,0.0006441782195096827,0.16233291131644004,82.78846202219258,0.1337932341889243,0.2710845899391423,5430,132,12870.595238095239,,
Mean Best Trade [%],CSCO,SMA,31,66,0,true,false,1,67,1.1928843770019226,53.03030303030303,1.2717485149232899,10.956112500885116,1.0591719181294534,-0.8997065508690103,82 days 06:10:54.545454544,0.0051279679594498345,0.15833896016205265,0.31431465226198513,1.7347794608086153,0,8886,8887 days 00:00:00,1000.0,83788.46202219317,8278.846202219318,82546.23082517195,100.0,11206.854757816753,57.17438779656051,4419 days 00:00:00,66,-83.78846202218847,222.52512562814064,-18.77522737113883,28.732120929075975,-9.11357443416908,124 days 06:51:25.714285714,34 days 19:21:17.419354838,1255.6401588517465,0.7206890257209092,0.34887103947329934,1.1469969309730426,0.1099570605820466,9.298580874417889,1.0658337142339318,1.0761499806725938,-0.026064007207510516,0.0006441782195096827,0.16233291131644004,82.78846202219258,0.1337932341889243,0.2710845899391423,5430,132,12870.595238095239,,
Mean Avg Winning Trade [%],CSCO,SMA,31,66,0,true,false,1,67,1.1928843770019226,53.03030303030303,1.2717485149232899,10.956112500885116,1.0591719181294534,-0.8997065508690103,82 days 06:10:54.545454544,0.0051279679594498345,0.15833896016205265,0.31431465226198513,1.7347794608086153,0,8886,8887 days 00:00:00,1000.0,83788.46202219317,8278.846202219318,82546.23082517195,100.0,11206.854757816753,57.17438779656051,4419 days 00:00:00,66,-83.78846202218847,222.52512562814064,-18.77522737113883,28.732120929075975,-9.11357443416908,124 days 06:51:25.714285714,34 days 19:21:17.419354838,1255.6401588517465,0.7206890257209092,0.34887103947329934,1.1469969309730426,0.1099570605820466,9.298580874417889,1.0658337142339318,1.0761499806725938,-0.026064007207510516,0.0006441782195096827,0.16233291131644004,82.78846202219258,0.1337932341889243,0.2710845899391423,5430,132,12870.595238095239,,
Mean Expectancy,CSCO,SMA,31,66,0,true,false,1,67,1.1928843770019226,53.03030303030303,1.2717485149232899,10.956112500885116,1.0591719181294534,-0.8997065508690103,82 days 06:10:54.545454544,0.0051279679594498345,0.15833896016205265,0.31431465226198513,1.7347794608086153,0,8886,8887 days 00:00:00,1000.0,83788.46202219317,8278.846202219318,82546.23082517195,100.0,11206.854757816753,57.17438779656051,4419 days 00:00:00,66,-83.78846202218847,222.52512562814064,-18.77522737113883,28.732120929075975,-9.11357443416908,124 days 06:51:25.714285714,34 days 19:21:17.419354838,1255.6401588517465,0.7206890257209092,0.34887103947329934,1.1469969309730426,0.1099570605820466,9.298580874417889,1.0658337142339318,1.0761499806725938,-0.026064007207510516,0.0006441782195096827,0.16233291131644004,82.78846202219258,0.1337932341889243,0.2710845899391423,5430,132,12870.595238095239,,
Least Max Drawdown [%],CSCO,SMA,29,68,0,true,false,1,68,1.1804615865135488,50.74626865671642,1.3918402468865778,11.605338594482207,1.161074810123456,-0.8314486599015886,81 days 02:08:57.313432836,0.005205664443683923,0.16070222822417285,0.3190411883862255,1.865003771429281,0,8886,8887 days 00:00:00,1000.0,140132.77825655538,13913.277825655538,82546.23082517195,100.0,15217.889136523247,50.08279726242703,2247 days 00:00:00,67,-140.1327782565495,228.3010230179028,-18.055510956613706,30.12576569263749,-7.4763135672535395,124 days 17:38:49.411764706,36 days 02:54:32.727272727,2078.7001646986873,0.7860297898875493,0.44939648499331974,1.1611638411387073,0.1354631053457866,9.288516859263606,1.072674432136009,1.0824941905499614,-0.026061853090555805,0.0007016354452862796,0.17681213221214245,139.13277825655425,0.15044890672671918,0.27071929943904893,5434,134,12870.595238095239,,
Median Total Trades,CSCO,SMA,29,68,0,true,false,1,68,1.1804615865135488,50.74626865671642,1.3918402468865778,11.605338594482207,1.161074810123456,-0.8314486599015886,81 days 02:08:57.313432836,0.005205664443683923,0.16070222822417285,0.3190411883862255,1.865003771429281,0,8886,8887 days 00:00:00,1000.0,140132.77825655538,13913.277825655538,82546.23082517195,100.0,15217.889136523247,50.08279726242703,2247 days 00:00:00,67,-140.1327782565495,228.3010230179028,-18.055510956613706,30.12576569263749,-7.4763135672535395,124 days 17:38:49.411764706,36 days 02:54:32.727272727,2078.7001646986873,0.7860297898875493,0.44939648499331974,1.1611638411387073,0.1354631053457866,9.288516859263606,1.072674432136009,1.0824941905499614,-0.026061853090555805,0.0007016354452862796,0.17681213221214245,139.13277825655425,0.15044890672671918,0.27071929943904893,5434,134,12870.595238095239,,
