Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,RSI Window
Most Expectancy,PENDLE-USD,MACD,5,29,17,false,false,0,47,1.482199572599802,57.446808510638306,2.8645288743023087,4.2787730434529125,3.355777897536781,1.263521767004906,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.157870428165821,0,1451,1452 days 00:00:00,1000.0,5315.383376554313,431.5383376554313,190.6490778864668,100.0,281.7174932444976,24.066638525970692,527 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456089,10.990394101382439,-4.781915384751949,1 days 00:00:00,1 days 00:00:00,91.81666758626199,1.1357353747550751,2.1685168137848887,3.0451504166110688,11.509312823199048,197.0124912324012,7.556484367145989,0.018947368421052633,0.0,None,None,0.001385034630488858,0.3490287268831922,4.315383376554316,0.3363469507622363,0.3698538824828789,47,47,1451,14
Most Profit Factor,PENDLE-USD,MACD,12,36,6,false,false,0,47,1.4392336486838264,55.319148936170215,2.9373174832987954,4.215647717925469,3.9237627285047982,1.249410686591501,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.09652879550304,0,1451,1452 days 00:00:00,1000.0,5288.480731866338,428.8480731866338,190.6490778864668,100.0,282.63719240322877,17.645833970785368,293 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456091,10.919034494108988,-4.083783528777938,1 days 00:00:00,1 days 00:00:00,91.24427089077315,1.1541625446407187,2.9465829616040478,3.242551965950214,12.741249729626537,219.71099505180857,8.480520526331329,0.0182328190743338,0.0,None,None,0.001364601501702426,0.34387957842901135,4.288480731866337,0.3351706356190065,0.35857959403046497,47,47,1451,14
Most Sharpe Ratio,PENDLE-USD,MACD,12,36,6,false,false,0,47,1.4392336486838264,55.319148936170215,2.9373174832987954,4.215647717925469,3.9237627285047982,1.249410686591501,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.09652879550304,0,1451,1452 days 00:00:00,1000.0,5288.480731866338,428.8480731866338,190.6490778864668,100.0,282.63719240322877,17.645833970785368,293 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456091,10.919034494108988,-4.083783528777938,1 days 00:00:00,1 days 00:00:00,91.24427089077315,1.1541625446407187,2.9465829616040478,3.242551965950214,12.741249729626537,219.71099505180857,8.480520526331329,0.0182328190743338,0.0,None,None,0.001364601501702426,0.34387957842901135,4.288480731866337,0.3351706356190065,0.35857959403046497,47,47,1451,14
Most Calmar Ratio,PENDLE-USD,MACD,12,36,6,false,false,0,47,1.4392336486838264,55.319148936170215,2.9373174832987954,4.215647717925469,3.9237627285047982,1.249410686591501,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.09652879550304,0,1451,1452 days 00:00:00,1000.0,5288.480731866338,428.8480731866338,190.6490778864668,100.0,282.63719240322877,17.645833970785368,293 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456091,10.919034494108988,-4.083783528777938,1 days 00:00:00,1 days 00:00:00,91.24427089077315,1.1541625446407187,2.9465829616040478,3.242551965950214,12.741249729626537,219.71099505180857,8.480520526331329,0.0182328190743338,0.0,None,None,0.001364601501702426,0.34387957842901135,4.288480731866337,0.3351706356190065,0.35857959403046497,47,47,1451,14
Most Omega Ratio,PENDLE-USD,MACD,12,36,6,false,false,0,47,1.4392336486838264,55.319148936170215,2.9373174832987954,4.215647717925469,3.9237627285047982,1.249410686591501,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.09652879550304,0,1451,1452 days 00:00:00,1000.0,5288.480731866338,428.8480731866338,190.6490778864668,100.0,282.63719240322877,17.645833970785368,293 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456091,10.919034494108988,-4.083783528777938,1 days 00:00:00,1 days 00:00:00,91.24427089077315,1.1541625446407187,2.9465829616040478,3.242551965950214,12.741249729626537,219.71099505180857,8.480520526331329,0.0182328190743338,0.0,None,None,0.001364601501702426,0.34387957842901135,4.288480731866337,0.3351706356190065,0.35857959403046497,47,47,1451,14
Most Sortino Ratio,PENDLE-USD,MACD,12,36,6,false,false,0,47,1.4392336486838264,55.319148936170215,2.9373174832987954,4.215647717925469,3.9237627285047982,1.249410686591501,0 days 23:59:59.999999999,0.03239145416953825,0.9717436250861474,1.9434872501722948,4.09652879550304,0,1451,1452 days 00:00:00,1000.0,5288.480731866338,428.8480731866338,190.6490778864668,100.0,282.63719240322877,17.645833970785368,293 days 00:00:00,47,0.0,45.43099536930024,-17.58104328456091,10.919034494108988,-4.083783528777938,1 days 00:00:00,1 days 00:00:00,91.24427089077315,1.1541625446407187,2.9465829616040478,3.242551965950214,12.741249729626537,219.71099505180857,8.480520526331329,0.0182328190743338,0.0,None,None,0.001364601501702426,0.34387957842901135,4.288480731866337,0.3351706356190065,0.35857959403046497,47,47,1451,14
Most Total Return [%],PENDLE-USD,MACD,3,4,10,false,false,0,155,1.407316195687556,50.32258064516129,1.2823835881974759,1.7197589929252715,2.7148936789668188,1.8659775526448723,0 days 23:59:59.999999999,0.10682288077188146,3.204686423156444,6.409372846312888,5.511288295728816,0,1451,1452 days 00:00:00,1000.0,6463.959776550578,546.3959776550578,190.6490778864668,100.0,1715.6974729554536,40.180790654889535,460 days 00:00:00,155,0.0,75.31126410927543,-17.337970063498013,7.936455986947041,-4.577674325694183,1 days 00:00:00,1 days 00:00:00,35.25135339710053,0.9486377043904846,1.4897779808717675,1.7398497855254664,11.435094510692583,190.67451337319935,5.087408866536498,0.05753823743627094,-0.004607139902903284,None,None,0.0018359375235461536,0.4626562559336307,5.463959776550572,0.3824997267520127,0.5869542056253768,155,155,1451,14
Most Total Fees Paid,PENDLE-USD,MACD,2,4,9,false,true,0,193,1.3854987051058731,50.259067357512954,1.2393666335590365,1.364482731621433,2.3993059324134776,1.607154713189625,0 days 23:59:59.999999999,0.1330117160578911,3.990351481736733,7.980702963473466,5.4447656899297705,0,1451,1452 days 00:00:00,1000.0,5970.516419769579,497.0516419769579,190.6490778864668,100.0,1903.7034039466967,44.41791749451017,460 days 00:00:00,193,0.0,75.31126410927541,-17.563458891368615,7.141360802544107,-4.472571152540019,1 days 00:00:00,1 days 00:00:00,25.753971086888953,0.9181176870716963,1.2765351648723777,1.599695801552167,10.49131275274711,173.44383525126128,4.637501970156289,0.07317073170731707,-0.016965211276042697,None,None,0.0018138047377563211,0.45707879391459294,4.970516419769582,0.3635772622588538,0.599154576122281,193,193,1451,14
Most Win Rate [%],PENDLE-USD,MACD,17,24,18,false,false,0,35,1.3578578550431355,60.0,1.9029430227390236,2.7479161012825912,2.1430735099960194,-0.355362022558043,1 days 00:00:00,0.024121295658166782,0.7236388697450035,1.447277739490007,1.988498901686231,0,1451,1452 days 00:00:00,1000.0,2228.996359699061,122.8996359699061,190.6490778864668,100.0,138.26436858130552,15.671059933710083,331 days 00:00:00,35,0.0,45.43099536930024,-12.347303815194396,7.61975936966926,-4.559848801297409,1 days 00:00:00,1 days 00:00:00,35.11418170568744,0.7902966707480165,1.4244496228686079,2.458731397087405,17.341684075003304,475.4972727412081,5.737039926537276,0.014675052410901468,0.0,None,None,0.0006624005512974332,0.16692493892695318,1.2289963596990603,0.1492530735925195,0.2542009887322027,35,35,1451,14
Median Profit Factor,PENDLE-USD,MACD,2,4,6,false,false,0,214,1.3479100322661974,49.532710280373834,1.1711586342295772,0.9619931691529882,1.7372937658112177,0.3162367799624735,0 days 23:59:59.999999999,0.1474844934527912,4.424534803583735,8.84906960716747,4.256372257727211,0,1451,1452 days 00:00:00,1000.0,3509.393283800979,250.9393283800979,190.6490778864668,100.0,1258.4609077345565,38.43280482464523,639 days 00:00:00,214,0.0,75.3112641092754,-17.563458891368615,6.621904652568414,-4.593105138643633,1 days 00:00:00,1 days 00:00:00,11.726136840191515,0.7480463143352442,0.9654982938841302,1.406291044568441,9.423425359014292,163.81403115017798,4.166788280202798,0.08035714285714286,-0.02337325366059772,None,None,0.0014179608596426876,0.35732613662995727,2.5093932838009705,0.24344634003930166,0.5748869605546849,214,214,1451,14
