Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Strategy Type,Signal Count,Position Count,Signal Entry,Signal Exit,Ticker,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration
Most Total Return [%],2,4,17,0,3864,3865 days 00:00:00,1000.0,1577.8715519289563,57.78715519289561,18258.0402432391,100.0,1134.9854796222317,36.365475674053414,1554 days 00:00:00,442,442,0,0.0,45.47511312217195,12.116179576641041,-13.559872067489726,2.711271011511764,-1.9732187947598874,1 days 00:00:00,1 days 00:00:00,1.091040126220113,1.3074017011967278,0.30663400076825925,0.12102590337714157,1.140002617090116,0.5115507612121882,14,2.4157902735372643,43.99076931994764,3.6135932013422725,0.05803449219819326,0.15705824383875955,-0.004180526622932006,None,None,0.00017972548414201222,0.04529082200378708,0.5778715519289548,0.03018298793980856,0.17776082424797787,MACD,442,442,false,false,BTC-USD,-0.996834974924853,3864,0.11438923395445134,0.8767880361378909,3.43167701863354,6.86335403726708,0.5389731659684139,0 days 23:59:59.999999999
Most Max Drawdown Duration,2,14,12,0,3864,3865 days 00:00:00,1000.0,1398.0077339871887,39.80077339871885,18258.0402432391,100.0,737.3218295780046,22.977997375192764,985 days 00:00:00,290,290,0,0.0,45.86206896551724,17.969567980901406,-10.261100422514389,2.5514696551085225,-1.8521828024120353,1 days 00:00:00,1 days 00:00:00,1.105014284388813,1.3724404620247839,0.2687418589642347,0.13990309670791023,1.1596137760720049,0.4600758267790545,14,4.449631553586534,101.07524183078766,3.644500439083449,0.03758389261744966,0.16742332465773768,-0.000999000999000949,None,None,0.00012569659813639063,0.03167554273037044,0.39800773398718126,0.022085670356829956,0.14185181915437137,MACD,290,290,false,false,BTC-USD,-0.9978200960854243,3864,0.07505175983436853,0.8721504977300963,2.251552795031056,4.503105590062112,0.37696245458652117,0 days 23:59:59.999999999
Least Max Drawdown [%],17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Least Total Trades,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Win Rate [%],17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Profit Factor,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Expectancy,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Sharpe Ratio,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Calmar Ratio,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Omega Ratio,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
