Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Strategy Type,Signal Count,Position Count,Signal Entry,Signal Exit,Ticker,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration
Most Sortino Ratio,17,34,17,0,3864,3865 days 00:00:00,1000.0,1358.6583509875577,35.86583509875578,18258.0402432391,100.0,194.09983624034174,13.460596625419901,1415 days 00:00:00,82,82,0,0.0,53.65853658536586,9.255112875718376,-6.257032309172551,2.138207770663113,-1.5961143169338294,1 days 00:00:00,1 days 00:00:00,1.4928668315369693,4.373882329116565,0.43086582747478025,0.21817587652249648,1.5138560974186401,0.8339086794097281,14,8.420532417160377,221.17657901869552,4.0033083465070725,0.011780104712041887,0.40766826665477385,0.0,None,None,0.00008651226306308724,0.021801090291897984,0.35865835098755716,0.020184822127622182,0.06089509669753307,MACD,82,82,false,false,BTC-USD,-0.998035614194024,3864,0.021221532091097308,0.9064653592572937,0.6366459627329192,1.2732919254658384,0.2595403561000889,0 days 23:59:59.999999999
Most Avg Losing Trade [%],12,34,17,0,3864,3865 days 00:00:00,1000.0,1126.6877882764552,12.66877882764553,18258.0402432391,100.0,200.43005718704688,21.29285477717386,2506 days 00:00:00,93,93,0,0.0,44.086021505376344,13.002741389795712,-6.257032309172557,2.3738740139709154,-1.5721460617259813,1 days 00:00:00,1 days 00:00:00,1.1416730084747304,1.3622342825425289,0.17471224357227427,0.053202665005677476,1.1815130940062262,0.3245782951890982,14,9.895521483879522,304.446079550192,3.929217963788147,0.011250654107796965,0.16749719745222047,0.0,None,None,0.00004032737405523233,0.010162498261918547,0.1266877882764561,0.007807580488650823,0.07000407241857008,MACD,93,93,false,false,BTC-USD,-0.9993061260322099,3864,0.02406832298136646,0.6250856730120755,0.7220496894409937,1.4440993788819874,0.12094129940261258,0 days 23:59:59.999999999
Most Worst Trade [%],17,24,17,0,3864,3865 days 00:00:00,1000.0,1109.8731225235263,10.987312252352627,18258.0402432391,100.0,190.83946711596008,30.97788442812506,2506 days 00:00:00,92,92,0,0.0,41.30434782608695,13.002741389795732,-6.257032309172551,2.766500369593395,-1.6763172856027058,1 days 00:00:00,1 days 00:00:00,1.114857299755009,1.1942730709078955,0.1529531325658977,0.03193664415581786,1.1549197255216053,0.2837292454451943,14,9.753262243689276,282.6595961433715,4.157711011877782,0.010457516339869282,0.15875957197829216,0.0,None,None,0.000037813897622752276,0.009529102200933573,0.1098731225235261,0.006820025063177582,0.07497902188507999,MACD,92,92,false,false,BTC-USD,-0.9993982206137144,3864,0.023809523809523808,0.5747034135905501,0.7142857142857142,1.4285714285714284,0.11339969427020867,0 days 23:59:59.999999999
Mean Best Trade [%],2,4,7,0,3864,3865 days 00:00:00,1000.0,899.4434354578678,-10.055656454213215,18258.0402432391,100.0,922.7219733410374,56.2384731801315,2640 days 00:00:00,491,491,0,0.0,45.21384928716905,14.565709814179806,-14.499336303819952,2.6452825687901043,-2.1177763449127243,1 days 00:00:00,1 days 00:00:00,0.9820352114139006,-0.20479952045240246,0.07187332670645977,-0.017707556742306046,1.0297441477268414,0.10981139825330384,14,1.0695056395504114,42.42387023654976,3.328914270668692,0.06385906963941645,0.035785933787944035,-0.006240755656390677,None,None,0.00004558847202828366,0.011488294951127482,-0.10055656454213324,-0.006886074524795949,0.19236851482281656,MACD,491,491,false,false,BTC-USD,-1.000550752234098,3864,0.12707039337474121,0.7648390130978584,3.8121118012422355,7.624223602484471,0.1364199805114947,0 days 23:59:59.999999999
Least Max Drawdown Duration,2,19,17,0,3864,3865 days 00:00:00,1000.0,878.3270778713703,-12.16729221286297,18258.0402432391,100.0,568.142077601637,43.51889990962945,1256 days 00:00:00,253,253,0,0.0,42.68774703557312,10.6765475979102,-8.917314080759235,2.600283681005529,-1.9416181990480774,1 days 00:00:00,1 days 00:00:00,0.9628351844783787,-0.4809206408246265,-0.0041829959661901575,-0.027981369700245822,0.9976801387641426,-0.0065250706847208,14,2.4487471067212296,72.13219388991817,3.3921124717980895,0.030666666666666665,-0.0027826138868543016,-0.0009990009990009279,None,None,-1.756084315910547e-6,-0.00044253324760945784,-0.12167292212863146,-0.008423193671149298,0.1273223427047382,MACD,253,253,false,false,BTC-USD,-1.0006664073498999,3864,0.06547619047619048,0.70094546737071,1.9642857142857142,3.9285714285714284,-0.005465848706320949,0 days 23:59:59.999999999
Median Total Fees Paid,7,19,7,0,3864,3865 days 00:00:00,1000.0,867.5573607473619,-13.244263925263805,18258.0402432391,100.0,418.6293903736084,41.4371485252339,1256 days 00:00:00,205,205,0,0.0,43.41463414634146,23.712150899557358,-8.873358071829648,2.551378787714944,-1.978155566014061,1 days 00:00:00,1 days 00:00:00,0.9450434412100605,-0.6460616548909162,-0.014707081414283927,-0.03216301975410877,0.9900524647193637,-0.025000830276722626,14,8.332929413279512,262.9185201143786,3.374694960387516,0.024655355249204664,-0.01167479780976155,-0.0009990009990009008,None,None,-6.13933772450599e-6,-0.0015471131065755096,-0.13244263925263788,-0.009220503368117527,0.12660233934484946,MACD,205,205,false,false,BTC-USD,-1.0007253935115061,3864,0.05305383022774327,0.7039185629468508,1.591614906832298,3.183229813664596,-0.018581782228269547,0 days 23:59:59.999999999
Mean Calmar Ratio,2,34,7,0,3864,3865 days 00:00:00,1000.0,866.1427266078534,-13.385727339214656,18258.0402432391,100.0,642.8848211255222,36.835235182757245,1797 days 00:00:00,303,303,0,0.0,44.554455445544555,10.676547597910217,-10.26110042251439,2.2821443285679495,-1.8426278451599627,1 days 00:00:00,1 days 00:00:00,0.9602654958350403,-0.44177317951203143,-0.008681578656561889,-0.036594003194759576,0.9955413188819628,-0.013264265922265159,14,1.682674461068321,66.39591927785105,3.2530364222621917,0.0381412839108246,-0.004858064786140481,-0.0009990009990009567,None,None,-3.7302041395365447e-6,-0.0009400114431632093,-0.13385727339214593,-0.009325919045575781,0.13031085609199505,MACD,303,303,false,false,BTC-USD,-1.000733141517977,3864,0.07841614906832298,0.7234220248047701,2.352484472049689,4.704968944099378,-0.011428521973606876,0 days 23:59:59.999999999
Median Expectancy,7,14,12,0,3864,3865 days 00:00:00,1000.0,858.2693202929731,-14.173067970702686,18258.0402432391,100.0,366.9789604083204,43.087380546558215,2435 days 00:00:00,184,184,0,0.0,41.84782608695652,23.712150899557333,-8.059534666832878,2.7316769499882447,-2.002735487251282,1 days 00:00:00,1 days 00:00:00,0.9367969028049855,-0.770275433190367,-0.024848804518941864,-0.033257706675565595,0.9822896156537418,-0.043631712342662984,14,9.389326618320275,280.38455292820714,3.426034513133788,0.021675918583135077,-0.02148680427604499,-0.000999000999000885,None,None,-0.00001018160509291289,-0.0025657644834140483,-0.1417306797070279,-0.009915586543875698,0.124267468538568,MACD,184,184,false,false,BTC-USD,-1.000776264472084,3864,0.047619047619047616,0.6788882324984229,1.4285714285714284,2.8571428571428568,-0.03069543468006427,0 days 23:59:59.999999999
Least Total Fees Paid,17,19,17,0,3864,3865 days 00:00:00,1000.0,857.8870313610458,-14.211296863895415,18258.0402432391,100.0,190.25557276513143,32.34802924376307,2492 days 00:00:00,99,99,0,0.0,39.39393939393939,13.002741389795712,-9.790329198430356,2.359220585943941,-1.7188808382039005,1 days 00:00:00,1 days 00:00:00,0.8600905688984204,-1.43548453170661,-0.11687501739880735,-0.044427263897565024,0.8962279803376157,-0.1827198283061539,14,4.977545153403449,281.5451695581816,3.3288467841111453,0.010986136541982735,-0.11235603475172051,0.0,None,None,-0.000028753835266572203,-0.007245966487176196,-0.14211296863895595,-0.009944346077147448,0.07461408101826192,MACD,99,99,false,false,BTC-USD,-1.000778358283505,3864,0.02562111801242236,0.4341354060665044,0.7686335403726707,1.5372670807453415,-0.08636061677344976,0 days 23:59:59.999999999
Mean Total Return [%],2,19,12,0,3864,3865 days 00:00:00,1000.0,825.25938985302,-17.474061014697998,18258.0402432391,100.0,608.1472239039795,40.062382799804936,1605 days 00:00:00,284,284,0,0.0,41.901408450704224,12.11617957664102,-10.261100422514371,2.4932416805673983,-1.8353427129447,1 days 00:00:00,1 days 00:00:00,0.9474120602902265,-0.6152838385457002,-0.03645656531202432,-0.044864765149051786,0.9806048701850293,-0.05719113766340001,14,2.533708762309071,75.83660235204701,3.5111980835657564,0.03314621758887998,-0.02160488608575739,-0.0009990009990009478,None,None,-0.000015801852574342563,-0.003982066848734326,-0.17474061014697828,-0.012444173210268139,0.13145555960290442,MACD,284,284,false,false,BTC-USD,-1.0009570611512464,3864,0.07349896480331262,0.6773297134149746,2.2049689440993787,4.409937888198757,-0.047638102859899834,0 days 23:59:59.999999999
Median Worst Trade [%],2,19,12,0,3864,3865 days 00:00:00,1000.0,825.25938985302,-17.474061014697998,18258.0402432391,100.0,608.1472239039795,40.062382799804936,1605 days 00:00:00,284,284,0,0.0,41.901408450704224,12.11617957664102,-10.261100422514371,2.4932416805673983,-1.8353427129447,1 days 00:00:00,1 days 00:00:00,0.9474120602902265,-0.6152838385457002,-0.03645656531202432,-0.044864765149051786,0.9806048701850293,-0.05719113766340001,14,2.533708762309071,75.83660235204701,3.5111980835657564,0.03314621758887998,-0.02160488608575739,-0.0009990009990009478,None,None,-0.000015801852574342563,-0.003982066848734326,-0.17474061014697828,-0.012444173210268139,0.13145555960290442,MACD,284,284,false,false,BTC-USD,-1.0009570611512464,3864,0.07349896480331262,0.6773297134149746,2.2049689440993787,4.409937888198757,-0.047638102859899834,0 days 23:59:59.999999999
Most Total Fees Paid,2,9,2,0,3864,3865 days 00:00:00,1000.0,805.3242414445878,-19.467575855541224,18258.0402432391,100.0,2114.610058059001,83.7435966220472,2664 days 00:00:00,614,614,0,0.0,46.09120521172638,25.021922258204178,-37.332369021556964,2.4604910346028217,-2.0452934374344154,1 days 00:00:00,1 days 00:00:00,0.985154016344336,-0.3170614960185887,0.06711306335587451,-0.024167846247781722,1.02745777401048,0.09687927637695327,14,-2.0878359177573502,165.37446671040217,3.1923353580459626,0.08384744812114414,0.03147692997036966,-0.009271007997549456,None,None,0.00005016345061616068,0.012641189555272492,-0.1946757585554112,-0.014017411721998108,0.2266872233814178,MACD,614,614,false,false,BTC-USD,-1.0010662467382145,3864,0.15890269151138717,0.7744587691845835,4.767080745341614,9.534161490683228,0.1500530667842156,0 days 23:59:59.999999999
Least Worst Trade [%],2,9,2,0,3864,3865 days 00:00:00,1000.0,805.3242414445878,-19.467575855541224,18258.0402432391,100.0,2114.610058059001,83.7435966220472,2664 days 00:00:00,614,614,0,0.0,46.09120521172638,25.021922258204178,-37.332369021556964,2.4604910346028217,-2.0452934374344154,1 days 00:00:00,1 days 00:00:00,0.985154016344336,-0.3170614960185887,0.06711306335587451,-0.024167846247781722,1.02745777401048,0.09687927637695327,14,-2.0878359177573502,165.37446671040217,3.1923353580459626,0.08384744812114414,0.03147692997036966,-0.009271007997549456,None,None,0.00005016345061616068,0.012641189555272492,-0.1946757585554112,-0.014017411721998108,0.2266872233814178,MACD,614,614,false,false,BTC-USD,-1.0010662467382145,3864,0.15890269151138717,0.7744587691845835,4.767080745341614,9.534161490683228,0.1500530667842156,0 days 23:59:59.999999999
Median Max Drawdown [%],2,9,17,0,3864,3865 days 00:00:00,1000.0,792.6695357286982,-20.733046427130184,18258.0402432391,100.0,628.934408599304,40.68668863967794,1942 days 00:00:00,309,309,0,0.0,42.394822006472495,17.969567980901413,-10.261100422514382,2.640493984295748,-1.9801448125974879,1 days 00:00:00,1 days 00:00:00,0.9435952441826361,-0.6709723762825295,-0.03437979090829679,-0.05334277073129093,0.9821498104102775,-0.05563869553670439,14,3.6579077106478195,86.44752375718235,3.4482778015134623,0.03674892703862661,-0.02123321909258835,-0.000999000999000962,None,None,-0.00001689571945340502,-0.004257721302258065,-0.2073304642713032,-0.01503509374763734,0.1490459437094562,MACD,309,309,false,false,BTC-USD,-1.0011355570560103,3864,0.07996894409937888,0.6833798475839707,2.3990683229813663,4.798136645962733,-0.050939943319951865,0 days 23:59:59.999999999
Median Win Rate [%],2,9,17,0,3864,3865 days 00:00:00,1000.0,792.6695357286982,-20.733046427130184,18258.0402432391,100.0,628.934408599304,40.68668863967794,1942 days 00:00:00,309,309,0,0.0,42.394822006472495,17.969567980901413,-10.261100422514382,2.640493984295748,-1.9801448125974879,1 days 00:00:00,1 days 00:00:00,0.9435952441826361,-0.6709723762825295,-0.03437979090829679,-0.05334277073129093,0.9821498104102775,-0.05563869553670439,14,3.6579077106478195,86.44752375718235,3.4482778015134623,0.03674892703862661,-0.02123321909258835,-0.000999000999000962,None,None,-0.00001689571945340502,-0.004257721302258065,-0.2073304642713032,-0.01503509374763734,0.1490459437094562,MACD,309,309,false,false,BTC-USD,-1.0011355570560103,3864,0.07996894409937888,0.6833798475839707,2.3990683229813663,4.798136645962733,-0.050939943319951865,0 days 23:59:59.999999999
Median Profit Factor,2,14,17,0,3864,3865 days 00:00:00,1000.0,791.1416824821581,-20.88583175178419,18258.0402432391,100.0,552.5510210625893,38.41107656580888,1797 days 00:00:00,278,278,0,0.0,43.52517985611511,10.676547597910197,-10.26110042251439,2.406487751756342,-1.922741589022096,1 days 00:00:00,1 days 00:00:00,0.9318362138800054,-0.7512889119346777,-0.06458331048857327,-0.056966999554609404,0.9660729294837154,-0.09769334202103899,14,1.663519437526765,69.20787854527995,3.296915552999986,0.03369884995988232,-0.03843673206457443,-0.0009990009990009457,None,None,-0.000027574745889210196,-0.006948835964080969,-0.20885831751784412,-0.01515898847978625,0.1294905032591408,MACD,278,278,false,false,BTC-USD,-1.0011439251679555,3864,0.07194616977225674,0.6861068499036421,2.1583850931677016,4.316770186335403,-0.08296126951825847,0 days 23:59:59.999999999
Median Sharpe Ratio,2,14,17,0,3864,3865 days 00:00:00,1000.0,791.1416824821581,-20.88583175178419,18258.0402432391,100.0,552.5510210625893,38.41107656580888,1797 days 00:00:00,278,278,0,0.0,43.52517985611511,10.676547597910197,-10.26110042251439,2.406487751756342,-1.922741589022096,1 days 00:00:00,1 days 00:00:00,0.9318362138800054,-0.7512889119346777,-0.06458331048857327,-0.056966999554609404,0.9660729294837154,-0.09769334202103899,14,1.663519437526765,69.20787854527995,3.296915552999986,0.03369884995988232,-0.03843673206457443,-0.0009990009990009457,None,None,-0.000027574745889210196,-0.006948835964080969,-0.20885831751784412,-0.01515898847978625,0.1294905032591408,MACD,278,278,false,false,BTC-USD,-1.0011439251679555,3864,0.07194616977225674,0.6861068499036421,2.1583850931677016,4.316770186335403,-0.08296126951825847,0 days 23:59:59.999999999
Median Sortino Ratio,2,14,17,0,3864,3865 days 00:00:00,1000.0,791.1416824821581,-20.88583175178419,18258.0402432391,100.0,552.5510210625893,38.41107656580888,1797 days 00:00:00,278,278,0,0.0,43.52517985611511,10.676547597910197,-10.26110042251439,2.406487751756342,-1.922741589022096,1 days 00:00:00,1 days 00:00:00,0.9318362138800054,-0.7512889119346777,-0.06458331048857327,-0.056966999554609404,0.9660729294837154,-0.09769334202103899,14,1.663519437526765,69.20787854527995,3.296915552999986,0.03369884995988232,-0.03843673206457443,-0.0009990009990009457,None,None,-0.000027574745889210196,-0.006948835964080969,-0.20885831751784412,-0.01515898847978625,0.1294905032591408,MACD,278,278,false,false,BTC-USD,-1.0011439251679555,3864,0.07194616977225674,0.6861068499036421,2.1583850931677016,4.316770186335403,-0.08296126951825847,0 days 23:59:59.999999999
Median Total Return [%],12,24,17,0,3864,3865 days 00:00:00,1000.0,785.3681540282777,-21.463184597172233,18258.0402432391,100.0,207.61619018137247,40.94123279535846,2621 days 00:00:00,101,101,0,0.0,40.5940594059406,11.737425878863544,-9.790329198430351,2.1016228090840685,-1.7764162926502778,1 days 00:00:00,1 days 00:00:00,0.8057322268748672,-2.125067781898238,-0.22860946515863892,-0.055098418302557406,0.8158851194494549,-0.3265539741141026,14,1.8402970937484522,256.2039221408642,2.846532527856985,0.011780104712041887,-0.2021627959066321,0.0,None,None,-0.00005280298182789105,-0.013306351420628545,-0.2146318459717229,-0.015629196501989795,0.07005045220907348,MACD,101,101,false,false,BTC-USD,-1.0011755470089467,3864,0.02613871635610766,0.41198968900046695,0.7841614906832297,1.5683229813664594,-0.15852827939883415,0 days 23:59:59.999999999
Mean Sortino Ratio,7,34,2,0,3864,3865 days 00:00:00,1000.0,776.2006400600553,-22.37993599399447,18258.0402432391,100.0,576.2300444771904,36.8352351827573,1797 days 00:00:00,303,303,0,0.0,44.224422442244226,10.676547597910199,-10.261100422514382,2.2383067710077245,-1.8499803037880396,1 days 00:00:00,1 days 00:00:00,0.9266181203332596,-0.7386117489767106,-0.07725936926799813,-0.0641809331395405,0.961134401192408,-0.11622663023756792,14,1.4669492832983504,66.95844854410154,3.169698557123902,0.0378625134264232,-0.0419589571786918,-0.0009990009990009465,None,None,-0.00003281576790394283,-0.008269573511793592,-0.2237993599399427,-0.016382498263186274,0.1288184637840227,MACD,303,303,false,false,BTC-USD,-1.0012257578412493,3864,0.07841614906832298,0.6904244327357167,2.352484472049689,4.704968944099378,-0.0987077952262703,0 days 23:59:59.999999999
Mean Worst Trade [%],7,34,12,0,3864,3865 days 00:00:00,1000.0,741.4270895589087,-25.857291044109125,18258.0402432391,100.0,235.23637764650712,30.29973036202822,2709 days 00:00:00,132,132,0,0.0,43.18181818181818,11.737425878863537,-11.251098556239183,2.051695481107285,-1.8865106795650148,1 days 00:00:00,1 days 00:00:00,0.7997852625842228,-1.95888568515978,-0.23004143537841268,-0.09194204653705136,0.8334963393329218,-0.3193029891010697,14,-0.36220889877783974,186.0416030065486,2.7737665063046384,0.016035751840168245,-0.18592165563833962,-0.0009990009990007765,None,None,-0.00006346305751894947,-0.015992690494775266,-0.2585729104410931,-0.0193175673238285,0.08366843111617028,MACD,132,132,false,false,BTC-USD,-1.0014162139364156,3864,0.034161490683229816,0.5623316562518555,1.0248447204968942,2.0496894409937885,-0.190540827206994,0 days 23:59:59.999999999
