Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],5,6,6,0,2652,2653 days 00:00:00,1000.0,5664.672663031188,466.4672663031188,755.0761993154946,100.0,1588.5678630812292,34.36859501390478,658 days 00:00:00,217,217,0,0.0,51.1520737327189,26.231612722672143,-9.004004129302459,3.8686692243801466,-2.20347304541113,1 days 00:00:00,1 days 00:00:00,1.5448248500243404,21.496187387240496,1.049731397644419,0.7840539134476612,1.7991548465350533,2.474395306269099,16.660220639461635,-0.3822249109083439,81.82503770739065,2.4547511312217196,5,52.76779030578267,0 days 23:59:59.999999999,0
Most Total Fees Paid,5,30,2,0,2652,2653 days 00:00:00,1000.0,3424.9023772417836,242.49023772417834,755.0761993154946,100.0,2144.321532676186,54.782582983747204,1209 days 00:00:00,259,259,0,0.0,48.26254826254826,26.23161272267211,-11.31053900390979,3.7237960209665832,-2.3625433995641707,1 days 00:00:00,1 days 00:00:00,1.1682296831101224,9.362557441087915,0.7464765945506355,0.33689483836545336,1.451930583055496,1.574743565606502,6.846376975172512,-0.678853289318343,97.66214177978884,2.929864253393665,6,27.431022366988348,0 days 23:59:59.999999999,0
Most Calmar Ratio,10,33,35,0,2652,2653 days 00:00:00,1000.0,3236.0155986318605,223.60155986318605,755.0761993154946,100.0,246.10271604639135,12.599618837898499,373 days 00:00:00,58,58,0,0.0,60.3448275862069,26.23161272267211,-10.486682494356673,5.006559387753948,-2.0934019395237184,1 days 00:00:00,1 days 00:00:00,3.6133299251493054,38.55199307985966,1.0322337165360986,1.391710862528908,3.446100149271145,3.09291789952704,30.976119324956105,-0.70386888096077,21.870286576168926,0.6561085972850679,2,25.29429410217037,0 days 23:59:59.999999999,0
Most Win Rate [%],9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Most Profit Factor,9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Most Expectancy,9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Most Sharpe Ratio,9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Most Omega Ratio,9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Most Sortino Ratio,9,35,35,0,2652,2653 days 00:00:00,1000.0,3199.4269539222987,219.9426953922299,755.0761993154946,100.0,243.1893841846694,12.599618837898522,461 days 00:00:00,57,57,0,0.0,64.91228070175438,26.231612722672132,-10.486682494356698,4.464496088249443,-2.0230288425584364,1 days 00:00:00,1 days 00:00:00,3.8350626449535503,38.58643778811048,1.083697491166299,1.3771284819682605,3.8061963780878116,3.3959486365722475,32.77544072911129,-0.7087145700107932,21.493212669683256,0.6447963800904978,2,24.880395406360833,0 days 23:59:59.999999999,0
Median Win Rate [%],2,9,11,0,2652,2653 days 00:00:00,1000.0,2954.477154120466,195.4477154120466,755.0761993154946,100.0,1393.5500652330038,34.690455734738194,1239 days 00:00:00,240,240,0,0.0,46.666666666666664,26.231612722672143,-9.004004129302453,3.6390734887323326,-2.1664019474532683,1 days 00:00:00,1 days 00:00:00,1.2271471736433974,8.1436548088353,0.7051611657608887,0.4633075081132157,1.4509171540876156,1.580774397643402,5.75813976382294,-0.7411549780151627,90.49773755656108,2.7149321266968327,6,22.10947006923611,0 days 23:59:59.999999999,0
