Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],19,21,35,0,17425,726 days 02:00:00,1000.0,622.0952998980604,-37.790470010193964,224.69007084343679,100.0,589.0505186915252,39.621541307999216,726 days 01:00:00,373,373,0,0.0,30.02680965147453,4.344865055814755,-2.6489055067806975,0.4862186694927834,-0.388129879029823,0 days 01:00:00,0 days 01:00:00,0.5226809584722094,-1.0131493300320096,-2.8867045969512146,-0.5357664369195708,0.5874060872892236,-4.493641035041924,14,9.357758423360675,608.9572642212145,2.611170125249177,0.007924113598241658,0.0001,0.0,None,None,-0.00002686109532097408,-0.16245590450125125,-0.3779047001019402,-0.15188564120701875,0.06772972597836716,0.000049224278117171364,-1.1681893190399422,0.5137446197991392,15.412338593974175,30.82467718794835,0.0015412338593974175,0 days 00:59:59.999999999,false
Most Sharpe Ratio,19,21,35,0,17425,726 days 02:00:00,1000.0,622.0952998980604,-37.790470010193964,224.69007084343679,100.0,589.0505186915252,39.621541307999216,726 days 01:00:00,373,373,0,0.0,30.02680965147453,4.344865055814755,-2.6489055067806975,0.4862186694927834,-0.388129879029823,0 days 01:00:00,0 days 01:00:00,0.5226809584722094,-1.0131493300320096,-2.8867045969512146,-0.5357664369195708,0.5874060872892236,-4.493641035041924,14,9.357758423360675,608.9572642212145,2.611170125249177,0.007924113598241658,0.0001,0.0,None,None,-0.00002686109532097408,-0.16245590450125125,-0.3779047001019402,-0.15188564120701875,0.06772972597836716,0.000049224278117171364,-1.1681893190399422,0.5137446197991392,15.412338593974175,30.82467718794835,0.0015412338593974175,0 days 00:59:59.999999999,false
Most Profit Factor,19,26,28,0,17425,726 days 02:00:00,1000.0,621.1164082001604,-37.88835917998396,224.69007084343679,100.0,594.4716125628771,39.7165492142722,726 days 01:00:00,373,373,0,0.0,30.563002680965145,4.344865055814752,-2.6489055067807086,0.48030624289039986,-0.3928811524289413,0 days 01:00:00,0 days 01:00:00,0.526337688194835,-1.0157737045572126,-2.892890117389868,-0.536054281275762,0.5884270797094313,-4.496199162090416,14,9.307077990924618,605.8286113365374,2.547048645027972,0.008099039685294459,0.0001,0.0,None,None,-0.000026950558964953202,-0.16299698062003698,-0.378883591799842,-0.15234905552769384,0.0678100061120829,0.000050103283083549424,-1.168624982126533,0.5137446197991392,15.412338593974175,30.82467718794835,0.0015412338593974175,0 days 00:59:59.999999999,false
Most Omega Ratio,19,26,28,0,17425,726 days 02:00:00,1000.0,621.1164082001604,-37.88835917998396,224.69007084343679,100.0,594.4716125628771,39.7165492142722,726 days 01:00:00,373,373,0,0.0,30.563002680965145,4.344865055814752,-2.6489055067807086,0.48030624289039986,-0.3928811524289413,0 days 01:00:00,0 days 01:00:00,0.526337688194835,-1.0157737045572126,-2.892890117389868,-0.536054281275762,0.5884270797094313,-4.496199162090416,14,9.307077990924618,605.8286113365374,2.547048645027972,0.008099039685294459,0.0001,0.0,None,None,-0.000026950558964953202,-0.16299698062003698,-0.378883591799842,-0.15234905552769384,0.0678100061120829,0.000050103283083549424,-1.168624982126533,0.5137446197991392,15.412338593974175,30.82467718794835,0.0015412338593974175,0 days 00:59:59.999999999,false
Least Max Drawdown [%],17,27,30,0,17425,726 days 02:00:00,1000.0,620.6861311899286,-37.93138688100714,224.69007084343679,100.0,600.4846831399087,38.76635609518517,726 days 01:00:00,375,375,0,0.0,30.933333333333334,4.344865055814757,-2.648905506780703,0.4656735285958333,-0.3903442687715547,0 days 01:00:00,0 days 01:00:00,0.5255735450570992,-1.0115036501601895,-2.9206628485282673,-0.5499005629543452,0.5860531105102151,-4.512558342611489,14,9.254234813850669,620.4461222474549,2.5312506687994447,0.008157361874457623,0.0001,0.0,None,None,-0.000026996197496415408,-0.16327300245832038,-0.3793138688100731,-0.1525529026143323,0.06727893600406556,0.0000507103825136612,-1.1688164801347078,0.5164992826398852,15.494978479196556,30.989956958393112,0.0015494978479196557,0 days 01:00:00,false
Most Win Rate [%],18,24,32,0,17425,726 days 02:00:00,1000.0,617.1956481891276,-38.28043518108724,224.69007084343679,100.0,594.882875904544,39.11070887251741,726 days 01:00:00,374,374,0,0.0,31.016042780748666,4.3448650558147435,-2.6489055067807223,0.4617890692958243,-0.3923011540100118,0 days 01:00:00,0 days 01:00:00,0.5192855363980877,-1.0235410476226532,-2.9587041556667586,-0.5507541428058522,0.5813702149862984,-4.568013015193264,14,9.280855558767438,622.847665663305,2.5248077907976407,0.008099039685294459,0.0001,0.0,None,None,-0.000027320557247162144,-0.16523473023083665,-0.3828043518108726,-0.15420996639743323,0.06721186646336154,0.00005084597177171912,-1.1703699457541268,0.5151219512195122,15.453658536585365,30.90731707317073,0.0015453658536585366,0 days 00:59:59.999999999,false
Most Sortino Ratio,19,22,33,0,17425,726 days 02:00:00,1000.0,607.8392067569584,-39.216079324304154,224.69007084343679,100.0,598.4824590284522,40.033766395609405,726 days 01:00:00,375,375,0,0.0,30.933333333333334,4.344865055814741,-2.672450584573064,0.46697253303472847,-0.398872304727279,0 days 01:00:00,0 days 01:00:00,0.5166323845073031,-1.045762115314777,-2.974436653273052,-0.5530474472680422,0.5759373888631403,-4.469731124466902,14,7.318057700433483,603.5262895508295,2.5316384503264655,0.0080407242436513,0.0001,0.0,None,None,-0.00002817723548426166,-0.17041592020881452,-0.39216079324304476,-0.15868222177309,0.06895275160534761,0.0000507103825136612,-1.1745341001366711,0.5164992826398852,15.494978479196556,30.989956958393112,0.0015494978479196557,0 days 01:00:00,false
Most Avg Losing Trade [%],17,31,31,0,17425,726 days 02:00:00,1000.0,574.6761801157965,-42.532381988420354,224.69007084343679,100.0,502.7204977453385,46.07691391791533,726 days 01:00:00,345,345,0,0.0,25.217391304347824,4.344865055814755,-2.6489055067807135,0.4500256375264755,-0.3646027242750963,0 days 01:00:00,0 days 01:00:00,0.37793393122464686,-1.2328226663310258,-3.831205409016922,-0.5275044526635243,0.4725495797888254,-5.658943451193119,14,10.24370222363701,891.7968497483306,2.244610503996923,0.0069340113255518315,0.0001,0.0,None,None,-0.00003149363414650859,-0.19047349931808397,-0.4253238198842042,-0.17490570149138573,0.05983362086879976,0.000041339985744832506,-1.189293553688257,0.47517934002869444,14.255380200860833,28.510760401721665,0.0014255380200860833,0 days 00:59:59.999999999,false
Most Calmar Ratio,17,31,31,0,17425,726 days 02:00:00,1000.0,574.6761801157965,-42.532381988420354,224.69007084343679,100.0,502.7204977453385,46.07691391791533,726 days 01:00:00,345,345,0,0.0,25.217391304347824,4.344865055814755,-2.6489055067807135,0.4500256375264755,-0.3646027242750963,0 days 01:00:00,0 days 01:00:00,0.37793393122464686,-1.2328226663310258,-3.831205409016922,-0.5275044526635243,0.4725495797888254,-5.658943451193119,14,10.24370222363701,891.7968497483306,2.244610503996923,0.0069340113255518315,0.0001,0.0,None,None,-0.00003149363414650859,-0.19047349931808397,-0.4253238198842042,-0.17490570149138573,0.05983362086879976,0.000041339985744832506,-1.189293553688257,0.47517934002869444,14.255380200860833,28.510760401721665,0.0014255380200860833,0 days 00:59:59.999999999,false
Mean Expectancy,18,22,34,0,17425,726 days 02:00:00,1000.0,572.4618597488286,-42.75381402511714,224.69007084343679,100.0,581.9701184460077,43.77427014109744,726 days 01:00:00,379,379,0,0.0,29.551451187335093,4.3448650558147355,-2.6724505845730695,0.45076896869272853,-0.3957329996066285,0 days 01:00:00,0 days 01:00:00,0.46614343318469265,-1.128068971638972,-3.438169128965659,-0.5586052175761029,0.5320085201461772,-5.157446317316604,14,8.718973943966969,631.172563174027,2.4115130730713616,0.007924113598241658,0.0001,0.0,None,None,-0.00003164049366666027,-0.19136170569596128,-0.42753814025117354,-0.17601049737142194,0.0669844442830374,0.00004844500194645098,-1.1902790535631094,0.5220086083213774,15.66025824964132,31.32051649928264,0.0015660258249641321,0 days 00:59:59.999999999,false
Median Expectancy,12,34,34,0,17425,726 days 02:00:00,1000.0,553.6750382529882,-44.63249617470118,224.69007084343679,100.0,576.4797392592453,45.13999202599282,726 days 01:00:00,380,380,0,0.0,28.157894736842103,4.344865055814745,-2.648905506780707,0.4520759848882616,-0.3915965439655364,0 days 01:00:00,0 days 01:00:00,0.4422730049806625,-1.1745393730184508,-3.712904466870851,-0.5695438750116611,0.508027606950278,-5.501213212288591,14,8.626303716446513,649.7995203997732,2.330950196595394,0.007865818392134183,0.0001,0.0,None,None,-0.00003356809599540088,-0.20301984458018452,-0.44632496174701375,-0.1854980850888711,0.06580681591838106,0.00004616048317515099,-1.1986402692702918,0.5233859397417504,15.70157819225251,31.40315638450502,0.0015701578192252512,0 days 00:59:59.999999999,false
Least Best Trade [%],26,34,34,0,17425,726 days 02:00:00,1000.0,490.5882040851737,-50.94117959148263,224.69007084343679,100.0,402.0811755441081,51.236313778727464,726 days 01:00:00,282,282,0,0.0,22.340425531914892,1.215311154044723,-3.545778463446829,0.3648351793360331,-0.4282796610117622,0 days 01:00:00,0 days 01:00:00,0.23448647268984407,-1.8064248082086012,-5.4091610814115905,-0.5873256707750054,0.3009826164564629,-6.189243028368511,14,-13.293339702131695,568.7585506132889,1.4859036538745396,0.005481507125959264,0.0001,0.0,None,None,-0.000040617730767378705,-0.24565603568110642,-0.509411795914826,-0.21898760440850717,0.054656735167814476,0.000036623648412975234,-1.2267175376297703,0.3884074605451937,11.65222381635581,23.30444763271162,0.001165222381635581,0 days 00:59:59.999999999,false
Mean Best Trade [%],28,34,34,0,17425,726 days 02:00:00,1000.0,487.2986211949101,-51.27013788050899,224.69007084343679,100.0,384.17635020470544,51.57475830962765,726 days 01:00:00,276,276,0,0.0,22.10144927536232,3.191602050366245,-3.5457784634468177,0.39618664436779133,-0.44461302885473325,0 days 01:00:00,0 days 01:00:00,0.23397338246570706,-1.8576136913227907,-5.125763849503929,-0.588048117747983,0.30613138572891024,-6.102266824197302,14,-7.176941616794446,668.5254741961741,1.5714744467417412,0.005191508998615597,0.0001,0.0,None,None,-0.00004097144695842981,-0.2477953112045835,-0.5127013788050908,-0.22080918721902532,0.05818092911686481,0.000036231884057971014,-1.2281815911493206,0.38014347202295556,11.404304160688666,22.80860832137733,0.0011404304160688666,0 days 00:59:59.999999999,false
Least Avg Winning Trade [%],30,34,35,0,17425,726 days 02:00:00,1000.0,473.4029052839418,-52.65970947160582,224.69007084343679,100.0,384.5483805272486,52.76832738934263,726 days 01:00:00,268,268,0,0.0,22.388059701492537,1.5421798743597845,-2.7505925208658075,0.28745959349256056,-0.44065263932337917,0 days 01:00:00,0 days 01:00:00,0.17956244799395196,-1.9649145325226,-5.929532321504198,-0.5938098522446051,0.24682242545830627,-6.590965164463685,14,-12.877920577373768,457.9317251438158,1.2915126913516035,0.004959630911188004,0.0001,0.0,None,None,-0.000042684150202534316,-0.25815374042492756,-0.5265970947160601,-0.22859371238002402,0.05239672504481544,0.00003670173721556154,-1.2343659836588814,0.3691248206599713,11.07374461979914,22.14748923959828,0.0011073744619799141,0 days 00:59:59.999999999,false
Least Total Fees Paid,30,35,35,0,17425,726 days 02:00:00,1000.0,467.6356670486905,-53.23643329513095,224.69007084343679,100.0,373.0889557015588,53.343727973400476,726 days 01:00:00,265,265,0,0.0,21.132075471698116,1.8688547153746853,-2.750592520865792,0.31304615093460486,-0.44565205155498017,0 days 01:00:00,0 days 01:00:00,0.17203483617863158,-2.0089220111370123,-5.858217315307916,-0.5953117991785863,0.24355842279274784,-6.5723780055541035,14,-11.603309955888133,458.4528276417117,1.3116941564862448,0.004785792538776452,0.0001,0.0,None,None,-0.00004337439503969909,-0.26232834120010007,-0.5323643329513102,-0.23186839868446418,0.05389219800362542,0.00003464274667491495,-1.2369327362588527,0.3649928263988522,10.949784791965566,21.899569583931132,0.0010949784791965567,0 days 00:59:59.999999999,false
Least Total Trades,30,35,35,0,17425,726 days 02:00:00,1000.0,467.6356670486905,-53.23643329513095,224.69007084343679,100.0,373.0889557015588,53.343727973400476,726 days 01:00:00,265,265,0,0.0,21.132075471698116,1.8688547153746853,-2.750592520865792,0.31304615093460486,-0.44565205155498017,0 days 01:00:00,0 days 01:00:00,0.17203483617863158,-2.0089220111370123,-5.858217315307916,-0.5953117991785863,0.24355842279274784,-6.5723780055541035,14,-11.603309955888133,458.4528276417117,1.3116941564862448,0.004785792538776452,0.0001,0.0,None,None,-0.00004337439503969909,-0.26232834120010007,-0.5323643329513102,-0.23186839868446418,0.05389219800362542,0.00003464274667491495,-1.2369327362588527,0.3649928263988522,10.949784791965566,21.899569583931132,0.0010949784791965567,0 days 00:59:59.999999999,false
Least Profit Factor,30,35,35,0,17425,726 days 02:00:00,1000.0,467.6356670486905,-53.23643329513095,224.69007084343679,100.0,373.0889557015588,53.343727973400476,726 days 01:00:00,265,265,0,0.0,21.132075471698116,1.8688547153746853,-2.750592520865792,0.31304615093460486,-0.44565205155498017,0 days 01:00:00,0 days 01:00:00,0.17203483617863158,-2.0089220111370123,-5.858217315307916,-0.5953117991785863,0.24355842279274784,-6.5723780055541035,14,-11.603309955888133,458.4528276417117,1.3116941564862448,0.004785792538776452,0.0001,0.0,None,None,-0.00004337439503969909,-0.26232834120010007,-0.5323643329513102,-0.23186839868446418,0.05389219800362542,0.00003464274667491495,-1.2369327362588527,0.3649928263988522,10.949784791965566,21.899569583931132,0.0010949784791965567,0 days 00:59:59.999999999,false
Least Expectancy,30,35,35,0,17425,726 days 02:00:00,1000.0,467.6356670486905,-53.23643329513095,224.69007084343679,100.0,373.0889557015588,53.343727973400476,726 days 01:00:00,265,265,0,0.0,21.132075471698116,1.8688547153746853,-2.750592520865792,0.31304615093460486,-0.44565205155498017,0 days 01:00:00,0 days 01:00:00,0.17203483617863158,-2.0089220111370123,-5.858217315307916,-0.5953117991785863,0.24355842279274784,-6.5723780055541035,14,-11.603309955888133,458.4528276417117,1.3116941564862448,0.004785792538776452,0.0001,0.0,None,None,-0.00004337439503969909,-0.26232834120010007,-0.5323643329513102,-0.23186839868446418,0.05389219800362542,0.00003464274667491495,-1.2369327362588527,0.3649928263988522,10.949784791965566,21.899569583931132,0.0010949784791965567,0 days 00:59:59.999999999,false
Least Omega Ratio,30,35,35,0,17425,726 days 02:00:00,1000.0,467.6356670486905,-53.23643329513095,224.69007084343679,100.0,373.0889557015588,53.343727973400476,726 days 01:00:00,265,265,0,0.0,21.132075471698116,1.8688547153746853,-2.750592520865792,0.31304615093460486,-0.44565205155498017,0 days 01:00:00,0 days 01:00:00,0.17203483617863158,-2.0089220111370123,-5.858217315307916,-0.5953117991785863,0.24355842279274784,-6.5723780055541035,14,-11.603309955888133,458.4528276417117,1.3116941564862448,0.004785792538776452,0.0001,0.0,None,None,-0.00004337439503969909,-0.26232834120010007,-0.5323643329513102,-0.23186839868446418,0.05389219800362542,0.00003464274667491495,-1.2369327362588527,0.3649928263988522,10.949784791965566,21.899569583931132,0.0010949784791965567,0 days 00:59:59.999999999,false
