Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],25,31,10,0,2663,2664 days 00:00:00,1000.0,2139.093586709023,113.90935867090231,95.59814630599033,100.0,216.2771053195724,17.552548310248152,322 days 00:00:00,69,69,0,0.0,60.86956521739131,14.934780064426004,-8.820021149042761,3.7521045366894876,-2.7564651077662994,1 days 00:00:00,1 days 00:00:00,2.0501220367429083,16.508602705927878,0.7999206257316185,0.6255607763373664,2.0575858137043572,1.7038926435940942,15.225325288734538,0.19154359234436927,25.910627112279386,0.7773188133683816,2,12.832447465741911,0 days 23:59:59.999999999,0
Most Expectancy,25,31,10,0,2663,2664 days 00:00:00,1000.0,2139.093586709023,113.90935867090231,95.59814630599033,100.0,216.2771053195724,17.552548310248152,322 days 00:00:00,69,69,0,0.0,60.86956521739131,14.934780064426004,-8.820021149042761,3.7521045366894876,-2.7564651077662994,1 days 00:00:00,1 days 00:00:00,2.0501220367429083,16.508602705927878,0.7999206257316185,0.6255607763373664,2.0575858137043572,1.7038926435940942,15.225325288734538,0.19154359234436927,25.910627112279386,0.7773188133683816,2,12.832447465741911,0 days 23:59:59.999999999,0
Most Sortino Ratio,25,31,10,0,2663,2664 days 00:00:00,1000.0,2139.093586709023,113.90935867090231,95.59814630599033,100.0,216.2771053195724,17.552548310248152,322 days 00:00:00,69,69,0,0.0,60.86956521739131,14.934780064426004,-8.820021149042761,3.7521045366894876,-2.7564651077662994,1 days 00:00:00,1 days 00:00:00,2.0501220367429083,16.508602705927878,0.7999206257316185,0.6255607763373664,2.0575858137043572,1.7038926435940942,15.225325288734538,0.19154359234436927,25.910627112279386,0.7773188133683816,2,12.832447465741911,0 days 23:59:59.999999999,0
Most Profit Factor,21,35,11,0,2663,2664 days 00:00:00,1000.0,2086.5143774337607,108.65143774337606,95.59814630599033,100.0,201.76301634554991,17.552548310248145,397 days 00:00:00,67,67,0,0.0,64.17910447761194,13.254769340261536,-8.820021149042748,3.4634419430492365,-2.8814838462295294,1 days 00:00:00,1 days 00:00:00,2.1380467038032025,16.21663249901136,0.8245889686732446,0.6040378686435612,2.0858239720012386,1.6697605658578323,15.769226536804354,0.13654335300189602,25.159594442358244,0.7547878332707473,2,12.240116906876768,0 days 23:59:59.999999999,0
Most Sharpe Ratio,21,35,11,0,2663,2664 days 00:00:00,1000.0,2086.5143774337607,108.65143774337606,95.59814630599033,100.0,201.76301634554991,17.552548310248145,397 days 00:00:00,67,67,0,0.0,64.17910447761194,13.254769340261536,-8.820021149042748,3.4634419430492365,-2.8814838462295294,1 days 00:00:00,1 days 00:00:00,2.1380467038032025,16.21663249901136,0.8245889686732446,0.6040378686435612,2.0858239720012386,1.6697605658578323,15.769226536804354,0.13654335300189602,25.159594442358244,0.7547878332707473,2,12.240116906876768,0 days 23:59:59.999999999,0
Most Omega Ratio,21,35,11,0,2663,2664 days 00:00:00,1000.0,2086.5143774337607,108.65143774337606,95.59814630599033,100.0,201.76301634554991,17.552548310248145,397 days 00:00:00,67,67,0,0.0,64.17910447761194,13.254769340261536,-8.820021149042748,3.4634419430492365,-2.8814838462295294,1 days 00:00:00,1 days 00:00:00,2.1380467038032025,16.21663249901136,0.8245889686732446,0.6040378686435612,2.0858239720012386,1.6697605658578323,15.769226536804354,0.13654335300189602,25.159594442358244,0.7547878332707473,2,12.240116906876768,0 days 23:59:59.999999999,0
Most Calmar Ratio,16,18,23,0,2663,2664 days 00:00:00,1000.0,1828.114922632752,82.8114922632752,95.59814630599033,100.0,195.08536467101717,10.66920280878292,797 days 00:00:00,66,66,0,0.0,54.54545454545454,14.93478006442602,-8.247022780452387,3.8479526751155078,-2.3971625634274027,1 days 00:00:00,1 days 00:00:00,1.774287737522164,12.547195797465939,0.6831339639381452,0.8076475572874197,1.8819760536280947,1.4222006391410738,10.369583303690858,-0.13375420483350833,24.784078107397672,0.7435223432219301,2,9.32912042019623,0 days 23:59:59.999999999,0
Most Avg Winning Trade [%],15,17,28,0,2663,2664 days 00:00:00,1000.0,1597.384866323015,59.7384866323015,95.59814630599033,100.0,176.83605358685887,15.420638427417838,669 days 00:00:00,67,67,0,0.0,52.23880597014925,14.93478006442601,-12.00036450531572,4.185345796205975,-2.8655083884342605,1 days 00:00:00,1 days 00:00:00,1.4989558179290363,8.916192034671866,0.5021115017519965,0.429786375204099,1.57551983448698,0.907391230092841,7.0571397832093,-0.37510831600133027,25.159594442358244,0.7547878332707473,2,6.729833266875874,0 days 23:59:59.999999999,0
Most Avg Losing Trade [%],8,35,35,0,2663,2664 days 00:00:00,1000.0,1559.7631165157757,55.97631165157757,95.59814630599033,100.0,160.19060227937877,13.656826077742009,672 days 00:00:00,63,63,0,0.0,57.14285714285714,8.02318780199503,-7.371773900553574,2.928693477014387,-2.134525893820839,1 days 00:00:00,1 days 00:00:00,1.781940291505866,8.885128833583755,0.6783916265238764,0.45983985886992496,1.7805196089158442,1.267357547087547,7.343081680647731,-0.41446237385807966,23.657529102515962,0.7097258730754789,2,6.306005818803341,0 days 23:59:59.999999999,0
Most Max Drawdown Duration,15,22,22,0,2663,2664 days 00:00:00,1000.0,1394.5850078591398,39.45850078591396,95.59814630599033,100.0,161.24112455431748,15.214415903470044,971 days 00:00:00,64,64,0,0.0,50.0,14.93478006442601,-12.00036450531572,4.1726064908306295,-2.904114946610602,1 days 00:00:00,1 days 00:00:00,1.3362669246890986,6.165390747799059,0.38777773893039014,0.30644635808855625,1.4223459327523658,0.6766509569205081,4.529212670559455,-0.5872461725396297,24.03304543747653,0.7209913631242959,2,4.445193479449565,1 days 00:00:00,0
Most Win Rate [%],20,31,33,0,2663,2664 days 00:00:00,1000.0,1290.1910202879512,29.019102028795135,95.59814630599033,100.0,108.4598402175617,15.548591659752475,1250 days 00:00:00,44,44,0,0.0,65.9090909090909,8.418285118416502,-7.546328174377746,2.7689392707048386,-3.4571960577805405,1 days 00:00:00,1 days 00:00:00,1.4442807323140192,6.595250461089806,0.43177446093212685,0.22848251334281372,1.519522406299916,0.6702755690513651,4.39077739604234,-0.6964470217245546,16.522718738265116,0.49568156214795345,1,3.2691440513100054,0 days 23:59:59.999999999,0
Least Best Trade [%],21,29,35,0,2663,2664 days 00:00:00,1000.0,1289.7995474751224,28.979954747512227,95.59814630599033,100.0,103.70681513858634,10.289469662937643,530 days 00:00:00,44,44,0,0.0,65.9090909090909,5.14954072745927,-7.5463281743777335,2.578249147051672,-3.1210641863458144,1 days 00:00:00,1 days 00:00:00,1.5122982586721803,6.586353351707329,0.4630704820527432,0.34484535289503604,1.562397438938231,0.6928244093024306,4.384854159768423,-0.6968565200547587,16.522718738265116,0.49568156214795345,1,3.264733918232698,0 days 23:59:59.999999999,0
Most Worst Trade [%],9,34,35,0,2663,2664 days 00:00:00,1000.0,1288.1303214637383,28.813032146373825,95.59814630599033,100.0,156.6706215416424,17.774885594607515,1212 days 00:00:00,61,61,0,0.0,50.81967213114754,9.635107542410383,-7.371773900553571,3.3484553177472045,-2.475247297497596,1 days 00:00:00,1 days 00:00:00,1.28913899908841,4.723447892848192,0.3728086440374123,0.19858944220400848,1.3819129593940804,0.646414806730991,3.3614987299883823,-0.6986026062247155,22.90649643259482,0.6871948929778446,2,3.245929269212239,0 days 23:59:59.999999999,0
Least Max Drawdown Duration,9,32,34,0,2663,2664 days 00:00:00,1000.0,1274.769332097187,27.47693320971872,95.59814630599033,100.0,139.26412300441277,24.62121228653369,1050 days 00:00:00,66,66,0,0.0,54.54545454545454,8.680020396301407,-12.00036450531572,3.2322906355297025,-2.893885649395521,1 days 00:00:00,1 days 00:00:00,1.3093631676669653,4.1631716984422305,0.33732490154551376,0.13736574425276205,1.3267837967242195,0.5062836085415754,3.4406377673076283,-0.7125788075244617,24.784078107397672,0.7435223432219301,2,3.0954111764609897,0 days 23:59:59.999999999,0
Least Max Drawdown [%],21,30,34,0,2663,2664 days 00:00:00,1000.0,1263.8135917551258,26.38135917551257,95.59814630599033,100.0,105.59723418033595,10.28946966293762,530 days 00:00:00,45,45,0,0.0,64.44444444444444,5.14954072745927,-7.5463281743777255,2.578249147051672,-3.052044110202673,1 days 00:00:00,1 days 00:00:00,1.4492508033436013,5.862524261225012,0.4280743356141014,0.31682125093976754,1.5014868072178218,0.6376071273464661,3.902966105957882,-0.7240390091762744,16.89823507322569,0.5069470521967706,2,2.97198939266007,0 days 23:59:59.999999999,0
Median Total Fees Paid,16,19,21,0,2663,2664 days 00:00:00,1000.0,1169.0168959193488,16.901689591934872,95.59814630599033,100.0,145.85705617611342,22.74295133713468,2016 days 00:00:00,69,69,0,0.0,52.17391304347826,14.934780064426,-12.00036450531572,2.999470809901349,-2.633941403373307,1 days 00:00:00,1 days 00:00:00,1.1785094281926445,2.449520230715189,0.23478090993474457,0.09509217001274912,1.232696510467674,0.36921887775894374,1.9363796290238646,-0.8232006556085724,25.910627112279386,0.7773188133683816,2,1.904058159061375,0 days 23:59:59.999999999,0
