Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Most Total Return [%],28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Least Max Drawdown [%],28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Most Profit Factor,28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Most Expectancy,28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Most Sharpe Ratio,28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Most Omega Ratio,28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Most Sortino Ratio,28,34,35,0,3486,145 days 07:00:00,1000.0,955.179128283612,-4.4820871716387956,75.20772197369439,100.0,109.9992676214183,5.553851372898427,142 days 05:00:00,56,56,0,0.0,28.57142857142857,2.0202259906480258,-1.2945027880033617,0.41385671685659575,-0.27860447438503866,0 days 01:00:00,0 days 01:00:00,0.5910995556526661,-0.800372709221207,-1.9246329460890375,-1.959216941097275,0.6581556140351699,-3.515756361397885,-0.29398446619695384,-1.059596103352346,385.5421686746988,8.096385542168674,17,-6.480126031284953,0
Least Total Fees Paid,30,31,35,0,3486,145 days 07:00:00,1000.0,946.4199881092227,-5.358001189077732,75.20772197369439,100.0,104.92707296524249,6.419937147032161,142 days 05:00:00,54,54,0,0.0,27.77777777777778,2.0202259906480236,-1.2945027880033548,0.3431267203806617,-0.27189610284884375,0 days 01:00:00,0 days 01:00:00,0.48141030945883867,-0.9922224424217918,-2.5932511811369294,-2.0124855426355555,0.5667939489198622,-4.378101784547056,-0.34167439477334427,-1.0712427001970863,371.77280550774526,7.80722891566265,16,-7.746507743244832,0
Least Total Trades,30,31,35,0,3486,145 days 07:00:00,1000.0,946.4199881092227,-5.358001189077732,75.20772197369439,100.0,104.92707296524249,6.419937147032161,142 days 05:00:00,54,54,0,0.0,27.77777777777778,2.0202259906480236,-1.2945027880033548,0.3431267203806617,-0.27189610284884375,0 days 01:00:00,0 days 01:00:00,0.48141030945883867,-0.9922224424217918,-2.5932511811369294,-2.0124855426355555,0.5667939489198622,-4.378101784547056,-0.34167439477334427,-1.0712427001970863,371.77280550774526,7.80722891566265,16,-7.746507743244832,0
Most Worst Trade [%],23,24,25,0,3486,145 days 07:00:00,1000.0,917.4234467892945,-8.257655321070546,75.20772197369439,100.0,135.43308100222387,8.284991431908669,145 days 06:00:00,71,71,0,0.0,25.352112676056336,1.3602366737514737,-0.8502196829120878,0.25381913967545167,-0.2481879161355729,0 days 01:00:00,0 days 01:00:00,0.34218503962523206,-1.1630500452212047,-4.77590690859684,-2.349793448467417,0.45044162670879867,-7.276512317574442,-0.44675417870212725,-1.1097979715960395,488.81239242685024,10.265060240963855,21,-11.938778777451402,0
Most Avg Losing Trade [%],23,24,25,0,3486,145 days 07:00:00,1000.0,917.4234467892945,-8.257655321070546,75.20772197369439,100.0,135.43308100222387,8.284991431908669,145 days 06:00:00,71,71,0,0.0,25.352112676056336,1.3602366737514737,-0.8502196829120878,0.25381913967545167,-0.2481879161355729,0 days 01:00:00,0 days 01:00:00,0.34218503962523206,-1.1630500452212047,-4.77590690859684,-2.349793448467417,0.45044162670879867,-7.276512317574442,-0.44675417870212725,-1.1097979715960395,488.81239242685024,10.265060240963855,21,-11.938778777451402,0
Least Calmar Ratio,23,24,25,0,3486,145 days 07:00:00,1000.0,917.4234467892945,-8.257655321070546,75.20772197369439,100.0,135.43308100222387,8.284991431908669,145 days 06:00:00,71,71,0,0.0,25.352112676056336,1.3602366737514737,-0.8502196829120878,0.25381913967545167,-0.2481879161355729,0 days 01:00:00,0 days 01:00:00,0.34218503962523206,-1.1630500452212047,-4.77590690859684,-2.349793448467417,0.45044162670879867,-7.276512317574442,-0.44675417870212725,-1.1097979715960395,488.81239242685024,10.265060240963855,21,-11.938778777451402,0
Mean Worst Trade [%],17,31,35,0,3486,145 days 07:00:00,1000.0,898.5734796780704,-10.142652032192961,75.20772197369439,100.0,121.24860762193221,10.699758758682053,136 days 01:00:00,64,64,0,0.0,26.5625,1.091026086485781,-1.7519813740642223,0.2800020462987756,-0.32763066508886435,0 days 01:00:00,0 days 01:00:00,0.30538264257104375,-1.5847893800301467,-4.779140132246659,-2.2019645525625737,0.402216416841298,-5.844736410199724,-0.6184898866049701,-1.1348618435184166,440.6196213425129,9.25301204819277,19,-14.664075227266899,0
Least Max Drawdown Duration,13,16,30,0,3486,145 days 07:00:00,1000.0,898.5386895279591,-10.146131047204085,75.20772197369439,100.0,194.20558355659193,11.41714167347072,113 days 13:00:00,102,101,1,-0.898538689527868,29.7029702970297,1.4660908128811252,-1.8897727468254786,0.3329516386239462,-0.28868271126120704,0 days 01:00:00,0 days 01:00:00,0.4870274773140185,-0.9956710077476542,-3.741345661285149,-2.0642578347029668,0.5658124537196374,-5.415098526708133,-0.4480967631627606,-1.1349081022657876,695.3528399311532,14.74698795180723,30,-14.68314835521842,1
Most Win Rate [%],24,30,15,0,3486,145 days 07:00:00,1000.0,894.6000546056189,-10.539994539438112,75.20772197369439,100.0,157.9861522072771,11.419125553358619,130 days 17:00:00,84,84,0,0.0,33.33333333333333,1.3602366737514844,-1.6846946525471358,0.24134469490833155,-0.31827027441431827,0 days 01:00:00,0 days 01:00:00,0.3739568546691371,-1.2547612546950138,-4.369954652443434,-2.1373612886115767,0.4806077768320163,-5.43718749255097,-0.633717805401522,-1.1401451109385379,578.3132530120482,12.144578313253012,25,-15.238546322079204,0
Most Avg Winning Trade [%],12,23,20,0,3486,145 days 07:00:00,1000.0,876.9276870278358,-12.307231297216424,75.20772197369439,100.0,195.87846535249156,15.659855742976795,140 days 17:00:00,104,103,1,-0.8769276870277736,25.24271844660194,1.8685147257763497,-1.8897727468254695,0.4512907737297288,-0.32007994063765133,0 days 01:00:00,0 days 01:00:00,0.47490895026534113,-1.186362963933368,-4.026599527473299,-1.7945514618745655,0.5364353766997889,-6.037920259698974,-0.453742822334033,-1.1636431868195816,709.1222030981068,15.036144578313253,31,-17.83832504805835,1
Median Avg Winning Trade [%],20,24,26,0,3486,145 days 07:00:00,1000.0,859.1270964357838,-14.087290356421626,75.20772197369439,100.0,150.3495764639899,14.112889433504769,145 days 06:00:00,81,81,0,0.0,24.691358024691358,1.360236673751482,-1.6846946525471271,0.251771853517635,-0.3303065574999317,0 days 01:00:00,0 days 01:00:00,0.2464849452978675,-1.7391716489409452,-6.054308164261428,-2.2470748078628087,0.33938623453796424,-7.284652182027661,-0.6506440886423289,-1.1873117545210181,557.6592082616179,11.710843373493976,24,-20.36716678036866,0
Mean Sortino Ratio,21,34,21,0,3486,145 days 07:00:00,1000.0,854.2188680087448,-14.578113199125516,75.20772197369439,100.0,130.09005622933475,14.60356602762862,145 days 06:00:00,70,70,0,0.0,17.142857142857142,0.3033306198242223,-1.2502222591764482,0.10120998621861023,-0.29215285476093594,0 days 01:00:00,0 days 01:00:00,0.07091915331868116,-2.08258759987507,-9.704287585997463,-2.2383960126128457,0.16678214620772738,-10.14687420364802,-0.5409318441233947,-1.193837983873844,481.9277108433735,10.120481927710843,21,-21.076790167410344,0
Mean Expectancy,11,30,30,0,3486,145 days 07:00:00,1000.0,853.8203708661508,-14.617962913384918,75.20772197369439,100.0,160.51052179357015,16.02317842651398,139 days 01:00:00,88,88,0,0.0,25.0,2.0240585031209775,-1.6846946525471387,0.2798488530822348,-0.3313563556836383,0 days 01:00:00,0 days 01:00:00,0.2720040109083996,-1.6611321492482791,-5.590534298328355,-2.0450013568148266,0.36787716931066383,-7.266140877077229,-0.6292167232001057,-1.1943678458775533,605.8519793459552,12.722891566265059,26,-21.134404212122682,0
Least Best Trade [%],19,26,31,0,3486,145 days 07:00:00,1000.0,843.4361450296586,-15.656385497034137,75.20772197369439,100.0,129.54251499499725,15.681517036920217,145 days 06:00:00,70,70,0,0.0,12.857142857142856,0.2615279008565623,-1.250222259176463,0.07986255645775978,-0.2904940149074113,0 days 01:00:00,0 days 01:00:00,0.04012160630852232,-2.236626499576306,-10.612474990583175,-2.219348812924657,0.12400035899850541,-10.878681207813486,-0.4357064609564232,-1.2081752390068445,481.9277108433735,10.120481927710843,21,-22.635738068001167,0
Median Worst Trade [%],10,30,31,0,3486,145 days 07:00:00,1000.0,836.6199225271054,-16.338007747289467,75.20772197369439,100.0,163.86920967733272,17.399223230798896,145 days 06:00:00,91,91,0,0.0,21.978021978021978,2.0240585031209757,-1.6846946525471271,0.32429263273223624,-0.3412664559887027,0 days 01:00:00,0 days 01:00:00,0.25674033716793687,-1.7953854667351004,-6.187746944995186,-2.075858689813099,0.3384972051563457,-7.977908287728583,-0.5978639582867467,-1.2172384340135187,626.5060240963855,13.156626506024097,27,-23.621216020177464,0
Least Avg Winning Trade [%],19,24,34,0,3486,145 days 07:00:00,1000.0,836.2276998983234,-16.377230010167658,75.20772197369439,100.0,129.10822190315562,16.40214676280823,145 days 06:00:00,70,70,0,0.0,12.857142857142856,0.2615279008565726,-1.2502222591764631,0.07986255645775893,-0.304477805960607,0 days 01:00:00,0 days 01:00:00,0.038272304115038666,-2.3396042871668072,-10.337241395437633,-2.2066342801752477,0.1152749579684603,-10.547474429586003,-0.45576706892859875,-1.2177599531055598,481.9277108433735,10.120481927710843,21,-23.67792290626648,0
Least Win Rate [%],21,35,21,0,3486,145 days 07:00:00,1000.0,832.7660036142266,-16.723399638577334,75.20772197369439,100.0,130.61680980218858,16.748213244395618,145 days 06:00:00,71,71,0,0.0,12.676056338028168,0.26152790085657623,-1.2502222591764618,0.07986255645776245,-0.30624950064430817,0 days 01:00:00,0 days 01:00:00,0.03736768662626156,-2.3554083997996202,-10.496281688283714,-2.200534760852585,0.11295555933040503,-10.703282776572193,-0.4523831753776479,-1.222362799985176,488.81239242685024,10.265060240963855,21,-24.178409116015377,0
Least Profit Factor,21,35,21,0,3486,145 days 07:00:00,1000.0,832.7660036142266,-16.723399638577334,75.20772197369439,100.0,130.61680980218858,16.748213244395618,145 days 06:00:00,71,71,0,0.0,12.676056338028168,0.26152790085657623,-1.2502222591764618,0.07986255645776245,-0.30624950064430817,0 days 01:00:00,0 days 01:00:00,0.03736768662626156,-2.3554083997996202,-10.496281688283714,-2.200534760852585,0.11295555933040503,-10.703282776572193,-0.4523831753776479,-1.222362799985176,488.81239242685024,10.265060240963855,21,-24.178409116015377,0
