Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,RSI Window
Most Sharpe Ratio,CRWD,MACD,3,8,3,false,false,0,176,1.4858035558710714,59.09090909090909,1.815605846759727,0.8423725081063035,3.2355021735438907,-0.4596195655205328,0 days 23:59:59.999999999,0.08260525409049849,2.512576478585996,5.025152957171992,2.1165253500753893,0,1471,1472 days 00:00:00,1000.0,3959.235016565392,295.9235016565392,547.6206812365324,100.0,893.9469541927317,18.86356176569267,211 days 00:00:00,176,0.0,14.589314977901498,-7.646053718355003,2.867190052488524,-2.0823639448902376,1 days 00:00:00,1 days 00:00:00,16.813835321394272,1.5796693371525579,2.1557230689864624,1.923962487568089,3.7455128952098597,39.62413721177862,4.465045018318386,0.07759882869692533,-0.0009990009990010317,None,None,0.0010073039663335034,0.2538405995160429,2.959235016565388,0.2656349323820395,0.19339313717232479,176,176,2130.6150793650795,14
Most Sortino Ratio,CRWD,MACD,3,8,3,false,false,0,176,1.4858035558710714,59.09090909090909,1.815605846759727,0.8423725081063035,3.2355021735438907,-0.4596195655205328,0 days 23:59:59.999999999,0.08260525409049849,2.512576478585996,5.025152957171992,2.1165253500753893,0,1471,1472 days 00:00:00,1000.0,3959.235016565392,295.9235016565392,547.6206812365324,100.0,893.9469541927317,18.86356176569267,211 days 00:00:00,176,0.0,14.589314977901498,-7.646053718355003,2.867190052488524,-2.0823639448902376,1 days 00:00:00,1 days 00:00:00,16.813835321394272,1.5796693371525579,2.1557230689864624,1.923962487568089,3.7455128952098597,39.62413721177862,4.465045018318386,0.07759882869692533,-0.0009990009990010317,None,None,0.0010073039663335034,0.2538405995160429,2.959235016565388,0.2656349323820395,0.19339313717232479,176,176,2130.6150793650795,14
Most Total Fees Paid,CRWD,MACD,3,7,3,false,false,0,182,1.4791171470408808,59.34065934065934,1.6689159177807669,0.8478333154383351,3.010879166550728,-0.42626560199909774,0 days 23:59:59.999999999,0.08542134229812912,2.5982324949014273,5.1964649898028545,2.202868070431894,0,1471,1472 days 00:00:00,1000.0,4141.888218820859,314.1888218820859,547.6206812365324,100.0,1041.8741552535162,22.021651392656814,211 days 00:00:00,182,0.0,14.589314977901498,-8.757502368805422,2.994537285312482,-2.2851941000536633,1 days 00:00:00,1 days 00:00:00,17.263122081433295,1.5386781524924946,1.9184093357114247,1.856902861711712,3.2196993251987878,34.97037718488612,4.2324002163339,0.08155767817781044,-0.0009990009990009986,None,None,0.0010483956876899388,0.26419571329786457,3.141888218820853,0.2754448312536739,0.2066446382288079,182,182,2130.6150793650795,14
Most Expectancy,CRWD,MACD,3,7,3,false,false,0,182,1.4791171470408808,59.34065934065934,1.6689159177807669,0.8478333154383351,3.010879166550728,-0.42626560199909774,0 days 23:59:59.999999999,0.08542134229812912,2.5982324949014273,5.1964649898028545,2.202868070431894,0,1471,1472 days 00:00:00,1000.0,4141.888218820859,314.1888218820859,547.6206812365324,100.0,1041.8741552535162,22.021651392656814,211 days 00:00:00,182,0.0,14.589314977901498,-8.757502368805422,2.994537285312482,-2.2851941000536633,1 days 00:00:00,1 days 00:00:00,17.263122081433295,1.5386781524924946,1.9184093357114247,1.856902861711712,3.2196993251987878,34.97037718488612,4.2324002163339,0.08155767817781044,-0.0009990009990009986,None,None,0.0010483956876899388,0.26419571329786457,3.141888218820853,0.2754448312536739,0.2066446382288079,182,182,2130.6150793650795,14
Most Total Return [%],CRWD,MACD,2,5,6,false,false,0,184,1.479040544449272,59.2391304347826,1.6996490930905395,0.8406351705539223,2.9934203087723916,-0.42425440046117696,0 days 23:59:59.999999999,0.08636003836733933,2.626784500339905,5.25356900067981,2.2081674364516357,0,1471,1472 days 00:00:00,1000.0,4152.90197438386,315.29019743838603,547.6206812365324,100.0,1004.3796612825906,23.80154184303612,239 days 00:00:00,184,0.0,14.589314977901498,-8.757502368805422,2.9955062292858248,-2.291110768136442,1 days 00:00:00,1 days 00:00:00,17.135336817303575,1.535937138271354,1.778886420018245,1.8456820527262026,3.1716928892986758,34.419819003261104,4.218701834802744,0.08235294117647059,-0.000999000999000989,None,None,0.001050918838317279,0.2648315472559543,3.152901974383859,0.27602481178050775,0.20751162825459823,184,184,2130.6150793650795,14
Most Calmar Ratio,CRWD,MACD,2,4,13,false,false,0,165,1.4411420658928933,57.57575757575758,1.762310284026852,0.7457646841354506,2.690375713970768,-0.6152941500958545,0 days 23:59:59.999999999,0.07744242570984233,2.355540448674371,4.711080897348742,1.7566788786739198,0,1471,1472 days 00:00:00,1000.0,3106.728796001874,210.67287960018737,547.6206812365324,100.0,661.7907214813515,12.727795518357727,212 days 00:00:00,165,0.0,14.589314977901516,-7.646053718355003,2.836867271464928,-2.092160255811698,1 days 00:00:00,1 days 00:00:00,12.768053309102235,1.37528970736783,2.5500302519081224,1.788787651006382,3.5706070284675753,41.853332563994904,4.360169899328052,0.06976744186046512,-0.0009990009990010155,None,None,0.0008360574483616358,0.21068647698713222,2.1067287960018732,0.21417193977076487,0.1843693099319389,165,165,2130.6150793650795,14
Least Worst Trade [%],CRWD,MACD,2,4,5,false,false,0,214,1.309938659508473,53.271028037383175,1.4373044527601764,0.4981781523602604,1.6606750534197046,-0.7291826720067927,0 days 23:59:59.999999999,0.10044047940549249,3.055064581917063,6.110129163834126,1.521966428760714,0,1471,1472 days 00:00:00,1000.0,2483.0516964629765,148.30516964629766,547.6206812365324,100.0,624.3579954259349,29.845096673653654,756 days 00:00:00,214,0.0,16.080159312194066,-16.719496942213848,3.0188371124378723,-2.3753730621282165,1 days 00:00:00,1 days 00:00:00,6.930148114312972,0.9389310287539656,0.8476173582231485,1.4280490123337537,2.5134204254262813,45.297097628792415,3.795925152442717,0.0863468634686347,-0.00816196601293989,None,None,0.0007243987990928967,0.18254849737140996,1.483051696462966,0.1684761303572686,0.2339864631867201,214,214,2130.6150793650795,14
Most Win Rate [%],CRWD,MACD,8,34,14,false,false,0,57,1.272126256555298,61.40350877192983,2.0544365199739967,1.0755337991728404,2.480457754793182,-0.8572573422168097,0 days 23:59:59.999999999,0.02675283797249099,0.8137321549966009,1.6274643099932018,0.8751964361725968,0,1471,1472 days 00:00:00,1000.0,1781.6883149674388,78.16883149674389,547.6206812365324,100.0,180.5768191748253,12.374791515436087,607 days 00:00:00,57,0.0,11.217144761790504,-5.629842495485147,3.068936517562576,-2.0957887073562844,1 days 00:00:00,1 days 00:00:00,13.713830087148043,1.129281854111824,1.2442704015395534,2.234268830630671,6.758861564480237,101.83538905675191,4.8409157996997845,0.02506963788300836,-0.0009990009990007967,None,None,0.00041651576670208014,0.1049619732089242,0.7816883149674398,0.10392940562072939,0.11186025335562495,57,57,2130.6150793650795,14
Most Profit Factor,CRWD,MACD,8,34,14,false,false,0,57,1.272126256555298,61.40350877192983,2.0544365199739967,1.0755337991728404,2.480457754793182,-0.8572573422168097,0 days 23:59:59.999999999,0.02675283797249099,0.8137321549966009,1.6274643099932018,0.8751964361725968,0,1471,1472 days 00:00:00,1000.0,1781.6883149674388,78.16883149674389,547.6206812365324,100.0,180.5768191748253,12.374791515436087,607 days 00:00:00,57,0.0,11.217144761790504,-5.629842495485147,3.068936517562576,-2.0957887073562844,1 days 00:00:00,1 days 00:00:00,13.713830087148043,1.129281854111824,1.2442704015395534,2.234268830630671,6.758861564480237,101.83538905675191,4.8409157996997845,0.02506963788300836,-0.0009990009990007967,None,None,0.00041651576670208014,0.1049619732089242,0.7816883149674398,0.10392940562072939,0.11186025335562495,57,57,2130.6150793650795,14
Most Omega Ratio,CRWD,MACD,8,34,14,false,false,0,57,1.272126256555298,61.40350877192983,2.0544365199739967,1.0755337991728404,2.480457754793182,-0.8572573422168097,0 days 23:59:59.999999999,0.02675283797249099,0.8137321549966009,1.6274643099932018,0.8751964361725968,0,1471,1472 days 00:00:00,1000.0,1781.6883149674388,78.16883149674389,547.6206812365324,100.0,180.5768191748253,12.374791515436087,607 days 00:00:00,57,0.0,11.217144761790504,-5.629842495485147,3.068936517562576,-2.0957887073562844,1 days 00:00:00,1 days 00:00:00,13.713830087148043,1.129281854111824,1.2442704015395534,2.234268830630671,6.758861564480237,101.83538905675191,4.8409157996997845,0.02506963788300836,-0.0009990009990007967,None,None,0.00041651576670208014,0.1049619732089242,0.7816883149674398,0.10392940562072939,0.11186025335562495,57,57,2130.6150793650795,14
