Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Least Total Trades,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Profit Factor,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Expectancy,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Sharpe Ratio,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Omega Ratio,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Sortino Ratio,26,33,34,0,8046,8047 days 00:00:00,1000.0,1382.497576229493,38.24975762294929,55939.47849026008,100.0,362.3220325902071,17.75971506564192,4764 days 00:00:00,146,146,0,0.0,52.054794520547944,9.078637770897833,-11.356994735938088,1.6149907577085183,-1.2367998004127994,1 days 00:00:00,1 days 00:00:00,1.3565882919062882,2.6198464125307774,0.27860903150488525,0.08333295064837257,1.3833759266106018,0.48629981217073265,14,5.7496163999108845,534.4890209244744,3.6036088952449026,0.010168214913381874,0.2476939147736399,0.0,None,None,0.000044958241545342076,0.011329476869426203,0.38249757622949154,0.010194613043067458,0.048939646533836506,-0.9993162296350401,11653.92857142857,0.012527964205816556,0.009830520423986052,0.38105891126025354,0.7621178225205071,0.09438597348943324,0 days 23:59:59.999999999,false
Most Calmar Ratio,28,29,35,0,8046,8047 days 00:00:00,1000.0,1371.306093391539,37.1306093391539,55939.47849026008,100.0,362.59703082934186,16.609180575894964,1505 days 00:00:00,147,147,0,0.0,53.06122448979592,9.078637770897847,-11.356994735938086,1.6035355663064121,-1.2995346639335463,1 days 00:00:00,1 days 00:00:00,1.3414219888590382,2.525891791779176,0.2708398082803139,0.08685335374715109,1.362511482353031,0.46667645612282066,14,5.347587504316705,515.8339558560847,3.40627870588258,0.010548788145171418,0.24086994803051331,0.0,None,None,0.00004401959447641471,0.011092937808056506,0.3713060933915382,0.009937512282186534,0.04929243157910763,-0.9993362360475774,11653.92857142857,0.012613772179828998,0.009305137605848769,0.38366890380313196,0.7673378076062639,0.09241430891998441,0 days 23:59:59.999999999,false
Most Win Rate [%],22,35,35,0,8046,8047 days 00:00:00,1000.0,1367.180593320109,36.71805933201091,55939.47849026008,100.0,365.1864437062497,20.269911715570007,3003 days 00:00:00,148,148,0,0.0,55.4054054054054,9.078637770897844,-11.356994735938107,1.6481647922017049,-1.509290574116522,1 days 00:00:00,1 days 00:00:00,1.2995496825979715,2.480949954865604,0.2583733200144045,0.07048380003832115,1.3296061877835093,0.41637965903687446,14,3.0086180933530478,451.14735908197827,3.3556727596440945,0.010548788145171418,0.24011037208681996,0.0,None,None,0.00004417934669272356,0.011133195366566337,0.36718059332010866,0.009842224582341963,0.05185830602392972,-0.999343610982387,11653.92857142857,0.01269958015384144,0.008486901897649642,0.3862788963460104,0.7725577926920209,0.09274956953092672,0 days 23:59:59.999999999,false
Least Max Drawdown Duration,23,35,35,0,8046,8047 days 00:00:00,1000.0,1336.016933315134,33.60169333151341,55939.47849026008,100.0,368.76735860798516,16.609180575894943,1505 days 00:00:00,148,148,0,0.0,52.702702702702695,9.078637770897847,-11.35699473593809,1.603463967985345,-1.3173543851799427,1 days 00:00:00,1 days 00:00:00,1.2964501923058798,2.2703846845617104,0.24948244308917855,0.07963513650316598,1.3284928274830976,0.4299710462336129,14,5.583387505385028,511.0395429779744,3.5262463939366184,0.010168214913381874,0.22199582797473572,0.0,None,None,0.00004084772928426262,0.010293627779634182,0.33601693331513416,0.00911329900479907,0.04965633171234698,-0.999399320582916,11653.92857142857,0.01269958015384144,0.007568234526986953,0.3862788963460104,0.7725577926920209,0.0857523034234997,0 days 23:59:59.999999999,false
