Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],12,15,21,0,5757,5758 days 00:00:00,1000.0,1523.348911153106,52.3348911153106,78924.32651473526,100.0,591.660324654851,47.79358513570868,4286 days 00:00:00,195,195,0,0.0,47.69230769230769,13.261003679038744,-11.316662844296161,2.6731022023154796,-1.9302736406452154,1 days 00:00:00,1 days 00:00:00,1.1652343613993508,2.683840570015942,0.2936190079163381,0.05657814858678234,1.2507338956257517,0.5246676217608565,14,5.889530096396725,169.74130194260965,3.830372555353867,0.016955139526669022,0.26518253061296226,-0.0009990009990007852,None,None,0.00008984035079716583,0.02263976840088579,0.5233489111530989,0.01859197680336,0.09279700820973107,-0.9993368978434609,8338.511904761905,0.02338546760227573,0.008663837464819185,0.7113079729025533,1.4226159458051066,0.18862644829947547,0 days 23:59:59.999999999,false
Most Sharpe Ratio,12,15,21,0,5757,5758 days 00:00:00,1000.0,1523.348911153106,52.3348911153106,78924.32651473526,100.0,591.660324654851,47.79358513570868,4286 days 00:00:00,195,195,0,0.0,47.69230769230769,13.261003679038744,-11.316662844296161,2.6731022023154796,-1.9302736406452154,1 days 00:00:00,1 days 00:00:00,1.1652343613993508,2.683840570015942,0.2936190079163381,0.05657814858678234,1.2507338956257517,0.5246676217608565,14,5.889530096396725,169.74130194260965,3.830372555353867,0.016955139526669022,0.26518253061296226,-0.0009990009990007852,None,None,0.00008984035079716583,0.02263976840088579,0.5233489111530989,0.01859197680336,0.09279700820973107,-0.9993368978434609,8338.511904761905,0.02338546760227573,0.008663837464819185,0.7113079729025533,1.4226159458051066,0.18862644829947547,0 days 23:59:59.999999999,false
Most Sortino Ratio,15,20,23,0,5757,5758 days 00:00:00,1000.0,1509.2520462213106,50.92520462213106,78924.32651473526,100.0,633.2588082522277,39.49336582387913,1893 days 00:00:00,167,167,0,0.0,45.50898203592814,27.89057771158615,-8.670062795382954,3.192108570946476,-2.071267869041799,1 days 00:00:00,1 days 00:00:00,1.1408491971869485,3.0494134504269965,0.2591308130654187,0.06693689742450111,1.2758046150586422,0.5390133323749113,14,15.946414653773294,571.0185359407211,4.050679652811189,0.014089468122578372,0.32404116951573925,0.0,None,None,0.00009401104311533767,0.023690782865065093,0.5092520462213059,0.018177613606138898,0.1100288354530465,-0.9993547590854307,8338.511904761905,0.0200275543055387,0.009978516025908053,0.6091714434601354,1.2183428869202708,0.1973966269744133,0 days 23:59:59.999999999,false
Most Expectancy,26,35,14,0,5757,5758 days 00:00:00,1000.0,1478.6961102640516,47.86961102640516,78924.32651473526,100.0,416.84299673095364,20.64213916062146,4059 days 00:00:00,132,132,0,0.0,52.27272727272727,15.73596994063971,-8.727122817931743,2.722527818612799,-2.2198045094818206,1 days 00:00:00,1 days 00:00:00,1.2095061631194273,3.626485683818572,0.28277386699761253,0.12162340364176097,1.3267994230750604,0.49575747728744846,14,7.979558439352157,282.27444372144294,3.5381317948668283,0.01266268026732325,0.3636873892949122,0.0,None,None,0.00008339687773552483,0.021016013189352256,0.478696110264049,0.017266598185726956,0.0894452378401153,-0.9993934745706388,8338.511904761905,0.015830162684617417,0.012093242205075978,0.481500781657113,0.963001563314226,0.17511576222433498,0 days 23:59:59.999999999,false
Most Calmar Ratio,26,35,14,0,5757,5758 days 00:00:00,1000.0,1478.6961102640516,47.86961102640516,78924.32651473526,100.0,416.84299673095364,20.64213916062146,4059 days 00:00:00,132,132,0,0.0,52.27272727272727,15.73596994063971,-8.727122817931743,2.722527818612799,-2.2198045094818206,1 days 00:00:00,1 days 00:00:00,1.2095061631194273,3.626485683818572,0.28277386699761253,0.12162340364176097,1.3267994230750604,0.49575747728744846,14,7.979558439352157,282.27444372144294,3.5381317948668283,0.01266268026732325,0.3636873892949122,0.0,None,None,0.00008339687773552483,0.021016013189352256,0.478696110264049,0.017266598185726956,0.0894452378401153,-0.9993934745706388,8338.511904761905,0.015830162684617417,0.012093242205075978,0.481500781657113,0.963001563314226,0.17511576222433498,0 days 23:59:59.999999999,false
Most Omega Ratio,26,35,14,0,5757,5758 days 00:00:00,1000.0,1478.6961102640516,47.86961102640516,78924.32651473526,100.0,416.84299673095364,20.64213916062146,4059 days 00:00:00,132,132,0,0.0,52.27272727272727,15.73596994063971,-8.727122817931743,2.722527818612799,-2.2198045094818206,1 days 00:00:00,1 days 00:00:00,1.2095061631194273,3.626485683818572,0.28277386699761253,0.12162340364176097,1.3267994230750604,0.49575747728744846,14,7.979558439352157,282.27444372144294,3.5381317948668283,0.01266268026732325,0.3636873892949122,0.0,None,None,0.00008339687773552483,0.021016013189352256,0.478696110264049,0.017266598185726956,0.0894452378401153,-0.9993934745706388,8338.511904761905,0.015830162684617417,0.012093242205075978,0.481500781657113,0.963001563314226,0.17511576222433498,0 days 23:59:59.999999999,false
Most Avg Winning Trade [%],14,21,24,0,5757,5758 days 00:00:00,1000.0,1434.2378314497541,43.42378314497542,78924.32651473526,100.0,596.2103072664937,35.38889116408501,1893 days 00:00:00,168,168,0,0.0,43.452380952380956,27.89057771158615,-8.670062795382966,3.390590948655304,-2.08541576762516,1 days 00:00:00,1 days 00:00:00,1.121806893163056,2.58474899672472,0.23331470441557198,0.06534223455035439,1.2403511380005245,0.4793165323833235,14,15.378680753218795,542.376989089622,4.172090191456313,0.013553951769054743,0.29403953171099406,0.0,None,None,0.00008582046638456003,0.021626757528909128,0.4342378314497519,0.01590841198765447,0.11155664954851784,-0.9994498048312536,8338.511904761905,0.020147479780422167,0.0074165535807694215,0.6128191766545075,1.225638353309015,0.18019306372700833,0 days 23:59:59.999999999,false
Least Max Drawdown [%],30,34,35,0,5757,5758 days 00:00:00,1000.0,1307.9787644973067,30.797876449730666,78924.32651473526,100.0,256.6308181685459,17.50877171741236,2194 days 00:00:00,102,102,0,0.0,49.01960784313725,15.595319757269921,-11.298120775846321,2.8530333237393113,-2.093736425521166,1 days 00:00:00,1 days 00:00:00,1.2227314066934807,3.0193996519343713,0.22495232670604903,0.09803547299570872,1.296335702515366,0.40917364548990953,14,10.245213054507778,399.36132848316424,3.6933337939588733,0.009290096406660824,0.33115070646926403,0.0,None,None,0.00005867933634952224,0.014787192760079605,0.307978764497306,0.011819516887644266,0.07911182561269324,-0.9996097796736476,8338.511904761905,0.012232398438113459,0.006511420099548061,0.372068785825951,0.744137571651902,0.12321084128142497,0 days 23:59:59.999999999,false
Most Profit Factor,30,34,35,0,5757,5758 days 00:00:00,1000.0,1307.9787644973067,30.797876449730666,78924.32651473526,100.0,256.6308181685459,17.50877171741236,2194 days 00:00:00,102,102,0,0.0,49.01960784313725,15.595319757269921,-11.298120775846321,2.8530333237393113,-2.093736425521166,1 days 00:00:00,1 days 00:00:00,1.2227314066934807,3.0193996519343713,0.22495232670604903,0.09803547299570872,1.296335702515366,0.40917364548990953,14,10.245213054507778,399.36132848316424,3.6933337939588733,0.009290096406660824,0.33115070646926403,0.0,None,None,0.00005867933634952224,0.014787192760079605,0.307978764497306,0.011819516887644266,0.07911182561269324,-0.9996097796736476,8338.511904761905,0.012232398438113459,0.006511420099548061,0.372068785825951,0.744137571651902,0.12321084128142497,0 days 23:59:59.999999999,false
Mean Best Trade [%],20,31,33,0,5757,5758 days 00:00:00,1000.0,1165.942364362091,16.594236436209098,78924.32651473526,100.0,264.78642189055034,32.4228366776622,4121 days 00:00:00,114,114,0,0.0,49.122807017543856,15.595319757269912,-8.953764977059125,2.539063156648235,-2.067409422878808,1 days 00:00:00,1 days 00:00:00,1.113522792795599,1.4556347751060468,0.14857158278527027,0.03016320736362965,1.1774447406142199,0.25432784010463644,14,9.658882328861889,394.8199983559615,3.3726806976915804,0.010352693454992103,0.19541921267833584,0.0,None,None,0.000038709932019310435,0.00975490286886623,0.16594236436208853,0.006741880389272481,0.07901933330642552,-0.9997897449725704,8338.511904761905,0.013671504136715041,0.0024379161961541065,0.4158415841584158,0.8316831683168316,0.08126343497514955,0 days 23:59:59.999999999,false
