Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],9,28,21,0,3483,145 days 04:00:00,1000.0,1314.9222898489613,31.49222898489613,1270.8649495150526,100.0,253.4751119248354,13.84886888748969,47 days 19:00:00,108,108,0,0.0,46.2962962962963,19.449646320742833,-9.153982406321543,1.9975107143032473,-1.1764770569683525,0 days 01:00:00,0 days 01:00:00,1.3880139818470196,2.9159471282311378,1.6694351793170228,7.152023651239395,1.4309618805848807,3.657155411638264,14,18.439443713659696,722.3043257495119,4.188815686803016,0.016039661708953046,0.2929617260277586,0.0,None,None,0.00009084573944255736,0.5494350321485869,0.31492228984896276,0.6084327489830039,0.39608915143291173,0.22234496510910642,-0.9752198461395026,0.7441860465116279,15.627906976744187,31.255813953488374,4.578378602108228,0 days 00:59:59.999999999,false
Most Profit Factor,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Expectancy,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Sharpe Ratio,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Calmar Ratio,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Omega Ratio,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Sortino Ratio,20,24,35,0,3483,145 days 04:00:00,1000.0,1285.8195065820246,28.58195065820247,1270.8649495150526,100.0,180.58675204411978,8.31126919645529,60 days 00:00:00,82,82,0,0.0,46.34146341463415,9.440522831135523,-3.1484167346332104,1.7133870802709228,-0.8740965849451179,0 days 01:00:00,0 days 01:00:00,1.667215246533241,3.4856037388051835,2.3894524221469213,10.60674262500078,1.6296026824385363,5.782201890810491,14,16.354966331903697,474.88190465268957,5.051768315559462,0.011614401858304297,0.32498121113060824,0.0,None,None,0.00007651162778674433,0.4627423248542297,0.2858195065820268,0.5471395122681613,0.2330703340259007,0.22746888972118465,-0.9775098442449696,0.5650301464254953,11.8656330749354,23.7312661498708,3.8561078075239097,0 days 00:59:59.999999999,false
Most Worst Trade [%],18,27,35,0,3483,145 days 04:00:00,1000.0,1265.1702327343928,26.517023273439282,1270.8649495150526,100.0,179.69584991772228,8.077357008015223,60 days 00:00:00,83,83,0,0.0,45.78313253012048,9.440522831135524,-3.0438543999767127,1.6585397121389844,-0.8452585637753424,0 days 01:00:00,0 days 01:00:00,1.6415285738455725,3.1948220811372616,2.2706993430397224,9.984723273879121,1.5950658971715344,5.611122486169724,14,17.098296180156787,498.40672898320037,4.863005784059556,0.011908219575951206,0.3010587191733856,0.0,None,None,0.00007174559529185642,0.4339173603251476,0.26517023273439433,0.5042639094739065,0.22998184483947523,0.21072446727921632,-0.9791346647151156,0.5719207579672696,12.010335917312661,24.020671834625322,3.6158163481082592,0 days 00:59:59.999999999,false
Least Max Drawdown [%],18,28,33,0,3483,145 days 04:00:00,1000.0,1212.1634842655271,21.216348426552702,1270.8649495150526,100.0,173.56939155018765,7.511902837206877,68 days 03:00:00,82,82,0,0.0,43.90243902439025,9.440522831135523,-3.148416734633185,1.6631145896822506,-0.8516834391495594,0 days 01:00:00,0 days 01:00:00,1.510795027700621,2.587359564213741,1.8893839107298247,8.282745787745842,1.4830796645633963,4.4938993825116835,14,17.02436035204236,509.3507383089617,4.917579940394416,0.011027278003482298,0.2523742320448939,0.0,None,None,0.000059422729150037435,0.3593886658994264,0.21216348426552578,0.3965512102559865,0.2289234728347473,0.1673507525072054,-0.9833055837800478,0.5650301464254953,11.8656330749354,23.7312661498708,2.994580035013315,0 days 00:59:59.999999999,false
Most Avg Losing Trade [%],20,25,33,0,3483,145 days 04:00:00,1000.0,1189.1431737208422,18.914317372084234,1270.8649495150526,100.0,168.30935137229636,10.090643578042076,99 days 04:00:00,81,81,0,0.0,40.74074074074074,9.440522831135535,-3.1484167346331846,1.7678468913046839,-0.8239251025785629,0 days 01:00:00,0 days 01:00:00,1.4612397588858042,2.335100910133856,1.7075240421900069,5.409386476101373,1.437841287714008,4.079713058677781,14,17.162818010524063,507.7859756876818,5.032444506999032,0.010440835266821347,0.23198200604053765,0.0,None,None,0.00005395704476858633,0.32633220676041014,0.18914317372084355,0.3508329400054271,0.230006056679935,0.1410095081845228,-0.9851169729881198,0.5581395348837209,11.720930232558139,23.441860465116278,2.7190449080100225,0 days 00:59:59.999999999,false
