Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Least Total Fees Paid,27,33,35,0,3486,145 days 07:00:00,1000.0,908.173235652531,-9.182676434746895,49.66262239725043,100.0,101.13467126346957,9.182676434746782,145 days 06:00:00,53,53,0,0.0,7.547169811320755,0.6049134493018306,-0.6359874622473727,0.3093969655776934,-0.2215892953349317,0 days 01:00:00,0 days 01:00:00,0.11525500176465027,-1.732580459386208,-8.293302889766007,-2.3405337037835343,0.1947619475074596,-9.625642621149412,-0.15909829746429824,-1.1849011588895735,364.8881239242685,7.662650602409639,16,-13.276158700838895,0
Most Avg Winning Trade [%],24,34,34,0,3486,145 days 07:00:00,1000.0,901.188766419922,-9.881123358007802,49.66262239725043,100.0,109.23333588321702,10.715128877333346,131 days 08:00:00,57,57,0,0.0,10.526315789473683,1.1329412720947558,-1.0195637679846246,0.3728086320835535,-0.24738155865205047,0 days 01:00:00,0 days 01:00:00,0.18388992896714465,-1.7335304136855791,-6.712270883050108,-2.146531049702896,0.25379054273914514,-8.369688933975482,-0.23877829389608524,-1.1989649938130305,392.4268502581756,8.240963855421688,17,-14.285961481457065,0
Least Best Trade [%],30,35,35,0,3486,145 days 07:00:00,1000.0,899.3188501652421,-10.06811498347579,49.66262239725043,100.0,102.98933455676833,10.068114983475732,145 days 06:00:00,54,54,0,0.0,12.962962962962962,0.23525234829886388,-1.579311437769259,0.1208996536563256,-0.24338121280110706,0 days 01:00:00,0 days 01:00:00,0.07377386624336389,-1.8644657376806981,-7.6185248578907965,-2.324278137116932,0.17431046245347254,-7.951546215934663,-0.2996157062388633,-1.202730232466202,371.77280550774526,7.80722891566265,16,-14.55631081948304,0
Least Max Drawdown Duration,23,34,35,0,3486,145 days 07:00:00,1000.0,895.5542475731488,-10.444575242685119,49.66262239725043,100.0,112.91084904982141,11.273366294196554,131 days 08:00:00,59,59,0,0.0,10.16949152542373,1.1329412720947558,-1.0195637679846332,0.37280863208354714,-0.24987478698873808,0 days 01:00:00,0 days 01:00:00,0.17569827337197846,-1.7702669902856127,-7.062567835160284,-2.147014321458387,0.2428432453515714,-8.764749723197045,-0.24383842841399625,-1.210310586483717,406.1962134251291,8.53012048192771,18,-15.100590712315828,0
Most Sortino Ratio,17,35,35,0,3486,145 days 07:00:00,1000.0,891.8263583977798,-10.817364160222018,49.66262239725043,100.0,128.19812899045624,10.817364160222063,145 days 06:00:00,68,68,0,0.0,25.0,0.6049134493018293,-1.699648888145784,0.1743786416481969,-0.2818450540527563,0 days 01:00:00,0 days 01:00:00,0.2055951278524765,-1.5907888470914737,-6.015711450543453,-2.3105641092854596,0.31807632251285034,-6.678356291820234,-0.6025715329891946,-1.2178170148506078,468.15834767641996,9.83132530120482,20,-15.639562641284853,0
Least Win Rate [%],28,32,32,0,3486,145 days 07:00:00,1000.0,886.7790521066906,-11.322094789330936,49.66262239725043,100.0,107.95589692675604,11.322094789330924,145 days 06:00:00,57,57,0,0.0,7.017543859649122,0.37105457949961457,-1.0195637679846288,0.2462389384905088,-0.24498043911828277,0 days 01:00:00,0 days 01:00:00,0.07933774994826574,-1.9863324191808636,-8.98581155700543,-2.301347061229465,0.15256590654730837,-9.619622114073204,-0.18239967118281572,-1.2279802040811638,392.4268502581756,8.240963855421688,17,-16.369293671321817,0
Most Win Rate [%],23,28,34,0,3486,145 days 07:00:00,1000.0,886.2601472822106,-11.37398527177894,49.66262239725043,100.0,130.08046605284102,11.37398527177894,145 days 06:00:00,69,69,0,0.0,26.08695652173913,0.37442462069297594,-1.1853036947404416,0.13960576318190787,-0.285504542934721,0 days 01:00:00,0 days 01:00:00,0.17261553257759588,-1.6484036625766547,-7.400094114477202,-2.3004004501762,0.29190304934077366,-8.227590421586914,-0.6515429496350413,-1.2290250639766591,475.04302925989674,9.975903614457831,20,-16.444316055583975,0
Least Omega Ratio,16,21,27,0,3486,145 days 07:00:00,1000.0,813.5594381269534,-18.64405618730466,49.66262239725043,100.0,164.08785702866092,18.64405618730467,145 days 06:00:00,90,90,0,0.0,11.11111111111111,0.37105457949961274,-1.1915595123485416,0.11538938202852024,-0.27193438036660683,0 days 01:00:00,0 days 01:00:00,0.05470791832138211,-2.0715617985894053,-11.395844192403588,-2.1695976533350234,0.11776336668322973,-11.769526887799922,-0.3487477775403039,-1.3754142509465406,619.6213425129088,13.012048192771084,27,-26.95526195754889,0
Median Best Trade [%],12,20,32,0,3486,145 days 07:00:00,1000.0,800.5663884491731,-19.943361155082687,49.66262239725043,100.0,183.69453197146913,19.94336115508271,145 days 06:00:00,101,101,0,0.0,15.841584158415841,0.9015695259360617,-1.3326917988952283,0.14028936169611048,-0.2875405225963038,0 days 01:00:00,0 days 01:00:00,0.09638717303026569,-1.9745902133745135,-10.463173813193007,-2.1466061973877184,0.1715715687877029,-11.297582540880775,-0.4739490461144947,-1.4015768840307323,695.3528399311532,14.602409638554217,30,-28.833775163974824,0
Median Avg Losing Trade [%],9,19,21,0,3486,145 days 07:00:00,1000.0,795.0979189425758,-20.49020810574242,49.66262239725043,100.0,209.9205414204501,20.505014794275894,145 days 06:00:00,119,119,0,0.0,21.008403361344538,0.6615629312429806,-1.3326917988952316,0.13316592108811579,-0.2788695828853013,0 days 01:00:00,0 days 01:00:00,0.12219494998106861,-1.7218662273733127,-10.890581627470047,-2.135421948044669,0.22492874183854789,-11.964946238562334,-0.548085761195987,-1.4125881219449432,819.277108433735,17.20481927710843,35,-29.62439726131434,0
Median Sortino Ratio,8,22,25,0,3486,145 days 07:00:00,1000.0,784.982009834174,-21.501799016582595,49.66262239725043,100.0,216.31713463038315,21.559673025775762,139 days 17:00:00,121,121,0,0.0,16.528925619834713,0.5332070293852655,-1.3326917988952363,0.13695660632866047,-0.26639363498037355,0 days 01:00:00,0 days 01:00:00,0.10524497812807064,-1.7770081831886466,-11.661228581842156,-2.1134971479531828,0.18706037650212748,-12.477394541590439,-0.4450308497842842,-1.4329573828097535,833.0464716006885,17.49397590361446,35,-31.086938337227892,0
Mean Sharpe Ratio,7,17,32,0,3486,145 days 07:00:00,1000.0,783.6329096125961,-21.63670903874039,49.66262239725043,100.0,216.59952194679033,21.651302220461627,145 days 06:00:00,123,123,0,0.0,17.073170731707318,0.6615629312429853,-1.3326917988952245,0.12156975815240124,-0.26358867220798265,0 days 01:00:00,0 days 01:00:00,0.09298759283697489,-1.7590820356699446,-11.166571496416541,-2.1153934060729216,0.18876962303826061,-11.877658820825499,-0.45504708978897307,-1.435673913183012,846.815834767642,17.783132530120483,36,-31.28198897167275,0
Least Expectancy,16,19,22,0,3486,145 days 07:00:00,1000.0,782.2174894764338,-21.77825105235662,49.66262239725043,100.0,175.00089850427668,21.778251052356598,145 days 06:00:00,98,98,0,0.0,14.285714285714285,0.3710545794996155,-1.3326917988952218,0.10825853870666065,-0.3098970821606834,0 days 01:00:00,0 days 01:00:00,0.058780845172446396,-2.222270515546588,-11.687131018743374,-2.1143396041360654,0.12711132595174968,-12.030834404349676,-0.481010934100993,-1.438523984459636,674.6987951807229,14.16867469879518,29,-31.48662802750346,0
Median Total Trades,6,23,34,0,3486,145 days 07:00:00,1000.0,778.0578418895096,-22.194215811049038,49.66262239725043,100.0,215.43752476913724,22.194215811049105,145 days 06:00:00,122,121,1,-0.7780578418894493,17.355371900826448,0.7207341737346427,-1.3326917988952236,0.1101073188246773,-0.27259536231431986,0 days 01:00:00,0 days 01:00:00,0.08430595164023827,-1.8278024815586893,-11.529529809390008,-2.1070579338763347,0.17325269819960754,-12.24611662164624,-0.4806392701318868,-1.44689979585689,833.0464716006885,17.63855421686747,36,-32.239793168697844,1
Median Calmar Ratio,11,17,23,0,3486,145 days 07:00:00,1000.0,775.2367408089458,-22.47632591910542,49.66262239725043,100.0,207.2447887277666,22.53348144331158,139 days 17:00:00,117,117,0,0.0,17.094017094017094,0.3710545794996072,-1.3326917988952258,0.1322309885640248,-0.28922418011902934,0 days 01:00:00,0 days 01:00:00,0.09628995418959108,-1.9210534973594346,-11.709020618611268,-2.0967944577019573,0.17643272826436115,-12.316210947482544,-0.4975533533694469,-1.452580327702345,805.5077452667814,16.91566265060241,34,-32.495892895092126,0
Median Max Drawdown [%],8,18,31,0,3486,145 days 07:00:00,1000.0,774.7075698664562,-22.52924301335438,49.66262239725043,100.0,212.04394447568876,22.586359523616757,139 days 18:00:00,120,120,0,0.0,15.0,0.3710545794996192,-1.3326917988952343,0.11571942730604834,-0.27025039495877834,0 days 01:00:00,0 days 01:00:00,0.07806685763599498,-1.8774369177795283,-12.148392341260065,-2.09588850892913,0.15981062035226293,-12.683765810922676,-0.4266902085862564,-1.4536458593173627,826.1617900172117,17.349397590361445,35,-32.572399537379766,0
Median Total Return [%],13,16,22,0,3486,145 days 07:00:00,1000.0,774.5266041675068,-22.54733958324932,49.66262239725043,100.0,208.79761228298457,22.60444275153648,139 days 17:00:00,118,118,0,0.0,16.94915254237288,0.37105457949961806,-1.3326917988952331,0.1094941422164058,-0.2825908199376825,0 days 01:00:00,0 days 01:00:00,0.08103237631806959,-1.910791490105874,-11.972510554832175,-2.0955787178738436,0.16389873254773182,-12.490386885436093,-0.4907014612495823,-1.454010249456695,812.3924268502582,17.06024096385542,35,-32.59856325289057,0
Mean Avg Losing Trade [%],5,22,34,0,3486,145 days 07:00:00,1000.0,770.3721023720673,-22.962789762793275,49.66262239725043,100.0,232.0962931941404,22.962789762793214,145 days 06:00:00,132,132,0,0.0,19.696969696969695,0.7207341737346502,-1.3326917988952194,0.12369383968383993,-0.27595751144379205,0 days 01:00:00,0 days 01:00:00,0.10909766694916315,-1.7396052850600967,-11.46688614131478,-2.0936359772240873,0.20681947740979237,-12.319376497414652,-0.5191659482502584,-1.462375699356235,908.7779690189329,19.08433734939759,39,-33.19921411488185,0
Least Avg Winning Trade [%],5,28,30,0,3486,145 days 07:00:00,1000.0,767.760880026591,-23.223911997340895,49.66262239725043,100.0,225.0407799219239,23.22391199734084,145 days 06:00:00,128,127,1,-0.7677608800264579,16.535433070866144,0.37105457949961557,-1.3326917988952338,0.07772398700854856,-0.263368454080042,0 days 01:00:00,0 days 01:00:00,0.05931080907965766,-1.8226091267195446,-12.672453473837818,-2.089085444828507,0.15433133318484524,-13.083259026419698,-0.4566307762003155,-1.4676336221549726,874.354561101549,18.50602409638554,38,-33.7292484173641,1
Mean Win Rate [%],4,27,35,0,3486,145 days 07:00:00,1000.0,765.1532898362233,-23.48467101637767,49.66262239725043,100.0,238.7647788026367,23.48467101637765,145 days 06:00:00,135,135,0,0.0,17.037037037037038,1.1024529902180709,-1.3326917988952316,0.1481073247268858,-0.26897519926178326,0 days 01:00:00,0 days 01:00:00,0.11365841476423505,-1.7396052604724208,-12.069893495760992,-2.084546092143191,0.1961873270769385,-13.453910660875662,-0.4490563523105015,-1.4728842312941957,929.4320137693632,19.518072289156624,40,-33.95374122849785,0
Mean Total Trades,3,34,35,0,3486,145 days 07:00:00,1000.0,763.5618787453315,-23.643812125466855,49.66262239725043,100.0,248.65645156969774,23.64381212546674,145 days 06:00:00,142,142,0,0.0,19.718309859154928,1.3466821149559602,-1.3326917988952265,0.18167558966112868,-0.28067532947174484,0 days 01:00:00,0 days 01:00:00,0.15530386712964278,-1.6650571919342856,-10.715022084478107,-2.0817781113035467,0.24427014487593451,-12.77525446847559,-0.4974562673299188,-1.4760886756309488,977.6247848537005,20.53012048192771,42,-34.183824759711115,0
Mean Total Return [%],20,21,7,0,3486,145 days 07:00:00,1000.0,759.392256062105,-24.060774393789494,49.66262239725043,100.0,224.19501915392613,24.07491615462476,145 days 06:00:00,129,129,0,0.0,18.6046511627907,0.3710545794996145,-1.2885842332636577,0.10083685039483051,-0.28475345179790207,0 days 01:00:00,0 days 01:00:00,0.07939172456480864,-1.8651763095960847,-12.97470708927295,-2.07331576897554,0.16796280534345862,-13.600116457529412,-0.5257720393505525,-1.4844845727502627,888.1239242685026,18.65060240963855,38,-34.78666177415348,0
Mean Sortino Ratio,5,17,33,0,3486,145 days 07:00:00,1000.0,759.0815276669416,-24.091847233305838,49.66262239725043,100.0,242.47863983475466,24.105983207610223,145 days 06:00:00,141,141,0,0.0,18.439716312056735,1.1024529902180855,-1.3291372080702237,0.15031765354904456,-0.273147957992474,0 days 01:00:00,0 days 01:00:00,0.12000145595996155,-1.7086416477521869,-11.351386756630994,-2.072778833319,0.21645281708260142,-12.53315668767176,-0.4773767767199318,-1.4851102513394396,970.7401032702237,20.3855421686747,41,-34.831586361406025,0
Mean Max Drawdown [%],12,22,12,0,3486,145 days 07:00:00,1000.0,758.3315741042167,-24.166842589578337,49.66262239725043,100.0,219.6923514043609,24.18096459789365,145 days 06:00:00,127,127,0,0.0,17.322834645669293,0.3710545794996191,-1.288584233263675,0.11005395051342512,-0.2861063801976042,0 days 01:00:00,0 days 01:00:00,0.07906935144408068,-1.9029009913053812,-13.20515818023922,-2.071483178998518,0.1595032370336121,-13.840114783837704,-0.4994490790827773,-1.486620347920176,874.354561101549,18.36144578313253,37,-34.940013382522906,0
Mean Expectancy,4,29,29,0,3486,145 days 07:00:00,1000.0,757.309919123281,-24.2690080876719,49.66262239725043,100.0,245.1834165334118,24.26900808767199,145 days 06:00:00,141,140,1,-0.7573099191231449,20.714285714285715,1.1024529902180824,-1.3326917988952212,0.12455519033161466,-0.2815511276164551,0 days 01:00:00,0 days 01:00:00,0.1142520660133931,-1.7280912211256798,-11.663451178150465,-2.070921444833199,0.20997423154633033,-12.850123284491962,-0.5423662923446398,-1.4886775388851705,963.855421686747,20.3855421686747,41,-35.228076459574105,1
Least Profit Factor,7,22,30,0,3486,145 days 07:00:00,1000.0,754.0133819084894,-24.598661809151064,49.66262239725043,100.0,214.8830506709777,24.598661809151007,145 days 06:00:00,123,123,0,0.0,13.008130081300814,0.3710545794996159,-1.3326917988952325,0.08773875996853427,-0.2765791065028812,0 days 01:00:00,0 days 01:00:00,0.048765775352231595,-1.9998912039960224,-13.42967462840658,-2.0652082016781246,0.11923171710298784,-13.761353991305194,-0.39416431712166,-1.4953154026460143,846.815834767642,17.783132530120483,36,-35.564330326483486,0
Mean Calmar Ratio,6,25,26,0,3486,145 days 07:00:00,1000.0,752.8578677023867,-24.714213229761334,49.66262239725043,100.0,224.74122749517485,24.7142132297613,145 days 06:00:00,129,129,0,0.0,15.503875968992247,0.3710545794996038,-1.3326917988952314,0.08741637653562387,-0.2760002433963192,0 days 01:00:00,0 days 01:00:00,0.059928418247072686,-1.9158304829272348,-12.583327711039997,-2.063207419316349,0.1459885604483048,-12.945351305684266,-0.4500423967411874,-1.497642130777404,888.1239242685026,18.65060240963855,38,-35.731392621341676,0
Median Worst Trade [%],6,16,32,0,3486,145 days 07:00:00,1000.0,750.9475320120335,-24.905246798796647,49.66262239725043,100.0,220.59377045679662,24.91923129799675,145 days 06:00:00,128,128,0,0.0,16.40625,0.371054579499621,-1.3326917988952307,0.10121595248098914,-0.28703489331311255,0 days 01:00:00,0 days 01:00:00,0.06747455032139113,-1.9457224061559861,-12.45745756799559,-2.058745756662707,0.15100525665006,-12.883287400383706,-0.48366679130297946,-1.5014887574719677,881.2392426850258,18.50602409638554,38,-36.00758573319993,0
Median Total Fees Paid,7,15,31,0,3486,145 days 07:00:00,1000.0,750.59170420309,-24.940829579691002,49.66262239725043,100.0,214.59927271785108,24.954807452497846,145 days 06:00:00,124,124,0,0.0,15.32258064516129,0.3710545794996159,-1.332691798895213,0.10333840397151843,-0.29141201970774533,0 days 01:00:00,0 days 01:00:00,0.06311800136546623,-2.0113572241686297,-12.539558902987771,-2.058132858643946,0.1387929811411019,-12.931826282814521,-0.46695732232653914,-1.5022052476445917,853.7005163511187,17.927710843373493,36,-36.059030717625554,0
Mean Total Fees Paid,7,14,22,0,3486,145 days 07:00:00,1000.0,739.6569786922092,-26.034302130779075,49.66262239725043,100.0,240.80166831247294,26.048076371968953,145 days 06:00:00,141,141,0,0.0,17.02127659574468,1.1024529902180917,-1.2885842332636661,0.20023482112339017,-0.2982128363482183,0 days 01:00:00,0 days 01:00:00,0.13281861549713675,-1.8464044064382303,-11.613961597124971,-2.0393391282594058,0.20657161706067179,-12.958851062847382,-0.47618424408464993,-1.524223266394013,970.7401032702237,20.3855421686747,41,-37.63995488787332,0
Median Expectancy,6,13,25,0,3486,145 days 07:00:00,1000.0,739.3233968222653,-26.067660317773473,49.66262239725043,100.0,256.7413592725596,26.45530936212194,145 days 06:00:00,150,150,0,0.0,17.333333333333336,1.1024529902180848,-1.2885842332636617,0.19347417063874348,-0.2835901795198886,0 days 01:00:00,0 days 01:00:00,0.13793123647307096,-1.7378440211848978,-11.886197029851134,-2.0099540660770034,0.21892732378837154,-13.414521791852449,-0.45640348031118533,-1.524894962437922,1032.7022375215147,21.686746987951807,44,-37.68818359196164,0
Mean Profit Factor,7,12,25,0,3486,145 days 07:00:00,1000.0,735.7349136043156,-26.426508639568443,49.66262239725043,100.0,247.34544137038841,26.81227613641552,145 days 06:00:00,146,146,0,0.0,18.493150684931507,1.1024529902180844,-1.2885842332636692,0.18995891455702252,-0.30036499016918405,0 days 01:00:00,0 days 01:00:00,0.13525453434465576,-1.8100348383266036,-11.623970507834574,-2.004411574811521,0.21893016479959057,-12.995060846567661,-0.5071704092446897,-1.5321206848116733,1005.1635111876076,21.108433734939762,43,-38.20700044274952,0
Median Avg Winning Trade [%],4,22,23,0,3486,145 days 07:00:00,1000.0,682.290558064106,-31.7709441935894,49.66262239725043,100.0,270.8866968728601,31.783650130231912,145 days 06:00:00,164,164,0,0.0,14.02439024390244,1.1024529902180769,-1.3416740423768998,0.1799352316346891,-0.29987970827955884,0 days 01:00:00,0 days 01:00:00,0.09585803651707864,-1.93725269473106,-13.552247825291564,-1.942078925212458,0.16175587844989356,-14.589563601491001,-0.41164829987818163,-1.6397355326799739,1129.0877796901893,23.710843373493976,48,-45.933895219647304,0
Least Avg Losing Trade [%],5,11,33,0,3486,145 days 07:00:00,1000.0,681.9620349247191,-31.80379650752809,49.66262239725043,100.0,271.1747881266507,32.16136929943049,145 days 06:00:00,165,165,0,0.0,15.757575757575756,1.4375719267499676,-1.421962497239509,0.24272754017612483,-0.31997084344778753,0 days 01:00:00,0 days 01:00:00,0.13384039110058563,-1.9275028186380676,-11.987898737621208,-1.9207091650467965,0.20309621196945216,-13.568639154679188,-0.46019351041863865,-1.6403970425309016,1135.972461273666,23.855421686746986,48,-45.9813925410045,0
Median Omega Ratio,3,11,29,0,3486,145 days 07:00:00,1000.0,654.1133055043144,-34.588669449568556,49.66262239725043,100.0,343.382329003893,34.877480766580064,143 days 06:00:00,210,210,0,0.0,15.714285714285714,1.4375719267499638,-1.42196249723951,0.2181574741757627,-0.279955982531243,0 days 01:00:00,0 days 01:00:00,0.14577093258982365,-1.647079497598503,-14.133383801694809,-1.8801264868843226,0.21713252865144717,-16.181880309243077,-0.3921617851425007,-1.696472875976915,1445.7831325301204,30.36144578313253,61,-50.007714866846115,0
Least Worst Trade [%],4,7,24,0,3486,145 days 07:00:00,1000.0,638.2724876012495,-36.17275123987505,49.66262239725043,100.0,355.2639976037313,36.17275123987504,145 days 06:00:00,219,218,1,-0.6382724876011707,18.807339449541285,1.4375719267499683,-3.6393939747893818,0.19338045328114203,-0.29699684269204163,0 days 01:00:00,0 days 01:00:00,0.14919591820286537,-1.6563726601428825,-11.929201212273897,-1.8696476115093588,0.23421015005927126,-13.020380596310634,-0.47199943748858897,-1.7283697375166753,1500.8605851979346,31.662650602409638,64,-52.4451488054879,1
Median Win Rate [%],2,16,20,0,3486,145 days 07:00:00,1000.0,615.8185165490382,-38.41814834509618,49.66262239725043,100.0,376.6875698622468,38.53286354655283,142 days 15:00:00,235,235,0,0.0,17.02127659574468,1.4375719267499527,-1.421962497239505,0.20431841167802703,-0.28997781093370717,0 days 01:00:00,0 days 01:00:00,0.14970628685708723,-1.6348148231955841,-15.189234733679575,-1.8274115888400382,0.2185017269199249,-17.212596604203355,-0.4216156861884162,-1.7735827568224265,1617.9001721170396,33.975903614457835,68,-55.544310860380094,0
Median Sharpe Ratio,3,11,12,0,3486,145 days 07:00:00,1000.0,615.2228142301961,-38.477718576980386,49.66262239725043,100.0,409.44746815495427,38.64628357198146,145 days 06:00:00,258,257,1,-0.615222814230151,20.233463035019454,1.4375719267499552,-3.639393974789365,0.25622860125362473,-0.3004824784394284,0 days 01:00:00,0 days 01:00:00,0.2163524450911298,-1.4947936301773308,-11.478707731372666,-1.8239074134634343,0.2955096803409704,-13.160811494884697,-0.4582553281996298,-1.774782255137431,1769.3631669535284,37.3012048192771,75,-55.75760336179537,1
Mean Worst Trade [%],16,25,2,0,3486,145 days 07:00:00,1000.0,609.2918823441548,-39.070811765584516,49.66262239725043,100.0,366.1246664389347,39.07081176558454,145 days 06:00:00,230,229,1,-0.6092918823441096,15.283842794759824,1.437571926749965,-1.4762441911650392,0.20995032063882793,-0.2921755930458104,0 days 01:00:00,0 days 01:00:00,0.131009566094378,-1.7034883221550265,-15.290942244851381,-1.8222500601603095,0.1975184666865813,-17.05314155268081,-0.39448254118979703,-1.7867247011858898,1576.592082616179,33.25301204819277,67,-56.64611770057679,1
