Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Most Total Return [%],16,32,33,0,3486,145 days 07:00:00,1000.0,925.1937069322431,-7.480629306775688,49.66262239725043,100.0,141.88310617243985,8.990199563180603,141 days 22:00:00,74,74,0,0.0,22.972972972972975,1.539960252032779,-0.6696541860073232,0.2651514391598067,-0.21493755044168314,0 days 01:00:00,0 days 01:00:00,0.36433872412351315,-1.0108958522669864,-4.401083367532452,-1.9736515340497678,0.47316419890736705,-6.9797968537206225,-0.351867925645757,-1.1506289629036959,509.46643717728057,10.698795180722891,22,-10.815367672446794,0
Most Profit Factor,16,32,33,0,3486,145 days 07:00:00,1000.0,925.1937069322431,-7.480629306775688,49.66262239725043,100.0,141.88310617243985,8.990199563180603,141 days 22:00:00,74,74,0,0.0,22.972972972972975,1.539960252032779,-0.6696541860073232,0.2651514391598067,-0.21493755044168314,0 days 01:00:00,0 days 01:00:00,0.36433872412351315,-1.0108958522669864,-4.401083367532452,-1.9736515340497678,0.47316419890736705,-6.9797968537206225,-0.351867925645757,-1.1506289629036959,509.46643717728057,10.698795180722891,22,-10.815367672446794,0
Most Expectancy,16,32,33,0,3486,145 days 07:00:00,1000.0,925.1937069322431,-7.480629306775688,49.66262239725043,100.0,141.88310617243985,8.990199563180603,141 days 22:00:00,74,74,0,0.0,22.972972972972975,1.539960252032779,-0.6696541860073232,0.2651514391598067,-0.21493755044168314,0 days 01:00:00,0 days 01:00:00,0.36433872412351315,-1.0108958522669864,-4.401083367532452,-1.9736515340497678,0.47316419890736705,-6.9797968537206225,-0.351867925645757,-1.1506289629036959,509.46643717728057,10.698795180722891,22,-10.815367672446794,0
Most Sharpe Ratio,16,32,33,0,3486,145 days 07:00:00,1000.0,925.1937069322431,-7.480629306775688,49.66262239725043,100.0,141.88310617243985,8.990199563180603,141 days 22:00:00,74,74,0,0.0,22.972972972972975,1.539960252032779,-0.6696541860073232,0.2651514391598067,-0.21493755044168314,0 days 01:00:00,0 days 01:00:00,0.36433872412351315,-1.0108958522669864,-4.401083367532452,-1.9736515340497678,0.47316419890736705,-6.9797968537206225,-0.351867925645757,-1.1506289629036959,509.46643717728057,10.698795180722891,22,-10.815367672446794,0
Most Omega Ratio,16,32,33,0,3486,145 days 07:00:00,1000.0,925.1937069322431,-7.480629306775688,49.66262239725043,100.0,141.88310617243985,8.990199563180603,141 days 22:00:00,74,74,0,0.0,22.972972972972975,1.539960252032779,-0.6696541860073232,0.2651514391598067,-0.21493755044168314,0 days 01:00:00,0 days 01:00:00,0.36433872412351315,-1.0108958522669864,-4.401083367532452,-1.9736515340497678,0.47316419890736705,-6.9797968537206225,-0.351867925645757,-1.1506289629036959,509.46643717728057,10.698795180722891,22,-10.815367672446794,0
Most Avg Losing Trade [%],18,28,32,0,3486,145 days 07:00:00,1000.0,919.442144856133,-8.055785514386695,49.66262239725043,100.0,137.53017591073356,9.10738950109777,145 days 06:00:00,72,72,0,0.0,19.444444444444446,1.5399602520327773,-0.6533417899456473,0.24936979676149248,-0.2045719411255726,0 days 01:00:00,0 days 01:00:00,0.2887449770831356,-1.1188590992203786,-5.236820342791308,-2.088645883634654,0.4021870053713539,-8.347494364432228,-0.32963020599926984,-1.1622102322738541,495.697074010327,10.409638554216867,21,-11.64691881598081,0
Least Max Drawdown [%],25,35,35,0,3486,145 days 07:00:00,1000.0,916.9957067943946,-8.300429320560546,49.66262239725043,100.0,101.97630871903826,8.3004293205605,145 days 06:00:00,53,53,0,0.0,9.433962264150944,0.6049134493018287,-0.6359874622473783,0.31797384065277007,-0.21340273447596433,0 days 01:00:00,0 days 01:00:00,0.15794850926805493,-1.5661187397284073,-7.43923213203991,-2.356783052772655,0.23832879568004944,-8.99832356825943,-0.17976569556111194,-1.167136347617038,364.8881239242685,7.662650602409639,16,-12.000620704424904,0
Least Total Trades,25,35,35,0,3486,145 days 07:00:00,1000.0,916.9957067943946,-8.300429320560546,49.66262239725043,100.0,101.97630871903826,8.3004293205605,145 days 06:00:00,53,53,0,0.0,9.433962264150944,0.6049134493018287,-0.6359874622473783,0.31797384065277007,-0.21340273447596433,0 days 01:00:00,0 days 01:00:00,0.15794850926805493,-1.5661187397284073,-7.43923213203991,-2.356783052772655,0.23832879568004944,-8.99832356825943,-0.17976569556111194,-1.167136347617038,364.8881239242685,7.662650602409639,16,-12.000620704424904,0
Least Calmar Ratio,25,35,35,0,3486,145 days 07:00:00,1000.0,916.9957067943946,-8.300429320560546,49.66262239725043,100.0,101.97630871903826,8.3004293205605,145 days 06:00:00,53,53,0,0.0,9.433962264150944,0.6049134493018287,-0.6359874622473783,0.31797384065277007,-0.21340273447596433,0 days 01:00:00,0 days 01:00:00,0.15794850926805493,-1.5661187397284073,-7.43923213203991,-2.356783052772655,0.23832879568004944,-8.99832356825943,-0.17976569556111194,-1.167136347617038,364.8881239242685,7.662650602409639,16,-12.000620704424904,0
Most Worst Trade [%],26,34,35,0,3486,145 days 07:00:00,1000.0,915.5370870123759,-8.446291298762413,49.66262239725043,100.0,101.88848645238477,8.446291298762413,145 days 06:00:00,53,53,0,0.0,9.433962264150944,0.6049134493018277,-0.6359874622473723,0.31797384065276935,-0.21671230421155385,0 days 01:00:00,0 days 01:00:00,0.1555822244347841,-1.5936398676910186,-7.5037259575294,-2.3540929473310066,0.23978230672057976,-9.045059498321645,-0.18292468637408385,-1.1700734051295294,364.8881239242685,7.662650602409639,16,-12.211505492186602,0
