Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Total Fees Paid,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Win Rate [%],6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Expectancy,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Sharpe Ratio,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Calmar Ratio,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Omega Ratio,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Sortino Ratio,6,7,10,0,2657,2658 days 00:00:00,1000.0,24647.78073187498,2364.778073187498,10404.844754898522,100.0,3340.418172475105,16.971206648919765,858 days 00:00:00,180,180,0,0.0,59.44444444444444,93.03622255826582,-10.588222956515224,5.1944560462110045,-2.3497111741547116,1 days 00:00:00,1 days 00:00:00,2.5041166251056928,131.37655962152778,1.0852957078480037,3.257391400457586,3.1060512388739694,5.6201378750220385,118.32737272309319,-0.772723367922027,67.74557771923222,2.0323673315769666,5,267.00542790976664,1 days 00:00:00,0
Most Profit Factor,4,10,10,0,2657,2658 days 00:00:00,1000.0,19918.797797729658,1891.8797797729655,10404.844754898522,100.0,2814.2406837785015,16.97120664891982,831 days 00:00:00,185,185,0,0.0,57.83783783783784,93.03622255826579,-10.588222956515224,5.028874319615369,-2.257687267712964,1 days 00:00:00,1 days 00:00:00,2.5559441480941985,102.26377187961972,1.0285227600036906,2.9936151493682215,2.934596888927499,5.271388118232938,89.61690082816797,-0.8181731852479315,69.62739932254422,2.0888219796763265,5,213.61081442675552,0 days 23:59:59.999999999,0
Least Max Drawdown [%],4,8,13,0,2657,2658 days 00:00:00,1000.0,18220.02839260052,1722.0028392600523,10404.844754898522,100.0,2771.527417116703,15.692280612782728,898 days 00:00:00,186,186,0,0.0,56.451612903225815,93.03622255826582,-10.588222956515224,5.112505377340195,-2.2660656651395317,1 days 00:00:00,1 days 00:00:00,2.3524771938327937,92.58079780968025,1.0025969395689327,3.1206734416819186,2.817518871422722,5.002450204870705,79.18689939733159,-0.8344999007842624,70.00376364320663,2.1001129092961985,5,194.4301286330507,0 days 23:59:59.999999999,0
