Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],16,19,30,0,270,271 days 00:00:00,1000.0,1432.256812935244,43.2256812935244,1.7836932307933706,100.0,16.53764198054497,3.091117722144014,54 days 00:00:00,7,7,0,0.0,85.71428571428571,16.315598811100386,-2.997203048706035,6.820471827014561,-2.997203048706035,1 days 00:00:00,1 days 00:00:00,13.079287925365632,61.75097327646341,2.124400804131181,20.132804290091215,11.545332320340528,15.129474252765661,14,9.86102638354354,113.49080514087026,15.3937764271207,0.022641509433962263,5.41794684476876,0.0,None,None,0.0013994954691542664,0.3526728582268751,0.4322568129352442,0.3966325589906998,0.19979367817595328,0.583471198667405,23.233809125517627,0.025925925925925925,0.5444444444444444,1.0888888888888888,2.9497710599296583,0 days 23:59:59.999999999,false
Most Expectancy,16,19,30,0,270,271 days 00:00:00,1000.0,1432.256812935244,43.2256812935244,1.7836932307933706,100.0,16.53764198054497,3.091117722144014,54 days 00:00:00,7,7,0,0.0,85.71428571428571,16.315598811100386,-2.997203048706035,6.820471827014561,-2.997203048706035,1 days 00:00:00,1 days 00:00:00,13.079287925365632,61.75097327646341,2.124400804131181,20.132804290091215,11.545332320340528,15.129474252765661,14,9.86102638354354,113.49080514087026,15.3937764271207,0.022641509433962263,5.41794684476876,0.0,None,None,0.0013994954691542664,0.3526728582268751,0.4322568129352442,0.3966325589906998,0.19979367817595328,0.583471198667405,23.233809125517627,0.025925925925925925,0.5444444444444444,1.0888888888888888,2.9497710599296583,0 days 23:59:59.999999999,false
Most Sharpe Ratio,16,19,30,0,270,271 days 00:00:00,1000.0,1432.256812935244,43.2256812935244,1.7836932307933706,100.0,16.53764198054497,3.091117722144014,54 days 00:00:00,7,7,0,0.0,85.71428571428571,16.315598811100386,-2.997203048706035,6.820471827014561,-2.997203048706035,1 days 00:00:00,1 days 00:00:00,13.079287925365632,61.75097327646341,2.124400804131181,20.132804290091215,11.545332320340528,15.129474252765661,14,9.86102638354354,113.49080514087026,15.3937764271207,0.022641509433962263,5.41794684476876,0.0,None,None,0.0013994954691542664,0.3526728582268751,0.4322568129352442,0.3966325589906998,0.19979367817595328,0.583471198667405,23.233809125517627,0.025925925925925925,0.5444444444444444,1.0888888888888888,2.9497710599296583,0 days 23:59:59.999999999,false
Most Avg Winning Trade [%],9,22,35,0,270,271 days 00:00:00,1000.0,1258.1879529625767,25.818795296257658,1.7836932307933706,100.0,15.404470021736731,2.6550884711217733,45 days 00:00:00,7,7,0,0.0,57.14285714285714,16.315598811100376,-2.6577435595928987,7.428986157832851,-1.6999529844256251,1 days 00:00:00,1 days 00:00:00,5.304398521009359,36.883993280368045,1.5086814947540956,13.653866749484962,5.476463047806879,9.275265544246304,14,11.892573012416296,158.87618351266823,13.691157619517197,0.0149812734082397,3.516583668293504,0.0,None,None,0.0009083684494005107,0.2289088492489287,0.25818795296257613,0.2380902228968691,0.18260437585642939,0.33293099818163346,13.474907932892524,0.025925925925925925,0.5444444444444444,1.0888888888888888,1.914584441626463,0 days 23:59:59.999999999,false
Most Total Fees Paid,2,17,2,0,270,271 days 00:00:00,1000.0,1242.5423281806384,24.25423281806385,1.7836932307933706,100.0,113.5764590450439,28.476355003810237,80 days 00:00:00,41,41,0,0.0,53.65853658536586,10.019347063452704,-8.159274933434515,3.683625324710244,-2.9230479567886913,1 days 00:00:00,1 days 00:00:00,1.294095302739012,5.915666540991182,1.0665785246044777,1.1931008960115508,1.4417851435470574,1.807016028569288,14,1.4419285725901791,15.956752211134116,3.932141300582885,0.08835341365461848,0.6219962430400059,-0.006876094630266769,None,None,0.0009411786667430313,0.2371770240192439,0.24254232818063826,0.22376764968012663,0.26762454522320667,0.32387970051787296,12.597760197405576,0.15185185185185185,3.1888888888888887,6.377777777777777,1.9834769083609076,0 days 23:59:59.999999999,false
Median Best Trade [%],10,34,27,0,270,271 days 00:00:00,1000.0,1154.02925102802,15.40292510280202,1.7836932307933706,100.0,15.173225971101344,3.091117722144011,140 days 00:00:00,7,7,0,0.0,71.42857142857143,6.24284932875133,-2.9972030487060386,3.624602682230459,-1.6630338273469985,1 days 00:00:00,1 days 00:00:00,5.133695857305783,22.00417871828862,1.746007417484684,6.884997342005779,4.8682928512505415,5.884857295848666,14,7.555276011701208,74.86005567954349,8.762927132250974,0.018796992481203006,2.1138493937797573,0.0,None,None,0.0005460385629947446,0.13760171787467562,0.15402925102802034,0.14249616855667302,0.09484707306415013,0.22764531933012772,7.635411536517936,0.025925925925925925,0.5444444444444444,1.0888888888888888,1.1508735588356456,0 days 23:59:59.999999999,false
Mean Best Trade [%],5,8,12,0,270,271 days 00:00:00,1000.0,1135.700166800424,13.570016680042396,1.7836932307933706,100.0,35.064858545034866,10.066365993861845,216 days 00:00:00,17,17,0,0.0,64.70588235294117,8.196562482380472,-5.398730000872379,3.008252285465861,-3.1925609536030164,1 days 00:00:00,1 days 00:00:00,1.6777883368535969,7.982362752966127,1.0278775285978263,1.8571806444039287,1.688127608262065,1.8912541546911212,14,3.3356721713106547,40.83956208952912,3.5297213627297728,0.0423076923076923,0.8197299657944919,-0.0009990009990009177,None,None,0.0005142844177197289,0.12959967326537167,0.13570016680042363,0.1256130344997164,0.15174301079570088,0.2134208194967908,6.6078198009455775,0.06296296296296296,1.3222222222222222,2.6444444444444444,1.0838651769949392,0 days 23:59:59.999999999,false
Mean Sortino Ratio,2,13,17,0,270,271 days 00:00:00,1000.0,1126.336134808469,12.633613480846906,1.7836932307933706,100.0,37.967757981461666,9.151488038820272,177 days 00:00:00,18,18,0,0.0,66.66666666666666,8.1965624823805,-6.771068095461376,2.809091707536402,-3.421283969367852,1 days 00:00:00,1 days 00:00:00,1.557966016523509,7.018674156026062,0.9463319450352511,1.8990165165230892,1.6067961036931284,1.6165138239859966,14,2.4216142641270024,41.06654522810096,3.2135922073862564,0.04633204633204633,0.7322998152349829,-0.0009990009990009123,None,None,0.0004864647555729854,0.12258911840439232,0.12633613480846906,0.11698035847924015,0.15590303974358657,0.2027907180650722,6.082839841931558,0.06666666666666667,1.4,2.8,1.025219741328976,0 days 23:59:59.999999999,false
Mean Calmar Ratio,3,20,8,0,270,271 days 00:00:00,1000.0,1114.5591925206954,11.455919252069533,1.7836932307933706,100.0,40.81860226968172,7.9611602893046545,130 days 00:00:00,19,19,0,0.0,68.42105263157895,8.196562482380486,-6.771068095461387,2.6526304042057895,-3.7115288535053477,1 days 00:00:00,1 days 00:00:00,1.4598895709899347,6.029431185299758,0.8506919070869849,1.9756934558855932,1.518384931037744,1.3835833493114886,14,1.8424931638045945,38.3808902744447,2.9199710212264303,0.05038759689922481,0.6428959017706939,-0.0009990009990009019,None,None,0.0004508088647801201,0.11360383392459027,0.11455919252069546,0.10611607550738889,0.16071886208518818,0.18792341744066438,5.422583802133983,0.07037037037037037,1.4777777777777776,2.9555555555555553,0.9500572770611364,0 days 23:59:59.999999999,false
Least Max Drawdown [%],20,25,35,0,270,271 days 00:00:00,1000.0,1091.0879247094622,9.108792470946229,1.7836932307933706,100.0,10.536378031828914,0.0999000999001055,1 days 00:00:00,5,5,0,0.0,100.0,3.925500844575728,0.41377730694877257,1.767973372675708,NaN,1 days 00:00:00,NaT,inf,18.217584941892483,2.0558899865553926,124.70861786904446,18.698413460485128,45.92837983828306,14,10.668523296053783,125.55042661371876,18.698413460485128,0.018796992481203006,NaN,0.0,None,None,0.00032621278095490837,0.08220562080063691,0.09108792470946225,0.08443961914374642,0.04812245820305126,NaN,4.106703503547368,0.018518518518518517,0.3888888888888889,0.7777777777777778,NaN,1 days 00:00:00,false
