Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,RSI Window
Least Max Drawdown [%],SEI-USD,MACD,5,7,10,false,false,0,43,1.357354879114555,62.7906976744186,1.3756238394468212,1.1038258463375645,1.1499732139295697,40.06773890693955,0 days 23:59:59.999999999,0.07026143790849673,2.107843137254902,4.215686274509804,2.3266917349272194,0,612,613 days 00:00:00,1000.0,1405.0764242054279,40.50764242054279,0.9863616429512723,100.0,95.16314312439245,19.683805770186872,186 days 00:00:00,43,0.0,22.211483427006126,-19.623093065533023,5.320709721391242,-6.0121656928155165,1 days 00:00:00,1 days 00:00:00,9.420381958265768,0.6977161385813759,1.1403385260645438,1.4800145263311506,2.4687659411318097,59.77515058666038,3.2341058167976997,0.04607508532423208,-0.0009990009990009081,None,None,0.0007743687944014838,0.1951409361891739,0.405076424205429,0.15005447462375532,0.3366012910852383,43,43,612,14
Most Total Return [%],SEI-USD,MACD,3,34,3,false,false,0,64,1.3370647478005184,57.8125,1.3206905525766715,1.0414903185838669,1.400619594101612,61.450015012201575,1 days 00:00:00,0.10457516339869281,3.1372549019607847,6.274509803921569,3.267420607321936,0,612,613 days 00:00:00,1000.0,1615.9829940976676,61.59829940976677,0.9863616429512723,100.0,168.72072374798162,28.71837943101616,176 days 00:00:00,64,0.0,26.596895536733538,-19.623093065533023,5.527376803629012,-5.105835605366887,1 days 00:00:00,1 days 00:00:00,9.624734282776064,0.8294841571391289,1.1518457350671867,1.4709376479246397,2.4898349581854866,45.941155908970735,3.617711512463304,0.0642361111111111,-0.0009990009990010057,None,None,0.0010874677650205703,0.2740418767851837,0.6159829940976664,0.2181110998741198,0.3976078951298755,64,64,612,14
Most Sharpe Ratio,SEI-USD,MACD,3,34,3,false,false,0,64,1.3370647478005184,57.8125,1.3206905525766715,1.0414903185838669,1.400619594101612,61.450015012201575,1 days 00:00:00,0.10457516339869281,3.1372549019607847,6.274509803921569,3.267420607321936,0,612,613 days 00:00:00,1000.0,1615.9829940976676,61.59829940976677,0.9863616429512723,100.0,168.72072374798162,28.71837943101616,176 days 00:00:00,64,0.0,26.596895536733538,-19.623093065533023,5.527376803629012,-5.105835605366887,1 days 00:00:00,1 days 00:00:00,9.624734282776064,0.8294841571391289,1.1518457350671867,1.4709376479246397,2.4898349581854866,45.941155908970735,3.617711512463304,0.0642361111111111,-0.0009990009990010057,None,None,0.0010874677650205703,0.2740418767851837,0.6159829940976664,0.2181110998741198,0.3976078951298755,64,64,612,14
Most Calmar Ratio,SEI-USD,MACD,3,34,3,false,false,0,64,1.3370647478005184,57.8125,1.3206905525766715,1.0414903185838669,1.400619594101612,61.450015012201575,1 days 00:00:00,0.10457516339869281,3.1372549019607847,6.274509803921569,3.267420607321936,0,612,613 days 00:00:00,1000.0,1615.9829940976676,61.59829940976677,0.9863616429512723,100.0,168.72072374798162,28.71837943101616,176 days 00:00:00,64,0.0,26.596895536733538,-19.623093065533023,5.527376803629012,-5.105835605366887,1 days 00:00:00,1 days 00:00:00,9.624734282776064,0.8294841571391289,1.1518457350671867,1.4709376479246397,2.4898349581854866,45.941155908970735,3.617711512463304,0.0642361111111111,-0.0009990009990010057,None,None,0.0010874677650205703,0.2740418767851837,0.6159829940976664,0.2181110998741198,0.3976078951298755,64,64,612,14
Most Win Rate [%],SEI-USD,MACD,4,7,13,false,false,0,43,1.3227613824707074,62.7906976744186,1.3369191733308674,0.99553764813336,1.0374124807157163,33.8954990556491,0 days 23:59:59.999999999,0.07026143790849673,2.107843137254902,4.215686274509804,2.098437199496788,0,612,613 days 00:00:00,1000.0,1344.195817801346,34.419581780134614,0.9863616429512723,100.0,90.32611134622326,20.153888936997806,167 days 00:00:00,43,0.0,22.211483427006133,-19.623093065533023,5.126160916930995,-5.9748891179626495,1 days 00:00:00,1 days 00:00:00,8.004553902356882,0.6347029808911848,0.9555915149605828,1.4355550184459742,2.485072124858273,61.810816016312295,3.136953558826389,0.04607508532423208,-0.000999000999000885,None,None,0.000698408068091847,0.17599883315914544,0.3441958178013469,0.1293018744765828,0.3337224416330465,43,43,612,14
Least Max Drawdown Duration,SEI-USD,MACD,3,34,4,false,false,0,55,1.3130276110147991,58.18181818181818,1.3513696865463203,1.083150804992198,1.3447963479358278,53.89955409128823,0 days 23:59:59.999999999,0.08986928104575163,2.696078431372549,5.392156862745098,2.9202595232632795,0,612,613 days 00:00:00,1000.0,1541.5081437077529,54.1508143707753,0.9863616429512723,100.0,144.445117988561,28.783660593254968,133 days 00:00:00,55,0.0,26.596895536733523,-19.623093065533023,5.5162117778185635,-5.084586200679266,1 days 00:00:00,1 days 00:00:00,9.84560261286823,0.792838096658601,1.0211513258367877,1.4959113923454987,2.804618614878579,57.16237500712817,3.6462840188421555,0.055077452667814115,-0.0009990009990009426,None,None,0.0009719215135410356,0.24492422141234096,0.5415081437077529,0.19471195528945495,0.3717863045939122,55,55,612,14
Most Profit Factor,SEI-USD,MACD,10,11,11,false,false,0,29,1.2771112517541574,55.172413793103445,1.7014625013557538,1.713823382636901,1.4672466380497748,47.75217642645474,0 days 23:59:59.999999999,0.04738562091503268,1.4215686274509804,2.843137254901961,2.4363175537485358,0,612,613 days 00:00:00,1000.0,1480.872768374482,48.08727683744818,0.9863616429512723,100.0,62.29730096420435,31.79715829336481,174 days 00:00:00,29,0.0,22.211483427006133,-19.623093065533023,7.113678144382302,-4.932151708742054,1 days 00:00:00,1 days 00:00:00,16.58181959912007,0.8277576830426459,0.8282926740504053,1.756352710783661,3.1611378192312594,76.47921916873068,4.6104258658071124,0.026800670016750423,-0.0009990009990008379,None,None,0.0008108283066780951,0.20432873328287998,0.48087276837448223,0.1751644623428792,0.2970792945920024,29,29,612,14
Most Expectancy,SEI-USD,MACD,10,11,11,false,false,0,29,1.2771112517541574,55.172413793103445,1.7014625013557538,1.713823382636901,1.4672466380497748,47.75217642645474,0 days 23:59:59.999999999,0.04738562091503268,1.4215686274509804,2.843137254901961,2.4363175537485358,0,612,613 days 00:00:00,1000.0,1480.872768374482,48.08727683744818,0.9863616429512723,100.0,62.29730096420435,31.79715829336481,174 days 00:00:00,29,0.0,22.211483427006133,-19.623093065533023,7.113678144382302,-4.932151708742054,1 days 00:00:00,1 days 00:00:00,16.58181959912007,0.8277576830426459,0.8282926740504053,1.756352710783661,3.1611378192312594,76.47921916873068,4.6104258658071124,0.026800670016750423,-0.0009990009990008379,None,None,0.0008108283066780951,0.20432873328287998,0.48087276837448223,0.1751644623428792,0.2970792945920024,29,29,612,14
Most Omega Ratio,SEI-USD,MACD,10,11,11,false,false,0,29,1.2771112517541574,55.172413793103445,1.7014625013557538,1.713823382636901,1.4672466380497748,47.75217642645474,0 days 23:59:59.999999999,0.04738562091503268,1.4215686274509804,2.843137254901961,2.4363175537485358,0,612,613 days 00:00:00,1000.0,1480.872768374482,48.08727683744818,0.9863616429512723,100.0,62.29730096420435,31.79715829336481,174 days 00:00:00,29,0.0,22.211483427006133,-19.623093065533023,7.113678144382302,-4.932151708742054,1 days 00:00:00,1 days 00:00:00,16.58181959912007,0.8277576830426459,0.8282926740504053,1.756352710783661,3.1611378192312594,76.47921916873068,4.6104258658071124,0.026800670016750423,-0.0009990009990008379,None,None,0.0008108283066780951,0.20432873328287998,0.48087276837448223,0.1751644623428792,0.2970792945920024,29,29,612,14
Most Sortino Ratio,SEI-USD,MACD,10,11,11,false,false,0,29,1.2771112517541574,55.172413793103445,1.7014625013557538,1.713823382636901,1.4672466380497748,47.75217642645474,0 days 23:59:59.999999999,0.04738562091503268,1.4215686274509804,2.843137254901961,2.4363175537485358,0,612,613 days 00:00:00,1000.0,1480.872768374482,48.08727683744818,0.9863616429512723,100.0,62.29730096420435,31.79715829336481,174 days 00:00:00,29,0.0,22.211483427006133,-19.623093065533023,7.113678144382302,-4.932151708742054,1 days 00:00:00,1 days 00:00:00,16.58181959912007,0.8277576830426459,0.8282926740504053,1.756352710783661,3.1611378192312594,76.47921916873068,4.6104258658071124,0.026800670016750423,-0.0009990009990008379,None,None,0.0008108283066780951,0.20432873328287998,0.48087276837448223,0.1751644623428792,0.2970792945920024,29,29,612,14
