Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Profit Factor Adjusted,Beats BNH [%],Trades Per Day,Total Period,Maturity,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Profit Factor,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Expectancy,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Sharpe Ratio,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Calmar Ratio,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Omega Ratio,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Sortino Ratio,13,21,32,0,6743,6744 days 00:00:00,1000.0,1870.3737106417318,87.03737106417319,2797.2306652181787,100.0,470.9757127244718,31.059978574996688,3738 days 00:00:00,154,154,0,0.0,56.493506493506494,16.459293948126806,-18.513212517756436,2.705351280588927,-2.3964597753361594,1 days 00:00:00,1 days 00:00:00,1.3445787308487418,5.651777341829433,0.3518434989919012,0.11097466688689717,1.4417293980497445,0.5558371452465897,14,2.4241468389889,384.9433687900913,3.437970103041699,0.013678039981963024,0.4857321848293117,0.0,None,None,0.00011094030409119087,0.0279569566309801,0.8703737106417342,0.023672473370591973,0.09562831943758208,0.44984777602884946,1.3445787308487418,-0.9688844498430433,0.022838499184339316,9766.646825396825,1.4265078177787227,0.987362562569915,0.4796084828711256,0.9592169657422512,0.23296127624766336,0 days 23:59:59.999999999,false
Most Avg Losing Trade [%],18,20,20,0,6743,6744 days 00:00:00,1000.0,1592.9831444714519,59.29831444714518,2797.2306652181787,100.0,558.6668562825334,37.00403546140218,3930 days 00:00:00,159,159,0,0.0,51.57232704402516,16.459293948126792,-18.51321251775645,2.616976842235201,-2.0395102647761068,1 days 00:00:00,1 days 00:00:00,1.2086454976139682,3.7294537388141613,0.28389370551259147,0.06896529750638891,1.3483050812635453,0.47425562010856737,14,4.740466726482336,438.1249086376679,3.6372881261993313,0.012916791829378192,0.36194849481463054,0.0,None,None,0.00008535838492201991,0.021510313000349016,0.5929831444714457,0.01755041041352312,0.09118788194492995,0.3060086253716848,1.2086454976139682,-0.9788010637862359,0.023580008898116567,9766.646825396825,1.449480435609862,0.7024423313270569,0.4951801868604479,0.9903603737208958,0.1792297232961666,0 days 23:59:59.999999999,false
Most Total Fees Paid,5,6,9,0,6743,6744 days 00:00:00,1000.0,1425.2489068493742,42.52489068493742,2797.2306652181787,100.0,2342.7200737125113,78.65609382700453,5546 days 00:00:00,510,510,0,0.0,45.88235294117647,25.82769247404844,-16.169919594652512,3.039757144344876,-2.309560383050906,1 days 00:00:00,1 days 00:00:00,1.0279169139454238,0.8338213859791566,0.19408362192491585,0.024617397863055817,1.1117645351967151,0.3157990654650841,14,3.5343080098639463,111.02016519899952,3.479327877356521,0.038017546559950745,0.14483236481304074,-0.0009990009990012091,None,None,0.00010960180175800518,0.027619654043017305,0.4252489068493701,0.01332875068837569,0.17126771675273503,0.10893851933864203,1.0279169139454238,-0.9847975030398072,0.07563399080527955,9766.646825396825,2.595965304324787,0.6338457501015851,1.5883138069108707,3.1766276138217413,0.23003924472010476,0 days 23:59:59.999999999,false
Least Max Drawdown Duration,13,22,28,0,6743,6744 days 00:00:00,1000.0,1350.264289381806,35.02642893818061,2797.2306652181787,100.0,468.2593132587119,41.37048240747457,3169 days 00:00:00,159,159,0,0.0,55.34591194968554,16.45929394812681,-18.513212517756454,2.709628199825752,-2.73296274009697,1 days 00:00:00,1 days 00:00:00,1.1205390830782627,2.2029200590050664,0.1935671333414005,0.03960724191059717,1.2189480283985017,0.2805904840987138,14,-0.5830325093090185,341.0755798348407,3.0406725543567004,0.013678039981963024,0.2792888492942218,0.0,None,None,0.00006587012330021546,0.016599271071654296,0.3502642893818042,0.011284380870754118,0.10320567072647381,0.2534015747797868,1.1205390830782627,-0.9874781764072186,0.023580008898116567,9766.646825396825,1.449480435609862,0.41349286290550996,0.4951801868604479,0.9903603737208958,0.13829830458155223,0 days 23:59:59.999999999,false
