Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],27,32,9,0,3816,3817 days 00:00:00,1000.0,7925.68188328326,692.568188328326,2397.7163698557124,100.0,809.604369503239,12.305392165650696,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293602,-7.733754995657684,6.136069548960311,-1.8024074483277575,1 days 00:00:00,1 days 00:00:00,2.8707590219305157,71.3987823018893,0.9823615274275536,1.778944083521131,3.6103570988524347,4.4922128948468165,56.878130231120814,-0.7111550819624246,25.41928721174004,0.7625786163522013,2,54.447184617006776,0 days 23:59:59.999999999,0
Most Expectancy,27,32,9,0,3816,3817 days 00:00:00,1000.0,7925.68188328326,692.568188328326,2397.7163698557124,100.0,809.604369503239,12.305392165650696,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293602,-7.733754995657684,6.136069548960311,-1.8024074483277575,1 days 00:00:00,1 days 00:00:00,2.8707590219305157,71.3987823018893,0.9823615274275536,1.778944083521131,3.6103570988524347,4.4922128948468165,56.878130231120814,-0.7111550819624246,25.41928721174004,0.7625786163522013,2,54.447184617006776,0 days 23:59:59.999999999,0
Most Sharpe Ratio,27,32,9,0,3816,3817 days 00:00:00,1000.0,7925.68188328326,692.568188328326,2397.7163698557124,100.0,809.604369503239,12.305392165650696,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293602,-7.733754995657684,6.136069548960311,-1.8024074483277575,1 days 00:00:00,1 days 00:00:00,2.8707590219305157,71.3987823018893,0.9823615274275536,1.778944083521131,3.6103570988524347,4.4922128948468165,56.878130231120814,-0.7111550819624246,25.41928721174004,0.7625786163522013,2,54.447184617006776,0 days 23:59:59.999999999,0
Most Calmar Ratio,26,33,9,0,3816,3817 days 00:00:00,1000.0,7598.112520845958,659.8112520845958,2397.7163698557124,100.0,738.0296556317918,11.602522259856325,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293603,-7.733754995657685,5.924509304041016,-1.6734893923997807,1 days 00:00:00,1 days 00:00:00,3.1903682136587457,68.02177856542225,0.9741354987874546,1.844394103026546,3.739570177120552,4.591194867423362,54.1879210689868,-0.7248168046980881,25.41928721174004,0.7625786163522013,2,51.87195378023552,0 days 23:59:59.999999999,0
Most Omega Ratio,26,33,9,0,3816,3817 days 00:00:00,1000.0,7598.112520845958,659.8112520845958,2397.7163698557124,100.0,738.0296556317918,11.602522259856325,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293603,-7.733754995657685,5.924509304041016,-1.6734893923997807,1 days 00:00:00,1 days 00:00:00,3.1903682136587457,68.02177856542225,0.9741354987874546,1.844394103026546,3.739570177120552,4.591194867423362,54.1879210689868,-0.7248168046980881,25.41928721174004,0.7625786163522013,2,51.87195378023552,0 days 23:59:59.999999999,0
Most Sortino Ratio,26,33,9,0,3816,3817 days 00:00:00,1000.0,7598.112520845958,659.8112520845958,2397.7163698557124,100.0,738.0296556317918,11.602522259856325,609 days 00:00:00,97,97,0,0.0,52.57731958762887,33.48839853293603,-7.733754995657685,5.924509304041016,-1.6734893923997807,1 days 00:00:00,1 days 00:00:00,3.1903682136587457,68.02177856542225,0.9741354987874546,1.844394103026546,3.739570177120552,4.591194867423362,54.1879210689868,-0.7248168046980881,25.41928721174004,0.7625786163522013,2,51.87195378023552,0 days 23:59:59.999999999,0
Most Avg Losing Trade [%],25,34,9,0,3816,3817 days 00:00:00,1000.0,7360.803193180567,636.0803193180567,2397.7163698557124,100.0,721.4800441951871,11.602522259856325,609 days 00:00:00,97,97,0,0.0,51.546391752577314,33.48839853293603,-7.733754995657682,5.986533566369345,-1.6462081920736154,1 days 00:00:00,1 days 00:00:00,3.1483132995239966,65.57529065134607,0.9609898447369928,1.8126941916840145,3.6909253717658204,4.524818407653054,51.21469123035462,-0.7347141107618437,25.41928721174004,0.7625786163522013,2,50.00631441179692,0 days 23:59:59.999999999,0
Most Profit Factor,27,34,8,0,3816,3817 days 00:00:00,1000.0,7234.531408166842,623.4531408166843,2397.7163698557124,100.0,669.016928253157,11.602522259856297,609 days 00:00:00,96,96,0,0.0,52.083333333333336,33.48839853293604,-7.733754995657676,6.00322100098506,-1.7352841511764492,1 days 00:00:00,1 days 00:00:00,3.2922479362741233,64.94303550173797,0.951813707581239,1.7954480591426847,3.594224990537223,4.356316076382853,51.24923887447756,-0.7399804461216563,25.157232704402517,0.7547169811320755,2,49.013611699424885,1 days 00:00:00,0
Least Max Drawdown [%],9,33,26,0,3816,3817 days 00:00:00,1000.0,7003.730754461548,600.3730754461548,2397.7163698557124,100.0,682.4991801116441,11.602522259856276,609 days 00:00:00,98,98,0,0.0,51.02040816326531,33.48839853293603,-7.733754995657688,6.032762234751692,-1.7598135192286959,1 days 00:00:00,1 days 00:00:00,3.1063313065984492,61.26255871899542,0.9368878752974544,1.7632095989439929,3.4242410291439422,4.179591343936213,47.358193196502334,-0.7496062991460981,25.68134171907757,0.7704402515723271,2,47.19914115142729,0 days 23:59:59.999999999,0
Mean Total Fees Paid,7,29,34,0,3816,3817 days 00:00:00,1000.0,3340.7251291277744,234.07251291277743,2397.7163698557124,100.0,436.4581743183669,16.42500130769834,867 days 00:00:00,102,102,0,0.0,44.11764705882353,33.48839853293603,-13.402315630455744,6.030978722788223,-2.2370120773844997,1 days 00:00:00,1 days 00:00:00,1.8959471557009482,22.948285579684057,0.6110361338431487,0.7443326312504024,2.0890892152678036,1.871200570394827,15.3397630880241,-0.9023768966773734,26.729559748427675,0.8018867924528302,2,18.401927115784385,0 days 23:59:59.999999999,0
