Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],3,5,11,0,2657,2658 days 00:00:00,1000.0,9549.310926614007,854.9310926614007,33562.49688543967,100.0,3330.024381489555,44.8015407268276,1424 days 00:00:00,234,234,0,0.0,52.991452991452995,52.321634237145574,-12.703399131715884,4.444658838357577,-2.5723008776820744,1 days 00:00:00,1 days 00:00:00,1.406402448233104,36.53551678040171,1.00516789143043,0.8107666314706478,1.907176220989685,2.669327539834256,29.33439575738029,-0.9745271904060185,88.06925103500188,2.6420775310500564,6,96.52966797080165,0 days 23:59:59.999999999,0
Most Expectancy,3,5,11,0,2657,2658 days 00:00:00,1000.0,9549.310926614007,854.9310926614007,33562.49688543967,100.0,3330.024381489555,44.8015407268276,1424 days 00:00:00,234,234,0,0.0,52.991452991452995,52.321634237145574,-12.703399131715884,4.444658838357577,-2.5723008776820744,1 days 00:00:00,1 days 00:00:00,1.406402448233104,36.53551678040171,1.00516789143043,0.8107666314706478,1.907176220989685,2.669327539834256,29.33439575738029,-0.9745271904060185,88.06925103500188,2.6420775310500564,6,96.52966797080165,0 days 23:59:59.999999999,0
Most Total Fees Paid,4,5,6,0,2657,2658 days 00:00:00,1000.0,8797.455169051802,779.7455169051804,33562.49688543967,100.0,4022.9717056809127,52.91321994429933,1400 days 00:00:00,246,246,0,0.0,50.40650406504065,52.321634237145574,-13.2935050150912,4.743974603472732,-2.6649127871997336,1 days 00:00:00,1 days 00:00:00,1.2775594575841869,31.696972231917883,0.9558367829850782,0.6576245655534138,1.7791678442660028,2.4087257406903495,24.20808423723711,-0.9767673567444424,92.58562288295069,2.7775686864885207,6,88.04051752787127,0 days 23:59:59.999999999,0
Mean Win Rate [%],2,5,9,0,2657,2658 days 00:00:00,1000.0,4228.9686190071825,322.8968619007182,33562.49688543967,100.0,2457.8929471053852,47.87171934378186,1186 days 00:00:00,305,305,0,0.0,46.557377049180324,52.321634237145595,-17.279291920890568,4.2922770193235715,-2.5646038926479218,1 days 00:00:00,1 days 00:00:00,1.1902143855341718,10.586782357400594,0.6895818059001113,0.4574234753079459,1.442918358766459,1.4934397905380803,7.4680729992592365,-0.9903792359965685,114.79111780203237,3.443733534060971,7,36.45805742198549,0 days 23:59:59.999999999,0
Most Avg Winning Trade [%],13,17,6,0,2657,2658 days 00:00:00,1000.0,3581.918770390027,258.1918770390027,33562.49688543967,100.0,635.643163413496,16.62962999170945,884 days 00:00:00,115,115,0,0.0,43.47826086956522,52.321634237145574,-11.61681481717532,5.910526448282561,-2.1853320810717896,1 days 00:00:00,1 days 00:00:00,1.6911161029663233,22.45146756860892,0.7225523620386505,1.1515234074019247,2.042707250187506,2.36348299227223,14.790163088675177,-0.9923071314413734,43.28189687617614,1.2984569062852842,3,29.15226312070033,0 days 23:59:59.999999999,0
Median Avg Winning Trade [%],2,9,10,0,2657,2658 days 00:00:00,1000.0,3395.6580227730647,239.5658022773065,33562.49688543967,100.0,1426.2885331199313,35.41911780521154,1442 days 00:00:00,240,240,0,0.0,50.83333333333333,52.321634237145574,-12.703399131715893,3.823269468825532,-2.6000920071842146,1 days 00:00:00,1 days 00:00:00,1.262192874550031,9.981908428221047,0.6385734860640626,0.5160735278603523,1.5002538550000852,1.4988066266304714,7.688086036887421,-0.9928620983386598,90.32743695897628,2.7098231087692883,6,27.04920612841232,1 days 00:00:00,0
Most Omega Ratio,12,32,10,0,2657,2658 days 00:00:00,1000.0,3200.911374805575,220.0911374805575,33562.49688543967,100.0,332.6096392902537,16.252415956267583,488 days 00:00:00,81,81,0,0.0,54.32098765432099,14.885745863974552,-5.606783471363455,4.162042761844816,-1.605845027457891,1 days 00:00:00,1 days 00:00:00,2.971198194737118,27.17174536797007,1.1646798827593696,1.065900092844876,2.9364540380223016,3.6643212088504327,22.363576434543265,-0.9934423491127075,30.485509973654498,0.9145652992096349,2,24.850335432505556,0 days 23:59:59.999999999,0
Most Sortino Ratio,12,32,10,0,2657,2658 days 00:00:00,1000.0,3200.911374805575,220.0911374805575,33562.49688543967,100.0,332.6096392902537,16.252415956267583,488 days 00:00:00,81,81,0,0.0,54.32098765432099,14.885745863974552,-5.606783471363455,4.162042761844816,-1.605845027457891,1 days 00:00:00,1 days 00:00:00,2.971198194737118,27.17174536797007,1.1646798827593696,1.065900092844876,2.9364540380223016,3.6643212088504327,22.363576434543265,-0.9934423491127075,30.485509973654498,0.9145652992096349,2,24.850335432505556,0 days 23:59:59.999999999,0
Median Worst Trade [%],2,7,22,0,2657,2658 days 00:00:00,1000.0,3163.649461577446,216.3649461577446,33562.49688543967,100.0,1320.5992316284471,41.066437553604075,1762 days 00:00:00,229,229,0,0.0,49.34497816593886,52.321634237145574,-11.61681481717533,4.121821274066554,-2.6878674451504865,1 days 00:00:00,1 days 00:00:00,1.2360754146023938,9.448250923918962,0.6033865151629737,0.4172495920594708,1.4764960738284554,1.4897745687174317,7.0639959931377705,-0.9935533715832803,86.18742943168988,2.5856228829506964,6,24.429613792744927,0 days 23:59:59.999999999,0
Most Sharpe Ratio,17,28,8,0,2657,2658 days 00:00:00,1000.0,3104.352324694979,210.4352324694979,33562.49688543967,100.0,326.5817913787779,14.51728666100562,435 days 00:00:00,82,82,0,0.0,53.65853658536586,11.82952330004215,-5.606783471363455,4.084050175604485,-1.5720756047639468,1 days 00:00:00,1 days 00:00:00,2.918915246641777,25.662833227987555,1.1902591455174663,1.159376452265584,2.868264167372541,3.6368036041203102,20.864092055274433,-0.9937300483576121,30.861874294316898,0.9258562288295069,2,23.76009399354512,0 days 23:59:59.999999999,0
