Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],7,8,12,0,6749,6750 days 00:00:00,1000.0,7170.806123134314,617.0806123134313,2710.508737056198,100.0,3784.739463864945,34.58626860874073,4366 days 00:00:00,378,378,0,0.0,48.94179894179894,26.230342502149057,-14.078528594879474,3.493742417215618,-2.1389979787577404,1 days 00:00:00,1 days 00:00:00,1.2778393436188198,16.32488392363576,0.6184410587217616,0.325007172562367,1.5410213759759284,1.2698899461270097,14,8.719901624630486,192.7470320524621,4.433399958576915,0.02974828375286041,0.6177665007530304,-0.0009990009990008973,None,None,0.0003460051844776403,0.08719330648836535,6.170806123134307,0.07631949014150163,0.16968013220101674,-0.772337715102286,9775.337301587302,0.038668742401208094,0.14175266702760808,1.176174248036746,2.352348496073492,0.7266010494854874,0 days 23:59:59.999999999,false
Most Sharpe Ratio,7,8,12,0,6749,6750 days 00:00:00,1000.0,7170.806123134314,617.0806123134313,2710.508737056198,100.0,3784.739463864945,34.58626860874073,4366 days 00:00:00,378,378,0,0.0,48.94179894179894,26.230342502149057,-14.078528594879474,3.493742417215618,-2.1389979787577404,1 days 00:00:00,1 days 00:00:00,1.2778393436188198,16.32488392363576,0.6184410587217616,0.325007172562367,1.5410213759759284,1.2698899461270097,14,8.719901624630486,192.7470320524621,4.433399958576915,0.02974828375286041,0.6177665007530304,-0.0009990009990008973,None,None,0.0003460051844776403,0.08719330648836535,6.170806123134307,0.07631949014150163,0.16968013220101674,-0.772337715102286,9775.337301587302,0.038668742401208094,0.14175266702760808,1.176174248036746,2.352348496073492,0.7266010494854874,0 days 23:59:59.999999999,false
Most Calmar Ratio,7,8,12,0,6749,6750 days 00:00:00,1000.0,7170.806123134314,617.0806123134313,2710.508737056198,100.0,3784.739463864945,34.58626860874073,4366 days 00:00:00,378,378,0,0.0,48.94179894179894,26.230342502149057,-14.078528594879474,3.493742417215618,-2.1389979787577404,1 days 00:00:00,1 days 00:00:00,1.2778393436188198,16.32488392363576,0.6184410587217616,0.325007172562367,1.5410213759759284,1.2698899461270097,14,8.719901624630486,192.7470320524621,4.433399958576915,0.02974828375286041,0.6177665007530304,-0.0009990009990008973,None,None,0.0003460051844776403,0.08719330648836535,6.170806123134307,0.07631949014150163,0.16968013220101674,-0.772337715102286,9775.337301587302,0.038668742401208094,0.14175266702760808,1.176174248036746,2.352348496073492,0.7266010494854874,0 days 23:59:59.999999999,false
Most Profit Factor,29,31,32,0,6749,6750 days 00:00:00,1000.0,2957.9161576031897,195.791615760319,2710.508737056198,100.0,497.41840905194465,23.60287901411371,4862 days 00:00:00,105,104,1,-2.9579161576029946,50.0,39.473215120301575,-11.659117647058817,4.309134773653384,-1.9139307058970059,1 days 00:00:00,1 days 00:00:00,1.8538221778474064,18.85455840154609,0.4801617562649469,0.2558844877463877,2.1842340143580614,1.4864736960459188,14,30.42412014946335,1432.3187431957244,5.824624038288171,0.008516360376512775,1.1976020338781892,0.0,None,None,0.0001843868163464018,0.046465477719293255,1.9579161576031852,0.0413182314254219,0.11646327588951437,-0.927765731545672,9775.337301587302,0.010639019073348258,0.13344483951221445,0.32671506889909613,0.6503185657134389,0.3912746310122102,1 days 00:00:00,true
Most Expectancy,29,31,32,0,6749,6750 days 00:00:00,1000.0,2957.9161576031897,195.791615760319,2710.508737056198,100.0,497.41840905194465,23.60287901411371,4862 days 00:00:00,105,104,1,-2.9579161576029946,50.0,39.473215120301575,-11.659117647058817,4.309134773653384,-1.9139307058970059,1 days 00:00:00,1 days 00:00:00,1.8538221778474064,18.85455840154609,0.4801617562649469,0.2558844877463877,2.1842340143580614,1.4864736960459188,14,30.42412014946335,1432.3187431957244,5.824624038288171,0.008516360376512775,1.1976020338781892,0.0,None,None,0.0001843868163464018,0.046465477719293255,1.9579161576031852,0.0413182314254219,0.11646327588951437,-0.927765731545672,9775.337301587302,0.010639019073348258,0.13344483951221445,0.32671506889909613,0.6503185657134389,0.3912746310122102,1 days 00:00:00,true
Most Omega Ratio,29,31,32,0,6749,6750 days 00:00:00,1000.0,2957.9161576031897,195.791615760319,2710.508737056198,100.0,497.41840905194465,23.60287901411371,4862 days 00:00:00,105,104,1,-2.9579161576029946,50.0,39.473215120301575,-11.659117647058817,4.309134773653384,-1.9139307058970059,1 days 00:00:00,1 days 00:00:00,1.8538221778474064,18.85455840154609,0.4801617562649469,0.2558844877463877,2.1842340143580614,1.4864736960459188,14,30.42412014946335,1432.3187431957244,5.824624038288171,0.008516360376512775,1.1976020338781892,0.0,None,None,0.0001843868163464018,0.046465477719293255,1.9579161576031852,0.0413182314254219,0.11646327588951437,-0.927765731545672,9775.337301587302,0.010639019073348258,0.13344483951221445,0.32671506889909613,0.6503185657134389,0.3912746310122102,1 days 00:00:00,true
Most Sortino Ratio,29,31,32,0,6749,6750 days 00:00:00,1000.0,2957.9161576031897,195.791615760319,2710.508737056198,100.0,497.41840905194465,23.60287901411371,4862 days 00:00:00,105,104,1,-2.9579161576029946,50.0,39.473215120301575,-11.659117647058817,4.309134773653384,-1.9139307058970059,1 days 00:00:00,1 days 00:00:00,1.8538221778474064,18.85455840154609,0.4801617562649469,0.2558844877463877,2.1842340143580614,1.4864736960459188,14,30.42412014946335,1432.3187431957244,5.824624038288171,0.008516360376512775,1.1976020338781892,0.0,None,None,0.0001843868163464018,0.046465477719293255,1.9579161576031852,0.0413182314254219,0.11646327588951437,-0.927765731545672,9775.337301587302,0.010639019073348258,0.13344483951221445,0.32671506889909613,0.6503185657134389,0.3912746310122102,1 days 00:00:00,true
Most Avg Winning Trade [%],28,29,31,0,6749,6750 days 00:00:00,1000.0,2545.862750439307,154.5862750439307,2710.508737056198,100.0,539.8088932621018,38.36703513536026,5655 days 00:00:00,109,108,1,-2.545862750439028,43.51851851851852,76.15453605791986,-9.603300131197324,5.5774988087214465,-2.1819784282122137,1 days 00:00:00,1 days 00:00:00,1.4841475054284232,14.337116788793956,0.30905202817540584,0.13508738783852228,1.9331798610775224,1.2406917070380004,14,46.92193585888958,2784.988687447179,5.835339210289557,0.008064516129032258,1.1948311100829903,0.0,None,None,0.0001910409614812622,0.04814232229327807,1.5458627504393045,0.03550255030330418,0.18747423917816508,-0.9429678004979161,9775.337301587302,0.011048212114630883,0.07617462885130376,0.3391613572381093,0.6752111423914653,0.40524054096606377,1 days 00:00:00,true
Most Best Trade [%],23,31,35,0,6749,6750 days 00:00:00,1000.0,2340.2686508502065,134.02686508502066,2710.508737056198,100.0,555.8863435525883,38.513361785361795,5655 days 00:00:00,110,109,1,-2.3402686508497936,44.95412844036697,76.15453605791986,-9.60330013119734,5.072842474157592,-2.151000813052655,1 days 00:00:00,1 days 00:00:00,1.4270164166442236,12.317513022945501,0.2898237614011849,0.12216714947533232,1.8889504456209072,1.1893993048764246,14,48.550137141426596,2926.6723395206755,5.632506783305978,0.008215085884988796,1.0964149766106668,0.0,None,None,0.00017691884660970612,0.04458354934564594,1.340268650850207,0.0322524445434067,0.18513426809377467,-0.9505528747232214,9775.337301587302,0.01115051037495154,0.06808073006413885,0.34227292932286263,0.6814342865609719,0.37527316579799086,0 days 23:59:59.999999999,true
Mean Total Fees Paid,13,35,9,0,6749,6750 days 00:00:00,1000.0,2227.5922338853816,122.75922338853815,2710.508737056198,100.0,593.4822632587035,38.716438744293605,5434 days 00:00:00,221,221,0,0.0,47.511312217194565,19.84166954817104,-17.235578947368417,3.690796071986466,-2.429923626763254,1 days 00:00:00,1 days 00:00:00,1.3155049541943074,5.55471599043161,0.3377299701093167,0.11431992020589346,1.3612457621284562,0.6099037568792551,14,6.985205102627434,216.83177298455198,4.158668245768589,0.0164131907845204,0.47811061924905585,0.0,None,None,0.00015656966633499167,0.0394555559164179,1.2275922338853795,0.03035258722604972,0.14059980782998613,-0.9547098957069354,9775.337301587302,0.02260791553086505,0.030451512353635492,0.6876574307304786,1.3753148614609572,0.32877632003776386,0 days 23:59:59.999999999,false
