Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,RSI Window
Most Expectancy,18,21,15,SOL-USD,MACD,false,false,0,43,1.3088447503547855,60.46511627906976,2.4847126634827195,2.2791393580344828,2.080112390874094,-0.98965394124462,0 days 23:59:59.999999999,0.023471615720524017,0.7041484716157205,1.408296943231441,1.6048524955592154,0,1832,1833 days 00:00:00,1000.0,2401.605897509144,140.1605897509144,13547.24471074846,100.0,144.93048875470762,12.125078165595573,334 days 00:00:00,43,0.0,24.761533424825107,-12.049240447004925,6.182395240180431,-3.690546108776967,1 days 00:00:00,1 days 00:00:00,32.59548598858474,0.9311882740922134,1.5720014327474336,2.5000735575615187,9.503853907578895,205.6756226860037,5.769400517449658,0.014388489208633094,0.0,None,None,0.0005346824228029377,0.1347399705463403,1.401605897509147,0.12800546836719007,0.17414263491668946,43,43,1832,14
Most Profit Factor,17,23,14,SOL-USD,MACD,false,false,0,44,1.303959010836581,59.09090909090909,2.8045983270322514,2.2420044213278594,2.224350736581519,-0.9894711282124463,0 days 23:59:59.999999999,0.024017467248908297,0.7205240174672489,1.4410480349344978,1.6154180328344838,0,1832,1833 days 00:00:00,1000.0,2426.3720263408513,142.63720263408513,13547.24471074846,100.0,143.11249435122625,12.125078165595573,334 days 00:00:00,44,0.0,24.761533424825107,-12.049240447004925,6.020013091115172,-3.2151192128093697,1 days 00:00:00,1 days 00:00:00,32.41754605320118,0.9534887927264146,1.5920823903456192,2.6314909976611087,10.131076399335342,218.9926079264438,6.275093917499566,0.014388489208633094,0.0,None,None,0.0005382028922139738,0.1356271288379214,1.426372026340852,0.1295976120365263,0.17118950539145308,44,44,1832,14
Most Sharpe Ratio,17,23,14,SOL-USD,MACD,false,false,0,44,1.303959010836581,59.09090909090909,2.8045983270322514,2.2420044213278594,2.224350736581519,-0.9894711282124463,0 days 23:59:59.999999999,0.024017467248908297,0.7205240174672489,1.4410480349344978,1.6154180328344838,0,1832,1833 days 00:00:00,1000.0,2426.3720263408513,142.63720263408513,13547.24471074846,100.0,143.11249435122625,12.125078165595573,334 days 00:00:00,44,0.0,24.761533424825107,-12.049240447004925,6.020013091115172,-3.2151192128093697,1 days 00:00:00,1 days 00:00:00,32.41754605320118,0.9534887927264146,1.5920823903456192,2.6314909976611087,10.131076399335342,218.9926079264438,6.275093917499566,0.014388489208633094,0.0,None,None,0.0005382028922139738,0.1356271288379214,1.426372026340852,0.1295976120365263,0.17118950539145308,44,44,1832,14
Most Calmar Ratio,17,23,14,SOL-USD,MACD,false,false,0,44,1.303959010836581,59.09090909090909,2.8045983270322514,2.2420044213278594,2.224350736581519,-0.9894711282124463,0 days 23:59:59.999999999,0.024017467248908297,0.7205240174672489,1.4410480349344978,1.6154180328344838,0,1832,1833 days 00:00:00,1000.0,2426.3720263408513,142.63720263408513,13547.24471074846,100.0,143.11249435122625,12.125078165595573,334 days 00:00:00,44,0.0,24.761533424825107,-12.049240447004925,6.020013091115172,-3.2151192128093697,1 days 00:00:00,1 days 00:00:00,32.41754605320118,0.9534887927264146,1.5920823903456192,2.6314909976611087,10.131076399335342,218.9926079264438,6.275093917499566,0.014388489208633094,0.0,None,None,0.0005382028922139738,0.1356271288379214,1.426372026340852,0.1295976120365263,0.17118950539145308,44,44,1832,14
Most Omega Ratio,17,23,14,SOL-USD,MACD,false,false,0,44,1.303959010836581,59.09090909090909,2.8045983270322514,2.2420044213278594,2.224350736581519,-0.9894711282124463,0 days 23:59:59.999999999,0.024017467248908297,0.7205240174672489,1.4410480349344978,1.6154180328344838,0,1832,1833 days 00:00:00,1000.0,2426.3720263408513,142.63720263408513,13547.24471074846,100.0,143.11249435122625,12.125078165595573,334 days 00:00:00,44,0.0,24.761533424825107,-12.049240447004925,6.020013091115172,-3.2151192128093697,1 days 00:00:00,1 days 00:00:00,32.41754605320118,0.9534887927264146,1.5920823903456192,2.6314909976611087,10.131076399335342,218.9926079264438,6.275093917499566,0.014388489208633094,0.0,None,None,0.0005382028922139738,0.1356271288379214,1.426372026340852,0.1295976120365263,0.17118950539145308,44,44,1832,14
Most Sortino Ratio,13,19,18,SOL-USD,MACD,false,false,0,49,1.276206905301969,59.183673469387756,2.3933712019047664,2.1238606567649008,2.2495390970336304,-0.9887100707372191,0 days 23:59:59.999999999,0.026746724890829694,0.8024017467248908,1.6048034934497817,1.7041895007884302,0,1832,1833 days 00:00:00,1000.0,2529.4743448993277,152.9474344899328,13547.24471074846,100.0,164.58576745698448,13.367099551444312,207 days 00:00:00,49,0.0,24.7615334248251,-12.049240447004925,6.0828990682019395,-3.6167450398188064,1 days 00:00:00,1 days 00:00:00,31.213762140802597,0.946529360607315,1.5184184255359654,2.3834116630694493,9.904867297851768,194.06817743585745,5.670876025923862,0.01607538802660754,0.0,None,None,0.0005677799633735699,0.1430805507701396,1.5294743448993313,0.136078701559327,0.18192512210778172,49,49,1832,14
Most Total Return [%],2,11,3,SOL-USD,MACD,false,false,0,249,1.208465057467731,47.791164658634536,1.1800909270350246,0.8609995055553805,1.7680485069795042,-0.9725869363747682,0 days 23:59:59.999999999,0.1359170305676856,4.077510917030567,8.155021834061134,3.5107348834599845,0,1832,1833 days 00:00:00,1000.0,4713.714812023311,371.3714812023311,13547.24471074846,100.0,2102.5442641444242,42.642267065115355,430 days 00:00:00,249,0.0,35.95193584090972,-18.295450421625883,5.945673988719213,-3.7934332905715116,1 days 00:00:00,1 days 00:00:00,14.914517317362737,0.8420219203998963,0.8482448382537193,1.4244686267407178,5.670591201546161,68.15116206607513,4.438220432076466,0.07067757009345794,-0.0206596249020299,None,None,0.0011697422368148645,0.29477504367734586,3.7137148120233032,0.23758112866237657,0.42132135920212943,249,249,1832,14
Most Total Fees Paid,2,22,2,SOL-USD,MACD,true,false,1,277,1.1619715547089626,45.289855072463766,1.127397184564053,0.7627006961324858,1.6763507754692588,-0.9750996242214618,0 days 23:59:59.999999999,0.15065502183406113,4.536026200873362,9.055676855895197,3.4596303410813083,0,1832,1833 days 00:00:00,1000.0,4373.314840614508,337.33148406145085,13547.24471074846,100.0,2728.90139226086,47.234806758660206,783 days 00:00:00,276,-4.373314840613602,35.951935840909734,-18.29545042162589,6.028201391711066,-3.596157495571637,1 days 00:00:00,1 days 00:00:00,12.238000563243276,0.8043537443659426,0.7230630387923749,1.378677537671767,5.2653985487842725,59.833548419221756,4.624540401954131,0.07444314185228605,-0.023593841401922444,None,None,0.0011480254471371422,0.28930241267855983,3.3733148406145066,0.22489360542909775,0.4328636622793068,277,276,1832,14
Most Worst Trade [%],9,24,18,SOL-USD,MACD,false,false,0,56,1.0532701887686837,53.57142857142857,1.7035789587733556,1.5244796629485442,1.4930827815445502,-0.9921434560771005,0 days 23:59:59.999999999,0.03056768558951965,0.9170305676855894,1.8340611353711789,1.3979944507388395,0,1832,1833 days 00:00:00,1000.0,2064.345231042619,106.43452310426191,13547.24471074846,100.0,165.4219499497651,22.190783221783672,643 days 00:00:00,56,0.0,24.76153342482511,-12.049240447004925,6.390121472022566,-4.089722424444557,1 days 00:00:00,1 days 00:00:00,19.006164840046765,0.7295299332880639,0.6996833436879935,1.7809261044815103,7.96504901730343,155.8392492461831,4.867864685582796,0.01663893510815308,0.0,None,None,0.0004657744437027434,0.11737515981309134,1.06434523104262,0.10478083107927683,0.19363294123492802,56,56,1832,14
Mean Win Rate [%],2,8,13,SOL-USD,MACD,false,false,0,170,1.0466837742440132,49.411764705882355,1.1638257267183698,0.5484997483315994,0.8750806592833981,-0.9943813315557587,0 days 23:59:59.999999999,0.0927947598253275,2.783842794759825,5.56768558951965,1.5269370723205005,0,1832,1833 days 00:00:00,1000.0,1761.174763626976,76.11747636269762,13547.24471074846,100.0,457.53547394623916,40.3445990158417,1191 days 00:00:00,170,0.0,35.46733154716223,-13.22977515170935,5.448874863847653,-4.237913155195709,1 days 00:00:00,1 days 00:00:00,4.477498609570457,0.47144835621864134,0.29569888530247024,1.250061102760815,5.330188520246528,82.55665360177682,3.6920409314098532,0.049227246708643396,-0.0009990009990009797,None,None,0.0005087940001819684,0.12821608804585605,0.7611747636269754,0.0809181485774384,0.32730644579376783,170,170,1832,14
