Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Trades Per Day,Score,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],2,22,4,0,3863,3864 days 00:00:00,1000.0,2686.211932086979,168.6211932086979,18195.071700965313,100.0,1580.7021535369597,32.753387812328384,1553 days 00:00:00,415,415,0,0.0,46.74698795180723,13.248336646797707,-10.261100422514374,2.6326258729501806,-1.7733464199513969,1 days 00:00:00,1 days 00:00:00,1.2151466925057168,4.063161282137305,0.5702773647770081,0.29870382741850954,1.2886172382685956,1.0396750655615434,14,3.737044581390086,51.1159203385415,3.9033842557262384,0.056314926189174414,0.28631291697126815,-0.0017792959463951664,None,None,0.00030761210943202504,0.07751825157687031,1.686211932086977,0.06656519949547901,0.16359272869005326,-0.9907325897924462,3863,0.10742945896971266,0.045515849034638414,3.2228837690913794,6.445767538182759,0.9227532529879079,0 days 23:59:59.999999999,false
Most Max Drawdown Duration,4,6,18,0,3863,3864 days 00:00:00,1000.0,1633.8410051265694,63.384100512656936,18195.071700965313,100.0,704.4875580096236,29.62585993889451,987 days 00:00:00,262,262,0,0.0,46.56488549618321,17.969567980901417,-10.261100422514396,2.501346127040371,-1.737202440101982,1 days 00:00:00,1 days 00:00:00,1.188935439799385,2.419240477582326,0.37089508108836,0.1602199568798826,1.2423944805913583,0.6437750855848932,14,4.830002384949242,120.78072569108565,3.7654109642538063,0.03481521156936261,0.23647284688796844,-0.000999000999000926,None,None,0.00016040905722262386,0.04042308242010121,0.6338410051265728,0.03253548614480706,0.13116697875977026,-0.9965164138094992,3863,0.06782293554232462,0.02259846284068381,2.034688066269738,4.069376132539476,0.48114847955978035,0 days 23:59:59.999999999,false
Least Max Drawdown [%],18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Win Rate [%],18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Profit Factor,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Expectancy,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Sharpe Ratio,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Calmar Ratio,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Omega Ratio,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
Most Sortino Ratio,18,32,18,0,3863,3864 days 00:00:00,1000.0,1568.4895233013904,56.848952330139035,18195.071700965313,100.0,202.3536399970714,7.633128937250716,586 days 00:00:00,79,79,0,0.0,56.9620253164557,9.255112875718373,-6.257032309172544,2.171029812319504,-1.4668946723413587,1 days 00:00:00,1 days 00:00:00,1.8722148799301614,7.196069915207477,0.6125490823243315,0.5690366609322335,1.8775924560608315,1.2663950298374653,14,9.09827095888156,226.77158455637124,4.302816045139405,0.012578616352201257,0.6053407936047025,0.0,None,None,0.00012378316460316644,0.031193357479997942,0.5684895233013889,0.029790311207853026,0.06128686275375716,-0.9968755851439088,3863,0.020450427129174217,0.14711209445020126,0.6135128138752265,1.227025627750453,0.37138433363788376,0 days 23:59:59.999999999,false
