Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Current
Most Total Return [%],10,26,15,0,2652,2653 days 00:00:00,1000.0,2677.558413725047,167.7558413725047,753.5983482975843,100.0,280.79469169202724,14.10126672646859,444 days 00:00:00,91,91,0,0.0,56.043956043956044,17.273906179635482,-10.458488618030511,4.083175363788999,-2.4943800551206197,1 days 00:00:00,1 days 00:00:00,2.1290829841161876,18.434707843132387,0.8797535038772574,1.029078176296519,2.033520725097524,2.055842134521679,15.653847818843685,-0.777393565482895,34.313725490196084,1.0294117647058825,3,18.976905132636283,0 days 23:59:59.999999999,0
Most Calmar Ratio,10,26,15,0,2652,2653 days 00:00:00,1000.0,2677.558413725047,167.7558413725047,753.5983482975843,100.0,280.79469169202724,14.10126672646859,444 days 00:00:00,91,91,0,0.0,56.043956043956044,17.273906179635482,-10.458488618030511,4.083175363788999,-2.4943800551206197,1 days 00:00:00,1 days 00:00:00,2.1290829841161876,18.434707843132387,0.8797535038772574,1.029078176296519,2.033520725097524,2.055842134521679,15.653847818843685,-0.777393565482895,34.313725490196084,1.0294117647058825,3,18.976905132636283,0 days 23:59:59.999999999,0
Most Profit Factor,6,25,28,0,2652,2653 days 00:00:00,1000.0,2599.3342624635725,159.93342624635724,753.5983482975843,100.0,267.4078184934447,14.10126672646853,283 days 00:00:00,83,83,0,0.0,57.831325301204814,17.273906179635485,-10.458488618030499,3.8261972920633713,-2.266780973023553,1 days 00:00:00,1 days 00:00:00,2.331579736253808,19.269087499561103,0.8990898904251137,0.9960195527509378,2.2395734019011346,2.2308437433736605,16.884194961280265,-0.7877736507681383,31.297134238310708,0.9389140271493213,2,18.09201654370556,0 days 23:59:59.999999999,0
Most Expectancy,6,25,28,0,2652,2653 days 00:00:00,1000.0,2599.3342624635725,159.93342624635724,753.5983482975843,100.0,267.4078184934447,14.10126672646853,283 days 00:00:00,83,83,0,0.0,57.831325301204814,17.273906179635485,-10.458488618030499,3.8261972920633713,-2.266780973023553,1 days 00:00:00,1 days 00:00:00,2.331579736253808,19.269087499561103,0.8990898904251137,0.9960195527509378,2.2395734019011346,2.2308437433736605,16.884194961280265,-0.7877736507681383,31.297134238310708,0.9389140271493213,2,18.09201654370556,0 days 23:59:59.999999999,0
Most Sharpe Ratio,6,25,28,0,2652,2653 days 00:00:00,1000.0,2599.3342624635725,159.93342624635724,753.5983482975843,100.0,267.4078184934447,14.10126672646853,283 days 00:00:00,83,83,0,0.0,57.831325301204814,17.273906179635485,-10.458488618030499,3.8261972920633713,-2.266780973023553,1 days 00:00:00,1 days 00:00:00,2.331579736253808,19.269087499561103,0.8990898904251137,0.9960195527509378,2.2395734019011346,2.2308437433736605,16.884194961280265,-0.7877736507681383,31.297134238310708,0.9389140271493213,2,18.09201654370556,0 days 23:59:59.999999999,0
Most Omega Ratio,6,25,28,0,2652,2653 days 00:00:00,1000.0,2599.3342624635725,159.93342624635724,753.5983482975843,100.0,267.4078184934447,14.10126672646853,283 days 00:00:00,83,83,0,0.0,57.831325301204814,17.273906179635485,-10.458488618030499,3.8261972920633713,-2.266780973023553,1 days 00:00:00,1 days 00:00:00,2.331579736253808,19.269087499561103,0.8990898904251137,0.9960195527509378,2.2395734019011346,2.2308437433736605,16.884194961280265,-0.7877736507681383,31.297134238310708,0.9389140271493213,2,18.09201654370556,0 days 23:59:59.999999999,0
Most Sortino Ratio,6,25,28,0,2652,2653 days 00:00:00,1000.0,2599.3342624635725,159.93342624635724,753.5983482975843,100.0,267.4078184934447,14.10126672646853,283 days 00:00:00,83,83,0,0.0,57.831325301204814,17.273906179635485,-10.458488618030499,3.8261972920633713,-2.266780973023553,1 days 00:00:00,1 days 00:00:00,2.331579736253808,19.269087499561103,0.8990898904251137,0.9960195527509378,2.2395734019011346,2.2308437433736605,16.884194961280265,-0.7877736507681383,31.297134238310708,0.9389140271493213,2,18.09201654370556,0 days 23:59:59.999999999,0
Least Max Drawdown [%],23,29,8,0,2652,2653 days 00:00:00,1000.0,2034.9978757815306,103.49978757815306,753.5983482975843,100.0,241.85358427411649,11.162809465511852,585 days 00:00:00,78,78,0,0.0,55.12820512820513,17.273906179635485,-7.123050263295783,3.7376277808771396,-2.348592100859381,1 days 00:00:00,1 days 00:00:00,1.800835958880758,13.269203535660655,0.7332528733935035,0.9199029500145737,1.9078783902332337,1.795574276991237,11.08344506669402,-0.8626592165283216,29.41176470588235,0.8823529411764706,2,11.7081207667594,0 days 23:59:59.999999999,0
Most Win Rate [%],22,33,35,0,2652,2653 days 00:00:00,1000.0,1480.3133295202426,48.031332952024265,753.5983482975843,100.0,92.09874484254361,16.815833444526195,1211 days 00:00:00,37,37,0,0.0,59.45945945945946,12.515126359675314,-8.15327301092108,4.003443045383956,-2.9832948788215123,1 days 00:00:00,1 days 00:00:00,1.8660666631726508,12.981441338384931,0.5506970619679159,0.32974307548060006,1.922109481548742,1.1686292699241756,6.556283504234813,-0.9362640150943411,13.951734539969834,0.41855203619909503,1,5.433408704980119,0 days 23:59:59.999999999,0
Median Total Trades,5,23,34,0,2652,2653 days 00:00:00,1000.0,1418.7577337110592,41.87577337110592,753.5983482975843,100.0,198.87957300189598,20.309710567117907,767 days 00:00:00,91,91,0,0.0,53.84615384615385,17.27390617963549,-11.554665263667607,3.4787481085186616,-2.9924173823655447,1 days 00:00:00,1 days 00:00:00,1.3103320511690197,4.601733337484154,0.36991992394534157,0.2427395749506775,1.342905152483682,0.6413468380165487,3.754327897714344,-0.9444322383857325,34.313725490196084,1.0294117647058825,3,4.737078435645453,0 days 23:59:59.999999999,0
