Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Mean Max Drawdown [%],BTC-USD,EMA,6,11,0,false,false,None,1,116,1.319603686488342,36.52173913043478,2.1993546555959744,7.42362055704085,2.270740185073383,0.8143270338240428,19 days 08:45:54.782608694,0.02886546184738956,0.8734939759036143,1.739457831325301,6.484487835969417,0,3984,3985 days 00:00:00,1000.0,468168.0771424023,46716.80771424023,25748.835156678222,100.0,23871.489936497564,51.992040097062805,756 days 00:00:00,115,5584.410467301728,127.76816270679086,-15.076216164114745,28.49067310538157,-4.697149402278467,39 days 01:42:51.428571428,8 days 00:39:27.123287671,4013.771014566089,1.4271656497308878,1.454588813894049,1.3463314796107866,0.8004067972403882,10.850450529294532,1.2727126911647955,1.0578439964943032,-0.03360387112671486,,,0.00184605770956997,0.46520654281163243,467.1680771423999,0.4752600108487113,0.39229935294836915,0,116,3984,,,,
Mean Profit Factor,BTC-USD,EMA,6,11,0,false,false,None,1,116,1.319603686488342,36.52173913043478,2.1993546555959744,7.42362055704085,2.270740185073383,0.8143270338240428,19 days 08:45:54.782608694,0.02886546184738956,0.8734939759036143,1.739457831325301,6.484487835969417,0,3984,3985 days 00:00:00,1000.0,468168.0771424023,46716.80771424023,25748.835156678222,100.0,23871.489936497564,51.992040097062805,756 days 00:00:00,115,5584.410467301728,127.76816270679086,-15.076216164114745,28.49067310538157,-4.697149402278467,39 days 01:42:51.428571428,8 days 00:39:27.123287671,4013.771014566089,1.4271656497308878,1.454588813894049,1.3463314796107866,0.8004067972403882,10.850450529294532,1.2727126911647955,1.0578439964943032,-0.03360387112671486,,,0.00184605770956997,0.46520654281163243,467.1680771423999,0.4752600108487113,0.39229935294836915,0,116,3984,,,,
Mean Expectancy,BTC-USD,EMA,6,58,0,false,false,None,1,49,1.305278878922406,43.75,3.748372936480242,20.62350500906402,2.046846052045748,0.370977390222719,45 days 16:59:59.999999999,0.012048192771084338,0.3689759036144578,0.7304216867469879,7.609576396416693,0,3984,3985 days 00:00:00,1000.0,354010.70824377704,35301.070824377704,25748.835156678222,100.0,6499.249851904698,58.36261428017344,961 days 00:00:00,48,73907.8035226051,361.2200091262095,-15.13388860262149,54.967198603896485,-6.0882566758056775,89 days 12:34:17.142857142,11 days 15:06:40,5814.643848357751,1.3291407113986176,1.2197531311731917,1.317606383997058,0.4427060688141972,10.974071273225611,1.1598721800069878,1.1359927470534905,-0.03581370465225823,,,0.0018109362812128262,0.4563559428656322,353.0107082437777,0.44941417734915756,0.41321769587345747,0,49,3984,,,,
Least Win Rate [%],BTC-USD,EMA,5,16,0,false,false,None,1,116,1.162588263454982,31.30434782608696,1.8904241301846758,6.982199628944535,2.070078007402981,0.044385957368816405,19 days 08:58:26.086956521,0.02886546184738956,0.8734939759036143,1.739457831325301,6.098909314439503,0,3984,3985 days 00:00:00,1000.0,269917.2185623922,26891.721856239223,25748.835156678222,100.0,16920.290770658856,55.239904110594864,1087 days 00:00:00,115,3219.631184264377,128.1807006375141,-14.593281657701679,32.646109287807285,-4.71274654471444,43 days 22:00:00,8 days 04:33:25.063291139,2310.4138032880714,1.315850690448511,1.2126712720084565,1.314361891734955,0.741689897733799,10.689938137090687,1.2606473523729766,1.042608695652174,-0.03508780420376374,,,0.0017112355559361048,0.4312313600958984,268.91721856239184,0.4247677212150234,0.3944117869747587,0,116,3984,,,,
Median Avg Losing Trade [%],BTC-USD,EMA,5,78,0,false,false,None,1,45,1.019578680572102,38.63636363636363,2.7459602828917613,25.861043597665685,2.005008929125353,0.2538486895908388,51 days 11:27:16.363636363,0.01104417670682731,0.338855421686747,0.6701807228915662,8.763154833546354,0,3984,3985 days 00:00:00,1000.0,323851.4321969151,32285.14321969151,25748.835156678222,100.0,7562.415834422739,65.55524428397791,827 days 00:00:00,44,67611.36729469147,404.13482732814083,-13.451918910389587,78.01107452003886,-6.974161057161867,114 days 08:28:14.117647060,11 days 21:20:00,5800.910565959624,1.2922317744233893,1.064712724190812,1.304087310459345,0.6011707816163575,11.526703248241045,1.1625821300113752,1.1217162872154114,-0.03741569288983376,,,0.0018046823544107032,0.45477995331149723,322.85143219691406,0.4412757793385156,0.4235523141953059,0,45,3984,,,,
Most Avg Winning Trade Duration,BTC-USD,EMA,27,31,0,false,false,None,1,39,0.9454836694830421,50.0,2.529279500048627,24.56456607160407,1.9301126452663502,-0.025185496638636687,57 days 03:09:28.421052630,0.009538152610441768,0.2936746987951807,0.5798192771084337,7.21399154211264,0,3984,3985 days 00:00:00,1000.0,252003.37955390892,25100.337955390893,25748.835156678222,100.0,4530.318224700578,62.59988676583483,1049 days 00:00:00,38,52062.579981602,329.9287117489814,-23.894138127564712,58.24309169988261,-9.113959556674475,99 days 22:44:12.631578947,14 days 07:34:44.210526315,5235.284199271236,1.2603677042836012,1.0533691688964455,1.3004979927107094,0.4147866580864616,11.012580615653857,1.1446488405478068,1.1361545538178472,-0.03588351898008334,,,0.001731253899725192,0.4362759827307484,251.00337955390876,0.4185938370196085,0.4165913048295997,0,39,3984,,,,
Most Expectancy,BTC-USD,EMA,22,68,0,false,false,None,1,18,0.5273454000551167,52.94117647058824,5.418293582221675,152.5215545752345,2.271096485749131,2.327140559435581,133 days 09:52:56.470588236,0.00426706827309237,0.1355421686746988,0.2635542168674699,20.67310227676371,0,3984,3985 days 00:00:00,1000.0,857699.9380800494,85669.99380800493,25748.835156678222,100.0,6508.270878428242,58.19531605450676,756 days 00:00:00,17,170312.6355880635,1840.586482308105,-20.87682746083533,300.0075061478485,-13.400140943956321,225 days 13:20:00,29 days 18:00:00,40375.723675999165,1.4525316207703254,1.4716168291716853,1.3487006057544957,0.5734717325446425,11.485769457606127,1.1533427333485375,1.1693840579710146,-0.03707685825890319,,,0.0020609306235785797,0.5193545171418021,856.699938080047,0.5328361631858434,0.4303130129462879,0,18,3984,,,,
Most Win Rate [%],BTC-USD,EMA,56,63,0,false,false,None,1,12,0.2798155059708579,72.72727272727273,7.051764085000542,167.41326971091218,1.9203628692617838,0.48531449614375455,204 days 17:27:16.363636364,0.0027610441767068274,0.09036144578313252,0.17319277108433734,15.127705094359532,0,3984,3985 days 00:00:00,1000.0,383451.1811703011,38245.118117030106,25748.835156678222,100.0,2449.479941309061,64.3271929581157,963 days 00:00:00,11,72099.55863206804,1261.1693727774905,-35.44659550429311,238.7833697263618,-22.90699699695354,267 days 21:00:00,36 days 08:00:00,28213.783867112095,1.283726885593587,1.1261979157161794,1.3105606277227706,-0.1833569559484286,17.557724922856924,1.117619830532574,1.1726354453627181,-0.03883495601935496,,,0.0018964655624452553,0.4779093217362043,382.45118117030023,0.45675472083402524,0.4480423088403346,0,12,3984,,,,
Least Avg Losing Trade [%],BTC-USD,EMA,63,68,0,false,false,None,1,11,0.23410283377722577,70.0,4.352760883255657,355.659492008044,1.8168764661162717,0.03173716541641465,225 days 19:11:59.999999996,0.0025100401606425703,0.08283132530120481,0.15813253012048192,29.459747078979547,0,3984,3985 days 00:00:00,1000.0,266660.3019732571,26566.030197325712,25748.835156678222,100.0,1992.6514212081702,69.51698097489219,964 days 00:00:00,10,52722.13754948904,3154.241208033779,-44.58772805022457,520.0773817627158,-27.98225075285678,307 days 06:51:25.714285712,35 days 16:00:00,21293.816442376803,1.2177915163241808,0.960948961025449,1.2916291042808217,-0.17236944311771601,17.182841895016644,1.1120388831828598,1.1614963503649636,-0.03929169723541044,,,0.0018100444881095938,0.45613121100361764,265.66030197325716,0.42367437153003595,0.45077830651579914,0,11,3984,,,,
Most Best Trade [%],BTC-USD,EMA,65,79,0,false,false,None,1,12,0.21960567802936487,54.54545454545454,3.9105904567730323,373.7043530522065,1.7409634061443613,-0.19451681056561732,208 days 04:21:49.090909089,0.0027610441767068274,0.09036144578313252,0.17319277108433734,33.76846563724757,0,3984,3985 days 00:00:00,1000.0,208402.53866221337,20740.253866221337,25748.835156678222,100.0,1725.970296530149,69.9889185991177,1048 days 00:00:00,11,41203.8358454789,3775.1365041868185,-45.46576317710751,701.5971644917671,-19.767020675266206,341 days 20:00:00,47 days 19:12:00,15108.972983339498,1.1701402843551247,0.90126237361855,1.2754439692903181,-0.16998178692210913,16.526608278108416,1.1031402032526492,1.1561938958707358,-0.039776701333644776,,,0.0017559224674627038,0.44249246180060137,207.40253866221377,0.4016539081808739,0.45510762028396295,0,12,3984,,,,
