Metric Type,Fast Period,Slow Period,Ticker,Strategy Type,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],12,21,PANW,EMA,0,true,false,None,1,56,0.9122082401175104,41.81818181818181,1.6989505296831375,4.87028930423844,1.0252080791648184,-0.7734117634417755,38 days 04:21:49.090909090,0.011612416739977378,0.35963302752293574,0.7128440366972477,1.7515168873958427,0,3270,3271 days 00:00:00,1000.0,5920.841786270694,492.08417862706943,2171.7110565915127,100.0,425.7804733785592,40.82564444655625,904 days 00:00:00,55,-5.920841786270103,121.26658331016269,-16.394697948403202,19.818910631777083,-5.874032274929959,69 days 12:31:18.260869565,15 days 15:45:00,89.57750232830847,0.7413800189299788,0.5376927977655286,1.1570393444122398,-1.6569314385497755,35.45391885488796,1.0751342295300097,1.0761812921890066,-0.026032419335129814,,,0.000721327496191677,0.18177452904030258,4.920841786270715,0.14684554403632233,0.29507900668738696,0,56,4736.309523809524,,,,
Median Profit Factor,12,21,PANW,EMA,0,true,false,None,1,56,0.9122082401175104,41.81818181818181,1.6989505296831375,4.87028930423844,1.0252080791648184,-0.7734117634417755,38 days 04:21:49.090909090,0.011612416739977378,0.35963302752293574,0.7128440366972477,1.7515168873958427,0,3270,3271 days 00:00:00,1000.0,5920.841786270694,492.08417862706943,2171.7110565915127,100.0,425.7804733785592,40.82564444655625,904 days 00:00:00,55,-5.920841786270103,121.26658331016269,-16.394697948403202,19.818910631777083,-5.874032274929959,69 days 12:31:18.260869565,15 days 15:45:00,89.57750232830847,0.7413800189299788,0.5376927977655286,1.1570393444122398,-1.6569314385497755,35.45391885488796,1.0751342295300097,1.0761812921890066,-0.026032419335129814,,,0.000721327496191677,0.18177452904030258,4.920841786270715,0.14684554403632233,0.29507900668738696,0,56,4736.309523809524,,,,
Most Sharpe Ratio,12,21,PANW,EMA,0,true,false,None,1,56,0.9122082401175104,41.81818181818181,1.6989505296831375,4.87028930423844,1.0252080791648184,-0.7734117634417755,38 days 04:21:49.090909090,0.011612416739977378,0.35963302752293574,0.7128440366972477,1.7515168873958427,0,3270,3271 days 00:00:00,1000.0,5920.841786270694,492.08417862706943,2171.7110565915127,100.0,425.7804733785592,40.82564444655625,904 days 00:00:00,55,-5.920841786270103,121.26658331016269,-16.394697948403202,19.818910631777083,-5.874032274929959,69 days 12:31:18.260869565,15 days 15:45:00,89.57750232830847,0.7413800189299788,0.5376927977655286,1.1570393444122398,-1.6569314385497755,35.45391885488796,1.0751342295300097,1.0761812921890066,-0.026032419335129814,,,0.000721327496191677,0.18177452904030258,4.920841786270715,0.14684554403632233,0.29507900668738696,0,56,4736.309523809524,,,,
Most Omega Ratio,12,21,PANW,EMA,0,true,false,None,1,56,0.9122082401175104,41.81818181818181,1.6989505296831375,4.87028930423844,1.0252080791648184,-0.7734117634417755,38 days 04:21:49.090909090,0.011612416739977378,0.35963302752293574,0.7128440366972477,1.7515168873958427,0,3270,3271 days 00:00:00,1000.0,5920.841786270694,492.08417862706943,2171.7110565915127,100.0,425.7804733785592,40.82564444655625,904 days 00:00:00,55,-5.920841786270103,121.26658331016269,-16.394697948403202,19.818910631777083,-5.874032274929959,69 days 12:31:18.260869565,15 days 15:45:00,89.57750232830847,0.7413800189299788,0.5376927977655286,1.1570393444122398,-1.6569314385497755,35.45391885488796,1.0751342295300097,1.0761812921890066,-0.026032419335129814,,,0.000721327496191677,0.18177452904030258,4.920841786270715,0.14684554403632233,0.29507900668738696,0,56,4736.309523809524,,,,
Most Sortino Ratio,12,21,PANW,EMA,0,true,false,None,1,56,0.9122082401175104,41.81818181818181,1.6989505296831375,4.87028930423844,1.0252080791648184,-0.7734117634417755,38 days 04:21:49.090909090,0.011612416739977378,0.35963302752293574,0.7128440366972477,1.7515168873958427,0,3270,3271 days 00:00:00,1000.0,5920.841786270694,492.08417862706943,2171.7110565915127,100.0,425.7804733785592,40.82564444655625,904 days 00:00:00,55,-5.920841786270103,121.26658331016269,-16.394697948403202,19.818910631777083,-5.874032274929959,69 days 12:31:18.260869565,15 days 15:45:00,89.57750232830847,0.7413800189299788,0.5376927977655286,1.1570393444122398,-1.6569314385497755,35.45391885488796,1.0751342295300097,1.0761812921890066,-0.026032419335129814,,,0.000721327496191677,0.18177452904030258,4.920841786270715,0.14684554403632233,0.29507900668738696,0,56,4736.309523809524,,,,
Most Win Rate [%],77,89,PANW,EMA,0,false,false,None,1,11,0.1591749112090564,50.0,3.3282960500072196,31.521502990102263,0.9900163369992646,-0.7740156566117753,224 days 21:36:00,0.002111348498177705,0.07064220183486238,0.1348623853211009,2.226748376365022,0,3270,3271 days 00:00:00,1000.0,5907.726971527806,490.7726971527806,2171.7110565915127,100.0,54.88672344194861,55.25987856110062,1554 days 00:00:00,10,234.56541816287336,165.57243814472923,-26.344218132102213,78.80075691843477,-15.757750938230247,397 days 00:00:00,52 days 19:12:00,467.3161553364935,0.7081443156525403,0.3966979912433963,1.1394883157606295,-1.1078120046193465,25.824976560287176,0.9828892747911001,1.1593252108716028,-0.029790473773039595,,,0.0007548761672338544,0.1902287941429313,4.907726971527792,0.14664963793262054,0.32329623232062926,0,11,4736.309523809524,,,,
Most Profit Factor,77,89,PANW,EMA,0,false,false,None,1,11,0.1591749112090564,50.0,3.3282960500072196,31.521502990102263,0.9900163369992646,-0.7740156566117753,224 days 21:36:00,0.002111348498177705,0.07064220183486238,0.1348623853211009,2.226748376365022,0,3270,3271 days 00:00:00,1000.0,5907.726971527806,490.7726971527806,2171.7110565915127,100.0,54.88672344194861,55.25987856110062,1554 days 00:00:00,10,234.56541816287336,165.57243814472923,-26.344218132102213,78.80075691843477,-15.757750938230247,397 days 00:00:00,52 days 19:12:00,467.3161553364935,0.7081443156525403,0.3966979912433963,1.1394883157606295,-1.1078120046193465,25.824976560287176,0.9828892747911001,1.1593252108716028,-0.029790473773039595,,,0.0007548761672338544,0.1902287941429313,4.907726971527792,0.14664963793262054,0.32329623232062926,0,11,4736.309523809524,,,,
Most Expectancy,77,89,PANW,EMA,0,false,false,None,1,11,0.1591749112090564,50.0,3.3282960500072196,31.521502990102263,0.9900163369992646,-0.7740156566117753,224 days 21:36:00,0.002111348498177705,0.07064220183486238,0.1348623853211009,2.226748376365022,0,3270,3271 days 00:00:00,1000.0,5907.726971527806,490.7726971527806,2171.7110565915127,100.0,54.88672344194861,55.25987856110062,1554 days 00:00:00,10,234.56541816287336,165.57243814472923,-26.344218132102213,78.80075691843477,-15.757750938230247,397 days 00:00:00,52 days 19:12:00,467.3161553364935,0.7081443156525403,0.3966979912433963,1.1394883157606295,-1.1078120046193465,25.824976560287176,0.9828892747911001,1.1593252108716028,-0.029790473773039595,,,0.0007548761672338544,0.1902287941429313,4.907726971527792,0.14664963793262054,0.32329623232062926,0,11,4736.309523809524,,,,
Least Max Drawdown [%],14,18,PANW,EMA,0,true,false,None,1,54,0.9515825768202228,45.28301886792453,1.659406170060126,5.006246774118086,1.0105803520923933,-0.7807020835991743,39 days 14:02:15.849056603,0.011190147040341837,0.34678899082568804,0.6871559633027523,1.7361112666207672,0,3270,3271 days 00:00:00,1000.0,5762.517097351545,476.2517097351545,2171.7110565915127,100.0,414.0709951295676,38.962130762106085,904 days 00:00:00,53,-5.76251709735061,121.26658331016272,-16.394697948403195,18.82614953077788,-6.430914127945197,68 days 23:00:00,15 days 06:37:14.482758620,89.96753989526218,0.7317477237655643,0.5539577067523049,1.1549693586742014,-1.6574739748810319,35.07571809567039,1.0710657550395712,1.0783365570599615,-0.026078845458408332,,,0.000714130243237015,0.1799608212957278,4.762517097351575,0.14445328015366443,0.2959802605749438,0,54,4736.309523809524,,,,
Median Avg Losing Trade [%],14,18,PANW,EMA,0,true,false,None,1,54,0.9515825768202228,45.28301886792453,1.659406170060126,5.006246774118086,1.0105803520923933,-0.7807020835991743,39 days 14:02:15.849056603,0.011190147040341837,0.34678899082568804,0.6871559633027523,1.7361112666207672,0,3270,3271 days 00:00:00,1000.0,5762.517097351545,476.2517097351545,2171.7110565915127,100.0,414.0709951295676,38.962130762106085,904 days 00:00:00,53,-5.76251709735061,121.26658331016272,-16.394697948403195,18.82614953077788,-6.430914127945197,68 days 23:00:00,15 days 06:37:14.482758620,89.96753989526218,0.7317477237655643,0.5539577067523049,1.1549693586742014,-1.6574739748810319,35.07571809567039,1.0710657550395712,1.0783365570599615,-0.026078845458408332,,,0.000714130243237015,0.1799608212957278,4.762517097351575,0.14445328015366443,0.2959802605749438,0,54,4736.309523809524,,,,
