Metric Type,Fast Period,Slow Period,Ticker,Strategy Type,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],86,89,CDW,SMA,0,true,false,None,1,48,1.3349544586836135,68.08510638297872,2.5150189549735704,3.7307250537284053,1.1438117771761207,-0.6176965569191458,44 days 01:01:16.595744680,0.010688180193838324,0.3320158102766798,0.6571146245059288,1.2386597016331464,0,3036,3037 days 00:00:00,1000.0,4381.002444455206,338.1002444455207,884.3766661395598,100.0,260.26436547756396,36.755861071278154,331 days 00:00:00,47,-4.38100244445468,52.83921866783729,-13.997255773311826,7.815460467422376,-4.983377162152065,47 days 03:00:00,37 days 11:12:00,72.02943504041829,0.8093843601882761,0.5285759548550363,1.1610895053569115,-0.5091179212263576,14.471828935224448,1.016212026970129,1.1425661914460288,-0.020510366945722284,,,0.0005811324826357098,0.14644538562419887,3.3810024444552003,0.1304089860012405,0.21775445332277843,0,48,4397.380952380952,,,,
Most Sharpe Ratio,7,32,CDW,SMA,0,false,false,None,1,54,1.1090876660905986,50.943396226415096,2.0982412321597725,3.2182099044625603,1.2893091413809545,-0.6222444946668492,34 days 16:45:16.981132074,0.012052628729221939,0.3735177865612648,0.7401185770750988,1.202058640204395,0,3036,3037 days 00:00:00,1000.0,4340.781544223967,334.0781544223967,884.3766661395598,100.0,279.9596366754026,28.257433993036425,487 days 00:00:00,53,-52.63847505685135,28.95782982463754,-11.379648221424233,9.977137924110753,-3.800676885172101,51 days 14:13:20,17 days 03:41:32.307692307,64.02679281661923,0.882879056543572,0.6828629219237409,1.1797937167602306,-0.03165712269014566,7.4054432331539894,1.0886714378234652,1.0837004405286343,-0.018544900708446013,,,0.0005558531548755772,0.14007499502864545,3.34078154422395,0.12954420784454834,0.19094380069707806,0,54,4397.380952380952,,,,
Most Omega Ratio,7,32,CDW,SMA,0,false,false,None,1,54,1.1090876660905986,50.943396226415096,2.0982412321597725,3.2182099044625603,1.2893091413809545,-0.6222444946668492,34 days 16:45:16.981132074,0.012052628729221939,0.3735177865612648,0.7401185770750988,1.202058640204395,0,3036,3037 days 00:00:00,1000.0,4340.781544223967,334.0781544223967,884.3766661395598,100.0,279.9596366754026,28.257433993036425,487 days 00:00:00,53,-52.63847505685135,28.95782982463754,-11.379648221424233,9.977137924110753,-3.800676885172101,51 days 14:13:20,17 days 03:41:32.307692307,64.02679281661923,0.882879056543572,0.6828629219237409,1.1797937167602306,-0.03165712269014566,7.4054432331539894,1.0886714378234652,1.0837004405286343,-0.018544900708446013,,,0.0005558531548755772,0.14007499502864545,3.34078154422395,0.12954420784454834,0.19094380069707806,0,54,4397.380952380952,,,,
Most Sortino Ratio,7,32,CDW,SMA,0,false,false,None,1,54,1.1090876660905986,50.943396226415096,2.0982412321597725,3.2182099044625603,1.2893091413809545,-0.6222444946668492,34 days 16:45:16.981132074,0.012052628729221939,0.3735177865612648,0.7401185770750988,1.202058640204395,0,3036,3037 days 00:00:00,1000.0,4340.781544223967,334.0781544223967,884.3766661395598,100.0,279.9596366754026,28.257433993036425,487 days 00:00:00,53,-52.63847505685135,28.95782982463754,-11.379648221424233,9.977137924110753,-3.800676885172101,51 days 14:13:20,17 days 03:41:32.307692307,64.02679281661923,0.882879056543572,0.6828629219237409,1.1797937167602306,-0.03165712269014566,7.4054432331539894,1.0886714378234652,1.0837004405286343,-0.018544900708446013,,,0.0005558531548755772,0.14007499502864545,3.34078154422395,0.12954420784454834,0.19094380069707806,0,54,4397.380952380952,,,,
Mean Total Fees Paid,6,68,CDW,SMA,0,false,false,None,1,31,0.595825849787412,53.333333333333336,2.40223925312889,5.499968352344566,1.243442272593854,-0.645433377261361,65 days 03:12:00,0.006822242676918079,0.21442687747035571,0.4219367588932806,1.1793410399790225,0,3036,3037 days 00:00:00,1000.0,4135.7044774196065,313.57044774196066,884.3766661395598,100.0,185.53414092653426,35.26681433804754,487 days 00:00:00,30,39.133085755395314,47.81956291310181,-10.060161115507752,13.794951820538753,-3.980012754163076,104 days 07:30:00,20 days 08:34:17.142857143,103.21904638880702,0.8574811885101795,0.5275236718405969,1.1651871700119978,-0.10473336334572983,6.367478550430728,1.048997292287376,1.110762800417973,-0.01895913383872177,,,0.0005399792558996992,0.1360747724867242,3.1357044774196146,0.12501728331713324,0.1909849641394358,0,31,4397.380952380952,,,,
Most Expectancy,16,86,CDW,SMA,0,false,false,None,1,20,0.572886948703298,63.1578947368421,2.547119120308047,8.615529546864298,1.1022468338815778,-0.7017226117097393,105 days 23:59:59.999999999,0.00432075369538145,0.13833992094861658,0.26976284584980237,1.1918716764436774,0,3036,3037 days 00:00:00,1000.0,3637.8956224095573,263.7895622409557,884.3766661395598,100.0,112.51127066401784,34.015403865444135,639 days 00:00:00,19,-148.8318638938963,47.08305219399614,-14.242324440104085,17.71402863006214,-6.981897452903425,137 days 22:00:00,51 days 06:51:25.714285714,146.66986770018173,0.7750939394375269,0.49359821165807055,1.1467334494152617,-0.40377340712171733,7.257005942019851,1.0137333141862772,1.1311983471074378,-0.01959857104684222,,,0.0005021689089516193,0.12654656505580805,2.637895622409555,0.11310839374455406,0.19649078243368914,0,20,4397.380952380952,,,,
Least Total Trades,21,24,CDW,SMA,0,false,false,None,1,100,1.0987051152498963,50.505050505050505,1.7557794643154074,1.418366962448601,1.1171588381883057,-0.7182576064117923,18 days 01:27:16.363636362,0.02251340083382966,0.6916996047430829,1.3764822134387351,0.9810838673063444,0,3036,3037 days 00:00:00,1000.0,3491.6639875171886,249.16639875171884,884.3766661395598,100.0,422.22589805922235,23.876980028732678,433 days 00:00:00,99,94.31002204045808,19.852518389242746,-11.523662785626305,5.794565388931466,-3.047141636003303,23 days 19:12:00,12 days 04:53:52.653061224,24.215696620977084,0.768911981211008,0.6791265799899462,1.1581811514104525,0.004438278459856327,8.05404079998429,1.1337983903281244,1.0215053763440862,-0.01874556870701674,,,0.0004841481182075804,0.12200532578831026,2.4916639875171827,0.1093255036442069,0.19096260157630077,0,100,4397.380952380952,,,,
Most Win Rate [%],82,89,CDW,SMA,0,false,false,None,1,34,0.8500854418093141,72.72727272727273,2.5412972479908396,4.5722271042906435,0.9856777703232464,-0.7223812525400986,62 days 10:10:54.545454545,0.007504466944609887,0.2351778656126482,0.46343873517786555,1.0752866114833726,0,3036,3037 days 00:00:00,1000.0,3455.19542336428,245.51954233642797,884.3766661395598,100.0,153.56292708486012,36.75586107127816,331 days 00:00:00,33,-1.9250379291447643,51.279551206142806,-14.405739114250915,8.91978512082756,-7.021260939807804,61 days 11:00:00,65 days 00:00:00,74.45819579677047,0.7022767871720715,0.43718024211093537,1.1385059236623705,-0.5389039884489838,14.650864084976256,1.001311864516005,1.1370143149284253,-0.02057699262902084,,,0.0005022000766937932,0.1265544193268359,2.4551954233642865,0.10835947563046688,0.21687783224282328,0,34,4397.380952380952,,,,
Median Worst Trade [%],82,89,CDW,SMA,0,false,false,None,1,34,0.8500854418093141,72.72727272727273,2.5412972479908396,4.5722271042906435,0.9856777703232464,-0.7223812525400986,62 days 10:10:54.545454545,0.007504466944609887,0.2351778656126482,0.46343873517786555,1.0752866114833726,0,3036,3037 days 00:00:00,1000.0,3455.19542336428,245.51954233642797,884.3766661395598,100.0,153.56292708486012,36.75586107127816,331 days 00:00:00,33,-1.9250379291447643,51.279551206142806,-14.405739114250915,8.91978512082756,-7.021260939807804,61 days 11:00:00,65 days 00:00:00,74.45819579677047,0.7022767871720715,0.43718024211093537,1.1385059236623705,-0.5389039884489838,14.650864084976256,1.001311864516005,1.1370143149284253,-0.02057699262902084,,,0.0005022000766937932,0.1265544193268359,2.4551954233642865,0.10835947563046688,0.21687783224282328,0,34,4397.380952380952,,,,
Most Calmar Ratio,24,30,CDW,SMA,0,false,false,None,1,65,1.0853550577925664,50.0,1.9856811986551741,2.1902479506420867,1.104928859048833,-0.7352043664335158,28 days 13:07:30,0.014554117710758568,0.4496047430830039,0.892292490118577,0.9847458671365112,0,3036,3037 days 00:00:00,1000.0,3341.7907962183986,234.17907962183983,884.3766661395598,100.0,262.9271384459558,22.51046455793024,551 days 00:00:00,64,19.596785442561213,27.453361327021792,-10.581280084191981,7.908639082315993,-3.52814318103182,40 days 05:15:00,16 days 21:00:00,36.28428141837249,0.7544957237544857,0.6932037039234872,1.1526293772304068,0.09694862306303434,7.926465848761322,1.1046531284382972,1.0434310532030402,-0.018355775195925315,,,0.00046729548519787814,0.11775846226986529,2.3417907962184,0.10529455024562218,0.18783715641805704,0,65,4397.380952380952,,,,
