Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Most Profit Factor,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Least Max Drawdown Duration,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Most Avg Winning Trade Duration,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Least Avg Winning Trade Duration,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Most Avg Losing Trade Duration,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Least Avg Losing Trade Duration,SBET,MACD,32,39,16,false,false,None,0,160,0.6273311382276585,31.874999999999996,0.8854280186509467,0.06421428406024043,0.03647689875240461,0.5872512672148392,1 days 00:00:00,0.015560748475089103,0.47330609945062685,0.9466121989012537,0.030393012317566963,0,7099,7100 days 00:00:00,1000.0,588.0775043791224,-41.19224956208776,-99.7998207871632,100.0,284.95803992051157,66.01136515151049,3072 days 00:00:00,160,0.0,63.27812564323345,-36.03369565217391,7.468414572694757,-3.400136309704533,1 days 00:00:00,1 days 00:00:00,-2.5745155976304765,0.019567976746601844,-0.04078614520520935,1.0273896734454784,18.889104286569076,934.3248254730105,5.41897690503596,0.1895910780669145,0.0,,,0.000014493337275524605,0.0036523209934322004,-0.41192249562087935,-0.018666666952632527,0.22463073484430734,0,160,10282.281746031746,,,,
Median Worst Trade [%],SBET,MACD,11,13,14,false,false,None,0,330,0.6109001408331168,30.606060606060602,0.806176392940237,0.8754341340067096,0.7489565877245755,0.4941385552807556,0 days 23:59:59.999999999,0.03209404372987128,0.976193830116918,1.952387660233836,0.854593400291097,0,7099,7100 days 00:00:00,1000.0,495.1511847388395,-50.484881526116055,-99.7998207871632,100.0,201.4256383585693,91.92917867527585,6771 days 00:00:00,330,0.0,432.5513831364689,-36.033695652173904,10.408524877781824,-3.3291168053875544,1 days 00:00:00,1 days 00:00:00,-1.5298448947307914,0.14379901070926696,-0.038605299116966925,1.3740461178239782,72.56661603567298,5782.187053105996,7.604869107560469,0.1806797853309481,-0.0009990009990009142,,,0.0004069383538805362,0.10254846517789512,-0.5048488152611617,-0.024639098413512417,0.8582610988570294,0,330,10282.281746031746,,,,
Most Sharpe Ratio,SBET,MACD,11,13,14,false,false,None,0,330,0.6109001408331168,30.606060606060602,0.806176392940237,0.8754341340067096,0.7489565877245755,0.4941385552807556,0 days 23:59:59.999999999,0.03209404372987128,0.976193830116918,1.952387660233836,0.854593400291097,0,7099,7100 days 00:00:00,1000.0,495.1511847388395,-50.484881526116055,-99.7998207871632,100.0,201.4256383585693,91.92917867527585,6771 days 00:00:00,330,0.0,432.5513831364689,-36.033695652173904,10.408524877781824,-3.3291168053875544,1 days 00:00:00,1 days 00:00:00,-1.5298448947307914,0.14379901070926696,-0.038605299116966925,1.3740461178239782,72.56661603567298,5782.187053105996,7.604869107560469,0.1806797853309481,-0.0009990009990009142,,,0.0004069383538805362,0.10254846517789512,-0.5048488152611617,-0.024639098413512417,0.8582610988570294,0,330,10282.281746031746,,,,
Most Calmar Ratio,SBET,MACD,11,13,14,false,false,None,0,330,0.6109001408331168,30.606060606060602,0.806176392940237,0.8754341340067096,0.7489565877245755,0.4941385552807556,0 days 23:59:59.999999999,0.03209404372987128,0.976193830116918,1.952387660233836,0.854593400291097,0,7099,7100 days 00:00:00,1000.0,495.1511847388395,-50.484881526116055,-99.7998207871632,100.0,201.4256383585693,91.92917867527585,6771 days 00:00:00,330,0.0,432.5513831364689,-36.033695652173904,10.408524877781824,-3.3291168053875544,1 days 00:00:00,1 days 00:00:00,-1.5298448947307914,0.14379901070926696,-0.038605299116966925,1.3740461178239782,72.56661603567298,5782.187053105996,7.604869107560469,0.1806797853309481,-0.0009990009990009142,,,0.0004069383538805362,0.10254846517789512,-0.5048488152611617,-0.024639098413512417,0.8582610988570294,0,330,10282.281746031746,,,,
