Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
"Most Expectancy, Most Omega Ratio, Most Sharpe Ratio, Most Sortino Ratio, Most Total Return [%]",AMZN,SMA,53,65,0,false,false,,1,77,1.6333843923769846,60.526315789473685,2.3295111514016527,15.283213062795777,1.6315933857383373,-0.28813334506073135,58 days 17:41:03.157894736,0.007383035440651798,0.22752216124947233,0.45208948923596454,3.477269666883463,0,7107,7108 days 00:00:00,1000.0,1679900.0070000987,167890.00070000987,235844.73234574113,100.0,71562.57740874465,70.85863663404723,902 days 00:00:00,76,153645.85529321455,227.02734995034209,-33.95705890085733,31.55753641803386,-9.67074941523595,76 days 04:10:26.086956522,32 days 00:00:00,20069.133575090586,1.0020242635815315,0.655201402962346,1.2359552923970107,1.4306444711641706,17.58856368687278,1.2027824663673123,1.0275800711743774,-0.032465140338624764,0.001388914875186127,0.350006548546904,1678.9000070000934,0.3012058526016499,0.42038198244338065,0,77,10293.869047619048,,,,
Median Calmar Ratio,TMO,SMA,39,65,0,false,false,,1,90,1.2139136347786834,53.93258426966292,1.4921193221854345,5.728166802249233,0.8573127026809946,-0.8500898680850274,80 days 12:56:37.752808989,0.005367919572155652,0.16510876212107978,0.3283829824408142,0.9457705299424348,0,11447,11448 days 00:00:00,1000.0,36382.80836643276,3538.2808366432755,23602.679761833257,100.0,3599.1673057506714,53.51447724452522,1521 days 00:00:00,89,759.7588549897846,110.97755002590823,-28.453132691648808,17.12632550200714,-7.616018992589294,114 days 09:30:00,40 days 21:39:30.731707317,389.02302821846047,0.558398542237661,0.226883297419295,1.1109109483827198,0.865158115858125,11.256967726986549,1.131351190715704,0.9819328936048177,-0.021117100399558903,0.0004131920882575173,0.10412440624089436,35.38280836643276,0.08232913859260438,0.22441631349293137,0,90,16579.98015873016,,,,
Median Max Drawdown [%],MRK,SMA,67,87,0,false,false,,0,112,1.1686416381697295,50.0,1.5076146348166628,4.370674644961692,0.6897721977128002,-0.8639501369710618,87 days 21:51:25.714285714,0.004829254771250329,0.14688983262553085,0.2937796652510617,0.6420076670590744,0,16012,16013 days 00:00:00,1000.0,29840.966427898566,2884.0966427898566,21198.82062781938,100.0,3123.1320790789996,62.13116489908758,2936 days 00:00:00,112,0.0,99.70000000000002,-20.9286270686109,15.325879043035284,-6.584529753111899,126 days 10:17:08.571428572,49 days 09:25:42.857142857,257.5086288205233,0.4654148180478671,0.12953290954851462,1.0894146990801925,0.37093927783738895,10.587400466736552,1.090780450896842,0.9987479131886476,-0.017486717617843046,0.0002762328844522087,0.0696106868819566,28.84096642789856,0.05489551345987076,0.18000388337863504,0,112,23191.984126984127,,,,
Least Total Fees Paid,ROKU,SMA,77,78,0,false,false,,1,55,0.9773075175567754,51.85185185185185,1.292747425266512,3.963323726401721,0.8938636382443378,-0.44932083094033987,18 days 08:00:00,0.0188293897882939,0.5833333333333333,1.156060606060606,2.3119388404010035,0,1980,1981 days 00:00:00,1000.0,2565.100519389638,156.5100519389638,284.2127698533075,100.0,254.39187637031708,62.714350004323194,1130 days 00:00:00,54,-42.37832179936913,112.7514807859836,-42.35700101633961,15.732510001885908,-8.711184570273554,20 days 02:34:17.142857143,16 days 10:09:13.846153846,29.768126688685328,0.5857846531635146,0.30222131417637044,1.1373124971312256,1.042077902009962,22.7334314077856,1.2011075888465135,0.9468864468864469,-0.041981240631517217,0.0009492806583685872,0.239218725908884,1.5651005193896377,0.12730529697957849,0.4914771659548642,0,55,2867.8571428571427,,,,
