Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Win Rate [%],SBET,SMA,53,68,0,false,false,None,1,68,1.0583074524258367,49.25373134328358,1.0719056755719913,6.042542950442783,0.6557733960448402,0.816906674157862,41 days 22:12:32.238805969,0.006516063423943562,0.20115509226651643,0.3993520214114664,1.2154882847207065,0,7099,7100 days 00:00:00,1000.0,817.2731889362894,-18.272681106371056,-99.7998207871632,100.0,535.3468390893581,97.20341961778,5137 days 00:00:00,67,-2083.395759736404,136.6630033874512,-46.950722023424746,27.677636604583338,-14.956224419752463,49 days 23:16:21.818181818,34 days 02:49:24.705882353,28.368193263771616,0.3981238482440803,-0.010616576832342848,1.1243731809582858,2.5818503679241225,59.545030192036585,1.3622213538533083,0.8253968253968255,-0.04999998901829574,,,0.000908269130429741,0.22888382086829473,-0.1827268110637157,-0.007136250184996751,0.6918995741397381,0,68,10282.281746031746,,,,
Most Profit Factor,SBET,SMA,62,71,0,false,false,None,1,82,0.9815472976030791,41.9753086419753,1.0998217842895857,4.662084327799767,0.6670450909989664,0.9842518559093343,34 days 05:37:46.666666665,0.007877628915513859,0.24256937596844627,0.4821805888153261,1.1308788861066628,0,7099,7100 days 00:00:00,1000.0,984.2833804202114,-1.5716619579788587,-99.7998207871632,100.0,648.1959380239823,97.36560608803872,1975 days 00:00:00,81,-2509.1387419859984,126.03727888627485,-44.599997587285365,25.798077508861965,-10.627783079777135,41 days 23:17:38.823529411,28 days 15:19:08.936170213,30.782989165508752,0.40451005095262726,-0.0008360776980584155,1.1276697228517127,2.6090109048679397,62.07349851386047,1.3861394755749807,0.813532651455547,-0.04735139449683483,,,0.0009102148707749875,0.22937414743529685,-0.01571661957978876,-0.0005621013505390238,0.682435031019851,0,82,10282.281746031746,,,,
Least Max Drawdown Duration,SBET,SMA,62,71,0,false,false,None,1,82,0.9815472976030791,41.9753086419753,1.0998217842895857,4.662084327799767,0.6670450909989664,0.9842518559093343,34 days 05:37:46.666666665,0.007877628915513859,0.24256937596844627,0.4821805888153261,1.1308788861066628,0,7099,7100 days 00:00:00,1000.0,984.2833804202114,-1.5716619579788587,-99.7998207871632,100.0,648.1959380239823,97.36560608803872,1975 days 00:00:00,81,-2509.1387419859984,126.03727888627485,-44.599997587285365,25.798077508861965,-10.627783079777135,41 days 23:17:38.823529411,28 days 15:19:08.936170213,30.782989165508752,0.40451005095262726,-0.0008360776980584155,1.1276697228517127,2.6090109048679397,62.07349851386047,1.3861394755749807,0.813532651455547,-0.04735139449683483,,,0.0009102148707749875,0.22937414743529685,-0.01571661957978876,-0.0005621013505390238,0.682435031019851,0,82,10282.281746031746,,,,
Most Total Trades,SBET,SMA,62,68,0,false,false,None,1,99,0.8669522520666382,38.775510204081634,1.042482967565879,3.2241033223893503,0.6090671757987912,0.5142905884489322,28 days 12:44:04.897959183,0.009530958440992075,0.2928581490350754,0.5827581349485843,0.944204931292782,0,7099,7100 days 00:00:00,1000.0,515.2628777256493,-48.473712227435065,-99.7998207871632,100.0,519.8617421897532,98.05604187459774,6396 days 00:00:00,98,-1313.509985566015,114.39117647058825,-44.766919931683454,24.094026274871396,-9.993514547515945,36 days 21:28:25.263157894,23 days 05:36:00,8.456865951955649,0.36977824674490606,-0.03417777377407097,1.1155040134844305,2.589593788954153,59.670207643837436,1.4086606237914525,0.7918898240244837,-0.048798776908700346,,,0.0008438485437093628,0.21264983301475943,-0.4847371222743492,-0.02325982287639905,0.6921015930541532,0,99,10282.281746031746,,,,
Least Total Trades,SBET,SMA,55,62,0,false,false,None,1,100,0.7844751770412345,35.35353535353536,0.9850363036427062,2.813602320246077,0.5285299790046438,0.2245644596785772,28 days 13:49:05.454545454,0.009628213118961382,0.2958163121566418,0.5886744611917172,0.8323094622505651,0,7099,7100 days 00:00:00,1000.0,226.11672043924932,-77.38832795607506,-99.7998207871632,100.0,384.31678047191366,98.63001745785695,5137 days 00:00:00,99,-576.4175589581965,177.14185893841216,-41.96147525810932,25.73576557902705,-9.72195571189977,42 days 21:15:25.714285714,20 days 18:00:00,-1.9946032384096384,0.32230570391466157,-0.07460350326229065,1.0989584852956327,2.58392731683724,58.47480483248697,1.3768439801461516,0.7981721249047982,-0.05146973406919093,,,0.0007409415831839421,0.1867172789623534,-0.7738832795607502,-0.05139948298678576,0.6972085113182779,0,100,10282.281746031746,,,,
Most Best Trade [%],SBET,SMA,33,35,0,false,false,None,1,293,0.7714119506878174,34.24657534246575,0.9388173095533827,2.8792648708957165,0.9509716007209343,0.3181439193096964,10 days 09:51:46.849315067,0.02839836596703761,0.8667417946189604,1.7305254261163545,2.4955792013834825,0,7099,7100 days 00:00:00,1000.0,319.508853444702,-68.04911465552979,-99.7998207871632,100.0,554.2461247477227,99.24181033365542,6396 days 00:00:00,292,45.49297979352531,893.0548181319614,-48.152001905441274,21.744048522789853,-6.946143281132479,14 days 19:55:12,8 days 02:37:30,-2.4862470080439465,0.36831511804255246,-0.05740365530982735,1.1713432979976455,32.03568112801268,1775.2819380844194,1.7647356655331803,0.6637500000000001,-0.057142857142857106,,,0.0014129235365911402,0.3560567312209673,-0.6804911465553001,-0.03968738843230912,1.1634448909767858,0,293,10282.281746031746,,,,
Most Omega Ratio,SBET,SMA,33,35,0,false,false,None,1,293,0.7714119506878174,34.24657534246575,0.9388173095533827,2.8792648708957165,0.9509716007209343,0.3181439193096964,10 days 09:51:46.849315067,0.02839836596703761,0.8667417946189604,1.7305254261163545,2.4955792013834825,0,7099,7100 days 00:00:00,1000.0,319.508853444702,-68.04911465552979,-99.7998207871632,100.0,554.2461247477227,99.24181033365542,6396 days 00:00:00,292,45.49297979352531,893.0548181319614,-48.152001905441274,21.744048522789853,-6.946143281132479,14 days 19:55:12,8 days 02:37:30,-2.4862470080439465,0.36831511804255246,-0.05740365530982735,1.1713432979976455,32.03568112801268,1775.2819380844194,1.7647356655331803,0.6637500000000001,-0.057142857142857106,,,0.0014129235365911402,0.3560567312209673,-0.6804911465553001,-0.03968738843230912,1.1634448909767858,0,293,10282.281746031746,,,,
Most Sortino Ratio,SBET,SMA,33,35,0,false,false,None,1,293,0.7714119506878174,34.24657534246575,0.9388173095533827,2.8792648708957165,0.9509716007209343,0.3181439193096964,10 days 09:51:46.849315067,0.02839836596703761,0.8667417946189604,1.7305254261163545,2.4955792013834825,0,7099,7100 days 00:00:00,1000.0,319.508853444702,-68.04911465552979,-99.7998207871632,100.0,554.2461247477227,99.24181033365542,6396 days 00:00:00,292,45.49297979352531,893.0548181319614,-48.152001905441274,21.744048522789853,-6.946143281132479,14 days 19:55:12,8 days 02:37:30,-2.4862470080439465,0.36831511804255246,-0.05740365530982735,1.1713432979976455,32.03568112801268,1775.2819380844194,1.7647356655331803,0.6637500000000001,-0.057142857142857106,,,0.0014129235365911402,0.3560567312209673,-0.6804911465553001,-0.03968738843230912,1.1634448909767858,0,293,10282.281746031746,,,,
Least Avg Winning Trade Duration,SBET,SMA,34,35,0,false,false,None,1,401,0.7163575970024104,36.75,0.8432757192670337,1.9574459775579416,0.8331428874985362,0.15897501047490334,7 days 16:01:11.999999998,0.03890187118772276,1.1862234117481336,2.3694886603747007,2.321968245811442,0,7099,7100 days 00:00:00,1000.0,160.65856767869548,-83.93414323213045,-99.7998207871632,100.0,282.077642891678,99.32341705560557,6396 days 00:00:00,400,22.87522519099329,893.0548181319612,-52.32173913043477,15.282739507885937,-5.784918247573343,10 days 00:29:23.265306122,6 days 07:12:34.150197628,-2.155541643780758,0.3302221260652336,-0.09032747548496685,1.1506312707020299,33.83111427187902,1955.3781514661912,1.8725959895738988,0.6144578313253012,-0.05555558834219684,,,0.001234811497685029,0.3111724974166273,-0.8393414323213049,-0.0628368998643154,1.1340734888760398,0,401,10282.281746031746,,,,
Median Avg Losing Trade [%],SBET,SMA,34,61,0,false,false,None,0,63,0.7036601419770564,33.33333333333333,0.9359823588180877,3.141838616985755,0.6377012643223299,0.3794123486659872,44 days 16:45:42.857142856,0.006127044712066334,0.18636427665868432,0.37272855331736865,0.5855264812328713,0,7099,7100 days 00:00:00,1000.0,380.65463614139003,-61.934536385860994,-99.7998207871632,100.0,181.39828172295708,96.49755685342875,3271 days 00:00:00,63,0.0,177.77311184510492,-41.74368061307707,38.87467214972901,-14.724578149385867,73 days 18:17:08.571428571,30 days 04:00:00,-9.830878791406548,0.36369454384845123,-0.05019912185436677,1.1215833153691417,7.642910288197322,258.75244026132737,1.35625644520571,0.8269699431356621,-0.05238687323514747,,,0.000913303128505842,0.23015238838347218,-0.6193453638586128,-0.033700379683568316,0.7615963642589946,0,63,10282.281746031746,,,,
