Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Profit Factor,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Expectancy,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Sharpe Ratio,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Calmar Ratio,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Omega Ratio,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Sortino Ratio,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Least Max Drawdown Duration,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Mean Total Fees Paid,TECH,SMA,25,29,0,true,false,1,245,1.0162394532830048,47.950819672131146,1.176977553899062,2.1124670007743025,0.8763576644936383,-0.9229468881003653,21 days 03:56:03.934426228,0.018431102185186295,0.562910284463895,1.123522975929978,1.1891294003264536,0,9140,9141 days 00:00:00,1000.0,35224.34951737462,3422.434951737462,44416.57017299115,100.0,14684.178446124331,62.6233250827664,4993 days 00:00:00,244,-35.224349517367955,93.25483870967743,-23.198551052372974,9.613209148797807,-4.797665529294596,28 days 19:04:36.923076923,14 days 03:12:45.354330708,140.40808961840958,0.576159213244987,0.24404707754983224,1.1349230434407553,0.5737567638760871,15.61450310723021,1.1988220719370066,0.35201893211063445,-0.02501000423066579,None,None,0.0005634391406134103,0.1419866634345794,34.22434951737454,0.10317274001135357,0.2965863809285306,5165,5164,13238.492063492064,,
Mean Win Rate [%],TECH,SMA,25,29,0,true,false,1,245,1.0162394532830048,47.950819672131146,1.176977553899062,2.1124670007743025,0.8763576644936383,-0.9229468881003653,21 days 03:56:03.934426228,0.018431102185186295,0.562910284463895,1.123522975929978,1.1891294003264536,0,9140,9141 days 00:00:00,1000.0,35224.34951737462,3422.434951737462,44416.57017299115,100.0,14684.178446124331,62.6233250827664,4993 days 00:00:00,244,-35.224349517367955,93.25483870967743,-23.198551052372974,9.613209148797807,-4.797665529294596,28 days 19:04:36.923076923,14 days 03:12:45.354330708,140.40808961840958,0.576159213244987,0.24404707754983224,1.1349230434407553,0.5737567638760871,15.61450310723021,1.1988220719370066,0.35201893211063445,-0.02501000423066579,None,None,0.0005634391406134103,0.1419866634345794,34.22434951737454,0.10317274001135357,0.2965863809285306,5165,5164,13238.492063492064,,
Median Win Rate [%],TECH,SMA,25,29,0,true,false,1,245,1.0162394532830048,47.950819672131146,1.176977553899062,2.1124670007743025,0.8763576644936383,-0.9229468881003653,21 days 03:56:03.934426228,0.018431102185186295,0.562910284463895,1.123522975929978,1.1891294003264536,0,9140,9141 days 00:00:00,1000.0,35224.34951737462,3422.434951737462,44416.57017299115,100.0,14684.178446124331,62.6233250827664,4993 days 00:00:00,244,-35.224349517367955,93.25483870967743,-23.198551052372974,9.613209148797807,-4.797665529294596,28 days 19:04:36.923076923,14 days 03:12:45.354330708,140.40808961840958,0.576159213244987,0.24404707754983224,1.1349230434407553,0.5737567638760871,15.61450310723021,1.1988220719370066,0.35201893211063445,-0.02501000423066579,None,None,0.0005634391406134103,0.1419866634345794,34.22434951737454,0.10317274001135357,0.2965863809285306,5165,5164,13238.492063492064,,
