Short Window,Long Window
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
5,65
5,66
5,67
5,68
5,69
6,25
6,26
6,27
6,28
6,29
6,65
6,66
6,67
6,68
6,69
6,70
6,71
6,72
7,22
7,23
7,24
7,25
7,71
7,72
7,73
7,74
7,75
8,20
8,21
8,22
8,74
8,75
8,76
8,77
9,19
9,77
9,78
10,17
10,79
10,80
11,16
11,80
12,15
12,80
12,81
13,81
14,81
15,80
16,80
17,79
18,78
18,79
19,78
20,77
21,76
22,74
22,75
23,73
24,72
25,71
26,70
27,68
27,69
28,67
29,66
30,65
31,63
31,64
32,62
33,61
34,60
35,58
35,59
36,57
36,58
37,56
38,55
39,54
40,53
41,52
42,51
43,50
44,48
44,49
45,47
45,48
46,47
