Short Window,Long Window
5,56
5,57
5,58
5,59
5,60
5,61
5,62
6,53
6,54
6,55
6,56
6,57
6,58
6,59
7,51
7,52
7,53
7,54
7,55
7,56
7,57
8,50
8,51
8,52
8,53
8,54
8,55
9,48
9,49
9,50
9,51
9,52
9,53
10,47
10,48
10,49
10,50
10,51
10,52
11,46
11,47
11,48
11,49
11,50
11,51
12,45
12,46
12,47
12,48
12,49
13,44
13,45
13,46
13,47
13,48
14,43
14,44
14,45
14,46
14,47
15,42
15,43
15,44
15,45
15,46
16,41
16,42
16,43
16,44
16,45
17,40
17,41
17,42
17,43
18,39
18,40
18,41
18,42
19,38
19,39
19,40
19,41
20,37
20,38
20,39
20,40
21,36
21,37
21,38
21,39
22,35
22,36
22,37
22,38
23,34
23,35
23,36
23,37
24,33
24,34
24,35
24,36
25,32
25,33
25,34
25,35
26,31
26,32
26,33
26,34
27,30
27,31
27,32
27,33
28,29
28,30
28,31
29,30
