Short Window,Long Window
20,87
20,88
20,89
21,84
21,85
21,86
21,87
21,88
21,89
22,82
22,83
22,84
22,85
22,86
22,87
23,79
23,80
23,81
23,82
23,83
23,84
24,77
24,78
24,79
24,80
24,81
25,74
25,75
25,76
25,77
25,78
26,72
26,73
26,74
26,75
26,76
27,70
27,71
27,72
27,73
27,74
28,68
28,69
28,70
28,71
28,72
29,66
29,67
29,68
29,69
29,70
30,65
30,66
30,67
30,68
31,63
31,64
31,65
31,66
32,61
32,62
32,63
32,64
33,60
33,61
33,62
34,58
34,59
34,60
34,61
35,57
35,58
35,59
36,55
36,56
36,57
36,58
37,54
37,55
37,56
38,53
38,54
38,55
39,52
39,53
39,54
40,50
40,51
40,52
41,49
41,50
41,51
42,48
42,49
42,50
43,47
43,48
43,49
44,46
44,47
44,48
45,46
45,47
