Short Window,Long Window
33,89
34,87
34,88
34,89
35,86
35,87
35,88
35,89
36,84
36,85
36,86
36,87
36,88
36,89
37,82
37,83
37,84
37,85
37,86
37,87
37,88
37,89
38,81
38,82
38,83
38,84
38,85
38,86
38,87
38,88
39,79
39,80
39,81
39,82
39,83
39,84
39,85
39,86
40,78
40,79
40,80
40,81
40,82
40,83
40,84
41,77
41,78
41,79
41,80
41,81
41,82
42,75
42,76
42,77
42,78
42,79
42,80
42,81
43,74
43,75
43,76
43,77
43,78
43,79
44,72
44,73
44,74
44,75
44,76
44,77
44,78
45,71
45,72
45,73
45,74
45,75
45,76
46,70
46,71
46,72
46,73
46,74
46,75
47,69
47,70
47,71
47,72
47,73
47,74
48,67
48,68
48,69
48,70
48,71
48,72
49,66
49,67
49,68
49,69
49,70
49,71
50,65
50,66
50,67
50,68
50,69
50,70
51,64
51,65
51,66
51,67
51,68
52,63
52,64
52,65
52,66
52,67
53,62
53,63
53,64
53,65
53,66
54,61
54,62
54,63
54,64
54,65
55,60
55,61
55,62
55,63
55,64
56,58
56,59
56,60
56,61
56,62
56,63
57,58
57,59
57,60
57,61
57,62
58,59
58,60
58,61
59,60
