Short Window,Long Window
9,40
9,41
9,42
9,43
9,44
10,12
10,13
10,14
10,15
10,39
10,40
10,41
10,42
10,43
10,44
10,45
11,12
11,15
11,16
11,38
11,39
11,40
11,41
11,42
11,45
11,46
12,39
13,39
13,40
13,41
13,42
13,45
14,39
14,40
14,41
14,42
14,45
15,39
15,40
15,41
15,45
16,38
16,39
16,40
16,46
17,23
17,37
17,38
17,39
17,47
17,48
18,19
18,20
18,23
18,24
18,25
18,29
18,36
18,37
18,38
18,48
18,49
19,23
19,29
19,36
19,37
19,49
20,23
20,37
21,22
21,23
21,24
21,25
21,28
21,29
21,36
21,37
21,48
21,49
22,28
22,29
22,36
22,37
23,37
24,37
24,48
25,37
25,49
26,28
26,29
26,36
26,37
26,49
26,50
27,28
27,36
28,36
30,36
30,37
30,49
30,50
31,34
31,35
31,36
32,34
32,35
33,34
68,69
68,70
72,73
