Short Window,Long Window
5,56
5,57
10,18
10,24
10,63
10,81
11,12
11,13
11,17
11,18
11,23
11,24
11,62
11,80
11,81
12,17
12,80
13,17
13,23
13,62
13,80
14,15
14,17
14,22
14,23
14,61
14,62
14,80
15,17
15,22
15,61
15,80
16,17
16,22
16,61
16,80
19,24
19,63
19,81
20,24
20,62
20,63
20,81
21,22
21,23
21,24
21,61
21,62
21,80
21,81
22,80
23,62
30,88
31,86
31,87
32,85
32,86
33,84
33,85
34,64
34,82
34,83
35,62
35,63
35,64
35,66
35,67
35,81
35,82
36,60
36,61
36,62
36,69
36,78
36,79
36,80
36,81
37,59
37,60
37,71
37,75
37,76
37,77
37,78
38,59
38,73
38,74
38,75
39,58
39,59
40,57
40,58
41,56
41,57
42,56
43,56
44,56
45,55
45,56
46,54
46,55
46,56
47,53
47,54
48,53
49,52
49,53
50,51
50,52
65,82
65,83
66,81
66,82
67,81
68,80
68,81
69,79
69,80
70,78
70,79
71,77
71,78
72,75
72,76
72,77
73,74
73,75
