Short Window,Long Window
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
7,16
7,17
7,18
7,19
7,20
7,21
7,33
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
8,15
8,16
8,17
8,18
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
9,13
9,14
9,15
9,16
9,40
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
10,12
10,13
10,14
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,85
10,86
10,87
10,88
10,89
11,12
11,13
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,83
11,84
11,85
11,86
11,87
11,88
11,89
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,87
12,88
12,89
13,44
13,45
13,46
13,47
13,48
13,49
13,50
13,51
14,43
14,44
14,45
14,46
14,47
14,48
15,42
15,43
15,44
15,45
15,46
16,41
16,42
16,43
16,44
17,39
17,40
17,41
17,42
18,38
18,39
18,40
19,36
19,37
19,38
20,35
20,36
21,34
21,35
22,32
22,33
23,31
23,32
24,30
24,31
25,29
26,28
54,84
54,85
54,86
54,87
54,88
54,89
55,81
55,82
55,83
55,84
55,85
55,86
55,87
55,88
56,79
56,80
56,81
56,82
57,77
57,78
57,79
58,75
58,76
58,77
59,73
59,74
59,75
60,72
60,73
60,74
61,70
61,71
61,72
62,69
62,70
62,71
63,68
63,69
64,67
64,68
65,66
65,67
