Short Window,Long Window
19,39
19,40
19,41
19,42
19,43
20,35
20,36
20,37
20,38
20,39
20,40
20,41
20,42
20,43
20,44
20,45
20,46
20,47
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,44
21,45
21,46
21,47
21,48
21,49
22,31
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,46
22,47
22,48
22,49
22,50
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
23,40
23,41
23,42
23,43
23,44
23,45
23,46
23,47
23,48
23,49
23,50
23,51
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,42
24,43
24,44
24,45
24,46
24,47
24,48
24,49
24,50
24,51
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,45
25,46
25,47
25,48
25,49
25,50
25,51
26,27
26,28
26,29
26,30
26,31
26,46
26,47
26,48
26,49
26,50
26,51
27,28
27,29
27,30
27,46
27,47
27,48
27,49
27,50
27,51
28,46
28,47
28,48
28,49
28,50
28,51
29,46
29,47
29,48
29,49
29,50
30,46
30,47
30,48
30,49
30,50
31,46
31,47
31,48
31,49
32,45
32,46
32,47
32,48
32,49
33,45
33,46
33,47
33,48
34,44
34,45
34,46
34,47
35,43
35,44
35,45
35,46
35,47
36,43
36,44
36,45
36,46
37,42
37,43
37,44
37,45
38,41
38,42
38,43
38,44
39,40
39,41
39,42
39,43
40,41
40,42
