Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],ROKU,MACD,5,23,14,true,false,None,1,98,1.1698628203458206,53.608247422680414,1.7139291650307733,1.0001234732416897,1.548955507522548,-0.5510795681224067,0 days 23:59:59.999999999,0.03382316313823163,1.0393939393939393,2.068181818181818,1.039522276733029,0,1980,1981 days 00:00:00,1000.0,2275.889193876739,127.58891938767387,284.2127698533075,100.0,274.064169809608,35.335364079089665,740 days 00:00:00,97,-2.2758891938765373,30.506284844655273,-12.600752634830172,4.414091385508727,-2.9449061142668866,1 days 00:00:00,1 days 00:00:00,13.176959619284691,0.7422706476426476,0.46300374804138517,1.70321994410853,9.556368667934777,222.7569418126103,4.563344001196437,0.37323943661971826,-0.000999000999000879,,,0.0004892567749330351,0.12329270728312486,1.2758891938767376,0.11028034201263215,0.19990389847063583,0,98,2867.8571428571427,,,,
Least Total Trades,ROKU,MACD,5,21,15,true,false,None,1,100,1.1694347080075813,54.54545454545454,1.659500388821702,0.9638263473147444,1.4466947601440778,-0.5681880308063718,0 days 23:59:59.999999999,0.03452054794520548,1.0606060606060606,2.1106060606060604,1.0222400653338197,0,1980,1981 days 00:00:00,1000.0,2227.2647582033214,122.72647582033214,284.2127698533075,100.0,275.35746842979495,35.33536407908962,740 days 00:00:00,99,-2.2272647582030913,30.506284844655273,-12.600752634830176,4.355474136103009,-3.106150999231173,1 days 00:00:00,1 days 00:00:00,12.419111343045703,0.7177182281581429,0.44992624226413785,1.6562324987006478,8.932412499989397,209.5339156253114,4.447290968733219,0.3724137931034483,-0.0009990009990008906,,,0.0004812155395969191,0.1212663159784236,1.2272647582033178,0.10723429258966433,0.20334447161234995,0,100,2867.8571428571427,,,,
Median Worst Trade [%],ROKU,MACD,5,21,15,true,false,None,1,100,1.1694347080075813,54.54545454545454,1.659500388821702,0.9638263473147444,1.4466947601440778,-0.5681880308063718,0 days 23:59:59.999999999,0.03452054794520548,1.0606060606060606,2.1106060606060604,1.0222400653338197,0,1980,1981 days 00:00:00,1000.0,2227.2647582033214,122.72647582033214,284.2127698533075,100.0,275.35746842979495,35.33536407908962,740 days 00:00:00,99,-2.2272647582030913,30.506284844655273,-12.600752634830176,4.355474136103009,-3.106150999231173,1 days 00:00:00,1 days 00:00:00,12.419111343045703,0.7177182281581429,0.44992624226413785,1.6562324987006478,8.932412499989397,209.5339156253114,4.447290968733219,0.3724137931034483,-0.0009990009990008906,,,0.0004812155395969191,0.1212663159784236,1.2272647582033178,0.10723429258966433,0.20334447161234995,0,100,2867.8571428571427,,,,
Median Best Trade [%],ROKU,MACD,8,29,8,true,false,None,1,95,1.1637309697140492,53.191489361702125,1.7014414665104807,1.0286097012007283,1.570503174221078,-0.5518122916119903,0 days 23:59:59.999999999,0.032777085927770865,1.0075757575757576,2.0045454545454544,1.0364021989370975,0,1980,1981 days 00:00:00,1000.0,2273.8067001516274,127.3806700151627,284.2127698533075,100.0,277.81132498126084,30.014876400990698,611 days 00:00:00,94,-2.2738067001514537,30.506284844655244,-12.600752634830181,4.476790743607597,-2.889777846988895,1 days 00:00:00,1 days 00:00:00,13.575324540976364,0.745239426002091,0.5444227338531065,1.7303957381313988,9.789415020786183,229.13433908936895,4.68224729141437,0.36956521739130427,-0.0009990009990008494,,,0.00048762646351518897,0.12288186880582762,1.273806700151626,0.11015105503373124,0.19844407963422198,0,95,2867.8571428571427,,,,
Most Avg Winning Trade [%],ROKU,MACD,18,22,5,true,false,None,1,90,1.151358298697638,50.56179775280899,1.8433428851442597,1.055613543499457,1.5865767649586375,-0.5715106707726904,0 days 23:59:59.999999999,0.03103362391033624,0.9545454545454545,1.8984848484848484,1.007631109704027,0,1980,1981 days 00:00:00,1000.0,2217.821391122795,121.78213911227947,284.2127698533075,100.0,222.13793596312846,28.522926149930782,610 days 00:00:00,89,-2.2178213911224702,30.50628484465524,-12.600752634830167,4.780666977470483,-2.754100195789093,1 days 00:00:00,1 days 00:00:00,13.708305758583336,0.7290354511504644,0.554207184564206,1.7461467905300183,10.309503044041312,238.02792100137552,4.76552561582151,0.36641221374045796,-0.0009990009990008442,,,0.0004737940251410529,0.11939609433554534,1.2178213911227926,0.10663599731943796,0.19710045862515677,0,90,2867.8571428571427,,,,
Most Profit Factor,ROKU,MACD,18,22,5,true,false,None,1,90,1.151358298697638,50.56179775280899,1.8433428851442597,1.055613543499457,1.5865767649586375,-0.5715106707726904,0 days 23:59:59.999999999,0.03103362391033624,0.9545454545454545,1.8984848484848484,1.007631109704027,0,1980,1981 days 00:00:00,1000.0,2217.821391122795,121.78213911227947,284.2127698533075,100.0,222.13793596312846,28.522926149930782,610 days 00:00:00,89,-2.2178213911224702,30.50628484465524,-12.600752634830167,4.780666977470483,-2.754100195789093,1 days 00:00:00,1 days 00:00:00,13.708305758583336,0.7290354511504644,0.554207184564206,1.7461467905300183,10.309503044041312,238.02792100137552,4.76552561582151,0.36641221374045796,-0.0009990009990008442,,,0.0004737940251410529,0.11939609433554534,1.2178213911227926,0.10663599731943796,0.19710045862515677,0,90,2867.8571428571427,,,,
Most Total Fees Paid,ROKU,MACD,6,29,10,true,false,None,1,96,1.1434361068965169,52.63157894736842,1.6776132345765882,0.9930690521171797,1.5679720551376892,-0.5668522605501986,0 days 23:59:59.999999999,0.03312577833125779,1.018181818181818,2.0257575757575754,1.0111248530647647,0,1980,1981 days 00:00:00,1000.0,2231.0611878472682,123.10611878472683,284.2127698533075,100.0,280.8716838958307,28.32131816103057,682 days 00:00:00,95,-2.23106118784699,30.506284844655244,-12.600752634830185,4.402483580227603,-2.795169312449957,1 days 00:00:00,1 days 00:00:00,12.982023674053835,0.7381548626125549,0.5626391105954365,1.7200915987544385,10.151322287397017,241.89290153201645,4.721820075012186,0.36428571428571427,-0.000999000999000877,,,0.0004757756201954699,0.11989545628925842,1.231061187847271,0.10747419592074992,0.19547958198009266,0,96,2867.8571428571427,,,,
Least Max Drawdown [%],ROKU,MACD,12,33,5,true,false,None,1,93,1.1337055137234546,50.0,1.7206843486450705,1.0418881842584902,1.6789852370812668,-0.5523228757124973,1 days 00:00:00,0.03207970112079701,0.9863636363636363,1.962121212121212,1.0276806181095106,0,1980,1981 days 00:00:00,1000.0,2272.355554937146,127.23555549371459,284.2127698533075,100.0,274.9720984069302,18.761075510844147,420 days 00:00:00,92,-2.272355554936894,30.506284844655244,-12.600752634830167,4.646159841117334,-2.5623834726003536,1 days 00:00:00,1 days 00:00:00,13.854651201000884,0.7574848734773616,0.8702644541479521,1.7812286640902772,10.682865500250603,251.24080126370103,4.94381833298526,0.3602941176470588,-0.0009990009990008717,,,0.000483407388496072,0.12181866190101015,1.2723555549371484,0.11006090280676872,0.19354681185786982,0,93,2867.8571428571427,,,,
Most Avg Losing Trade [%],ROKU,MACD,12,33,5,true,false,None,1,93,1.1337055137234546,50.0,1.7206843486450705,1.0418881842584902,1.6789852370812668,-0.5523228757124973,1 days 00:00:00,0.03207970112079701,0.9863636363636363,1.962121212121212,1.0276806181095106,0,1980,1981 days 00:00:00,1000.0,2272.355554937146,127.23555549371459,284.2127698533075,100.0,274.9720984069302,18.761075510844147,420 days 00:00:00,92,-2.272355554936894,30.506284844655244,-12.600752634830167,4.646159841117334,-2.5623834726003536,1 days 00:00:00,1 days 00:00:00,13.854651201000884,0.7574848734773616,0.8702644541479521,1.7812286640902772,10.682865500250603,251.24080126370103,4.94381833298526,0.3602941176470588,-0.0009990009990008717,,,0.000483407388496072,0.12181866190101015,1.2723555549371484,0.11006090280676872,0.19354681185786982,0,93,2867.8571428571427,,,,
Most Expectancy,ROKU,MACD,12,33,5,true,false,None,1,93,1.1337055137234546,50.0,1.7206843486450705,1.0418881842584902,1.6789852370812668,-0.5523228757124973,1 days 00:00:00,0.03207970112079701,0.9863636363636363,1.962121212121212,1.0276806181095106,0,1980,1981 days 00:00:00,1000.0,2272.355554937146,127.23555549371459,284.2127698533075,100.0,274.9720984069302,18.761075510844147,420 days 00:00:00,92,-2.272355554936894,30.506284844655244,-12.600752634830167,4.646159841117334,-2.5623834726003536,1 days 00:00:00,1 days 00:00:00,13.854651201000884,0.7574848734773616,0.8702644541479521,1.7812286640902772,10.682865500250603,251.24080126370103,4.94381833298526,0.3602941176470588,-0.0009990009990008717,,,0.000483407388496072,0.12181866190101015,1.2723555549371484,0.11006090280676872,0.19354681185786982,0,93,2867.8571428571427,,,,
