strategy_name,ticker,timeframe,analysis_timestamp,sample_size,sample_size_confidence,dual_layer_convergence_score,asset_layer_percentile,strategy_layer_percentile,exit_signal,signal_confidence,exit_recommendation,target_exit_timeframe,statistical_significance,p_value,z_score_divergence,iqr_divergence,rarity_score,current_return,mfe,mae,unrealized_pnl
MA_SMA_78_82,MA,D,2025-07-22T12:56:27.459501,0,0.0,1.0,50.0,50.0,HOLD,66.10726384576078,,,MEDIUM,0.1,0.11611527104279439,,0.023223054208558875,,,,
WELL_SMA_67_88,WELL,D,2025-07-22T12:56:30.470712,0,0.0,1.0,50.0,50.0,HOLD,100.0,,,LOW,0.851624773806565,0.44347804850463257,,0.08869560970092652,,,,
SMCI_SMA_58_60,SMCI,D,2025-07-22T12:56:31.792351,0,0.0,1.0,50.0,50.0,SELL,100.0,3-5 days,3-5 days,MEDIUM,1.0,-0.17690795473783796,,0.03538159094756759,,,,
GOOGL_EMA_9_46,GOOGL,D,2025-07-22T12:56:32.709642,0,0.0,1.0,50.0,50.0,SELL,100.0,3-5 days,3-5 days,HIGH,1.0,1.3562389590685124,,0.27124779181370245,,,,
DOV_SMA_45_86,DOV,D,2025-07-22T12:56:33.682727,0,0.0,1.0,50.0,50.0,HOLD,100.0,,,MEDIUM,0.6589458272215678,-0.41106695607083427,,0.08221339121416685,,,,
AMZN_SMA_10_27,AMZN,D,2025-07-22T12:56:35.024417,0,0.0,1.0,50.0,50.0,SELL,100.0,3-5 days,3-5 days,HIGH,1.0,0.35151707246162445,,0.07030341449232488,,,,
