Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Max Drawdown [%],3,5,HIMS,EMA,0,true,false,1,104,1.098995816135066,27.184466019417474,1.77307514212739,3.6786082581848443,1.9144628752159736,1.2053568657312472,7 days 12:48:55.922330096,0.04887445276090948,1.5010309278350513,2.987628865979381,5.521704766924879,0,1455,1456 days 00:00:00,1000.0,10012.70785385237,901.2707853852369,408.67344391738413,100.0,486.4519872950933,63.09785045581461,687 days 00:00:00,103,-10.01270785385168,105.8061878349383,-25.649408522167484,25.273444483918045,-4.38346393275555,17 days 00:00:00,4 days 00:00:00,87.59922875442935,1.1755320068058406,1.2388076826586507,1.3219212821493305,0.9332459956885598,21.866258652538576,1.5928067907864891,0.8299319727891157,-0.044428195221930505,,,0.0022409418827580943,0.5647173544550398,9.012707853852383,0.4899523610704206,0.5781530722736458,0,104,2107.440476190476,,,,
Least Total Trades,3,5,HIMS,EMA,0,true,false,1,104,1.098995816135066,27.184466019417474,1.77307514212739,3.6786082581848443,1.9144628752159736,1.2053568657312472,7 days 12:48:55.922330096,0.04887445276090948,1.5010309278350513,2.987628865979381,5.521704766924879,0,1455,1456 days 00:00:00,1000.0,10012.70785385237,901.2707853852369,408.67344391738413,100.0,486.4519872950933,63.09785045581461,687 days 00:00:00,103,-10.01270785385168,105.8061878349383,-25.649408522167484,25.273444483918045,-4.38346393275555,17 days 00:00:00,4 days 00:00:00,87.59922875442935,1.1755320068058406,1.2388076826586507,1.3219212821493305,0.9332459956885598,21.866258652538576,1.5928067907864891,0.8299319727891157,-0.044428195221930505,,,0.0022409418827580943,0.5647173544550398,9.012707853852383,0.4899523610704206,0.5781530722736458,0,104,2107.440476190476,,,,
Median Sharpe Ratio,3,5,HIMS,EMA,0,true,false,1,104,1.098995816135066,27.184466019417474,1.77307514212739,3.6786082581848443,1.9144628752159736,1.2053568657312472,7 days 12:48:55.922330096,0.04887445276090948,1.5010309278350513,2.987628865979381,5.521704766924879,0,1455,1456 days 00:00:00,1000.0,10012.70785385237,901.2707853852369,408.67344391738413,100.0,486.4519872950933,63.09785045581461,687 days 00:00:00,103,-10.01270785385168,105.8061878349383,-25.649408522167484,25.273444483918045,-4.38346393275555,17 days 00:00:00,4 days 00:00:00,87.59922875442935,1.1755320068058406,1.2388076826586507,1.3219212821493305,0.9332459956885598,21.866258652538576,1.5928067907864891,0.8299319727891157,-0.044428195221930505,,,0.0022409418827580943,0.5647173544550398,9.012707853852383,0.4899523610704206,0.5781530722736458,0,104,2107.440476190476,,,,
Most Total Fees Paid,2,7,HIMS,EMA,0,true,false,1,105,1.057685166355237,25.961538461538463,1.6329931162396962,3.5230732498645065,1.847333697375705,0.9554330262636492,7 days 09:27:41.538461538,0.04934896201101539,1.5154639175257731,3.0164948453608247,5.339090388969922,0,1455,1456 days 00:00:00,1000.0,8991.335491929582,799.1335491929582,408.67344391738413,100.0,531.7629089247669,58.03912696748367,422 days 00:00:00,104,-8.991335491928112,89.9017115031426,-29.946068251814435,25.936001373081456,-4.3360054426920875,18 days 00:53:20,3 days 15:53:45.974025974,76.9262194944376,1.137142292298001,1.2650910313160437,1.3117984544490553,0.9328225956689425,21.96823846920626,1.6033092221044007,0.8181818181818181,-0.04442819522193047,,,0.0021658930334160853,0.5458050444208535,7.991335491929595,0.46246323850161386,0.5776554764434372,0,105,2107.440476190476,,,,
Least Win Rate [%],2,7,HIMS,EMA,0,true,false,1,105,1.057685166355237,25.961538461538463,1.6329931162396962,3.5230732498645065,1.847333697375705,0.9554330262636492,7 days 09:27:41.538461538,0.04934896201101539,1.5154639175257731,3.0164948453608247,5.339090388969922,0,1455,1456 days 00:00:00,1000.0,8991.335491929582,799.1335491929582,408.67344391738413,100.0,531.7629089247669,58.03912696748367,422 days 00:00:00,104,-8.991335491928112,89.9017115031426,-29.946068251814435,25.936001373081456,-4.3360054426920875,18 days 00:53:20,3 days 15:53:45.974025974,76.9262194944376,1.137142292298001,1.2650910313160437,1.3117984544490553,0.9328225956689425,21.96823846920626,1.6033092221044007,0.8181818181818181,-0.04442819522193047,,,0.0021658930334160853,0.5458050444208535,7.991335491929595,0.46246323850161386,0.5776554764434372,0,105,2107.440476190476,,,,
Least Worst Trade [%],2,7,HIMS,EMA,0,true,false,1,105,1.057685166355237,25.961538461538463,1.6329931162396962,3.5230732498645065,1.847333697375705,0.9554330262636492,7 days 09:27:41.538461538,0.04934896201101539,1.5154639175257731,3.0164948453608247,5.339090388969922,0,1455,1456 days 00:00:00,1000.0,8991.335491929582,799.1335491929582,408.67344391738413,100.0,531.7629089247669,58.03912696748367,422 days 00:00:00,104,-8.991335491928112,89.9017115031426,-29.946068251814435,25.936001373081456,-4.3360054426920875,18 days 00:53:20,3 days 15:53:45.974025974,76.9262194944376,1.137142292298001,1.2650910313160437,1.3117984544490553,0.9328225956689425,21.96823846920626,1.6033092221044007,0.8181818181818181,-0.04442819522193047,,,0.0021658930334160853,0.5458050444208535,7.991335491929595,0.46246323850161386,0.5776554764434372,0,105,2107.440476190476,,,,
Least Max Drawdown Duration,2,7,HIMS,EMA,0,true,false,1,105,1.057685166355237,25.961538461538463,1.6329931162396962,3.5230732498645065,1.847333697375705,0.9554330262636492,7 days 09:27:41.538461538,0.04934896201101539,1.5154639175257731,3.0164948453608247,5.339090388969922,0,1455,1456 days 00:00:00,1000.0,8991.335491929582,799.1335491929582,408.67344391738413,100.0,531.7629089247669,58.03912696748367,422 days 00:00:00,104,-8.991335491928112,89.9017115031426,-29.946068251814435,25.936001373081456,-4.3360054426920875,18 days 00:53:20,3 days 15:53:45.974025974,76.9262194944376,1.137142292298001,1.2650910313160437,1.3117984544490553,0.9328225956689425,21.96823846920626,1.6033092221044007,0.8181818181818181,-0.04442819522193047,,,0.0021658930334160853,0.5458050444208535,7.991335491929595,0.46246323850161386,0.5776554764434372,0,105,2107.440476190476,,,,
Least Avg Winning Trade [%],3,4,HIMS,EMA,0,true,false,1,114,1.0317328431486645,29.20353982300885,1.60561814352432,3.106952916021355,1.7828378764508246,0.7570465242692906,6 days 21:01:35.575221238,0.05361954526196865,1.645360824742268,3.2762886597938143,5.112058612340291,0,1455,1456 days 00:00:00,1000.0,8180.582541962006,718.0582541962007,408.67344391738413,100.0,520.9419137311546,59.864687964581286,694 days 00:00:00,113,-8.180582541961485,105.80618783493831,-29.946068251814427,20.876885954567356,-4.223144462378872,14 days 06:32:43.636363636,3 days 19:48:00,63.61737278322093,1.1010590302629415,1.1586918892680846,1.2970572943358913,0.9225766871324547,21.58169100311094,1.5966493324297795,0.8123620309050773,-0.04519688499487645,,,0.002107327309887107,0.5310464820915509,7.180582541962014,0.4387385690796539,0.5804543830642686,0,114,2107.440476190476,,,,
Least Avg Winning Trade Duration,3,4,HIMS,EMA,0,true,false,1,114,1.0317328431486645,29.20353982300885,1.60561814352432,3.106952916021355,1.7828378764508246,0.7570465242692906,6 days 21:01:35.575221238,0.05361954526196865,1.645360824742268,3.2762886597938143,5.112058612340291,0,1455,1456 days 00:00:00,1000.0,8180.582541962006,718.0582541962007,408.67344391738413,100.0,520.9419137311546,59.864687964581286,694 days 00:00:00,113,-8.180582541961485,105.80618783493831,-29.946068251814427,20.876885954567356,-4.223144462378872,14 days 06:32:43.636363636,3 days 19:48:00,63.61737278322093,1.1010590302629415,1.1586918892680846,1.2970572943358913,0.9225766871324547,21.58169100311094,1.5966493324297795,0.8123620309050773,-0.04519688499487645,,,0.002107327309887107,0.5310464820915509,7.180582541962014,0.4387385690796539,0.5804543830642686,0,114,2107.440476190476,,,,
Least Total Return [%],2,6,HIMS,EMA,0,true,false,1,115,0.9982018379612138,27.192982456140353,1.534270947494274,3.044100989359336,1.6995676997825984,0.5038144451786536,6 days 20:12:37.894736840,0.054094054512074566,1.6597938144329896,3.3051546391752575,5.05257999264797,0,1455,1456 days 00:00:00,1000.0,7145.690283238707,614.5690283238706,408.67344391738413,100.0,501.51754818951156,61.42822713704446,699 days 00:00:00,114,-7.145690283237855,105.80618783493831,-29.946068251814413,22.861329087715912,-4.357514324484686,15 days 07:44:30.967741935,3 days 16:11:33.975903614,53.972245381771515,1.0536480346502215,1.0372828553939422,1.2825232276618586,0.9100653185856397,21.763802637102597,1.5987618317428645,0.8021978021978021,-0.04519688499487638,,,0.0020108996746991043,0.5067467180241743,6.145690283238721,0.40544980739694636,0.5788173559769948,0,115,2107.440476190476,,,,
