Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date,Metric Type
MNST,MACD,2,4,15,true,false,1,1244,0.43004639886634705,32.984714400643604,0.4592547486857602,-0.8727179011869539,-1.5399690236950916,-1.0012818004054527,0 days 23:59:59.999999999,0.08615408311593296,2.6226282501756852,5.243148278285313,-2.2888146220869374,0,9961,9962 days 00:00:00,1000.0,0.0032408080969617004,-99.9996759191903,78015.01348712486,100.0,89.17244052826302,99.99969141985396,9430 days 00:00:00,1243,-3.2408080967018076e-6,99.70000000000002,-33.49999745940503,2.8179442397708665,-2.689250287492724,1 days 00:00:00,1 days 00:00:00,-0.8045026194296796,-1.0516171274152197,-0.37067674536629686,0.5246364751451598,13.912848226778953,811.3345912297484,2.538206045244602,0.20669577874818051,-0.0072434585204221155,,,-0.0010889019026812925,-0.2744032794756857,-0.9999967591919033,-0.2736586003378422,0.3140348225220782,1244,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,4,16,true,false,1,1238,0.4300202434343231,32.98302344381568,0.4782725973878378,-0.842915709225478,-1.491929348472486,-1.001281798141113,0 days 23:59:59.999999999,0.08573821465358734,2.6099789177793395,5.217849613492621,-2.1999922305435176,0,9961,9962 days 00:00:00,1000.0,0.005007332935974773,-99.99949926670641,78015.01348712486,100.0,95.80834797194835,99.99952454364204,9430 days 00:00:00,1237,-5.00733293623979e-6,99.70000000000002,-33.49999745940503,2.8441075512977045,-2.6575182306892398,1 days 00:00:00,1 days 00:00:00,-0.8084033853352731,-1.0140894973778825,-0.360564854472931,0.535502553342825,14.078137051979265,821.6867442395217,2.5830123161242713,0.2073170731707317,-0.006997211067066664,,,-0.0010466402890867658,-0.26375335284986495,-0.9999949926670637,-0.2656204390200131,0.3130169576862122,1238,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,4,17,true,false,1,1233,0.4360350934773859,33.603896103896105,0.4759221666590661,-0.8249317586398638,-1.464551283466025,-1.001281796015223,0 days 23:59:59.999999999,0.08539165760163267,2.5994378074490516,5.1967673928320455,-2.144358801973898,0,9961,9962 days 00:00:00,1000.0,0.006665846431019418,-99.9993334153569,78015.01348712486,100.0,95.4295742444028,99.99937109416668,9430 days 00:00:00,1232,-6.6658464307990314e-6,99.70000000000002,-33.49999745940503,2.8014556338569854,-2.660291636994015,1 days 00:00:00,1 days 00:00:00,-0.811682895688087,-0.9940522690675337,-0.3538273780641188,0.5418503477823455,14.316687732797135,839.8630622388542,2.578853173908091,0.21011291114383895,-0.006789804163181487,,,-0.0010201693935164959,-0.25708268716615695,-0.9999933341535692,-0.260286413913998,0.31125029490446715,1233,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,4,18,true,false,1,1228,0.43576118425550125,33.577832110839445,0.49547154621384043,-0.8419726409537464,-1.4902708447079034,-1.0012817972648964,0 days 23:59:59.999999999,0.085045100549678,2.5888966971187632,5.175685172171469,-2.179780189229516,0,9961,9962 days 00:00:00,1000.0,0.005690913585681301,-99.99943090864143,78015.01348712486,100.0,102.97548773332471,99.99945812806779,9430 days 00:00:00,1227,-5.6909135854434426e-6,99.70000000000002,-33.49999745940503,2.773853048700594,-2.6698501675029345,1 days 00:00:00,1 days 00:00:00,-0.8149912823109233,-1.0132007375720358,-0.35755995808333624,0.5342045071563377,14.416333010606873,848.9150995392476,2.537158642887766,0.21055226824457596,-0.006976379107240746,,,-0.0010370184231354785,-0.2613286426301406,-0.9999943090864145,-0.263239342827586,0.3104114105199855,1228,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,13,true,false,1,1174,0.43576602334442094,33.58908780903666,0.48287228090089274,-0.8471132273654169,-1.446173569935623,-1.0012817934296208,0 days 23:59:59.999999999,0.08130228438856747,2.4750527055516516,4.947997189037245,-2.0966498852993665,0,9961,9962 days 00:00:00,1000.0,0.008683004281806461,-99.99913169957182,78015.01348712486,100.0,97.88232155134008,99.99917323005576,9430 days 00:00:00,1173,-8.683004281835952e-6,99.70000000000002,-33.49999745940503,2.799757908741988,-2.6916154451142202,1 days 00:00:00,1 days 00:00:00,-0.8525075092180001,-0.9819013368672828,-0.34753854731726386,0.5350079397379751,14.704029665073096,874.5077348354978,2.5425990077253764,0.21041774110366168,-0.005430016942466103,,,-0.0009974367927949683,-0.251354071784332,-0.9999913169957182,-0.2553229620115285,0.30808051772658634,1174,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,14,true,false,1,1163,0.4354774948388075,33.56282271944922,0.4890127229343283,-0.8481074680898565,-1.4396408876866167,-1.0012817923043862,0 days 23:59:59.999999999,0.08053985887426718,2.4518622628250175,4.901616303583978,-2.079442695829592,0,9961,9962 days 00:00:00,1000.0,0.00956085612597235,-99.9990439143874,78015.01348712486,100.0,98.99712162091419,99.99908964360384,9430 days 00:00:00,1162,-9.560856125799197e-6,99.70000000000002,-33.49999745940503,2.7988602163411316,-2.6904875159241635,1 days 00:00:00,1 days 00:00:00,-0.8605769617754044,-0.9777440205617522,-0.34523239059692146,0.5344327843076154,14.861328511443945,888.4249028101194,2.5488332790055983,0.20967741935483872,-0.005236193403565456,,,-0.0009892438206225917,-0.2492894427968931,-0.9999904391438742,-0.25350652185709577,0.3068491185199247,1163,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,15,true,false,1,1159,0.4393533578531046,33.93782383419689,0.498586754711064,-0.8470093056064776,-1.4252383391223458,-1.0012817918765036,0 days 23:59:59.999999999,0.08026261323270344,2.4434293745607873,4.884750527055517,-2.0696074178452024,0,9961,9962 days 00:00:00,1000.0,0.009894668877223012,-99.99901053311227,78015.01348712486,100.0,103.07075346747334,99.9990580613219,9430 days 00:00:00,1158,-9.894668877050844e-6,99.70000000000002,-33.49999745940503,2.8078576420931687,-2.724607619914923,1 days 00:00:00,1 days 00:00:00,-0.8635493052128272,-0.9701121073857907,-0.3444086549374089,0.5382869879622181,14.694061809006975,877.6664184614232,2.533661167477382,0.21245421245421248,-0.005130667620399518,,,-0.0009845623285249059,-0.2481097067882763,-0.999990105331123,-0.2528581843701614,0.30779955849225366,1159,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,16,true,false,1,1145,0.44896045615441316,34.79020979020979,0.563592103840531,-0.820731658923018,-1.3751162171466051,-1.0012817846696538,0 days 23:59:59.999999999,0.07929225348723033,2.4139142656359804,4.825720309205903,-1.981175859733357,0,9961,9962 days 00:00:00,1000.0,0.015517093735525123,-99.99844829062646,78015.01348712486,100.0,121.51081818089445,99.99870701431367,9430 days 00:00:00,1144,-0.000015517093735505083,99.70000000000002,-33.49999745940502,2.774635060108546,-2.7389031792642546,1 days 00:00:00,1 days 00:00:00,-0.8741122966688577,-0.9369747082630062,-0.3335122215355875,0.5493971819906799,14.929345107362762,906.4770784511301,2.5178470852695214,0.21820117083555082,-0.0044432117891037605,,,-0.0009424840716658723,-0.2375059860597998,-0.9999844829062645,-0.24430571648732236,0.30506532988394286,1145,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,17,true,false,1,1139,0.44798872979029214,34.71001757469244,0.5628137707492039,-0.804087524287291,-1.3412930061173978,-1.001281779421783,0 days 23:59:59.999999999,0.07887638502488473,2.4012649332396347,4.800421644413212,-1.9308271753265451,0,9961,9962 days 00:00:00,1000.0,0.019611220820479502,-99.99803887791795,78015.01348712486,100.0,120.52381311243589,99.99836137883614,9430 days 00:00:00,1138,-0.00001961122082045838,99.70000000000002,-33.49999745940502,2.83316083101265,-2.7377525314790496,1 days 00:00:00,1 days 00:00:00,-0.8787173718523362,-0.9119101409742981,-0.32777055903908336,0.5588665508362057,14.87946663303629,901.4904729795736,2.5677652335717953,0.21764705882352942,-0.004293822271280016,,,-0.0009185282236751093,-0.23146911236612755,-0.9999803887791795,-0.23981620506651835,0.3054830814323322,1139,0,14427.638888888889,,,,,Standard MACD
MNST,MACD,2,5,18,true,false,1,1138,0.44940257147327795,34.82849604221636,0.5545977339226373,-0.7968670469106711,-1.3315803840247604,-1.0012817769028792,0 days 23:59:59.999999999,0.07880707361449378,2.399156711173577,4.796205200281096,-1.9118089235088063,0,9961,9962 days 00:00:00,1000.0,0.021576343826723132,-99.99784236561733,78015.01348712486,100.0,118.73610364375153,99.99817728202136,9430 days 00:00:00,1137,-0.000021576343826698596,99.70000000000002,-33.49999745940502,2.819055701748987,-2.729263009757128,1 days 00:00:00,1 days 00:00:00,-0.8794884802812948,-0.9041440376861015,-0.32541492679564926,0.560731355132784,14.95136045624537,906.3635414964068,2.5658956863552054,0.2185324049276915,-0.004200744454099496,,,-0.0009094801706722958,-0.22918900300941855,-0.9999784236561733,-0.2379776325595654,0.3050719756163804,1138,0,14427.638888888889,,,,,Standard MACD
