Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Total Fees Paid,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Least Max Drawdown [%],4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Avg Winning Trade [%],4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Profit Factor,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Expectancy,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Sharpe Ratio,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Calmar Ratio,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Omega Ratio,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
Most Sortino Ratio,4,5,18,ZM,MACD,true,false,1,127,1.2883516275762976,53.96825396825397,1.4256335645698197,0.6329325476531242,1.7991366857346418,2.9306490037124995,0 days 23:59:59.999999999,0.05608754405023715,1.7195357833655704,3.4255319148936167,1.0883501641462812,0,1551,1552 days 00:00:00,1000.0,2013.7269221385482,101.3726922138548,25.79031913511185,100.0,452.23314768369033,21.358888758903763,806 days 00:00:00,126,-2.013726922138403,18.18774101437811,-9.191145045355832,3.114881404694095,-2.276938526119048,1 days 00:00:00,1 days 00:00:00,8.061433722703871,0.8597048367727065,0.8378193275230327,1.573316540123294,6.445015964764187,92.77308989523353,4.280346469453075,0.3675675675675676,-0.0009990009990009376,,,0.0005132872958568367,0.12934839855592284,1.0137269221385492,0.12036857355366948,0.1810747306522351,127,0,2246.488095238095,,
