Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
VIPS,SMA,59,62,0,true,false,None,1,66,1.5941978728515571,60.0,1.8844268374789797,13.302040494117756,2.016315898957014,2.513105458604781,29 days 04:25:50.769230768,0.013328396890040726,0.4116424116424116,0.817047817047817,5.4756840287636495,0,3367,3368 days 00:00:00,1000.0,108181.6509232268,10718.165092322679,3050.9090087433256,100.0,8017.704557925343,47.742166490509,743 days 00:00:00,65,-108.18165092321578,320.85705978623713,-22.65670870155878,26.85001083864707,-7.019915022676214,34 days 06:09:13.846153846,21 days 13:50:46.153846153,1650.6128088330772,1.209629476200038,1.3851415248137886,1.2758171225768116,1.5780431673603776,18.78380312013891,1.36568257624818,0.9341974077766702,-0.03785982961168148,,,0.0017752609259350637,0.44736575333563605,107.18165092322708,0.41970836572317616,0.44509891506026694,0,66,4876.805555555556,,,,
BILI,MACD,8,13,20,true,false,None,1,80,1.3034963285715524,62.0253164556962,1.6046190994752894,0.8960129105440542,1.4475728102375276,-0.2259608543776223,0 days 23:59:59.999999999,0.029402946497803048,0.9056603773584906,1.8,0.8114833906814076,0,1855,1856 days 00:00:00,1000.0,1866.3178461885575,86.63178461885575,111.92170978535998,100.0,221.76346000762913,16.50834099422043,533 days 00:00:00,79,-1.8663178461883945,15.346514520411446,-10.362244007505197,3.504226004693715,-3.3640684765670574,1 days 00:00:00,1 days 00:00:00,10.989672962465136,0.7577082300347987,0.7908457108337271,1.6674563359496546,5.525315750980577,97.30515420117644,3.743269325601267,0.4454545454545454,-0.000999000999000839,,,0.0003808890729578249,0.09598404638537188,0.8663178461885555,0.08841195820917247,0.15245554044049384,0,80,2686.8055555555557,,,,
EDU,SMA,60,62,0,true,false,None,1,120,1.2200731040950894,51.26050420168067,1.7615086006999745,2.679245997528187,0.8769452025534905,0.24063374260793327,23 days 23:35:47.899159663,0.017271159156945354,0.5297456380071474,1.0550767290309018,1.4193188803386654,0,4757,4758 days 00:00:00,1000.0,8793.435989974596,779.3435989974596,628.1818495112049,100.0,760.2697582108361,66.8217793547796,2398 days 00:00:00,119,-8.79343598997366,63.28535774730476,-32.30359419093951,10.528911725824615,-5.576436923611159,34 days 00:00:00,13 days 10:45:31.034482758,65.56495315936606,0.5998772711931221,0.2715993953138766,1.1227572016800689,0.10381153200422497,10.967294125468758,1.1473319147127392,0.9785809906291836,-0.03347633696146351,,,0.0007207323953004718,0.18162456361571888,7.793435989974572,0.12203364119422622,0.3643831941032909,0,120,6890.099206349206,,,,
TAL,SMA,42,44,0,true,false,None,1,112,1.1918071795904728,53.153153153153156,1.2299164392772262,2.689601548189426,0.9230667637222799,0.5850718699246777,19 days 21:11:21.081081079,0.020567798292634505,0.6312399355877617,1.2568438003220612,1.6977839080358375,0,3726,3727 days 00:00:00,1000.0,6566.7722378715325,556.6772237871533,351.199989318848,100.0,1198.3546368952118,60.15870176804019,845 days 00:00:00,111,-6.5667722378711915,90.7932444930193,-29.16260605118344,10.938786591121513,-6.670050712060443,26 days 15:51:51.864406779,12 days 04:36:55.384615384,50.210261352337,0.6256078278236235,0.33643226877067756,1.134439131579778,0.27117650912029917,13.068812395858446,1.162648985651033,0.9757365684575389,-0.036289663348805665,,,0.0008132264930496087,0.2049330762485014,5.566772237871504,0.13570361979601508,0.3942357887386705,0,112,5396.785714285714,,,,
COP,SMA,36,46,0,true,false,None,1,163,1.0857324697903312,51.23456790123457,1.534183823739222,1.8529279040706435,0.5973868945781602,-0.5131641139195465,38 days 10:31:06.666666666,0.010174345068904371,0.3113799690712271,0.6208496315837351,0.5769646334607307,0,10993,10994 days 00:00:00,1000.0,9562.74396698072,856.2743966980721,1758.8563644968563,100.0,1165.0720972957677,44.35082586549736,1521 days 00:00:00,162,-9.562743966978815,42.45393637097433,-27.65070530957266,8.729582534284603,-5.3719117707111135,48 days 22:15:54.216867470,27 days 10:01:31.139240506,52.91547352436852,0.4124418490636272,0.17551513490044343,1.0818312510938675,-0.021685254525272944,9.248236427943901,1.1012266320895794,0.9823874755381603,-0.021577426907574904,,,0.0003058648861948058,0.07707795132109106,8.56274396698069,0.05311673508126291,0.22491250338632907,0,163,15922.400793650793,,,,
