Trade No.,Entry Date,Exit Date,Entry Price,Exit Price,Return (%),PnL ($),Size,Drawdown (%)
0,2020-06-10 00:00:00,2020-06-11 00:00:00,0.6448670029640198,0.5737419724464417,-0.11218381334519137,-112.07174160358778,1549.1581898426552,0.11029410745264405
1,2020-06-20 00:00:00,2020-09-19 00:00:00,0.6435909867286682,3.028891086578369,3.7005297881532724,3282.522447491488,1378.2685517210346,0.4836985975318579
2,2020-11-18 00:00:00,2020-11-29 00:00:00,2.1150290966033936,1.915155053138733,-0.09640729195728803,-401.66019859741533,1969.8473312529034,0.22007173559793478
3,2020-12-03 00:00:00,2020-12-04 00:00:00,2.1003708839416504,1.8559529781341553,-0.11825255794988955,-445.2238939703913,1792.5526918098676,0.1163689268767664
4,2021-01-04 00:00:00,2021-05-24 00:00:00,2.4850969314575195,31.283571243286133,11.574882765954426,38431.46245156871,1336.063122900322,0.5584274192805582
5,2021-06-08 00:00:00,2021-06-21 00:00:00,41.51781463623047,26.657400131225586,-0.35957070116944256,-14998.886192020502,1004.7088488308485,0.365779836197306
6,2021-08-02 00:00:00,2021-11-29 00:00:00,33.22241973876953,204.31936645507812,5.142894655885861,137466.55763535763,804.5595013723971,0.35118568246599524
7,2021-12-01 00:00:00,2021-12-05 00:00:00,229.7992401123047,196.1682586669922,-0.14820305292327285,-24313.991583040355,713.9216029878203,0.16164917983526278
8,2022-03-26 00:00:00,2022-04-21 00:00:00,101.7641830444336,101.77613830566406,-0.0018826374308531393,-263.1342380868042,1373.4590678546756,0.2737059819440794
9,2022-07-19 00:00:00,2022-08-20 00:00:00,44.89987564086914,35.26973342895508,-0.21626589567088436,-30170.404881299488,3107.0479957298116,0.24127203220455193
10,2022-11-04 00:00:00,2022-11-08 00:00:00,33.780853271484375,24.152936935424805,-0.2867260352610053,-31358.023374567572,3237.5086301954675,0.3430589927872434
11,2023-01-10 00:00:00,2023-03-04 00:00:00,16.19672393798828,20.966838836669922,0.2922165836762938,22804.321335339962,4818.203213359247,0.22968729711638589
12,2023-04-12 00:00:00,2023-05-08 00:00:00,23.985305786132812,20.65746307373047,-0.14060631585576946,-14176.019753660768,4203.433886498207,0.18549315880915282
13,2023-07-04 00:00:00,2023-08-18 00:00:00,19.14322853088379,21.335493087768555,0.11240454199220556,9740.841512287638,4526.863850780472,0.22108662798911966
14,2023-10-01 00:00:00,2024-01-24 00:00:00,23.83648681640625,88.73200988769531,2.717806322448321,261969.07862254113,4043.796402044843,0.30973790453739614
15,2024-01-28 00:00:00,2024-04-14 00:00:00,95.93798065185547,151.28494262695312,0.5743266501696292,205664.80601759494,3732.591289119833,0.31316186103946436
16,2024-05-17 00:00:00,2024-06-12 00:00:00,169.53054809570312,155.1775665283203,-0.08657843584461838,-48791.8504571712,3324.2186961470134,0.19886022415111757
17,2024-07-16 00:00:00,2024-08-05 00:00:00,160.5518798828125,129.8643035888672,-0.19294693092368612,-99331.68679074722,3206.524337016359,0.29759825576184396
18,2024-09-23 00:00:00,2024-10-10 00:00:00,144.8149871826172,138.88841247558594,-0.04288422232747242,-17821.870394652644,2869.7378907163193,0.13770468244227713
19,2024-10-11 00:00:00,2024-11-01 00:00:00,145.3811492919922,166.56759643554688,0.14473035944985257,57570.406676024664,2736.097434023659,0.07132637423385221
