Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Mean Worst Trade [%],72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Median Worst Trade [%],72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Median Avg Winning Trade [%],72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Profit Factor,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Expectancy,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Sharpe Ratio,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Calmar Ratio,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Omega Ratio,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
Most Sortino Ratio,72,85,HST,SMA,0,true,false,1,100,1.2904614445155538,57.57575757575758,1.4009186457265645,4.2427655851094475,0.6129259083696927,1.3596115934060573,64 days 21:05:27.272727272,0.00598412580384406,0.18385571703729645,0.36587287690421993,0.7800567088714621,0,11422,11423 days 00:00:00,1000.0,10400.94019247189,940.094019247189,398.4104934364134,100.0,1103.5633631884186,89.61457621586956,7650 days 00:00:00,99,-10.400940192470443,68.02439206325366,-75.23800991748134,13.69662025900859,-8.58746575803939,79 days 00:25:15.789473684,45 days 16:34:17.142857143,95.06405184509472,0.4444677818158215,0.08670662841559915,1.1061013531434667,-8.580191647761966,520.1069181921538,1.0941336991586326,1.010938017898575,-0.021328358687204427,,,0.0003857226959462261,0.09720211937844898,9.400940192471962,0.053021865109933675,0.2631974095002544,0,100,16543.76984126984,,,,
