Metric Type,price_change,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,RSI Window,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy per Trade,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Avg Trade Duration,Signal Entry
Most Total Return [%],1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Total Fees Paid,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Mean Avg Winning Trade [%],1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Profit Factor,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Expectancy,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Sharpe Ratio,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Calmar Ratio,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Omega Ratio,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Most Sortino Ratio,1.2,0,0,0,0,270,271 days 00:00:00,1000.0,1826.4463006929182,82.64463006929181,1.7836932307933706,100.0,213.92691169059484,29.86947638491583,69 days 00:00:00,66,66,0,0.0,60.60606060606061,16.742553406489666,-15.772483883065453,4.66821209635351,-4.397939129145264,1 days 01:48:00,2 days 05:32:18.461538461,1.4219880780805298,12.521913646862409,1.5344558337470973,4.187758635261671,1.4037748635756269,2.3560639787236934,14,0.06207644824453592,6.090088353762892,2.6381286229266085,0.27230046948356806,1.096697977217629,-0.0451857438556607,None,None,0.002855659395348449,0.7196261676278091,0.826446300692917,0.7509166166841217,0.5644152198816204,1.0225622165199337,45.333432589488616,0.24444444444444444,5.133333333333333,10.266666666666666,5.629716283050495,1 days 12:43:38.181818181,false
Least Max Drawdown [%],1.25,0,0,0,0,270,271 days 00:00:00,1000.0,1714.6358089691648,71.46358089691648,1.7836932307933706,100.0,205.76335067836476,29.869476384915757,76 days 00:00:00,65,65,0,0.0,60.0,16.742553406489666,-15.772483883065453,4.620538870345156,-4.397939129145264,1 days 01:50:46.153846153,2 days 05:32:18.461538461,1.3759198776963442,10.994397061064081,1.413409218839665,3.573118271716312,1.3699099986024468,2.15734168821338,14,0.06223645944705741,6.271941645548309,2.5956189447204268,0.2663551401869159,1.0131476705489877,-0.0451857438556607,None,None,0.0026147897344340927,0.6589270130773913,0.714635808969166,0.6510260820496767,0.5610680703247701,0.9352132343529117,39.06495044281248,0.24074074074074073,5.055555555555555,10.11111111111111,5.122024334442104,1 days 12:55:23.076923075,false
Most Win Rate [%],0.83,0,0,0,0,270,271 days 00:00:00,1000.0,1696.1429291589031,69.61429291589032,1.7836932307933706,100.0,207.08040147120786,30.053924300165953,71 days 00:00:00,67,67,0,0.0,61.19402985074627,16.742553406489666,-15.772483883065453,4.639710018643919,-4.784247332548584,1 days 02:20:29.268292682,2 days 09:13:50.769230769,1.343368205745502,10.39019297252094,1.3740229765777925,3.4514565159602015,1.3421024881097063,2.0737524403028496,14,-0.004959407873431767,5.633062976476787,2.486189855022899,0.2904761904761905,0.9826519420617537,-0.049141126429841996,None,None,0.00260894110642951,0.6574531588202366,0.6961429291589016,0.6344614175194345,0.5758600930322624,0.9251143426987807,38.028175761437694,0.24814814814814815,5.211111111111111,10.422222222222222,5.120708453632917,1 days 14:19:42.089552238,false
Median Total Trades,0.85,0,0,0,0,270,271 days 00:00:00,1000.0,1609.5217985501479,60.95217985501479,1.7836932307933706,100.0,193.88231211024325,30.053924300165946,71 days 00:00:00,65,65,0,0.0,60.0,16.742553406489666,-15.772483883065453,4.741244171621201,-4.784247332548585,1 days 02:27:41.538461538,2 days 09:13:50.769230769,1.3120829203483357,9.37725843923306,1.2730054868386131,2.989362256649362,1.3166681299687581,1.9177312340283483,14,0.00858281598733366,5.695593683042055,2.477121397059867,0.2783018867924528,0.9310475699532865,-0.049141126429841975,None,None,0.002412638970954469,0.6079850206805262,0.6095217985501502,0.556700987639341,0.5747894201704238,0.859428526110726,33.17189615498166,0.24074074074074073,5.055555555555555,10.11111111111111,4.706962714763837,1 days 14:46:09.230769229,false
Median Max Drawdown [%],0.96,0,0,0,0,270,271 days 00:00:00,1000.0,1600.2971172849648,60.02971172849648,1.7836932307933706,100.0,192.0334110944798,31.892432842431116,69 days 00:00:00,64,64,0,0.0,59.375,16.742553406489666,-15.772483883065453,4.855375326258075,-4.7842473325485875,1 days 01:53:41.052631578,2 days 09:13:50.769230769,1.3053714071991667,9.379642457577582,1.262753086196831,2.7711299875353808,1.3169187817537515,1.901708219803056,14,0.010230172859430186,5.7526745131689845,2.4748990898475673,0.27230046948356806,0.9392786211178685,-0.04914112642984199,None,None,0.002389205880821875,0.6020798819671125,0.6002971172849663,0.5484028930160734,0.5738281363416867,0.8447949728397398,32.654728678762666,0.23703703703703705,4.977777777777778,9.955555555555556,4.675520247342279,1 days 14:37:29.999999998,false
Mean Avg Losing Trade [%],0.61,0,0,0,0,270,271 days 00:00:00,1000.0,1598.6291205721213,59.862912057212135,1.7836932307933706,100.0,202.46009665245765,30.053924300165928,71 days 00:00:00,67,67,0,0.0,59.70149253731343,16.742553406489666,-15.772483883065453,4.674616566994533,-4.708642268478789,1 days 03:00:00,2 days 08:53:20,1.2958796144384268,8.93476299361377,1.2570891960510215,2.9318524582465315,1.3052685662681913,1.8921929971189029,14,0.007687800218214303,5.53960088959185,2.46075221509577,0.2904761904761905,0.8933033049381196,-0.04914112642984204,None,None,0.0023937342391575195,0.603221028267695,0.5986291205721179,0.5469020831863218,0.5775060530135345,0.8204852398972395,32.56121502495452,0.24814814814814815,5.211111111111111,10.422222222222222,4.655102777955312,1 days 15:02:41.194029850,false
Median Avg Losing Trade [%],0.61,0,0,0,0,270,271 days 00:00:00,1000.0,1598.6291205721213,59.862912057212135,1.7836932307933706,100.0,202.46009665245765,30.053924300165928,71 days 00:00:00,67,67,0,0.0,59.70149253731343,16.742553406489666,-15.772483883065453,4.674616566994533,-4.708642268478789,1 days 03:00:00,2 days 08:53:20,1.2958796144384268,8.93476299361377,1.2570891960510215,2.9318524582465315,1.3052685662681913,1.8921929971189029,14,0.007687800218214303,5.53960088959185,2.46075221509577,0.2904761904761905,0.8933033049381196,-0.04914112642984204,None,None,0.0023937342391575195,0.603221028267695,0.5986291205721179,0.5469020831863218,0.5775060530135345,0.8204852398972395,32.56121502495452,0.24814814814814815,5.211111111111111,10.422222222222222,4.655102777955312,1 days 15:02:41.194029850,false
Least Avg Winning Trade Duration,1.35,0,0,0,0,270,271 days 00:00:00,1000.0,1572.673589134462,57.267358913446195,1.7836932307933706,100.0,189.8973589244559,29.869476384915792,76 days 00:00:00,65,65,0,0.0,56.92307692307692,16.742553406489666,-15.772483883065453,4.587235484202737,-4.0403098221361,1 days 01:17:50.270270270,2 days 01:42:51.428571428,1.3283447803679933,8.810362909760954,1.2508329591100984,2.8126257303968973,1.3268306398972343,1.8833905295900877,14,0.01247030270135933,6.663919461787056,2.5812886994364375,0.25462962962962965,0.8707544291644689,-0.04518574385566064,None,None,0.002275851488810086,0.5735145751801416,0.5726735891344601,0.523533906013014,0.5518122088527304,0.7625541746529075,31.106058331551885,0.24074074074074073,5.055555555555555,10.11111111111111,4.402147391887037,1 days 11:48:55.384615383,false
