Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
AAPL_SMA_13_37_0_1981-04-01,AAPL,SMA,13,37,0,1981-04-01 00:00:00,1981-06-30 00:00:00,0.10825899988412857,0.11607100069522858,9227.879437924299,Long,70.01811145414194,0.07008812956559608,90.0,Big Winner,Closed,0.3711377973042083,6.409530765418158e-16,579040511524864.0,0.1888466496128589,,,
AAPL_SMA_13_37_0_1981-10-20,AAPL,SMA,13,37,0,1981-10-20 00:00:00,1981-11-20 00:00:00,0.08761200308799744,0.08482100069522858,12200.944215579666,Long,-36.15670995980625,-0.03382453650301337,31.0,Loser,Closed,0.02547596394413034,0.08917735429052175,0.2856775035188285,-1.327703892861198,,,
AAPL_SMA_13_37_0_1981-12-17,AAPL,SMA,13,37,0,1981-12-17 00:00:00,1982-01-19 00:00:00,0.09430799633264542,0.08872800320386887,10951.654293220236,Long,-63.11470269504299,-0.061108594736607125,33.0,Big Loser,Closed,0.08876238810757443,0.15384697425817553,0.5769524459975367,-0.6884514493069671,,,
AAPL_SMA_13_37_0_1982-04-12,AAPL,SMA,13,37,0,1982-04-12 00:00:00,1982-04-23 00:00:00,0.07756700366735458,0.06863799691200256,12502.441450958906,Long,-113.46230363358596,-0.11699835402757516,11.0,Big Loser,Closed,0.01438746648093748,0.11511346749507119,0.12498508466486347,-8.131963621433341,,,
AAPL_SMA_13_37_0_1982-07-26,AAPL,SMA,13,37,0,1982-07-26 00:00:00,1982-12-23 00:00:00,0.06026799976825714,0.14285700023174286,14210.32671553146,Long,1170.7302070812189,1.366992031928658,150.0,Big Winner,Closed,1.5833277496422935,0.09258645717152543,17.101072856789678,0.8633664332842582,,,
AAPL_SMA_13_37_0_1983-01-05,AAPL,SMA,13,37,0,1983-01-05 00:00:00,1983-01-07 00:00:00,0.13504500687122345,0.12276799976825714,15002.321526520709,Long,-188.0514015614033,-0.09281957474783761,2.0,Big Loser,Closed,0.008263857295775032,0.09091048523307114,0.09090103605308698,-11.231991481180636,,,
AAPL_SMA_13_37_0_1983-01-20,AAPL,SMA,13,37,0,1983-01-20 00:00:00,1983-03-17 00:00:00,0.16685299575328827,0.18917399644851685,11016.434360745889,Long,241.97569103490412,0.131642669068433,56.0,Big Winner,Closed,0.3010015347429269,0.10033378537622652,3.000001780200425,0.4373488300678055,,,
AAPL_SMA_13_37_0_1983-04-21,AAPL,SMA,13,37,0,1983-04-21 00:00:00,1983-06-24 00:00:00,0.23214299976825714,0.2377229928970337,8959.387251668208,Long,45.783607917678935,0.022012841831166877,64.0,Winner,Closed,0.21634513144196174,0.08413347247066276,2.57145135091626,0.10174872752832062,,,
AAPL_SMA_13_37_0_1983-09-19,AAPL,SMA,13,37,0,1983-09-19 00:00:00,1983-09-20 00:00:00,0.14285700023174286,0.14341500401496887,14879.19317420374,Long,4.04314963100317,0.0019021243518938871,1.0,Breakeven,Closed,0.04687904031419289,0.0859391355204896,0.5454911784982523,0.04057515553103182,,,
AAPL_SMA_13_37_0_1983-12-08,AAPL,SMA,13,37,0,1983-12-08 00:00:00,1983-12-09 00:00:00,0.09598200023174287,0.09653999656438828,22187.868643224487,Long,8.109096556293844,0.003807738273497924,1.0,Breakeven,Closed,0.02906791437615336,0.02325436255083078,1.249998330963275,0.13099454691602175,,,
AAPL_SMA_13_37_0_1983-12-13,AAPL,SMA,13,37,0,1983-12-13 00:00:00,1984-02-07 00:00:00,0.10044600069522858,0.10770100355148315,21282.450212257518,Long,149.9743588233131,0.07015566377191378,56.0,Big Winner,Closed,0.3111124363708426,0.049997055253095106,6.222615207954332,0.22549938726425256,,,
AAPL_SMA_13_37_0_1984-03-02,AAPL,SMA,13,37,0,1984-03-02 00:00:00,1984-03-30 00:00:00,0.12165199965238571,0.11049100011587143,18804.14255122973,Long,-214.23827635873542,-0.09365355743298778,28.0,Big Loser,Closed,0.027521128770435555,0.10091901232586889,0.2727050942746987,-3.4029693409085273,,,
AAPL_SMA_13_37_0_1984-04-24,AAPL,SMA,13,37,0,1984-04-24 00:00:00,1984-06-05 00:00:00,0.12444200366735458,0.12444200366735458,16662.680042839438,Long,-4.147074581997938,-0.001999999999999988,42.0,Breakeven,Closed,0.23318486895505472,0.01793606793498148,13.000891265596975,-0.00857688583724306,,,
AAPL_SMA_13_37_0_1984-08-08,AAPL,SMA,13,37,0,1984-08-08 00:00:00,1984-09-10 00:00:00,0.12723200023174286,0.11774600297212601,16264.73179372641,Long,-158.27170274116514,-0.07648213692385969,33.0,Big Loser,Closed,0.08333591968982439,0.0921073574131912,0.9047694128926272,-0.9177571593200816,,,
AAPL_SMA_13_37_0_1984-11-07,AAPL,SMA,13,37,0,1984-11-07 00:00:00,1984-11-09 00:00:00,0.11495500057935715,0.10379499942064285,16626.338659162568,Long,-189.18697028312184,-0.09898439477505935,2.0,Big Loser,Closed,0.024279086413836578,0.10678962387644225,0.22735435834035683,-4.0769406676953235,,,
AAPL_SMA_13_37_0_1984-12-07,AAPL,SMA,13,37,0,1984-12-07 00:00:00,1985-02-19 00:00:00,0.12165199965238571,0.12332600355148315,14157.455716364251,Long,20.231370838651312,0.011746834412726151,74.0,Winner,Closed,0.14220073610403772,0.06422417396528826,2.2141310245717456,0.08260740931841495,,,
AAPL_SMA_13_37_0_1985-04-29,AAPL,SMA,13,37,0,1985-04-29 00:00:00,1985-05-03 00:00:00,0.09430799633264542,0.08928599953651428,18476.630034834117,Long,-96.18177517652825,-0.055197766832400866,4.0,Big Loser,Closed,0.041417528552541154,0.0887517227512985,0.46666731944575335,-1.3327151271804756,,,
AAPL_SMA_13_37_0_1985-07-10,AAPL,SMA,13,37,0,1985-07-10 00:00:00,1985-07-31 00:00:00,0.08035700023174286,0.07087100297212601,20488.67259018676,Long,-197.45395308781016,-0.11993012724501614,21.0,Big Loser,Closed,0.01388802609172686,0.11804817542043686,0.11764710502524653,-8.635505611302019,,,
AAPL_SMA_13_37_0_1985-09-18,AAPL,SMA,13,37,0,1985-09-18 00:00:00,1986-06-24 00:00:00,0.07254499942064285,0.155691996216774,19975.898866351952,Long,1656.3767598979923,1.1429975940822599,279.0,Big Winner,Closed,1.40767806754255,0.07693154596082417,18.297800336150548,0.8119737178811379,,,
AAPL_SMA_13_37_0_1986-08-21,AAPL,SMA,13,37,0,1986-08-21 00:00:00,1986-09-19 00:00:00,0.1595979928970337,0.15011200308799744,19448.074209485527,Long,-190.50749674189657,-0.06137733706551729,29.0,Big Loser,Closed,0.06293943105978822,0.11188737344124068,0.5625248776873094,-0.9751809959516945,,,
